name,city,state,address,zip
BRIARWOOD SCHOOL,CAMDEN,TN,CAMDEN,38320
CARLOS E. HAILE MIDDLE SCHOOL,BRADENTON,FL,9501 E,34212
BRIDGEPORT ELEMENTARY SCHOOL,BRIDGEPORT,NE,800 Q ST,69336
BRIDGEPORT HEAD START,BRIDGEPORT,NE,818 O ST,69336
BRIDGEPORT HIGH SCHOOL,BRIDGEPORT,NE,800 Q ST,69336
BRIDGING COMMUNITIES REG CAREER & TECHNICAL CENTER,NEW KENT,VA,7930 NEW,23124
BRIDGING COMMUNITIES STEM ACADEMY,NEW KENT,VA,7930 NEW,23124
CARSON EL,DECATUR,TX,SOUTH,76234
CARVER ELEMENTARY SCHOOL,WADLEY,GA,WADLEY,30477
CHRISTIAN ELEMENTARY SOUTH BAY,CHULA VISTA,CA,482 L ST,91911
CHURCHLAND ELEMENTARY,LEXINGTON,NC,7571 S,27295
CASTON JR-SR HIGH SCHOOL,FULTON,IN,SR 25 S,46931
CIRCLE HIGH,TOWANDA,KS,905 MAIN,67144
CDW AT PLAY CHILD CARE CENTER,VERNON HILLS,IL,165 N,60061
CEDAR GROVE AMISH PAROCHIAL SCHOOL,MECHANICSVILLE,MD,JAMES RD,20659
CLARK INTERMEDIATE,CLOVIS,CA,CLOVIS,93612
CLARK VALLEY SCHOOL,MILLERSBURG,OH,CR 19,44654
CEDAR VALE ELEM,CEDAR VALE,KS,508 DORA,67024
CEDAR VALE HIGH,CEDAR VALE,KS,508 DORA,67024
CLARKTON ELEM.,CLARKTON,MO,HWY 162,63837
CLEAR WATER RANCH,BOONVILLE,CA,HWY. 128,95415
CENTERPOINT HIGH SCHOOL,AMITY,AR,755 AR-8,71921
CENTRAL ARIZONA COLLEGE - MARICOPA CENTER,MARICOPA,AZ,17945 N,85138
CENTRAL CONTINUATION,BORON,CA,STAR RT.,93516
CENTRAL ELEM.,CHILLICOTHE,MO,321 ELM,64601
CENTRAL ELEMENTARY SCHOOL,FAIRBURY,NE,808 F ST,68352
CENTRAL LEARNING CENTER,NELIGH,NE,402 P ST,68756
COE COLLEGE,CEDAR RAPIDS,IA,5008,52402
COFFEE COUNTY CENTRAL HIGH SCHOOL,MANCHESTER,TN,100 RED,37355
CENTRAL TECHNOLOGY CENTER,DRUMRIGHT,OK,3 CT CIR,74030
CENTRAL VALLEY CHRISTIAN SCHOOL,TANGENT,OR,TANGENT,97389
CENTRAL VALLEY ELEMENTARY SCHOOL,CENTRAL VALLEY,NY,45 RT 32,10917
COLEMAN ELEMENTARY,COLEMAN,WI,COLEMAN,54112
COLFAX ELEMENTARY SCHOOL,COLFAX,LA,COLFAX,71417
CEREDO-KENOVA MIDDLE SCHOOL,CEREDO,WV,CEREDO,25507
COLLEGE OF MICRONESIA-FSM,POHNPEI,FM,KOLONIA,96941
COLLEGIATE H S,CORPUS CHRISTI,TX,ST.CLAIR,78403
CHAMBERS HIGH SCHOOL,CHAMBERS,NE,201 A ST,68725
COLUMBIA CITY ELEMENTARY SCHOOL,LAKE CITY,FL,7438 SW,32024
COLUMBIA MIDDLE SCHOOL,AURORA,CO,17600,80013
COLUMBIA RIDGE ELEMENTARY,EPHRATA,WA,60 H SE,98823
CHAPARRAL JR/SR HIGH,ANTHONY,KS,467 KS-2,67003
COLUMBINE ELEMENTARY SCHOOL,DENVER,CO,DENVER,80205
CHAREM ALTERNATIVE SCHOOLS,BOYNE CITY,MI,321 PARK,49712
COMMUNITY DAY,SANGER,CA,818 L ST,93657
COMMUNITY SCHOOL #53,BUFFALO,NY,ROEHER,14208
CHARLESTOWN PRIMARY SCHOOL,CHARLESTOWN,NH,84 E ST,03603
CHARLOTTE AMALIE HIGH SCHOOL,SAINT THOMAS,VI,8 AND,00802
CONDON ELEMENTARY SCHOOL,CONDON,OR,CONDON,97823
CHASE ELEM,CHASE,KS,312 ASH,67524
CONNECTING WATERS CHARTER - EAST BAY,UNION CITY,CA,703 C ST,94587
CONRAD JUNIOR HIGH,SAN BERNARDINO,CA,551 G ST,92410
CONTINUATION SCHOOL,PESCADERO,CA,620 N ST,94060
CHEBANSE ELEM SCHOOL,CHEBANSE,IL,PO BOX 8,60922
COOL SPRING COLONY SCHOOL,RUDYARD,MT,140 N,59540
CHENEGA BAY SCHOOL,CHENEGA BAY,AK,MAIN ST,99574
COOTER ELEM.,COOTER,MO,MAIN ST,63839
COOTER HIGH,COOTER,MO,MAIN ST,63839
CHESTER ELEMENTARY,CHESTER,CA,CHESTER,96020
CHESTER HIGH SCHOOL - 01,CHESTER,SD,CHESTER,57016
CHESTER JUNIOR/SENIOR HIGH,CHESTER,CA,CHESTER,96020
CHESTER MIDDLE SCHOOL - 03,CHESTER,SD,CHESTER,57016
CHILCHINBETO COMMUNITY SCHOOL,KAYENTA,AZ,KAYENTA,86033
CORRECTIONAL TRAINING FACILITY,SOLEDAD,CA,US-101,93960
CHINOOK 7-8,CHINOOK,MT,528 OHIO,59523
CORTEZ HILL ACADEMY,SAN DIEGO,CA,201 A ST,92101
CORWIN-RUSSELL SCHOOL AT BROCCOLI HALL,SUDBURY,MA,142 N RD,01776
CHOICE VALLEY ELEMENTARY,CHOLAME,CA,STAR RT.,93431
COTTONWOOD ELEMENTARY,ANDOVER,KS,9488,67002
COTTONWOOD PUBLIC SCHOOL,COALGATE,OK,OK-31,74538
COUGAR ACADEMY,HARRISBURG,PA,STATE ST,17103
COUNTRYSIDE CHRISTIAN ACADEMY,CLEARWATER,FL,1850 N,33759
DILCON COMMUNITY SCHOOL,WINSLOW,AZ,AZ-87,86047
DIOMEDE SCHOOL,DIOMEDE,AK,MAIN ST,99762
COVENANT PRESCHOOL & CHILDRENS DAY OUT,AUGUSTA,GA,AUGUSTA,30909
COVERT HIGH SCHOOL,COVERT,MI,COVERT,49043
COVILLAUD ELEMENTARY,MARYSVILLE,CA,628 F ST,95901
DIXON 7-8,DIXON,MT,411 B ST,59831
DIXON ELEMENTARY,DIXON,MT,411 B ST,59831
CREEK VALLEY ELEMENTARY SCHOOL,CHAPPELL,NE,6TH &,69129
DON LUIS MUNOZ MARIN (ELEMENTAL URBANA NUEVA),CEIBA,PR,CARR 779,00742
CREEKVIEW HIGH SCHOOL,CANTON,GA,8903,30115
CREMER THERAPEUTIC COMM CENTER,FULTON,MO,ROUTE O,65251
CRESCENT ELK MIDDLE,CRESCENT CITY,CA,994 G ST,95531
CREST RIDGE HIGH,CENTERVIEW,MO,92 MO-58,64019
DONNA H S,DONNA,TX,EAST,78537
CROCKETT EL,BRYAN,TX,401 ELM,77801
CROSSPOINT CHRISTIAN SCHOOL,VILLA RIDGE,MO,51 HWY M,63089
DR LEVESQUE ELEMENTARY SCHOOL,FRENCHVILLE,ME,443 US-1,4745
CRUM PRE K-8 SCHOOL,CRUM,WV,CRUM,25669
CUBA ELEM SCHOOL,CUBA,IL,CUBA,61427
CUESTA COLLEGE,SAN LUIS OBISPO,CA,CA-1,93405
DRAKE HIGH SCHOOL,DRAKE,ND,411 MAIN,58736
CULVER MIDDLE SCHOOL,CULVER,OR,CULVER,97734
DSDT,DETROIT,MI,1759 W,48216
DUANE LAKE ACADEMY,PAWLING,NY,PAWLING,12564
DULCE ELEMENTARY,DULCE,NM,HAWK DR,87528
DADEVILLE SR. HIGH,DADEVILLE,MO,MO-245,65635
DAHLGREN ELEM SCHOOL,DAHLGREN,IL,DALE ST,62828
DUPREE ELEMENTARY - 02,DUPREE,SD,127 B ST,57623
DUPREE HIGH SCHOOL - 01,DUPREE,SD,127 B ST,57623
DUPREE JR. HIGH - 04,DUPREE,SD,DUPREE,57623
DUTCH HILL PAROCHIAL SCHOOL,SPARTANSBURG,PA,ST HYW,16434
DALHART INT,DALHART,TX,801 OAK,79022
DAMAR ELEMENTARY SCHOOL,DAMAR,KS,405 2 RD,67632
E.A.G.L.E. CENTER - 09,EAGLE BUTTE,SD,E ST,57625
DANVILLE HIGH SCHOOL,DANVILLE,AR,E 11TH,72833
DANVILLE MIDDLE SCHOOL,DANVILLE,AR,E 11TH,72833
DAVID CITY ELEMENTARY SCHOOL,DAVID CITY,NE,826 E ST,68632
DAVID CITY SECONDARY SCHOOL,DAVID CITY,NE,750 D ST,68632
DAVILA DAY,CHULA VISTA,CA,540 G ST,91910
DAVIS SCHOOL FOR INDEPENDENT STUDY,DAVIS,CA,526 B ST,95616
DAYTON SCHOOL,DAYTON,MT,506 B ST,59914
EARLY COUNTY HIGH SCHOOL,BLAKELY,GA,2598,39823
DECOTO ELEMENTARY,UNION CITY,CA,600 G ST,94587
DEER K-12 SCHOOL,DEER,AR,AR-16,72628
EAST CAROLINA UNIVERSITY,GREENVILLE,NC,E 5TH ST,27858
DEL PUERTO HIGH,PATTERSON,CA,640 M ST,95363
EAST ELEMENTARY SCHOOL,ZION,IL,ZION,60099
DELAWARE VALLEY HS,MILFORD,PA,256 US-6,18337
DELAWARE VALLEY MS,MILFORD,PA,258 US-6,18337
"DELL'ARTE INTERNATIONAL SCHOOL OF PHYSICAL THEATRE",BLUE LAKE,CA,131 H ST,95525
DELTA BEAUTY COLLEGE,GREENVILLE,MS,800 MS-1,38703
DELTA MIDDLE,DELTA,UT,DELTA,84624
DELTA NORTH SCHOOL,DELTA,UT,DELTA,84624
EAST MOUNTAIN SCHOOL,BELLE MEAD,NJ,08502,8502
EASTERN LA MENTAL SYSTEM,JACKSON,LA,HWY. 10,70748
DETROIT EL,DETROIT,TX,HWY 82,75436
DEVELOPMENT CENTER FOR THE HAN,LOMPOC,CA,PO BOX H,93436
DEVONIAN EL,ANDREWS,TX,ANDREWS,79714
DEVRY UNIVERSITY - NORTH BRUNSWICK CAMPUS,NORTH BRUNSWICK,NJ,630 US-1,08902
EASTSIDE ELEMENTARY,ROCK SPRINGS,WY,305 G ST,82901
DEXTER MIDDLE,DEXTER,NM,CLARK ST,88230
EASTWARD ELEMENTARY SCHOOL,NELIGH,NE,600 J ST,68756
DIAMOND BEAUTY COLLEGE,SOUTH EL MONTE,CA,2180,91733
EDDYVILLE ELEMENTARY,EDDYVILLE,IA,N 7TH ST,52553
EDWARD A SISSON,LYNN,MA,LYNN,1904
EDWARDS (GLEN) LOWER ELEMENTAR,LINCOLN,CA,204 L ST,95648
EDISON ELEMENTARY,CENTRALIA,WA,607 H ST,98531
EDISON ELEMENTARY,REDWOOD CITY,CA,191 G ST,94062
EISENHOWER ELEM,FORT LEAVENWORTH,KS,BLDG 327,66027
ELEMENTARY MIDDLE ALTERNATIVE,MAYNARDVILLE,TN,635 MAIN,37807
FIELD ELEM.,CHILLICOTHE,MO,1100 OAK,64601
ELGIN ES,ELGIN,OK,610 J ST,73538
ELGIN HS,ELGIN,OK,520 K ST,73538
ELGIN MS,ELGIN,OK,712 J ST,73538
FILLMORE CENTRAL MIDDLE SCHOOL,FAIRMONT,NE,950 F ST,68354
FILLMORE MIDDLE,FILLMORE,CA,543 A ST,93016
ELKHART HIGH,ELKHART,KS,ELKHART,67950
ELKTON ELEMENTARY,ELKTON,VA,302 B ST,22827
FITIUTA ELEMENTARY SCHOOL,PAGO PAGO,AS,BOX DOE,96799
FLAMING GORGE SCHOOL,DUTCH JOHN,UT,5TH AVE,84023
EMILE EL,BASTROP,TX,601 MLK,78602
FLOUR BLUFF J H,CORPUS CHRISTI,TX,78418,78418
EMMA W. SHUEY ELEMENTARY,ROSEMEAD,CA,ROSEMEAD,91770
FOLSOM REPRESA ADULT,REPRESA,CA,BOX W,95671
ENFIELD VILLAGE SCHOOL,ENFIELD,NH,271 US-4,3748
EPHRATA MIDDLE SCHOOL,EPHRATA,WA,384 A SE,98823
FORREST ROAD ELEMENTARY SCHOOL,COLUMBUS,GA,6400,31907
FORSYTH 7-8,FORSYTH,MT,917 PARK,59327
FORSYTH HIGH SCHOOL,FORSYTH,MT,917 PARK,59327
FORT LEWIS ELEMENTARY,SALEM,VA,SALEM,24153
FORTIS COLLEGE-INDIANAPOLIS,INDIANAPOLIS,IN,9001 N,46268
FORTUNA MIDDLE,FORTUNA,CA,843 L ST,95540
ETOWAH HIGH SCHOOL,WOODSTOCK,GA,1501,30189
FOSTER MIDDLE,LONGVIEW,TX,1504 MLK,75602
EUCLID ELEMENTARY,ONTARIO,CA,ONTARIO,91762
FOUNDATION HIGH,COVINA,CA,PO BOX 9,91723
EVANS ELEMENTARY SCHOOL,TEMPE,AZ,TEMPE,85282
FRAMINGHAM HIGH SCHOOL,FRAMINGHAM,MA,115 A ST,01701
EXCEL HIGH SCHOOL,SOUTH BOSTON,MA,95 G ST,02127
EXETER UNION COMMUNITY DAY,EXETER,CA,EXETER,93221
"FAGA'ITUA HIGH SCHOOL",PAGO PAGO,AS,BOX DOE,96799
FAIRBANKS ELEMENTARY SCHOOL,MILFORD CENTER,OH,9764,43045
FAIRFAX ELEMENTARY SCHOOL,VALLEY,AL,502 BLVD,36854
FREDERICK DOUGLASS ACADEMY,BROCKTON,MA,BROCKTON,2301
FAIRVIEW ELEMENTARY,GALAX,VA,GALAX,24333
FREDRICK AND CHARLES BEAUTY COLLEGE,EUREKA,CA,831 F ST,95501
FREEMAN ELEMENTARY SCHOOL,ROCKFORD,WA,WA-27,99030
FALEASAO ELEMENTARY SCHOOL,PAGO PAGO,AS,BOX DOE,96799
FRIENDS SCHOOL OF PORTLAND,CUMBERLAND FORESIDE,ME,11 US-1,4110
FANSHAWE PUBLIC SCHOOL,FANSHAWE,OK,HWY 270,74935
FRIONA H S,FRIONA,TX,7TH AND,79035
FARSON-EDEN ELEMENTARY,FARSON,WY,WY-28,82932
FARSON-EDEN HIGH SCHOOL,FARSON,WY,WY-28,82932
FARSON-EDEN MIDDLE SCHOOL,FARSON,WY,WY-28,82932
FEATHER RIVER MIDDLE,PORTOLA,CA,PORTOLA,96122
FULTON RECEPTION AND DIAG CTR,FULTON,MO,ROUTE O,65251
FELTON ELEMENTARY,LENNOX,CA,LENNOX,90304
GANADO HIGH SCHOOL,GANADO,AZ,HWY 264,86505
GANADO PRIMARY SCHOOL,GANADO,AZ,HWY 264,86505
GARDNER SCHOOL,CONEWANGO VALLEY,NY,N E RD,14726
GARDNER-WEBB UNIVERSITY,BOILING SPRINGS,NC,MAIN ST,28017
GARNET MESA ELEMENTARY SCHOOL,DELTA,CO,600 A ST,81416
GEORGE WASHINGTON ELEMENTARY,MADERA,CA,509 S ST,93638
GEPHART MIDDLE SCHOOL,BORON,CA,STAR RT.,93516
GERING JUNIOR HIGH SCHOOL,GERING,NE,800 Q ST,69341
GESHER YEHUDA,BROOKLYN,NY,49 AVE T,11223
GIDEON ELEM.,GIDEON,MO,400 MAIN,63848
GIDEON HIGH,GIDEON,MO,400 MAIN,63848
GLEN EDWARDS MIDDLE,LINCOLN,CA,204 L ST,95648
HAMBURG MIDDLE SCHOOL,HAMBURG,IA,309 S ST,51640
HAMILTON COUNTY JR/SR HIGH SCHOOL,MC LEANSBORO,IL,1 FOX LN,62859
GOESSEL HIGH,GOESSEL,KS,100 MAIN,67053
HAMILTON TWP EL SCH,SCIOTA,PA,HCR BOX,18354
HAMPSTEAD ACADEMY,HAMPSTEAD,NH,320 E RD,03841
GORDON SCHOOL,GORDON,TX,112 RUSK,76453
HANSCOM MIDDLE,BEDFORD,MA,6 ENT RD,01731
HANSCOM PRIMARY,HANSCOM AIR FORCE BS,MA,6 ENT RD,01731
GOSPORT ELEMENTARY SCHOOL,GOSPORT,IN,9TH ST,47433
HARDESTY ES,HARDESTY,OK,5TH AND,73944
HARDESTY HS,HARDESTY,OK,5TH AND,73944
HARDIN CO ALTERNATIVE AEP,KOUNTZE,TX,FM 1293,77625
HARDING ELEMENTARY,SAN BERNARDINO,CA,550 F ST,92410
GRASS LAKE ELEMENTARY DEFUNCT,MACDOEL,CA,BOX 91,96058
HARRIS CO J J A E P,DEER PARK,TX,203 IVY,77536
GRAY EL,HOUSTON,TX,700 W RD,77038
GREAT BEGINNINGS,PLAINVILLE,CT,195 E ST,06062
HARTLAND SCHOOL,EAST HARTLAND,CT,30 S RD,06027
GREEN MEADOW SCHOOL,CURTISS,WI,WREN DR,54422
HAT CREEK ELEMENTARY DEFUNCT,FALL RIVER MILLS,CA,CASSEL,96028
HAWTHORNE JUNIOR HIGH SCHOOL,HAWTHORNE,NV,601 A ST,89415
GREENWICH CATHOLIC SCHOOL,GREENWICH,CT,471 N ST,06830
GREYCLIFF SCHOOL,GREYCLIFF,MT,301 A ST,59033
HEBER JUNIOR HIGH,HEBER,CA,PO BOX B,92249
GRULLA MIDDLE,GRULLA,TX,FM 2360,78548
HELIX SCHOOL,HELIX,OR,120 MAIN,97835
HENDERSON COMMUNITY COLLEGE - HERRON CENTER,MORGANFIELD,KY,HWY 60,42437
HERINGTON HIGH,HERINGTON,KS,1401 N D,67449
HERITAGE CHRISTIAN SCHOOL,RINDGE,NH,13 N ST,03461
HILLTOP ELEMENTARY,HENDERSON,MN,700 S ST,56044
HILLTOP ELEMENTARY SCHOOL,WHEELING,WV,2 RAM DR,26003
HESTER (J. E.) ELEMENTARY,FARMERSVILLE,CA,477 ASH,93223
HITCHCOCK CO JR/SR HIGH SCHOOL,TRENTON,NE,318 W D,69044
HIDDEN VALLEY SCHOOL,CLYMER,NY,BUSH RD,14724
HOLY ANGELS ELEMENTARY SCHOOL,DAYTON,OH,223 L ST,45409
HOLY CROSS LUTHERAN CHURCH & SCHOOL,COLLINSVILLE,IL,304 S ST,62234
HOLY FAMILY SCHOOL,HOLLY SPRINGS,MS,395 W ST,38635
HOLY SPIRIT CATHOLIC SCHOOL,ROCK SPRINGS,WY,210 A ST,82901
HOMER ELEMENTARY SCHOOL,HOMER,NY,PARK PL,13077
HOMESMARTKIDS OF KNIGHTSEN,ANTIOCH,CA,203 G ST,94509
