Facility,Chargecode,Description,Rev,CPT,1/1/22 Fee
BAYCARE,10000136,INJECT LYMPHANGIOGRAPHY,360,38790,330.00
BAYCARE,10000137,INJECT RADIOACTIVE TRACER SENTINEL NODE,360,38792,440.00
BAYCARE,10000139,BX SALIVARY GLAND NEEDLE,360,42400,"1,250.00"
BAYCARE,10000142,FB REMOVAL PHARYNGEAL,450,42809,245.00
BAYCARE,10000143,PEG TUBE PLACEMENT,360,43246,"3,140.00"
BAYCARE,10000145,INTRO FEEDING TUBE,360,44500,790.00
BAYCARE,10000149,ANOSCOPY,510,46600,275.00
BAYCARE,10000150,LIVER BIOPSY,360,47000,"1,810.00"
BAYCARE,10000151,PERCUTANEOUS CHOLECYSTOSTOMY,360,47490,"2,600.00"
BAYCARE,10000158,BILIARY ENDOSCOPY WO STENT,360,47555,"3,970.00"
BAYCARE,10000159,BILIARY ENDOSCOPY W STENT,360,47556,"4,560.00"
BAYCARE,10000165,IMPLANT TISSUE MARKER PANCREAS,360,49411,"5,860.00"
BAYCARE,10000172,INSERT INTRAPERITONEAL CATH TUNNEL,360,49418,"6,030.00"
BAYCARE,10000173,INSERT DIALYSIS CATH PERMANENT,360,49421,"5,410.00"
BAYCARE,10000174,REMOVE PERITONEAL CATH W PORT,360,49422,"4,120.00"
BAYCARE,10000175,INJECT PERITONEAL/VENOUS SHUNT,360,49427,840.00
BAYCARE,10000177,INSERT GASTROSTOMY TUBE W S&I,360,49440,"1,710.00"
BAYCARE,10000178,INSERT DUODENUM/J-TUBE W/S&I,360,49441,"1,940.00"
BAYCARE,10000180,CONVERT TO G-J TUBE W/S&I,360,49446,"1,570.00"
BAYCARE,10000181,CHANGE TUBE GASTRO/CECUM W/S&I,360,49450,"1,150.00"
BAYCARE,10000182,CHANGE TUBE SM BOWEL W/S&I,360,49451,"1,150.00"
BAYCARE,10000183,CHANGE G-J TUBE W/S&I,360,49452,800.00
BAYCARE,10000184,CLEAR OBSTRUCTED GI TUBE W/S&I,360,49460,"1,150.00"
BAYCARE,10000185,INJECTIONS GI TUBE EVAL W/S&I,320,49465,"1,070.00"
BAYCARE,10000186,ABLATION ABDOMEN/PERITONEUM,360,49999,"15,570.00"
BAYCARE,10000189,CHANGE URETERAL STENT-PERC S&I,360,50382,"3,920.00"
BAYCARE,10000190,REMOVE URETERAL STENT-PERC S&I,360,50384,"3,920.00"
BAYCARE,10000191,CHANGE URETERAL STENT S&I,360,50385,"3,860.00"
BAYCARE,10000192,REMOVE URETERAL STENT S&I,360,50386,"1,150.00"
BAYCARE,10000193,CHANGE TRANSNEPHRIC STENT S&I,360,50387,"2,780.00"
BAYCARE,10000194,REMOVE NEPHROSTOMY TUBE/FLUORO,360,50389,"1,050.00"
BAYCARE,10000195,ASPIRATE RENAL CYST/PELVIS,360,50390,"1,880.00"
BAYCARE,10000197,ABLATION RENAL LESION(S),360,50592,"6,200.00"
BAYCARE,10000198,CRYOABLATION RENAL TUMOR(S),360,50593,"20,310.00"
BAYCARE,10000199,CHANGE URETEROSTOMY TUBE,360,50688,"1,600.00"
BAYCARE,10000201,BLADDER ASPIRATION,360,51100,240.00
BAYCARE,10000202,INSERT SUPRAPUBIC CATH,360,,"3,260.00"
BAYCARE,10000203,INJECT CYSTOGRAM,320,51600,655.00
BAYCARE,10000204,INJECT URETHROGRAM RETROGRADE,360,51610,775.00
BAYCARE,10000205,BLADDER IRRIGATE OR INSTALLATION,360,51700,470.00
BAYCARE,10000206,STRAIGHT CATH,510,51701,205.00
BAYCARE,10000207,FOLEY CATH INSERTION,510,51702,340.00
BAYCARE,10000208,BLADDER CATH COMPLEX,360,51703,565.00
BAYCARE,10000209,CYSTOSTOMY TUBE CHANGE,360,51705,365.00
BAYCARE,10000210,BLADDER SCAN-RESIDUAL URINE,402,51798,200.00
BAYCARE,10000211,URINARY PROCEDURE MISC,360,53899,275.00
BAYCARE,10000212,CIRCUMCISION,360,54150,210.00
BAYCARE,10000213,I&D SCROTAL SPACE,360,54700,"3,510.00"
BAYCARE,10000214,"PROSTATE, NEEDLE BIOPSIES",360,55700,"2,090.00"
BAYCARE,10000216,HYSTEROSALPINGOGRAM INJECT,360,58340,"1,150.00"
BAYCARE,10000220,TUBAL LIGATION POST PARTUM,720,58605,"1,600.00"
BAYCARE,10000221,TUBAL LIGATION WITH C-SECTION,720,58611,595.00
BAYCARE,10000223,"AMNIOCENTESIS, DIAGNOSTIC",402,59000,445.00
BAYCARE,10000224,"AMNIOCENTESIS, FLUID REDUCTION",360,59001,625.00
BAYCARE,10000226,FETAL CONTRACTION STRESS TEST,920,59020,820.00
BAYCARE,10000227,FETAL NON STRESS TEST,720,59025,475.00
BAYCARE,10000230,D&C,720,,"2,380.00"
BAYCARE,10000231,CERVICAL DILATOR INSERTION,720,59200,660.00
BAYCARE,10000232,CERCLAGE OF CERVIX,720,59320,"3,750.00"
BAYCARE,10000234,"VERSION, W/WO TOCOLYSIS",720,59412,"1,330.00"
BAYCARE,10000235,DELIVERY PLACENTA,720,59414,"1,100.00"
BAYCARE,10000236,AMNIOINFUSION,720,59899,440.00
BAYCARE,10000237,INTRAUTERINE PRESSURE MONITORING,720,59899,395.00
BAYCARE,10000238,BX THYROID NEEDLE,360,60100,"1,300.00"
BAYCARE,10000239,BX ADRENAL GLAND NEEDLE,360,60699,"6,360.00"
BAYCARE,10000243,ENDOVASC OCCLUSION HEAD/NECK W/S&I,360,61623,"3,260.00"
BAYCARE,10000244,PTA INTRACRANIAL,360,61630,"4,720.00"
BAYCARE,10000245,PTA INTRACRANIAL W STENT,360,61635,"4,190.00"
BAYCARE,10000246,DILATE INTRACRANIAL VASOSPASM 1ST,360,61640,"3,280.00"
BAYCARE,10000250,ASSISTED NAVIGATION EXTRADURAL,360,61782,"1,800.00"
BAYCARE,10000251,LUMBAR PUNCTURE DIAGNOSTIC,360,62270,"1,000.00"
BAYCARE,10000252,EPIDURAL BLOOD OR CLOT PATCH,360,62273,"1,720.00"
BAYCARE,10000253,INJECT FOR MYELOGRAM or CT LUMBAR,360,62284,"1,000.00"
BAYCARE,10000254,DISKECTOMY/PERCUTANEOUS LUMBAR,360,62287,"6,050.00"
BAYCARE,10000258,EPIDURAL INJ 1ST LEVEL W/ IMAGING,360,,"2,220.00"
BAYCARE,10000259,INJECT NERVE OCCIPITAL,360,64405,890.00
BAYCARE,10000261,NERVE BLOCK CELIAC PLEXUS,360,64530,"2,230.00"
BAYCARE,10000266,FB CORNEA NO SLIT,516,65220,395.00
BAYCARE,10000267,FB CORNEA W/SLIT,516,65222,395.00
BAYCARE,10000268,INJECT DACROCYSTOGRAM,360,68850,350.00
BAYCARE,10000269,FB REMOVAL EAR,516,69200,140.00
BAYCARE,10000270,REMOVE EAR WAX W/INSTRUMENT UNILAT,510,69210,100.00
BAYCARE,10000272,CISTERNOGRAM S&I,320,70015,"1,590.00"
BAYCARE,10000273,XR EYE FOREIGN BODY,320,70030,240.00
BAYCARE,10000274,XR MANDIBLE PARTIAL,320,70100,510.00
BAYCARE,10000275,XR MANDIBLE COMPLETE,320,70110,680.00
BAYCARE,10000276,XR FACIAL BONES < 3 VIEW,320,70140,470.00
BAYCARE,10000277,XR FACIAL BONES COMPLETE,320,70150,700.00
BAYCARE,10000278,XR NASAL BONES,320,70160,575.00
BAYCARE,10000279,XR EYE DACROCYSTOGRAM S&I,320,70170,770.00
BAYCARE,10000280,XR ORBITS MINIMUM 4 VIEWS,320,70200,565.00
BAYCARE,10000281,XR SINUSES < 3 VIEW,320,70210,490.00
BAYCARE,10000282,XR SINUSES COMPLETE,320,70220,740.00
BAYCARE,10000283,XR SKULL < 4 VIEW,320,70250,485.00
BAYCARE,10000284,XR SKULL COMPLETE,320,70260,725.00
BAYCARE,10000286,XR DENTAL COMPLETE,320,70320,385.00
BAYCARE,10000289,XR ORTHOPANTOGRAM,320,70355,485.00
BAYCARE,10000290,XR NECK SOFT TISSUES,320,70360,485.00
BAYCARE,10000293,CT HEAD W/O DYE,350,70450,"2,400.00"
BAYCARE,10000294,CT HEAD W/DYE,350,70460,"2,600.00"
BAYCARE,10000295,CT HEAD W/WO DYE,350,70470,"3,800.00"
BAYCARE,10000296,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/O DYE,350,70480,"2,400.00"
BAYCARE,10000297,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/DYE,350,70481,"2,600.00"
BAYCARE,10000298,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/WO  DYE,350,70482,"3,800.00"
BAYCARE,10000299,CT MAXILLIOFACIAL W/O DYE,350,70486,"2,400.00"
BAYCARE,10000303,CT MAXILLIOFACIAL W/DYE,350,70487,"2,600.00"
BAYCARE,10000304,CT MAXILLIOFACL W/WO DYE,350,70488,"3,800.00"
BAYCARE,10000305,CT NECK W/O DYE,350,70490,"2,400.00"
BAYCARE,10000306,CT NECK W/DYE,350,70491,"2,600.00"
BAYCARE,10000307,CT NECK W/WO DYE,350,70492,"3,800.00"
BAYCARE,10000308,CT ANGIO HEAD,350,70496,"3,420.00"
BAYCARE,10000309,CT ANGIO NECK,350,70498,"3,420.00"
BAYCARE,10000310,MR ORBIT/FACE/NECK W/O DYE,610,70540,"3,700.00"
BAYCARE,10000311,MR ORBIT/FACE/NECK W/DYE,610,70542,"3,900.00"
BAYCARE,10000312,MR ORBIT/FACE/NECK W/WO DYE,610,70543,"5,750.00"
BAYCARE,10000313,MRA HEAD W/O DYE,610,70544,"3,700.00"
BAYCARE,10000314,MRA HEAD W/DYE,610,70545,"3,900.00"
BAYCARE,10000315,MRA HEAD W/WO DYE,610,70546,"5,750.00"
BAYCARE,10000316,MRA NECK W/O DYE,610,70547,"3,700.00"
BAYCARE,10000317,MRA NECK W/DYE,610,70548,"3,900.00"
BAYCARE,10000318,MRA NECK W/WO DYE,610,70549,"5,750.00"
BAYCARE,10000319,MR BRAIN W/O DYE,610,70551,"3,700.00"
BAYCARE,10000320,MR BRAIN W/DYE,610,70552,"3,900.00"
BAYCARE,10000321,MR BRAIN W/WO DYE,610,70553,"5,750.00"
BAYCARE,10000324,XR CHEST 1 VIEW,320,71045,420.00
BAYCARE,10000325,XR CHEST 2 VIEWS,320,71046,505.00
BAYCARE,10000326,XR CHEST 3 VIEWS,320,71047,630.00
BAYCARE,10000328,XR CHEST 4 + VIEWS,320,71048,715.00
BAYCARE,10000331,XR RIBS BILATERAL 3 VIEW,320,71110,550.00
BAYCARE,10000332,XR RIBS W/CHEST BILATERAL 4 VIEW,320,71111,640.00
BAYCARE,10000333,XR STERNUM 2 VIEW,320,71120,505.00
BAYCARE,10000334,XR STERNOCLAVICULAR JOINT 3 VIEW,320,71130,460.00
BAYCARE,10000335,CT CHEST W/O DYE,350,71250,"2,400.00"
BAYCARE,10000336,CT CHEST W/DYE,350,71260,"2,600.00"
BAYCARE,10000337,CT CHEST W/WO DYE,350,71270,"3,800.00"
BAYCARE,10000338,CT ANGIO CHEST,350,71275,"3,420.00"
BAYCARE,10000339,MR CHEST W/O DYE,610,71550,"3,700.00"
BAYCARE,10000341,MR CHEST W/WO DYE,610,71552,"5,750.00"
BAYCARE,10000343,XR SPINE ANY LEVEL 1 VIEW,320,72020,450.00
BAYCARE,10000344,XR CERVICAL SPINE 2-3 VIEWS,320,72040,545.00
BAYCARE,10000345,XR CERVICAL SPINE 4-5 VIEWS,320,72050,790.00
BAYCARE,10000346,XR CERVICAL SPINE 6 VIEWS >,320,72052,905.00
BAYCARE,10000348,XR THORACIC SPINE 2 VIEW,320,72070,545.00
BAYCARE,10000349,XR THORACIC SPINE 3 VIEW,320,72072,625.00
BAYCARE,10000350,XR THORACIC SPINE 4 VIEW,320,72074,720.00
BAYCARE,10000351,XR THORACOLUMBAR SPINE 2 VIEW,320,72080,590.00
BAYCARE,10000353,XR LUMBAR SPINE 2 OR 3 VIEW,320,72100,580.00
BAYCARE,10000354,XR LUMBAR SPINE 4 VIEW MIN,320,72110,815.00
BAYCARE,10000355,XR L SPINE BENDING 6 VIEW OR >,320,72114,955.00
BAYCARE,10000356,XR L SPINE BENDING VIEW 2 TO 3,320,72120,685.00
BAYCARE,10000357,CT C SPINE W/O DYE,350,72125,"2,400.00"
BAYCARE,10000358,CT C SPINE W/DYE,350,72126,"2,600.00"
BAYCARE,10000359,CT C SPINE W/WO DYE,350,72127,"3,800.00"
BAYCARE,10000360,CT T SPINE W/O DYE,350,72128,"2,400.00"
BAYCARE,10000361,CT T SPINE W/DYE,350,72129,"2,600.00"
BAYCARE,10000362,CT T SPINE W/WO DYE,350,72130,"3,800.00"
BAYCARE,10000363,CT L SPINE W/O DYE,350,72131,"2,400.00"
BAYCARE,10000364,CT L SPINE W/DYE,350,72132,"2,600.00"
BAYCARE,10000365,CT L SPINE W/WO DYE,350,72133,"3,800.00"
BAYCARE,10000366,MR C SPINE W/O DYE,610,72141,"3,700.00"
BAYCARE,10000367,MR C SPINE W/DYE,610,72142,"3,900.00"
BAYCARE,10000368,MR T SPINE WO DYE,610,72146,"3,700.00"
BAYCARE,10000369,MR T SPINE W/DYE,610,72147,"3,900.00"
BAYCARE,10000370,MR L SPINE WO DYE,610,72148,"3,700.00"
BAYCARE,10000371,MR L SPINE W DYE,610,72149,"3,900.00"
BAYCARE,10000372,MR C SPINE W/WO DYE,610,72156,"5,750.00"
BAYCARE,10000373,MR T SPINE W/WO DYE,610,72157,"5,750.00"
BAYCARE,10000374,MR L SPINE W/WO DYE,610,72158,"5,750.00"
BAYCARE,10000376,XR PELVIS 1 OR 2 VIEW,320,72170,465.00
BAYCARE,10000377,XR PELVIS COMPLETE 3 VIEW MIN,320,72190,625.00
BAYCARE,10000378,CT ANGIO PELVIS,350,72191,"3,420.00"
BAYCARE,10000379,CT PELVIS W/O DYE,350,72192,"2,400.00"
BAYCARE,10000380,CT PELVIS W/DYE,350,72193,"2,600.00"
BAYCARE,10000381,CT PELVIS W/WO DYE,350,72194,"3,800.00"
BAYCARE,10000382,MR PELVIS W/O DYE,610,72195,"3,700.00"
BAYCARE,10000383,MR PELVIS W/DYE,610,72196,"3,900.00"
BAYCARE,10000384,MR PELVIS W/WO DYE,610,72197,"5,750.00"
BAYCARE,10000385,XR SACROILIAC JOINTS < 3 VIEWS,320,72200,440.00
BAYCARE,10000386,XR SACROILIAC JOINTS 3 VIEW MIN,320,72202,555.00
BAYCARE,10000387,XR SACRUM & COCCYX 2 VIEW MIN,320,72220,575.00
BAYCARE,10000388,MYELOGRAM CERVICAL S&I,320,72240,"2,180.00"
BAYCARE,10000389,MYELOGRAM THORACIC S&I,320,72255,"2,180.00"
BAYCARE,10000390,MYELOGRAM LUMBAR S&I,320,72265,"2,180.00"
BAYCARE,10000393,DISCOGRAM C/T EACH LEVEL S&I,320,72285,"3,360.00"
BAYCARE,10000395,DISKOGRAM L/S EA LEVEL S&I,320,72295,"3,360.00"
BAYCARE,10000397,XR SCAPULA COMPLETE,320,73010,495.00
BAYCARE,10000400,XR SHOULDER ARTHROGRAM S&I,320,73040,"1,680.00"
BAYCARE,10000401,XR AC JOINTS BILATERAL,320,73050,515.00
BAYCARE,10000410,XR WRIST ARTHROGRAM S&I,320,73115,"1,130.00"
BAYCARE,10000413,XR FINGER(S) 2 VIEW MINIMUM,320,73140,525.00
BAYCARE,10000425,XR HIP ARTHROGRAM S&I,320,73525,"1,680.00"
BAYCARE,10000432,XR KNEES STANDING AP BILATERAL,320,73565,440.00
BAYCARE,10000433,XR KNEE ARTHROGRAM S&I,320,73580,"1,680.00"
BAYCARE,10000436,XR ANKLE 2 VIEW,320,73600,440.00
BAYCARE,10000437,XR ANKLE COMPLETE,320,73610,530.00
BAYCARE,10000442,XR TOE(S) 2 VIEW MIN,320,73660,440.00
BAYCARE,10000453,XR ABDOMEN 1 VIEW,320,74018,485.00
BAYCARE,10000454,XR ABDOMEN 2 VIEWS,320,74019,605.00
BAYCARE,10000455,XR ABDOMEN 3 OR MORE VIEWS,320,74021,730.00
BAYCARE,10000456,"XR ABDOMEN, ACUTE SERIES",320,74022,850.00
BAYCARE,10000457,CT ABDOMEN W/O DYE,350,74150,"2,400.00"
BAYCARE,10000458,CT ABDOMEN W/DYE,350,74160,"2,600.00"
BAYCARE,10000459,CT ABDOMEN W/WO DYE,350,74170,"3,800.00"
BAYCARE,10000460,CT ANGIO ABDOMEN,350,74175,"3,420.00"
BAYCARE,10000461,MR ABDOMEN W/O DYE,610,74181,"3,700.00"
BAYCARE,10000462,MR ABDOMEN W/DYE,610,74182,"3,900.00"
BAYCARE,10000463,MR ABDOMEN W/WO DYE,610,74183,"5,750.00"
BAYCARE,10000464,XR ESOPHAGRAM,320,74220,875.00
BAYCARE,10000465,XR SWALLOWING FUNCTION W/VIDEO,320,74230,610.00
BAYCARE,10000466,XR UPPER GI W/O KUB,320,74240,"1,130.00"
BAYCARE,10000469,XR UPPER GI W/CONTRAST W/O KUB,320,74246,"1,230.00"
BAYCARE,10000472,XR SMALL BOWEL SERIES,320,74250,915.00
BAYCARE,10000473,CT COLON DX W/O DYE,350,74261,"2,400.00"
BAYCARE,10000474,CT COLON DX W/DYE,350,74262,"2,600.00"
BAYCARE,10000475,CT COLON SCREENING,350,74263,950.00
BAYCARE,10000476,XR COLON BARIUM ENEMA,320,74270,820.00
BAYCARE,10000477,XR COLON DOUBLE CONTRAST,320,74280,"1,070.00"
BAYCARE,10000478,ENEMA THERAPEUTIC AIR/CONTRAST,320,74283,555.00
BAYCARE,10000479,XR CHOLANGIOGRAM INTRAOP S&I,320,74300,"1,100.00"
BAYCARE,10000484,ERCP BILE DUCT S&I,320,74328,845.00
BAYCARE,10000485,ERCP PANCREATIC DUCT S&I,320,74329,845.00
BAYCARE,10000486,ERCP BILE & PANCREAS DUCT S&I,320,74330,"1,060.00"
BAYCARE,10000487,INSERT LONG FEEDING TUBE S&I,320,74340,550.00
BAYCARE,10000488,DILATION BILIARY DUCT W/WO STENT S&I,320,74363,"1,930.00"
BAYCARE,10000489,XR IVP WITH OR W/O TOMOGRAM,320,74400,"1,160.00"
BAYCARE,10000492,XR UROGRAPHY RETROGRADE,320,74420,"1,610.00"
BAYCARE,10000493,XR UROGRAPHY ANTEGRADE S&I,320,74425,975.00
BAYCARE,10000494,XR CYSTOGRAM 3 VIEW MIN S&I,320,74430,885.00
BAYCARE,10000495,XR URETHROGRAM RETROGRADE S&I,320,74450,895.00
BAYCARE,10000496,XR CYSTOGRAM VOIDING S&I,320,74455,"1,200.00"
BAYCARE,10000498,DILATION NEPHROSTOMY/URETERS S&I,320,74485,"2,390.00"
BAYCARE,10000500,XR HYSTEROSALPINGOGRAM S&I,320,74740,"1,020.00"
BAYCARE,10000502,MR CARDIAC W/O DYE,610,75557,"3,700.00"
BAYCARE,10000503,MR CARDIAC W/WO DYE,610,75561,"5,750.00"
BAYCARE,10000505,CT HEART W/O DYE CA+EVAL,350,75571,49.00
BAYCARE,10000506,CT HEART W/DYE STRUCTURE,350,75572,"2,950.00"
BAYCARE,10000508,CT HEART VESSEL W/CONTRAST,350,75574,"2,950.00"
BAYCARE,10000509,ANGIO THORACIC S&I,320,75605,"3,890.00"
BAYCARE,10000510,ANGIO ABDOMEN S&I,320,75625,"3,780.00"
BAYCARE,10000511,ANGIO ABD/BILAT ILIOFEM S&I,320,75630,"3,940.00"
BAYCARE,10000512,HB CHB TA ABD AORTA/ILIOFEMORAL,350,75635,"3,420.00"
BAYCARE,10000522,ANGIO SPINAL SELECTIVE S&I,320,75705,"3,620.00"
BAYCARE,10000523,ANGIO EXTREMITY UNILATERAL S&I,320,75710,"3,310.00"
BAYCARE,10000524,ANGIO EXTREMITY BILATERAL S&I,320,75716,"4,130.00"
BAYCARE,10000527,ANGIO VISCERAL SELECTIVE S&I,320,75726,"3,310.00"
BAYCARE,10000528,ANGIO ADRENAL SELECTIVE S&I,320,75731,"3,120.00"
BAYCARE,10000529,ANGIO PELVIC SELECTIVE S&I,320,75736,"3,010.00"
BAYCARE,10000530,ANGIO PULMONARY SELECTIVE UNILAT S&I,320,75741,"2,840.00"
BAYCARE,10000531,ANGIO PULMONARY SELECTIVE BILAT S&I,320,75743,"4,260.00"
BAYCARE,10000532,ANGIO PULMONARY NON-SELECT S&I,320,75746,"2,120.00"
BAYCARE,10000533,ANGIO SELECT EA ADD VESSEL S&I,320,75774,"1,820.00"
BAYCARE,10000535,SHUNTOGRAM NONVASCULAR S&I,320,75809,525.00
BAYCARE,10000536,VENOGRAM EXTREMITY UNILAT S&I,320,75820,"1,820.00"
BAYCARE,10000537,VENOGRAM EXTREMITY BILAT S&I,320,75822,"2,730.00"
BAYCARE,10000538,VENOGRAM IVC S&I,320,75825,"3,640.00"
BAYCARE,10000539,VENOGRAM SVC S&I,320,75827,"3,640.00"
BAYCARE,10000540,VENOGRAM RENAL SELECTIVE BILAT S&I,320,75833,"5,460.00"
BAYCARE,10000542,VENOGRAM SINUS/JUGULAR S&I,320,75860,"2,290.00"
BAYCARE,10000543,VENOGRAM LIVER W/EVAL S&I,320,75885,"4,100.00"
BAYCARE,10000544,VENOGRAM LIVER W/O EVAL S&I,320,75887,"2,730.00"
BAYCARE,10000545,VENOGRAM HEPATIC W HEMO S&I,320,75889,"4,360.00"
BAYCARE,10000546,VENOGRAM HEPATIC WO HEMO S&I,320,75891,"3,640.00"
BAYCARE,10000547,VENOUS BLOOD SAMPLING S&I,320,75893,"5,350.00"
BAYCARE,10000548,TRANSCATHETER EMBOLIZATION S&I,320,75894,"6,200.00"
BAYCARE,10000550,TRANSCATHETER ANGIOGRAPHY F/U,320,75898,700.00
BAYCARE,10000552,REMOVE CVL DEVICE OBSTRUCTION S&I,320,75901,"1,050.00"
BAYCARE,10000570,TRANSCATHETER BIOPSY S&I,320,75970,"3,100.00"
BAYCARE,10000574,DRAIN CATH CHANGE W/CONTRAST S&I,320,75984,"1,250.00"
BAYCARE,10000575,GUIDED DRAINAGE S&I,320,75989,"2,170.00"
BAYCARE,10000581,FLUOROSCOPY UP TO 1 HR,320,76000,505.00
BAYCARE,10000583,XR FOREIGN BODY CHILD SINGLE VIEW,320,76010,250.00
BAYCARE,10000584,SINOGRAM S&I,320,76080,725.00
BAYCARE,10000585,RAD EXAM SURGICAL SPEC,320,76098,245.00
BAYCARE,10000589,3D RENDERING WO POSTPROCESSING,402,76376,470.00
BAYCARE,10000590,3D RENDERING W/ POSTPROCESSING,402,76377,565.00
BAYCARE,10000591,CT LIMITED OR LOCALIZED EXAM,350,76380,"1,660.00"
BAYCARE,10000592,MR SPECTROSCOPY,610,76390,"2,370.00"
BAYCARE,10000593,CT PROCEDURE MISCELLANEOUS,350,76497,"2,700.00"
BAYCARE,10000594,MR PROCEDURE MISCELLANEOUS,610,76498,"2,460.00"
BAYCARE,10000595,XR PROCEDURE MISCELLANEOUS,320,76499,"1,030.00"
BAYCARE,10000602,"US, SOFT TISSUE HEAD/NECK",402,76536,730.00
BAYCARE,10000603,US CHEST,402,76604,440.00
BAYCARE,10000605,US ABDOMEN COMPLETE,402,76700,"1,210.00"
BAYCARE,10000606,US ABDOMEN LTD,402,76705,905.00
