Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,BCBS_KS_2022,HEALTH_PARTNERS,HUMANA_MEDICARE,UHC_MILITARY___VA,UHC_VA_CCN,WPPA
1628889_1,HDL,Outpatient,0300,83718,"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol)",,0,36.00,36.00,22.62,36.00,22.62,31.68,36.00,0.00,N/A,34.92
1628891_1,Digoxin Level,Inpatient,0300,80162,Digoxin; total,,0,86.00,86.00,70.01,86.00,N/A,75.68,N/A,N/A,N/A,83.42
1628891_1,Digoxin Level,Outpatient,0300,80162,Digoxin; total,,0,86.00,86.00,70.01,86.00,70.01,75.68,86.00,0.00,N/A,83.42
1634885_1,Sedimentation Rate,Inpatient,0300,85652,"Sedimentation rate, erythrocyte; automated",,0,20.00,20.00,16.50,20.00,N/A,17.60,N/A,N/A,N/A,19.40
1634885_1,Sedimentation Rate,Outpatient,0300,85652,"Sedimentation rate, erythrocyte; automated",,0,20.00,20.00,16.50,20.00,16.50,17.60,20.00,0.00,N/A,19.40
1634892_1,Troponin-I,Inpatient,0300,84484,"Troponin, quantitative",,0,108.00,108.00,88.28,108.00,N/A,95.04,N/A,N/A,N/A,104.76
1634892_1,Troponin-I,Outpatient,0300,84484,"Troponin, quantitative",,0,108.00,108.00,88.28,108.00,88.28,95.04,108.00,0.00,N/A,104.76
1634894_1,Creatinine 24 Hour Urine,Inpatient,0300,82570,Creatinine; other source,,0,29.00,29.00,25.52,29.00,N/A,25.52,N/A,N/A,N/A,28.13
1634894_1,Creatinine 24 Hour Urine,Outpatient,0300,82570,Creatinine; other source,,0,29.00,29.00,25.52,29.00,27.72,25.52,29.00,0.00,N/A,28.13
1634895_1,Vanco Level,Inpatient,0300,80202,Vancomycin,,0,103.00,103.00,75.89,103.00,N/A,90.64,N/A,N/A,N/A,99.91
1634895_1,Vanco Level,Outpatient,0300,80202,Vancomycin,,0,103.00,103.00,75.89,103.00,75.89,90.64,103.00,0.00,N/A,99.91
1779396_1,COLLECTION: Arterial Draw,Inpatient,0300,36600,"Arterial puncture, withdrawal of blood for diagnosis",,0,82.00,82.00,72.16,87.10,N/A,72.16,N/A,N/A,N/A,79.54
1779396_1,COLLECTION: Arterial Draw,Outpatient,0300,36600,"Arterial puncture, withdrawal of blood for diagnosis",,0,82.00,82.00,72.16,87.10,87.10,72.16,82.00,0.00,N/A,79.54
1779397_1,COLLECTION: Capillary,Inpatient,0300,36416,"Collection of capillary blood specimen (eg, finger, heel, ear stick)",,0,20.00,20.00,5.69,20.00,N/A,17.60,N/A,N/A,N/A,19.40
1779397_1,COLLECTION: Capillary,Outpatient,0300,36416,"Collection of capillary blood specimen (eg, finger, heel, ear stick)",,0,20.00,20.00,5.69,20.00,5.69,17.60,20.00,0.00,N/A,19.40
1779400_1,COLLECTION: Venous Draw,Inpatient,0300,36415,Collection of venous blood by venipuncture,,0,20.00,20.00,15.51,20.00,N/A,17.60,N/A,N/A,N/A,19.40
1779400_1,COLLECTION: Venous Draw,Outpatient,0300,36415,Collection of venous blood by venipuncture,,0,20.00,20.00,15.51,20.00,15.51,17.60,20.00,0.00,N/A,19.40
1844782_1,US Echocardiogram,Inpatient,0483,93307,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, without spectral or color Doppler echocardiography",,0,750.00,750.00,660.00,750.00,N/A,660.00,N/A,N/A,N/A,727.50
1844782_1,US Echocardiogram,Outpatient,0483,93307,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, without spectral or color Doppler echocardiography",,0,750.00,750.00,660.00,750.00,741.00,660.00,750.00,0.00,N/A,727.50
1928297_1,"96360- Hydration, first hour",Emergency,0450,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,243.00,243.00,171.60,243.00,171.60,213.84,243.00,0.00,N/A,235.71
1928297_1,"96360- Hydration, first hour",Inpatient,0450,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,243.00,243.00,171.60,243.00,N/A,213.84,N/A,N/A,N/A,235.71
1928298_1,"96361- Hydration, each additional hour",Emergency,0450,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,157.87,157.87,138.93,171.60,171.60,138.93,157.87,0.00,N/A,153.13
1928298_1,"96361- Hydration, each additional hour",Inpatient,0450,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,157.87,157.87,138.93,171.60,N/A,138.93,N/A,N/A,N/A,153.13
1928299_1,"96365- IV tx, first hour",Emergency,0450,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,243.00,243.00,171.60,243.00,171.60,213.84,243.00,0.00,N/A,235.71
1928299_1,"96365- IV tx, first hour",Inpatient,0450,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,243.00,243.00,171.60,243.00,N/A,213.84,N/A,N/A,N/A,235.71
1928300_1,"96366- IV tx, each additional hour",Emergency,0450,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,162.00,162.00,142.56,171.60,171.60,142.56,162.00,0.00,N/A,157.14
1928300_1,"96366- IV tx, each additional hour",Inpatient,0450,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,162.00,162.00,142.56,171.60,N/A,142.56,N/A,N/A,N/A,157.14
1928301_1,"96367- IV tx, sequential infusion",Emergency,0450,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,162.00,162.00,142.56,171.60,171.60,142.56,162.00,0.00,N/A,157.14
1928301_1,"96367- IV tx, sequential infusion",Inpatient,0450,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,162.00,162.00,142.56,171.60,N/A,142.56,N/A,N/A,N/A,157.14
1928302_1,"96368- IV tx, concurrent infusion",Emergency,0450,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,152.00,152.00,1.30,152.00,1.30,133.76,152.00,0.00,N/A,147.44
1928302_1,"96368- IV tx, concurrent infusion",Inpatient,0450,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,152.00,152.00,1.30,152.00,N/A,133.76,N/A,N/A,N/A,147.44
1928303_1,96372- Subq/IM Injection,Emergency,0450,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,58.00,58.00,51.04,58.00,55.90,51.04,58.00,0.00,N/A,56.26
1928303_1,96372- Subq/IM Injection,Inpatient,0450,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,58.00,58.00,51.04,58.00,N/A,51.04,N/A,N/A,N/A,56.26
1928305_1,"96375- IV Injection, add new drug",Emergency,0450,96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)",,0,76.00,76.00,55.90,76.00,55.90,66.88,76.00,0.00,N/A,73.72
1928305_1,"96375- IV Injection, add new drug",Inpatient,0450,96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)",,0,76.00,76.00,55.90,76.00,N/A,66.88,N/A,N/A,N/A,73.72
1928306_1,"96374- IV Injection, single/initial",Emergency,0450,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,76.00,76.00,55.90,76.00,55.90,66.88,76.00,0.00,N/A,73.72
1928306_1,"96374- IV Injection, single/initial",Inpatient,0450,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,76.00,76.00,55.90,76.00,N/A,66.88,N/A,N/A,N/A,73.72
1928307_1,"96376- IV Injection, add same drug",Emergency,0450,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,76.00,76.00,55.90,76.00,55.90,66.88,76.00,0.00,N/A,73.72
1928307_1,"96376- IV Injection, add same drug",Inpatient,0450,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,76.00,76.00,55.90,76.00,N/A,66.88,N/A,N/A,N/A,73.72
1930782_1,Creatinine Urine,Inpatient,0300,82570,Creatinine; other source,,0,29.00,29.00,25.52,29.00,N/A,25.52,N/A,N/A,N/A,28.13
1930782_1,Creatinine Urine,Outpatient,0300,82570,Creatinine; other source,,0,29.00,29.00,25.52,29.00,27.72,25.52,29.00,0.00,N/A,28.13
2038410_1,White Blood Cell Count,Inpatient,0300,85048,"Blood count; leukocyte (WBC), automated",,0,22.00,22.00,12.39,22.00,N/A,19.36,N/A,N/A,N/A,21.34
2038410_1,White Blood Cell Count,Outpatient,0300,85048,"Blood count; leukocyte (WBC), automated",,0,22.00,22.00,12.39,22.00,12.39,19.36,22.00,0.00,N/A,21.34
2046348_1,Lithium Level,Inpatient,0300,80178,Lithium,,0,42.00,42.00,34.03,42.00,N/A,36.96,N/A,N/A,N/A,40.74
2046348_1,Lithium Level,Outpatient,0300,80178,Lithium,,0,42.00,42.00,34.03,42.00,34.03,36.96,42.00,0.00,N/A,40.74
2120839_1,ROOM/BED: Private,Inpatient,0110,,,,0,800.00,800.00,704.00,6000.00,N/A,704.00,6000.00,0.00,N/A,776.00
2120844_1,"ROOM/BED: SB Intermediate, Level 3 - Semi-Private",Inpatient,0110,,,,0,210.00,210.00,184.80,6000.00,N/A,184.80,6000.00,0.00,N/A,203.70
2120846_1,ROOM/BED: Observation,Observation,0762,G0378,Hospital observation per hr,,0,320.00,320.00,281.60,1040.00,1040.00,281.60,320.00,0.00,N/A,310.40
2120848_1,"ROOM/BED: SB Intermediate, Level 2 - Semi-Private",Inpatient,0110,,,,0,190.00,190.00,167.20,6000.00,N/A,167.20,6000.00,0.00,N/A,184.30
2182297_1,Platelet Count,Inpatient,0300,85049,"Blood count; platelet, automated",,0,30.00,30.00,19.54,30.00,N/A,26.40,N/A,N/A,N/A,29.10
2182297_1,Platelet Count,Outpatient,0300,85049,"Blood count; platelet, automated",,0,30.00,30.00,19.54,30.00,19.54,26.40,30.00,0.00,N/A,29.10
2384297_1,XR Abdomen 2 View,Inpatient,0320,74019,"Radiologic examination, abdomen; 2 views",,0,178.00,178.00,129.17,178.00,N/A,156.64,N/A,N/A,N/A,172.66
2384297_1,XR Abdomen 2 View,Outpatient,0320,74019,"Radiologic examination, abdomen; 2 views",,0,178.00,178.00,129.17,178.00,129.17,156.64,178.00,0.00,N/A,172.66
2404373_1,99282 - Level 2,Emergency,0450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,355.00,355.00,312.40,355.00,341.48,312.40,355.00,0.00,N/A,344.35
2404373_1,99282 - Level 2,Inpatient,0450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,355.00,355.00,312.40,355.00,N/A,312.40,N/A,N/A,N/A,344.35
2404374_1,99281 - Level 1,Emergency,0450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,150.00,150.00,132.00,219.21,219.21,132.00,150.00,0.00,N/A,145.50
2404374_1,99281 - Level 1,Inpatient,0450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,150.00,150.00,132.00,219.21,N/A,132.00,N/A,N/A,N/A,145.50
2404375_1,99283 - Level 3,Emergency,0450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,491.00,491.00,432.08,524.88,524.88,432.08,491.00,0.00,N/A,476.27
2404375_1,99283 - Level 3,Inpatient,0450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,491.00,491.00,432.08,524.88,N/A,432.08,N/A,N/A,N/A,476.27
2404376_1,99284 - Level 4,Emergency,0450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,931.00,931.00,819.28,931.00,894.87,819.28,931.00,0.00,N/A,903.07
2404376_1,99284 - Level 4,Inpatient,0450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,931.00,931.00,819.28,931.00,N/A,819.28,N/A,N/A,N/A,903.07
2404377_1,99285 - Level 5,Emergency,0450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,1446.00,1446.00,1272.48,1446.00,1390.79,1272.48,1446.00,0.00,N/A,1402.62
2404377_1,99285 - Level 5,Inpatient,0450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,1446.00,1446.00,1272.48,1446.00,N/A,1272.48,N/A,N/A,N/A,1402.62
2404378_1,99291 - Critical Care,Emergency,0450,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",,0,1200.00,1200.00,1056.00,1315.17,1315.17,1056.00,1200.00,0.00,N/A,1164.00
2404378_1,99291 - Critical Care,Inpatient,0450,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",,0,1200.00,1200.00,1056.00,1315.17,N/A,1056.00,N/A,N/A,N/A,1164.00
2404379_1,"99292 - Critical Care, each 30 min",Emergency,0450,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",,0,390.00,390.00,343.20,390.38,390.38,343.20,390.00,0.00,N/A,378.30
2404379_1,"99292 - Critical Care, each 30 min",Inpatient,0450,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",,0,390.00,390.00,343.20,390.38,N/A,343.20,N/A,N/A,N/A,378.30
2624297_1,Rheumatoid Factor,Inpatient,0300,86430,Rheumatoid factor; qualitative,,0,30.00,30.00,26.40,30.00,N/A,26.40,N/A,N/A,N/A,29.10
2624297_1,Rheumatoid Factor,Outpatient,0300,86430,Rheumatoid factor; qualitative,,0,30.00,30.00,26.40,30.00,29.99,26.40,30.00,0.00,N/A,29.10
4318084_2,10060 Incision and drainage of abscess; simple or single,ProFee,0989,10060,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single",,0,521.00,521.00,96.46,521.00,N/A,458.48,96.46,N/A,N/A,0.00
