Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Aetna_,Aetna_Better_Health,BCBS_BLUE_CHOICE,BCBS_CAP,HEALTH_PARTNERS_OF_KS__HPK_,Providrs_Care__WPPA_,United_Healthcare
1167845_1,CT Abdomen w/ + w/o Contrast,Outpatient,0350,74170,"Computed tomography, abdomen; without contrast material, followed by contrast material(s) and further sections",,0,985.0000,985.0000,267.8250,985.0000,886.5000,571.3000,430.3500,453.0000,935.7500,267.8250,935.7500
1167847_1,CT Abdomen w/ Contrast,Inpatient,0350,74160,"Computed tomography, abdomen; with contrast material(s)",,0,850.0000,850.0000,267.8250,850.0000,765.0000,N/A,722.5000,N/A,807.5000,N/A,807.5000
1167847_1,CT Abdomen w/ Contrast,Outpatient,0350,74160,"Computed tomography, abdomen; with contrast material(s)",,0,850.0000,850.0000,267.8250,850.0000,765.0000,493.0000,430.3500,453.0000,807.5000,267.8250,807.5000
1167849_1,CT Abdomen w/o Contrast,Inpatient,0350,74150,"Computed tomography, abdomen; without contrast material",,0,885.0000,885.0000,163.4550,885.0000,796.5000,N/A,752.2500,N/A,840.7500,N/A,840.7500
1167849_1,CT Abdomen w/o Contrast,Outpatient,0350,74150,"Computed tomography, abdomen; without contrast material",,0,885.0000,885.0000,163.4550,885.0000,796.5000,513.3000,430.3500,453.0000,840.7500,163.4550,840.7500
1167851_1,CT Angiography Abd Aorta + Iliofemoral,Inpatient,0350,75635,"Computed tomographic angiography, abdominal aorta and bilateral iliofemoral lower extremity runoff, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,2330.0000,2330.0000,267.8250,2330.0000,2097.0000,N/A,1980.5000,N/A,2213.5000,N/A,2213.5000
1167851_1,CT Angiography Abd Aorta + Iliofemoral,Outpatient,0350,75635,"Computed tomographic angiography, abdominal aorta and bilateral iliofemoral lower extremity runoff, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,2330.0000,2330.0000,267.8250,2330.0000,2097.0000,1351.4000,1175.5300,1237.4000,2213.5000,267.8250,2213.5000
1167853_1,CT Angiography Abdomen,Inpatient,0350,74175,"Computed tomographic angiography, abdomen, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1150.0000,1150.0000,267.8250,1174.8400,1035.0000,N/A,977.5000,N/A,1092.5000,N/A,1092.5000
1167853_1,CT Angiography Abdomen,Outpatient,0350,74175,"Computed tomographic angiography, abdomen, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1150.0000,1150.0000,267.8250,1174.8400,1035.0000,667.0000,1116.0980,1174.8400,1092.5000,267.8250,1092.5000
1167871_1,CT Angiography Head w/ + w/o Contrast,Inpatient,0350,70496,"Computed tomographic angiography, head, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1437.0000,1437.0000,267.8250,1437.0000,1293.3000,N/A,1221.4500,N/A,1365.1500,N/A,1365.1500
1167871_1,CT Angiography Head w/ + w/o Contrast,Outpatient,0350,70496,"Computed tomographic angiography, head, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1437.0000,1437.0000,267.8250,1437.0000,1293.3000,833.4600,1089.8780,1147.2400,1365.1500,267.8250,1365.1500
1167875_1,CT Angiography Lower Extremity Left,Inpatient,0350,73706,"Computed tomographic angiography, lower extremity, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1150.0000,1150.0000,267.8250,1150.0000,1035.0000,N/A,977.5000,N/A,1092.5000,N/A,1092.5000
1167875_1,CT Angiography Lower Extremity Left,Outpatient,0350,73706,"Computed tomographic angiography, lower extremity, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1150.0000,1150.0000,267.8250,1150.0000,1035.0000,667.0000,977.5000,1035.0000,1092.5000,267.8250,1092.5000
1167879_1,CT Angiography Neck w/ + w/o Contrast,Inpatient,0350,70498,"Computed tomographic angiography, neck, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1438.0000,1438.0000,267.8250,1438.0000,1294.2000,N/A,1222.3000,N/A,1366.1000,N/A,1366.1000
1167879_1,CT Angiography Neck w/ + w/o Contrast,Outpatient,0350,70498,"Computed tomographic angiography, neck, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1438.0000,1438.0000,267.8250,1438.0000,1294.2000,834.0400,1090.7520,1148.1600,1366.1000,267.8250,1366.1000
1167881_1,CT Angiography Pelvis w/ + w/o Contrast,Inpatient,0350,72191,"Computed tomographic angiography, pelvis, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1150.0000,1150.0000,267.8250,1150.0000,1035.0000,N/A,977.5000,N/A,1092.5000,N/A,1092.5000
1167881_1,CT Angiography Pelvis w/ + w/o Contrast,Outpatient,0350,72191,"Computed tomographic angiography, pelvis, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1150.0000,1150.0000,267.8250,1150.0000,1035.0000,667.0000,977.5000,1035.0000,1092.5000,267.8250,1092.5000
1167883_1,CT Angiography Upper Extremity Bilat,Inpatient,0350,73206,"Computed tomographic angiography, upper extremity, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1150.0000,1150.0000,267.8250,1150.0000,1035.0000,N/A,977.5000,N/A,1092.5000,N/A,1092.5000
1167883_1,CT Angiography Upper Extremity Bilat,Outpatient,0350,73206,"Computed tomographic angiography, upper extremity, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,1150.0000,1150.0000,267.8250,1150.0000,1035.0000,667.0000,977.5000,1035.0000,1092.5000,267.8250,1092.5000
1167964_1,CT Drainage Abscess or Cyst,Inpatient,0350,75989,"Radiological guidance (ie, fluoroscopy, ultrasound, or computed tomography), for percutaneous drainage (eg, abscess, specimen collection), with placement of catheter, radiological supervision and interpretation",,0,425.0000,425.0000,246.5000,425.0000,382.5000,N/A,361.2500,N/A,403.7500,N/A,403.7500
1167964_1,CT Drainage Abscess or Cyst,Outpatient,0350,75989,"Radiological guidance (ie, fluoroscopy, ultrasound, or computed tomography), for percutaneous drainage (eg, abscess, specimen collection), with placement of catheter, radiological supervision and interpretation",,0,425.0000,425.0000,246.5000,425.0000,382.5000,246.5000,361.2500,382.5000,403.7500,255.0000,403.7500
1168090_1,CT Head or Brain w/ + w/o Contrast,Inpatient,0350,70470,"Computed tomography, head or brain; without contrast material, followed by contrast material(s) and further sections",,0,950.0000,950.0000,267.8250,950.0000,855.0000,N/A,807.5000,N/A,902.5000,N/A,902.5000
1168090_1,CT Head or Brain w/ + w/o Contrast,Outpatient,0350,70470,"Computed tomography, head or brain; without contrast material, followed by contrast material(s) and further sections",,0,950.0000,950.0000,267.8250,950.0000,855.0000,551.0000,430.3500,453.0000,902.5000,267.8250,902.5000
1168092_1,CT Head or Brain w/ Contrast,Inpatient,0350,70460,"Computed tomography, head or brain; with contrast material(s)",,0,825.0000,825.0000,267.8250,825.0000,742.5000,N/A,701.2500,N/A,783.7500,N/A,783.7500
1168092_1,CT Head or Brain w/ Contrast,Outpatient,0350,70460,"Computed tomography, head or brain; with contrast material(s)",,0,825.0000,825.0000,267.8250,825.0000,742.5000,478.5000,430.3500,453.0000,783.7500,267.8250,783.7500
1168094_1,CT Head or Brain w/o Contrast,Inpatient,0350,70450,"Computed tomography, head or brain; without contrast material",,0,830.0000,830.0000,163.4550,830.0000,747.0000,N/A,705.5000,N/A,788.5000,N/A,788.5000
1168094_1,CT Head or Brain w/o Contrast,Outpatient,0350,70450,"Computed tomography, head or brain; without contrast material",,0,830.0000,830.0000,163.4550,830.0000,747.0000,481.4000,430.3500,453.0000,788.5000,163.4550,788.5000
1168164_1,CT Lower Extremity w/ Contrast Bilat,Inpatient,0350,73701,"Computed tomography, lower extremity; with contrast material(s)",,0,705.0000,705.0000,267.8250,705.0000,634.5000,N/A,599.2500,N/A,669.7500,N/A,669.7500
1168164_1,CT Lower Extremity w/ Contrast Bilat,Outpatient,0350,73701,"Computed tomography, lower extremity; with contrast material(s)",,0,705.0000,705.0000,267.8250,705.0000,634.5000,408.9000,430.3500,453.0000,669.7500,267.8250,669.7500
1168170_1,CT Lower Extremity w/+w/o Contrast Bilat,Inpatient,0350,73702,"Computed tomography, lower extremity; without contrast material, followed by contrast material(s) and further sections",,0,755.0000,755.0000,267.8250,755.0000,679.5000,N/A,641.7500,N/A,717.2500,N/A,717.2500
1168170_1,CT Lower Extremity w/+w/o Contrast Bilat,Outpatient,0350,73702,"Computed tomography, lower extremity; without contrast material, followed by contrast material(s) and further sections",,0,755.0000,755.0000,267.8250,755.0000,679.5000,437.9000,430.3500,453.0000,717.2500,267.8250,717.2500
1168176_1,CT Lower Extremity w/o Contrast Bilat,Inpatient,0350,73700,"Computed tomography, lower extremity; without contrast material",,0,650.0000,650.0000,163.4550,650.0000,585.0000,N/A,552.5000,N/A,617.5000,N/A,617.5000
1168176_1,CT Lower Extremity w/o Contrast Bilat,Outpatient,0350,73700,"Computed tomography, lower extremity; without contrast material",,0,650.0000,650.0000,163.4550,650.0000,585.0000,377.0000,430.3500,453.0000,617.5000,163.4550,617.5000
1168182_1,CT Maxillofacial w/ + w/o Contrast,Inpatient,0350,70488,"Computed tomography, maxillofacial area; without contrast material, followed by contrast material(s) and further sections",,0,868.0000,868.0000,267.8250,868.0000,781.2000,N/A,737.8000,N/A,824.6000,N/A,824.6000
1168182_1,CT Maxillofacial w/ + w/o Contrast,Outpatient,0350,70488,"Computed tomography, maxillofacial area; without contrast material, followed by contrast material(s) and further sections",,0,868.0000,868.0000,267.8250,868.0000,781.2000,503.4400,430.3500,453.0000,824.6000,267.8250,824.6000
1168184_1,CT Maxillofacial w/ Contrast,Inpatient,0350,70487,"Computed tomography, maxillofacial area; with contrast material(s)",,0,825.0000,825.0000,267.8250,825.0000,742.5000,N/A,701.2500,N/A,783.7500,N/A,783.7500
1168184_1,CT Maxillofacial w/ Contrast,Outpatient,0350,70487,"Computed tomography, maxillofacial area; with contrast material(s)",,0,825.0000,825.0000,267.8250,825.0000,742.5000,478.5000,430.3500,453.0000,783.7500,267.8250,783.7500
1168186_1,CT Maxillofacial w/o Contrast,Inpatient,0350,70486,"Computed tomography, maxillofacial area; without contrast material",,0,785.0000,785.0000,163.4550,785.0000,706.5000,N/A,667.2500,N/A,745.7500,N/A,745.7500
1168186_1,CT Maxillofacial w/o Contrast,Outpatient,0350,70486,"Computed tomography, maxillofacial area; without contrast material",,0,785.0000,785.0000,163.4550,785.0000,706.5000,455.3000,430.3500,453.0000,745.7500,163.4550,745.7500
1168188_1,CT Orbit Sella etc. w/ + w/o Contrast,Inpatient,0350,70482,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; without contrast material, followed by contrast material(s) and further sections",,0,950.0000,950.0000,267.8250,950.0000,855.0000,N/A,807.5000,N/A,902.5000,N/A,902.5000
1168188_1,CT Orbit Sella etc. w/ + w/o Contrast,Outpatient,0350,70482,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; without contrast material, followed by contrast material(s) and further sections",,0,950.0000,950.0000,267.8250,950.0000,855.0000,551.0000,430.3500,453.0000,902.5000,267.8250,902.5000
1168190_1,CT Orbit Sella etc. w/ Contrast,Inpatient,0350,70481,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; with contrast material(s)",,0,830.0000,830.0000,267.8250,830.0000,747.0000,N/A,705.5000,N/A,788.5000,N/A,788.5000
1168190_1,CT Orbit Sella etc. w/ Contrast,Outpatient,0350,70481,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; with contrast material(s)",,0,830.0000,830.0000,267.8250,830.0000,747.0000,481.4000,430.3500,453.0000,788.5000,267.8250,788.5000
1168192_1,CT Orbit Sella etc. w/o Contrast,Inpatient,0350,70480,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; without contrast material",,0,785.0000,785.0000,163.4550,785.0000,706.5000,N/A,667.2500,N/A,745.7500,N/A,745.7500
1168192_1,CT Orbit Sella etc. w/o Contrast,Outpatient,0350,70480,"Computed tomography, orbit, sella, or posterior fossa or outer, middle, or inner ear; without contrast material",,0,785.0000,785.0000,163.4550,785.0000,706.5000,455.3000,430.3500,453.0000,745.7500,163.4550,745.7500
1168194_1,CT Pelvis w/ + w/o Contrast,Inpatient,0350,72194,"Computed tomography, pelvis; without contrast material, followed by contrast material(s) and further sections",,0,820.0000,820.0000,267.8250,820.0000,738.0000,N/A,697.0000,N/A,779.0000,N/A,779.0000
1168194_1,CT Pelvis w/ + w/o Contrast,Outpatient,0350,72194,"Computed tomography, pelvis; without contrast material, followed by contrast material(s) and further sections",,0,820.0000,820.0000,267.8250,820.0000,738.0000,475.6000,430.3500,453.0000,779.0000,267.8250,779.0000
1168196_1,CT Pelvis w/ Contrast,Inpatient,0350,72193,"Computed tomography, pelvis; with contrast material(s)",,0,940.0000,940.0000,267.8250,940.0000,846.0000,N/A,799.0000,N/A,893.0000,N/A,893.0000
1168196_1,CT Pelvis w/ Contrast,Outpatient,0350,72193,"Computed tomography, pelvis; with contrast material(s)",,0,940.0000,940.0000,267.8250,940.0000,846.0000,545.2000,430.3500,453.0000,893.0000,267.8250,893.0000
1168198_1,CT Pelvis w/o Contrast,Inpatient,0350,72192,"Computed tomography, pelvis; without contrast material",,0,885.0000,885.0000,163.4550,885.0000,796.5000,N/A,752.2500,N/A,840.7500,N/A,840.7500
1168198_1,CT Pelvis w/o Contrast,Outpatient,0350,72192,"Computed tomography, pelvis; without contrast material",,0,885.0000,885.0000,163.4550,885.0000,796.5000,513.3000,430.3500,453.0000,840.7500,163.4550,840.7500
1168230_1,CT Soft Tissue Neck w/ + w/o Contrast,Inpatient,0350,70492,"Computed tomography, soft tissue neck; without contrast material followed by contrast material(s) and further sections",,0,830.0000,830.0000,267.8250,830.0000,747.0000,N/A,705.5000,N/A,788.5000,N/A,788.5000
1168230_1,CT Soft Tissue Neck w/ + w/o Contrast,Outpatient,0350,70492,"Computed tomography, soft tissue neck; without contrast material followed by contrast material(s) and further sections",,0,830.0000,830.0000,267.8250,830.0000,747.0000,481.4000,430.3500,453.0000,788.5000,267.8250,788.5000
1168232_1,CT Soft Tissue Neck w/ Contrast,Inpatient,0350,70491,"Computed tomography, soft tissue neck; with contrast material(s)",,0,830.0000,830.0000,267.8250,830.0000,747.0000,N/A,705.5000,N/A,788.5000,N/A,788.5000
1168232_1,CT Soft Tissue Neck w/ Contrast,Outpatient,0350,70491,"Computed tomography, soft tissue neck; with contrast material(s)",,0,830.0000,830.0000,267.8250,830.0000,747.0000,481.4000,430.3500,453.0000,788.5000,267.8250,788.5000
1168234_1,CT Soft Tissue Neck w/o Contrast,Inpatient,0350,70490,"Computed tomography, soft tissue neck; without contrast material",,0,650.0000,650.0000,163.4550,650.0000,585.0000,N/A,552.5000,N/A,617.5000,N/A,617.5000
1168234_1,CT Soft Tissue Neck w/o Contrast,Outpatient,0350,70490,"Computed tomography, soft tissue neck; without contrast material",,0,650.0000,650.0000,163.4550,650.0000,585.0000,377.0000,430.3500,453.0000,617.5000,163.4550,617.5000
1168236_1,CT Spine Cervical w/ + w/o Contrast,Inpatient,0350,72127,"Computed tomography, cervical spine; without contrast material, followed by contrast material(s) and further sections",,0,985.0000,985.0000,267.8250,985.0000,886.5000,N/A,837.2500,N/A,935.7500,N/A,935.7500
1168236_1,CT Spine Cervical w/ + w/o Contrast,Outpatient,0350,72127,"Computed tomography, cervical spine; without contrast material, followed by contrast material(s) and further sections",,0,985.0000,985.0000,267.8250,985.0000,886.5000,571.3000,430.3500,453.0000,935.7500,267.8250,935.7500
1168238_1,CT Spine Cervical w/ Contrast,Inpatient,0350,72126,"Computed tomography, cervical spine; with contrast material",,0,850.0000,850.0000,430.3500,850.0000,765.0000,N/A,722.5000,N/A,807.5000,N/A,807.5000
1168238_1,CT Spine Cervical w/ Contrast,Outpatient,0350,72126,"Computed tomography, cervical spine; with contrast material",,0,850.0000,850.0000,430.3500,850.0000,765.0000,493.0000,430.3500,453.0000,807.5000,552.1800,807.5000
1168240_1,CT Spine Cervical w/o Contrast,Inpatient,0350,72125,"Computed tomography, cervical spine; without contrast material",,0,945.0000,945.0000,163.4550,945.0000,850.5000,N/A,803.2500,N/A,897.7500,N/A,897.7500
1168240_1,CT Spine Cervical w/o Contrast,Outpatient,0350,72125,"Computed tomography, cervical spine; without contrast material",,0,945.0000,945.0000,163.4550,945.0000,850.5000,548.1000,430.3500,453.0000,897.7500,163.4550,897.7500
1168242_1,CT Spine Lumbar w/ + w/o Contrast,Inpatient,0350,72133,"Computed tomography, lumbar spine; without contrast material, followed by contrast material(s) and further sections",,0,985.0000,985.0000,267.8250,985.0000,886.5000,N/A,837.2500,N/A,935.7500,N/A,935.7500
1168242_1,CT Spine Lumbar w/ + w/o Contrast,Outpatient,0350,72133,"Computed tomography, lumbar spine; without contrast material, followed by contrast material(s) and further sections",,0,985.0000,985.0000,267.8250,985.0000,886.5000,571.3000,430.3500,453.0000,935.7500,267.8250,935.7500
1168244_1,CT Spine Lumbar w/ Contrast,Inpatient,0350,72132,"Computed tomography, lumbar spine; with contrast material",,0,850.0000,850.0000,430.3500,850.0000,765.0000,N/A,722.5000,N/A,807.5000,N/A,807.5000
1168244_1,CT Spine Lumbar w/ Contrast,Outpatient,0350,72132,"Computed tomography, lumbar spine; with contrast material",,0,850.0000,850.0000,430.3500,850.0000,765.0000,493.0000,430.3500,453.0000,807.5000,552.1800,807.5000
1168246_1,CT Spine Lumbar w/o Contrast,Inpatient,0350,72131,"Computed tomography, lumbar spine; without contrast material",,0,945.0000,945.0000,163.4550,945.0000,850.5000,N/A,803.2500,N/A,897.7500,N/A,897.7500
1168246_1,CT Spine Lumbar w/o Contrast,Outpatient,0350,72131,"Computed tomography, lumbar spine; without contrast material",,0,945.0000,945.0000,163.4550,945.0000,850.5000,548.1000,430.3500,453.0000,897.7500,163.4550,897.7500
1168248_1,CT Spine Thoracic w/ + w/o Contrast,Inpatient,0350,72130,"Computed tomography, thoracic spine; without contrast material, followed by contrast material(s) and further sections",,0,985.0000,985.0000,267.8250,985.0000,886.5000,N/A,837.2500,N/A,935.7500,N/A,935.7500
1168248_1,CT Spine Thoracic w/ + w/o Contrast,Outpatient,0350,72130,"Computed tomography, thoracic spine; without contrast material, followed by contrast material(s) and further sections",,0,985.0000,985.0000,267.8250,985.0000,886.5000,571.3000,430.3500,453.0000,935.7500,267.8250,935.7500
1168250_1,CT Spine Thoracic w/ Contrast,Inpatient,0350,72129,"Computed tomography, thoracic spine; with contrast material",,0,850.0000,850.0000,267.8250,850.0000,765.0000,N/A,722.5000,N/A,807.5000,N/A,807.5000
1168250_1,CT Spine Thoracic w/ Contrast,Outpatient,0350,72129,"Computed tomography, thoracic spine; with contrast material",,0,850.0000,850.0000,267.8250,850.0000,765.0000,493.0000,430.3500,453.0000,807.5000,267.8250,807.5000
1168252_1,CT Spine Thoracic w/o Contrast,Inpatient,0350,72128,"Computed tomography, thoracic spine; without contrast material",,0,825.0000,825.0000,163.4550,825.0000,742.5000,N/A,701.2500,N/A,783.7500,N/A,783.7500
1168252_1,CT Spine Thoracic w/o Contrast,Outpatient,0350,72128,"Computed tomography, thoracic spine; without contrast material",,0,825.0000,825.0000,163.4550,825.0000,742.5000,478.5000,430.3500,453.0000,783.7500,163.4550,783.7500
1168309_1,CT Upper Extremity w/ Contrast Bilat,Inpatient,0350,73201,"Computed tomography, upper extremity; with contrast material(s)",,0,650.0000,650.0000,377.0000,650.0000,585.0000,N/A,552.5000,N/A,617.5000,N/A,617.5000
1168309_1,CT Upper Extremity w/ Contrast Bilat,Outpatient,0350,73201,"Computed tomography, upper extremity; with contrast material(s)",,0,650.0000,650.0000,377.0000,650.0000,585.0000,377.0000,430.3500,453.0000,617.5000,552.1800,617.5000
1168311_1,CT Upper Extremity w/ Contrast Left,Inpatient,0350,73201,"Computed tomography, upper extremity; with contrast material(s)",,0,705.0000,705.0000,408.9000,705.0000,634.5000,N/A,599.2500,N/A,669.7500,N/A,669.7500
1168311_1,CT Upper Extremity w/ Contrast Left,Outpatient,0350,73201,"Computed tomography, upper extremity; with contrast material(s)",,0,705.0000,705.0000,408.9000,705.0000,634.5000,408.9000,430.3500,453.0000,669.7500,552.1800,669.7500
1168315_1,CT Upper Extremity w/+w/o Contrast Bilat,Inpatient,0350,73202,"Computed tomography, upper extremity; without contrast material, followed by contrast material(s) and further sections",,0,755.0000,755.0000,267.8250,755.0000,679.5000,N/A,641.7500,N/A,717.2500,N/A,717.2500
1168315_1,CT Upper Extremity w/+w/o Contrast Bilat,Outpatient,0350,73202,"Computed tomography, upper extremity; without contrast material, followed by contrast material(s) and further sections",,0,755.0000,755.0000,267.8250,755.0000,679.5000,437.9000,430.3500,453.0000,717.2500,267.8250,717.2500
1168321_1,CT Upper Extremity w/o Contrast Bilat,Inpatient,0350,73200,"Computed tomography, upper extremity; without contrast material",,0,705.0000,705.0000,163.4550,705.0000,634.5000,N/A,599.2500,N/A,669.7500,N/A,669.7500
1168321_1,CT Upper Extremity w/o Contrast Bilat,Outpatient,0350,73200,"Computed tomography, upper extremity; without contrast material",,0,705.0000,705.0000,163.4550,705.0000,634.5000,408.9000,430.3500,453.0000,669.7500,163.4550,669.7500
1168323_1,CT Upper Extremity w/o Contrast Left,Inpatient,0350,73200,"Computed tomography, upper extremity; without contrast material",,0,650.0000,650.0000,163.4550,650.0000,585.0000,N/A,552.5000,N/A,617.5000,N/A,617.5000
1168323_1,CT Upper Extremity w/o Contrast Left,Outpatient,0350,73200,"Computed tomography, upper extremity; without contrast material",,0,650.0000,650.0000,163.4550,650.0000,585.0000,377.0000,430.3500,453.0000,617.5000,163.4550,617.5000
1168635_1,MRA Abdomen w/ + w/o Contrast,Inpatient,0619,74185,"Magnetic resonance angiography, abdomen, with or without contrast material(s)",,0,1142.0000,1142.0000,595.6500,1142.0000,1027.8000,N/A,970.7000,N/A,1084.9000,N/A,1084.9000
1168635_1,MRA Abdomen w/ + w/o Contrast,Outpatient,0619,74185,"Magnetic resonance angiography, abdomen, with or without contrast material(s)",,0,1142.0000,1142.0000,595.6500,1142.0000,1027.8000,662.3600,595.6500,627.0000,1084.9000,685.2000,1084.9000
1168643_1,MRA Chest w/ + w/o Contrast,Inpatient,0619,71555,"Magnetic resonance angiography, chest (excluding myocardium), with or without contrast material(s)",,0,1142.0000,1142.0000,595.6500,1142.0000,1027.8000,N/A,970.7000,N/A,1084.9000,N/A,1084.9000
1168643_1,MRA Chest w/ + w/o Contrast,Outpatient,0619,71555,"Magnetic resonance angiography, chest (excluding myocardium), with or without contrast material(s)",,0,1142.0000,1142.0000,595.6500,1142.0000,1027.8000,662.3600,595.6500,627.0000,1084.9000,685.2000,1084.9000
