Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,Aetna,Cigna,First_Health,Meritain,Midlands_Choice,RURAL_CARRIERS,UHC
1503765_1,Ethanol Level,Outpatient,0300,G0480,Drug test def 1-7 classes,,1,89.0000,66.7500,66.7500,84.5500,80.1000,84.5500,84.5500,80.1000,84.5500,75.6500,84.5500
1503766_1,Lactic Acid,Inpatient,0300,83605,Lactate (lactic acid),,0,127.0000,95.2500,95.2500,120.6500,114.3000,120.6500,120.6500,114.3000,120.6500,107.9500,120.6500
1503766_1,Lactic Acid,Outpatient,0300,83605,Lactate (lactic acid),,0,127.0000,95.2500,95.2500,120.6500,114.3000,120.6500,120.6500,114.3000,120.6500,107.9500,120.6500
1620877_1,Albumin Level,Inpatient,0300,82040,"Albumin; serum, plasma or whole blood",,0,18.0000,13.5000,13.5000,17.1000,16.2000,17.1000,17.1000,16.2000,17.1000,15.3000,17.1000
1620877_1,Albumin Level,Outpatient,0300,82040,"Albumin; serum, plasma or whole blood",,0,18.0000,13.5000,13.5000,17.1000,16.2000,17.1000,17.1000,16.2000,17.1000,15.3000,17.1000
1620878_1,Alkaline Phosphatase,Inpatient,0300,84075,"Phosphatase, alkaline",,0,20.0000,15.0000,15.0000,19.0000,18.0000,19.0000,19.0000,18.0000,19.0000,17.0000,19.0000
1620878_1,Alkaline Phosphatase,Outpatient,0300,84075,"Phosphatase, alkaline",,0,20.0000,15.0000,15.0000,19.0000,18.0000,19.0000,19.0000,18.0000,19.0000,17.0000,19.0000
1628887_1,Calcium Level Total,Inpatient,0300,82310,Calcium; total,,0,19.0000,14.2500,14.2500,18.0500,17.1000,18.0500,18.0500,17.1000,18.0500,16.1500,18.0500
1628887_1,Calcium Level Total,Outpatient,0300,82310,Calcium; total,,0,19.0000,14.2500,14.2500,18.0500,17.1000,18.0500,18.0500,17.1000,18.0500,16.1500,18.0500
1628888_1,Carbon Dioxide Level,Inpatient,0300,82374,Carbon dioxide (bicarbonate),,0,42.0000,31.5000,31.5000,39.9000,37.8000,39.9000,39.9000,37.8000,39.9000,35.7000,39.9000
1628888_1,Carbon Dioxide Level,Outpatient,0300,82374,Carbon dioxide (bicarbonate),,0,42.0000,31.5000,31.5000,39.9000,37.8000,39.9000,39.9000,37.8000,39.9000,35.7000,39.9000
1628889_1,HDL,Inpatient,0300,83718,"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol)",,0,55.0000,41.2500,41.2500,52.2500,49.5000,52.2500,52.2500,49.5000,52.2500,46.7500,52.2500
1628889_1,HDL,Outpatient,0300,83718,"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol)",,0,55.0000,41.2500,41.2500,52.2500,49.5000,52.2500,52.2500,49.5000,52.2500,46.7500,52.2500
1628891_1,Digoxin Level,Inpatient,0300,80162,Digoxin; total,,0,39.0000,29.2500,29.2500,37.0500,35.1000,37.0500,37.0500,35.1000,37.0500,33.1500,37.0500
1628891_1,Digoxin Level,Outpatient,0300,80162,Digoxin; total,,0,39.0000,29.2500,29.2500,37.0500,35.1000,37.0500,37.0500,35.1000,37.0500,33.1500,37.0500
1634882_1,Prostate Specific Antigen Screen,Inpatient,0300,G0103,Psa screening,,0,139.0000,104.2500,104.2500,132.0500,125.1000,132.0500,132.0500,125.1000,132.0500,118.1500,132.0500
1634882_1,Prostate Specific Antigen Screen,Outpatient,0300,G0103,Psa screening,,0,139.0000,104.2500,104.2500,132.0500,125.1000,132.0500,132.0500,125.1000,132.0500,118.1500,132.0500
1634883_1,Renal Function Panel,Inpatient,0300,80069,"Renal function panel This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus inorganic (phosphate) (84100) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520)",,0,68.0000,51.0000,51.0000,64.6000,61.2000,64.6000,64.6000,61.2000,64.6000,57.8000,64.6000
1634883_1,Renal Function Panel,Outpatient,0300,80069,"Renal function panel This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus inorganic (phosphate) (84100) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520)",,0,68.0000,51.0000,51.0000,64.6000,61.2000,64.6000,64.6000,61.2000,64.6000,57.8000,64.6000
1634885_1,Sedimentation Rate,Inpatient,0300,85651,"Sedimentation rate, erythrocyte; non-automated",,0,49.0000,36.7500,36.7500,46.5500,44.1000,46.5500,46.5500,44.1000,46.5500,41.6500,46.5500
1634885_1,Sedimentation Rate,Outpatient,0300,85651,"Sedimentation rate, erythrocyte; non-automated",,0,49.0000,36.7500,36.7500,46.5500,44.1000,46.5500,46.5500,44.1000,46.5500,41.6500,46.5500
1634892_1,Troponin-I,Inpatient,0300,84484,"Troponin, quantitative",,0,146.0000,109.5000,109.5000,138.7000,131.4000,138.7000,138.7000,131.4000,138.7000,124.1000,138.7000
1634892_1,Troponin-I,Outpatient,0300,84484,"Troponin, quantitative",,0,146.0000,109.5000,109.5000,138.7000,131.4000,138.7000,138.7000,131.4000,138.7000,124.1000,138.7000
1634897_1,Vancomycin Trough - RL,Inpatient,0300,80202,Vancomycin,,0,165.0000,123.7500,123.7500,156.7500,148.5000,156.7500,156.7500,148.5000,156.7500,140.2500,156.7500
1634897_1,Vancomycin Trough - RL,Outpatient,0300,80202,Vancomycin,,0,165.0000,123.7500,123.7500,156.7500,148.5000,156.7500,156.7500,148.5000,156.7500,140.2500,156.7500
1928297_1,"96360- Hydration, first hour",Emergency,0450,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928297_1,"96360- Hydration, first hour",Inpatient,0450,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928298_1,"96361- Hydration, each additional hour",Emergency,0450,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928298_1,"96361- Hydration, each additional hour",Inpatient,0450,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928299_1,"96365- IV tx, first hour",Emergency,0450,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928299_1,"96365- IV tx, first hour",Inpatient,0450,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928300_1,"96366- IV tx, each additional hour",Emergency,0450,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928300_1,"96366- IV tx, each additional hour",Inpatient,0450,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928301_1,"96367- IV tx, sequential infusion",Emergency,0450,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928301_1,"96367- IV tx, sequential infusion",Inpatient,0450,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,166.3200,124.7400,124.7400,158.0040,149.6880,158.0040,158.0040,149.6880,158.0040,141.3720,158.0040
1928302_1,"96368- IV tx, concurrent infusion",Emergency,0450,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,24.7500,18.5625,18.5625,23.5125,22.2750,23.5125,23.5125,22.2750,23.5125,21.0375,23.5125
1928302_1,"96368- IV tx, concurrent infusion",Inpatient,0450,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,24.7500,18.5625,18.5625,23.5125,22.2750,23.5125,23.5125,22.2750,23.5125,21.0375,23.5125
1928303_1,96372- Subq/IM Injection,Emergency,0450,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,53.0000,39.7500,39.7500,50.3500,47.7000,50.3500,50.3500,47.7000,50.3500,45.0500,50.3500
1928303_1,96372- Subq/IM Injection,Inpatient,0450,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,53.0000,39.7500,39.7500,50.3500,47.7000,50.3500,50.3500,47.7000,50.3500,45.0500,50.3500
1928304_1,ER 96373- Intra-Arterial Injection,Emergency,0450,96373,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intra-arterial",,0,54.1800,40.6350,40.6350,51.4710,48.7620,51.4710,51.4710,48.7620,51.4710,46.0530,51.4710
1928304_1,ER 96373- Intra-Arterial Injection,Inpatient,0450,96373,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intra-arterial",,0,54.1800,40.6350,40.6350,51.4710,48.7620,51.4710,51.4710,48.7620,51.4710,46.0530,51.4710
1928305_1,"96375- IV Injection, add new drug",Emergency,0450,96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)",,0,53.0000,39.7500,39.7500,50.3500,47.7000,50.3500,50.3500,47.7000,50.3500,45.0500,50.3500
1928305_1,"96375- IV Injection, add new drug",Inpatient,0450,96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)",,0,53.0000,39.7500,39.7500,50.3500,47.7000,50.3500,50.3500,47.7000,50.3500,45.0500,50.3500
1928306_1,"96374- IV Injection, single/initial",Emergency,0450,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,53.0000,39.7500,39.7500,50.3500,47.7000,50.3500,50.3500,47.7000,50.3500,45.0500,50.3500
1928306_1,"96374- IV Injection, single/initial",Inpatient,0450,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,53.0000,39.7500,39.7500,50.3500,47.7000,50.3500,50.3500,47.7000,50.3500,45.0500,50.3500
1928307_1,"96376- IV Injection, add same drug",Emergency,0450,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,53.0000,39.7500,39.7500,50.3500,47.7000,50.3500,50.3500,47.7000,50.3500,45.0500,50.3500
1928307_1,"96376- IV Injection, add same drug",Inpatient,0450,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,53.0000,39.7500,39.7500,50.3500,47.7000,50.3500,50.3500,47.7000,50.3500,45.0500,50.3500
2038410_1,White Blood Cell Count,Inpatient,0300,85048,"Blood count; leukocyte (WBC), automated",,0,30.0000,22.5000,22.5000,28.5000,27.0000,28.5000,28.5000,27.0000,28.5000,25.5000,28.5000
2038410_1,White Blood Cell Count,Outpatient,0300,85048,"Blood count; leukocyte (WBC), automated",,0,30.0000,22.5000,22.5000,28.5000,27.0000,28.5000,28.5000,27.0000,28.5000,25.5000,28.5000
2120840_1,ROOM/BED: Semi Private,Inpatient,0120,,,,0,950.0000,712.5000,712.5000,902.5000,855.0000,902.5000,902.5000,855.0000,902.5000,807.5000,902.5000
2182297_1,Platelet Count,Inpatient,0300,85049,"Blood count; platelet, automated",,0,30.0000,22.5000,22.5000,28.5000,27.0000,28.5000,28.5000,27.0000,28.5000,25.5000,28.5000
2182297_1,Platelet Count,Outpatient,0300,85049,"Blood count; platelet, automated",,0,30.0000,22.5000,22.5000,28.5000,27.0000,28.5000,28.5000,27.0000,28.5000,25.5000,28.5000
2356847_1,Prostate Specific Antigen Diagnostic,Inpatient,0300,84153,Prostate specific antigen (PSA); total,,0,139.0000,104.2500,104.2500,132.0500,125.1000,132.0500,132.0500,125.1000,132.0500,118.1500,132.0500
2356847_1,Prostate Specific Antigen Diagnostic,Outpatient,0300,84153,Prostate specific antigen (PSA); total,,0,139.0000,104.2500,104.2500,132.0500,125.1000,132.0500,132.0500,125.1000,132.0500,118.1500,132.0500
2384297_1,XR Abdomen 2 View,Inpatient,0320,74019,"Radiologic examination, abdomen; 2 views",,0,240.0000,180.0000,180.0000,228.0000,216.0000,228.0000,228.0000,216.0000,228.0000,204.0000,228.0000
2384297_1,XR Abdomen 2 View,Outpatient,0320,74019,"Radiologic examination, abdomen; 2 views",,0,240.0000,180.0000,180.0000,228.0000,216.0000,228.0000,228.0000,216.0000,228.0000,204.0000,228.0000
2404373_1,99282 - Level 2,Emergency,0450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,147.0000,110.2500,110.2500,139.6500,132.3000,139.6500,139.6500,132.3000,139.6500,124.9500,139.6500
2404373_1,99282 - Level 2,Inpatient,0450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,147.0000,110.2500,110.2500,139.6500,132.3000,139.6500,139.6500,132.3000,139.6500,124.9500,139.6500
2404374_1,99281 - Level 1,Emergency,0450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,91.0000,68.2500,68.2500,86.4500,81.9000,86.4500,86.4500,81.9000,86.4500,77.3500,86.4500
2404374_1,99281 - Level 1,Inpatient,0450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,91.0000,68.2500,68.2500,86.4500,81.9000,86.4500,86.4500,81.9000,86.4500,77.3500,86.4500
2404375_1,99283 - Level 3,Emergency,0450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,259.0000,194.2500,194.2500,246.0500,233.1000,246.0500,246.0500,233.1000,246.0500,220.1500,246.0500
2404375_1,99283 - Level 3,Inpatient,0450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,259.0000,194.2500,194.2500,246.0500,233.1000,246.0500,246.0500,233.1000,246.0500,220.1500,246.0500
2404376_1,99284 - Level 4,Emergency,0450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,373.0000,279.7500,279.7500,354.3500,335.7000,354.3500,354.3500,335.7000,354.3500,317.0500,354.3500
2404376_1,99284 - Level 4,Inpatient,0450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,373.0000,279.7500,279.7500,354.3500,335.7000,354.3500,354.3500,335.7000,354.3500,317.0500,354.3500
2404377_1,99285 - Level 5,Emergency,0450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,606.0000,454.5000,454.5000,575.7000,545.4000,575.7000,575.7000,545.4000,575.7000,515.1000,575.7000
2404377_1,99285 - Level 5,Inpatient,0450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,606.0000,454.5000,454.5000,575.7000,545.4000,575.7000,575.7000,545.4000,575.7000,515.1000,575.7000
2404378_1,99291 - Critical Care,Emergency,0450,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",,0,500.0000,375.0000,375.0000,475.0000,450.0000,475.0000,475.0000,450.0000,475.0000,425.0000,475.0000
2404378_1,99291 - Critical Care,Inpatient,0450,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",,0,500.0000,375.0000,375.0000,475.0000,450.0000,475.0000,475.0000,450.0000,475.0000,425.0000,475.0000
2404379_1,"99292 - Critical Care, each 30 min",Emergency,0450,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",,0,250.0000,187.5000,187.5000,237.5000,225.0000,237.5000,237.5000,225.0000,237.5000,212.5000,237.5000
2404379_1,"99292 - Critical Care, each 30 min",Inpatient,0450,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",,0,250.0000,187.5000,187.5000,237.5000,225.0000,237.5000,237.5000,225.0000,237.5000,212.5000,237.5000
2624297_1,Rheumatoid Factor,Inpatient,0300,86431,Rheumatoid factor; quantitative,,0,33.0000,24.7500,24.7500,31.3500,29.7000,31.3500,31.3500,29.7000,31.3500,28.0500,31.3500
2624297_1,Rheumatoid Factor,Outpatient,0300,86431,Rheumatoid factor; quantitative,,0,33.0000,24.7500,24.7500,31.3500,29.7000,31.3500,31.3500,29.7000,31.3500,28.0500,31.3500
3527268_1,Semen Post Vasectomy 1,Inpatient,0300,89321,"Semen analysis; sperm presence and motility of sperm, if performed",,0,62.0000,46.5000,46.5000,58.9000,55.8000,58.9000,58.9000,55.8000,58.9000,52.7000,58.9000
3527268_1,Semen Post Vasectomy 1,Outpatient,0300,89321,"Semen analysis; sperm presence and motility of sperm, if performed",,0,62.0000,46.5000,46.5000,58.9000,55.8000,58.9000,58.9000,55.8000,58.9000,52.7000,58.9000
