cms_certification_num,payer,code,description,price,inpatient_outpatient
171313,MIN,291,HEART FAILURE AND SHOCK WITH MCC,2059.00,INPATIENT
171313,MAX,291,HEART FAILURE AND SHOCK WITH MCC,12804.03,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,291,HEART FAILURE AND SHOCK WITH MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,291,HEART FAILURE AND SHOCK WITH MCC,12804.03,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,291,HEART FAILURE AND SHOCK WITH MCC,6982.14,INPATIENT
171313,Cigna Inpatient Allowable Rate,291,HEART FAILURE AND SHOCK WITH MCC,8727.68,INPATIENT
171313,Aetna Inpatient Allowable Rate,291,HEART FAILURE AND SHOCK WITH MCC,7349.62,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,291,HEART FAILURE AND SHOCK WITH MCC,2059.00,INPATIENT
171313,Average Total Charges,292,HEART FAILURE AND SHOCK WITH CC,11812.09,INPATIENT
171313,MIN,292,HEART FAILURE AND SHOCK WITH CC,2059.00,INPATIENT
171313,MAX,292,HEART FAILURE AND SHOCK WITH CC,11221.49,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,292,HEART FAILURE AND SHOCK WITH CC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,292,HEART FAILURE AND SHOCK WITH CC,6207.30,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,292,HEART FAILURE AND SHOCK WITH CC,8977.19,INPATIENT
171313,Cigna Inpatient Allowable Rate,292,HEART FAILURE AND SHOCK WITH CC,11221.49,INPATIENT
171313,Aetna Inpatient Allowable Rate,292,HEART FAILURE AND SHOCK WITH CC,9449.67,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,292,HEART FAILURE AND SHOCK WITH CC,2059.00,INPATIENT
171313,Average Total Charges,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,10069.22,INPATIENT
171313,MIN,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,2059.00,INPATIENT
171313,MAX,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,9565.76,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,4890.09,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,7652.61,INPATIENT
171313,Cigna Inpatient Allowable Rate,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,9565.76,INPATIENT
171313,Aetna Inpatient Allowable Rate,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,8055.38,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,2059.00,INPATIENT
171313,Average Total Charges,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,10149.86,INPATIENT
171313,MIN,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,2059.00,INPATIENT
171313,MAX,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,9642.37,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,9174.86,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,7713.89,INPATIENT
171313,Cigna Inpatient Allowable Rate,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,9642.37,INPATIENT
171313,Aetna Inpatient Allowable Rate,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,8119.89,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,2059.00,INPATIENT
171313,Average Total Charges,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,15926.57,INPATIENT
171313,MIN,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,2059.00,INPATIENT
171313,MAX,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,15130.24,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,10369.45,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,12104.19,INPATIENT
171313,Cigna Inpatient Allowable Rate,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,15130.24,INPATIENT
171313,Aetna Inpatient Allowable Rate,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,12741.26,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,377,GASTROINTESTINAL HEMORRHAGE WITH MCC,2059.00,INPATIENT
171313,Average Total Charges,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,15678.54,INPATIENT
171313,MIN,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,2059.00,INPATIENT
171313,MAX,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,14894.61,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,6156.48,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,11915.69,INPATIENT
171313,Cigna Inpatient Allowable Rate,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,14894.61,INPATIENT
171313,Aetna Inpatient Allowable Rate,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,12542.83,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,2059.00,INPATIENT
171313,Average Total Charges,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",15153.38,INPATIENT
171313,MIN,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",2059.00,INPATIENT
171313,MAX,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",14395.71,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",7463.40,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",11516.57,INPATIENT
171313,Cigna Inpatient Allowable Rate,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",14395.71,INPATIENT
171313,Aetna Inpatient Allowable Rate,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",12122.71,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",2059.00,INPATIENT
171313,Average Total Charges,603,CELLULITIS WITHOUT MCC,15048.15,INPATIENT
171313,MIN,603,CELLULITIS WITHOUT MCC,2059.00,INPATIENT
171313,MAX,603,CELLULITIS WITHOUT MCC,14295.75,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,603,CELLULITIS WITHOUT MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,603,CELLULITIS WITHOUT MCC,7409.14,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,603,CELLULITIS WITHOUT MCC,11436.60,INPATIENT
171313,Cigna Inpatient Allowable Rate,603,CELLULITIS WITHOUT MCC,14295.75,INPATIENT
171313,Aetna Inpatient Allowable Rate,603,CELLULITIS WITHOUT MCC,12038.52,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,603,CELLULITIS WITHOUT MCC,2059.00,INPATIENT
171313,Average Total Charges,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,13662.69,INPATIENT
171313,MIN,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,2059.00,INPATIENT
171313,MAX,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,14526.75,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,14526.75,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,10383.64,INPATIENT
171313,Cigna Inpatient Allowable Rate,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,12979.56,INPATIENT
171313,Aetna Inpatient Allowable Rate,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,10930.15,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,2059.00,INPATIENT
171313,Average Total Charges,683,RENAL FAILURE WITH CC,8887.67,INPATIENT
171313,MIN,683,RENAL FAILURE WITH CC,2059.00,INPATIENT
171313,MAX,683,RENAL FAILURE WITH CC,9570.68,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,683,RENAL FAILURE WITH CC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,683,RENAL FAILURE WITH CC,9570.68,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,683,RENAL FAILURE WITH CC,6754.63,INPATIENT
171313,Cigna Inpatient Allowable Rate,683,RENAL FAILURE WITH CC,8443.29,INPATIENT
171313,Aetna Inpatient Allowable Rate,683,RENAL FAILURE WITH CC,7110.14,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,683,RENAL FAILURE WITH CC,2059.00,INPATIENT
171313,Average Total Charges,684,RENAL FAILURE WITHOUT CC/MCC,10309.67,INPATIENT
171313,MIN,684,RENAL FAILURE WITHOUT CC/MCC,2059.00,INPATIENT
171313,MAX,684,RENAL FAILURE WITHOUT CC/MCC,9794.19,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,684,RENAL FAILURE WITHOUT CC/MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,684,RENAL FAILURE WITHOUT CC/MCC,7641.80,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,684,RENAL FAILURE WITHOUT CC/MCC,7835.35,INPATIENT
171313,Cigna Inpatient Allowable Rate,684,RENAL FAILURE WITHOUT CC/MCC,9794.19,INPATIENT
171313,Aetna Inpatient Allowable Rate,684,RENAL FAILURE WITHOUT CC/MCC,8247.74,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,684,RENAL FAILURE WITHOUT CC/MCC,2059.00,INPATIENT
171313,Average Total Charges,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,10082.47,INPATIENT
171313,MIN,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,2059.00,INPATIENT
171313,MAX,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,9578.35,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,9041.34,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,7662.68,INPATIENT
171313,Cigna Inpatient Allowable Rate,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,9578.35,INPATIENT
171313,Aetna Inpatient Allowable Rate,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,8065.98,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,2059.00,INPATIENT
171313,Average Total Charges,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,1605.55,INPATIENT
171313,MIN,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,1220.22,INPATIENT
171313,MAX,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,11668.21,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,11668.21,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,1220.22,INPATIENT
171313,Cigna Inpatient Allowable Rate,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,1525.27,INPATIENT
171313,Aetna Inpatient Allowable Rate,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,1284.44,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS,2059.00,INPATIENT
171313,Average Total Charges,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,5944.96,INPATIENT
171313,MIN,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,2059.00,INPATIENT
171313,MAX,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,5647.71,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,5120.15,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,4518.17,INPATIENT
171313,Cigna Inpatient Allowable Rate,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,5647.71,INPATIENT
171313,Aetna Inpatient Allowable Rate,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,4755.97,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,807,VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,2059.00,INPATIENT
171313,Average Total Charges,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,13030.58,INPATIENT
171313,MIN,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,2059.00,INPATIENT
171313,MAX,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,15888.19,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,15888.19,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,9903.24,INPATIENT
171313,Cigna Inpatient Allowable Rate,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,12379.05,INPATIENT
171313,Aetna Inpatient Allowable Rate,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,10424.47,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,2059.00,INPATIENT
171313,Average Total Charges,101,SEIZURES WITHOUT MCC,5022.11,INPATIENT
171313,MIN,101,SEIZURES WITHOUT MCC,2059.00,INPATIENT
171313,MAX,101,SEIZURES WITHOUT MCC,4771.00,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,101,SEIZURES WITHOUT MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,101,SEIZURES WITHOUT MCC,4701.44,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,101,SEIZURES WITHOUT MCC,3816.80,INPATIENT
171313,Cigna Inpatient Allowable Rate,101,SEIZURES WITHOUT MCC,4771.00,INPATIENT
171313,Aetna Inpatient Allowable Rate,101,SEIZURES WITHOUT MCC,4017.69,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,101,SEIZURES WITHOUT MCC,2059.00,INPATIENT
171313,Average Total Charges,163,MAJOR CHEST PROCEDURES WITH MCC,49634.95,INPATIENT
171313,MIN,163,MAJOR CHEST PROCEDURES WITH MCC,2059.00,INPATIENT
171313,MAX,163,MAJOR CHEST PROCEDURES WITH MCC,47153.20,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,163,MAJOR CHEST PROCEDURES WITH MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,163,MAJOR CHEST PROCEDURES WITH MCC,36290.10,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,163,MAJOR CHEST PROCEDURES WITH MCC,37722.56,INPATIENT
171313,Cigna Inpatient Allowable Rate,163,MAJOR CHEST PROCEDURES WITH MCC,47153.20,INPATIENT
171313,Aetna Inpatient Allowable Rate,163,MAJOR CHEST PROCEDURES WITH MCC,39707.96,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,163,MAJOR CHEST PROCEDURES WITH MCC,2059.00,INPATIENT
171313,Average Total Charges,176,PULMONARY EMBOLISM WITHOUT MCC,10808.59,INPATIENT
171313,MIN,176,PULMONARY EMBOLISM WITHOUT MCC,2059.00,INPATIENT
171313,MAX,176,PULMONARY EMBOLISM WITHOUT MCC,10268.16,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,176,PULMONARY EMBOLISM WITHOUT MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,176,PULMONARY EMBOLISM WITHOUT MCC,8219.16,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,176,PULMONARY EMBOLISM WITHOUT MCC,8214.53,INPATIENT
171313,Cigna Inpatient Allowable Rate,176,PULMONARY EMBOLISM WITHOUT MCC,10268.16,INPATIENT
171313,Aetna Inpatient Allowable Rate,176,PULMONARY EMBOLISM WITHOUT MCC,8646.87,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,176,PULMONARY EMBOLISM WITHOUT MCC,2059.00,INPATIENT
171313,Average Total Charges,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,9871.39,INPATIENT
171313,MIN,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,2059.00,INPATIENT
171313,MAX,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,14750.00,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,14750.00,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,7502.25,INPATIENT
171313,Cigna Inpatient Allowable Rate,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,9377.82,INPATIENT
171313,Aetna Inpatient Allowable Rate,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,7897.11,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,2059.00,INPATIENT
171313,Average Total Charges,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,13497.00,INPATIENT
171313,MIN,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,2059.00,INPATIENT
171313,MAX,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,12822.15,INPATIENT
171313,Medicare Inpatient Allowable Rate Per Day,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,2351.00,INPATIENT
171313,Blue Cross Inpatient Allowable Rate,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,11790.38,INPATIENT
171313,United Healthcare Inpatient Allowable Rate,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,10257.72,INPATIENT
171313,Cigna Inpatient Allowable Rate,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,12822.15,INPATIENT
171313,Aetna Inpatient Allowable Rate,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,10797.60,INPATIENT
171313,WPPA Inc Inpatient Allowable Rate Per Day,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,2059.00,INPATIENT
171313,Average Total Charges,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,16303.69,INPATIENT
