id,accession_number,title,maker,ulan,department,classification,culture,period,creation_date,creation_date_earliest,creation_date_latest,accession_date,source_name,object_name,medium,Description,credit_line,paper_support,catalogue_raisonne,portfolio,signed,marks,inscriptions,filename,dimensions,element_type,width_cm,height_cm,depth_cm,width_in,height_in,depth_in,area_in,size_s_m_l,is_3d,orientation_p_l_s,copyright_holder,publicCaption,artistNationality,artistLifeSpan,description,terms,data_date
15,75.4,Portrait of Pink Horwitt,Edna Reindel, 500101252,WCMA,WCMA-PAINTING,,,1932,1932,1932,1975,Williams College Museum of Art,painting,oil on canvas,,Gift of Pink Horwitt,,,,,,l.r. in oil: Edna Reindel/ 1932,IMG_75.4.jpg,Overall: 20 1/16 x 18 1/16 in. (51 x 45.8 cm),Overall,45.8,51.0,0.0,18.03,20.08,0.0,362.04,large,false,P,,,American, 1900-1990,,Term not found,2022-06-14
18,60.13,"Madonna of Humility, with Angels",Giovanni di Nicola da Pisa,not found,WCMA,WCMA-PAINTING,,,14th century,1300,1399,1960,Williams College Museum of Art,panel,tempera on panel,gold ground,Gift of the Samuel H. Kress Foundation,,,,,,,IMG_60.13.JPG,frame: 38 9/16 x 23 1/4 in. (98 x 59 cm),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,,,,Italia, act. 1326-58,gold ground,Term not found,2022-06-14
19,92.17.42.F,"Old Pier and Fish houses, Magnolia, Mass",George Wainwright Harvey,not found,WCMA,WCMA-PRINTS,,,1928,1928,1928,1992,Williams College Museum of Art,etching,etching on paper,,Anonymous gift,,,,,,"l.r. in pencil: GeowHarvey; l.c. in pencil: Old Pier and Fish-Houses-Magnolia Mass-(about 1890)/ Imp.1928- Geo.Wainwright Harvey-Annisquam,Mass-",92_17_42_F.jpg,"sheet: 6 x 7 7/16 in. (15.3 x 18.9 cm)
plate: 3 1/16 x 4 3/16 in. (7.7 x 10.6 cm)
image: 3 3/8 x 4 3/16 in. (8.6 x 10.6 cm)",image,10.64,8.57,0.0,4.19,3.38,0.0,14.16,small,false,L,,,American, 1855-,,Term not found,2022-06-14
20,81.19.F,"Untitled (from ""Song of Songs Which is Solomon's"")",Michael Rothenstein, 500024728,WCMA,WCMA-DEC ARTS,,,1979,1979,1979,1981,Williams College Museum of Art,silkscreen,color silkscreen,,"Gift of Robert J. Flamer, through the Martin S. Ackerman Foundation",,,,,,l.l. in pencil: Michael/ Rothenstein,IMG_81.19.F.jpg,Overall: 20 13/16 x 14 5/16 in. (52.9 x 36.4 cm),Overall,36.4,52.9,0.0,14.33,20.83,0.0,298.49,medium,false,P,,,British, 1908-1993,,Term not found,2022-06-14
21,81.19,"The Song of Songs (with text from ""Song of Solomon"")",Michael Rothenstein, 500024728,WCMA,WCMA-DEC ARTS,,,1979,1979,1979,1981,Williams College Museum of Art,book,book of silkscreens,boxed book with text,"Gift of Robert J. Flamer, through the Martin S. Ackerman Foundation",,,,,,inside cover page c. in pencil: 49/ Michael Rothenstein/ Shelley Rose/ Sebastian Carter,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,,,,British, 1908-1993,boxed book with text,erm not found,2022-06-14
22,81.19.D,"Untitled (from ""Song of Songs Which is Solomon's"")",Michael Rothenstein, 500024728,WCMA,WCMA-DEC ARTS,,,1979,1979,1979,1981,Williams College Museum of Art,silkscreen,color silkscreen,,"Gift of Robert J. Flamer, through the Martin S. Ackerman Foundation",,,,,,l.l. in pencil: Michael/ Rothenstein.,IMG_81.19.D.jpg,Overall: 20 11/16 x 14 3/8 in. (52.5 x 36.5 cm),Overall,36.5,52.5,0.0,14.37,20.67,0.0,297.03,medium,false,P,,,British, 1908-1993,,Term not found,2022-06-14
24,96.30.10,Surf I,Robbert Flick, 500079090,WCMA,WCMA-PHOTO,,,"September 2, 1983",1983,1983,1996,Williams College Museum of Art,photograph,silver print,,"Gift of Barbara S. Doty in honor of her father Henry Strong, Class of 1949",,,,,,"verso in pencil across bottom of sheet: [illegible] 053/82 ""Surf 1"" Robert Flick Sept. 2/83-2/RK-120.4",IMG_96.30.10.jpg,sheet: 19 7/8 x 23 3/4 in. (50.5 x 60.3 cm),sheet,60.33,50.48,0.0,23.75,19.87,0.0,471.91,large,false,L,,,"American, Dutch-born", 1939-,,Term not found,2022-06-14
27,99.16.24,Victims,Paul Landacre, 500069734,WCMA,WCMA-PRINTS,,,no date,1913,1963,1999,Williams College Museum of Art,linocut,linoleum cut on paper,wood engraving inscribed on verso of print,"Gift of David P. Tunick, Class of 1966",,,,,,"l.l. in pencil: 9/   Victims; l.r. in pencil: Paul Landacre; l.l. in image: [symbol]; verso l.l. in pencil: E13854/as-; verso l.c. in pencil: PAUL LANDACRE, VICTIMS, A WOOD ENGRAVING (KENNEDY; verso l.r. in pencil: 7591/[two illegible words]; verso l.r. on old mat in ink: J.F.MEAGHER",99_16_24.jpg,"sheet: 8 13/16 x 11 7/16 in. (22.4 x 29 cm)
image: 7 1/4 x 9 1/2 in. (18.4 x 24.2 cm)",image,24.2,18.4,0.0,9.53,7.24,0.0,69.0,small,false,L,"VAGA at Artist Rights Society (ARS), New York",,American, 1893-1963,wood engraving inscribed on verso of print,Term not found,2022-06-14
29,83.19.A,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel, 500020477,WCMA,WCMA-PRINTS,,,1983,1983,1983,1983,Williams College Museum of Art,aquatint,aquatint and etching,,"Museum purchase, Kathryn Hurd Fund",,,,,,l.l. in pencil: I 35/50; l.r. in pencil: Julian Schnabel 83,83_19_A.jpg,Overall: 29 1/4 x 23 1/4 in. (74.3 x 59 cm),Overall,59.0,74.3,0.0,23.23,29.25,0.0,679.48,large,false,P,"The Artist ,Artists Rights Society (ARS)",,American, 1951-,,Term not found,2022-06-14
30,83.19,TOD: Cage without bars,Julian Schnabel, 500020477,WCMA,WCMA-PRINTS,,,1983,1983,1983,1983,Williams College Museum of Art,portfolio of prints,prints,,"Museum purchase, Kathryn Hurd Fund",,,,,,,IMG_83.19.A.jpg,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,,,,American, 1951-,,erm not found,2022-06-14
31,83.19.B,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel, 500020477,WCMA,WCMA-PRINTS,,,1983,1983,1983,1983,Williams College Museum of Art,aquatint,aquatint and etching,,"Museum purchase, Kathryn Hurd Fund",,,,,,l.l. in pencil: II 35/50; l.r. in pencil: Julian Schnabel 83,83_19_B.jpg,Overall: 29 5/16 x 23 7/16 in. (74.4 x 59.5 cm),Overall,59.5,74.4,0.0,23.43,29.29,0.0,686.26,large,false,P,"The Artist ,Artists Rights Society (ARS)",,American, 1951-,,Term not found,2022-06-14
32,83.19.C,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel, 500020477,WCMA,WCMA-PRINTS,,,1983,1983,1983,1983,Williams College Museum of Art,aquatint,aquatint and etching,,"Museum purchase, Kathryn Hurd Fund",,,,,,l.l. in pencil: III 35/50; l.r. in pencil: Julian Schnabel 83,83_19_C.jpg,Overall: 29 11/16 x 23 3/8 in. (75.4 x 59.3 cm),Overall,59.3,75.4,0.0,23.35,29.68,0.0,693.03,large,false,P,"The Artist ,Artists Rights Society (ARS)",,American, 1951-,,Term not found,2022-06-14
33,83.19.E,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel, 500020477,WCMA,WCMA-PRINTS,,,1983,1983,1983,1983,Williams College Museum of Art,aquatint,aquatint and etching on paper,,"Museum purchase, Kathryn Hurd Fund",,,,,,l.l. in pencil: V 35/50; l.r. in pencil: Julian Schnabel 83,83_19_E.jpg,"sheet: 29 5/16 x 23 1/4 in. (74.5 x 59 cm)
frame: 42 1/8 x 31 7/8 in. (107 x 81 cm)",sheet,59.0,74.5,0.0,23.23,29.33,0.0,681.34,large,false,P,"The Artist ,Artists Rights Society (ARS)",,American, 1951-,,Term not found,2022-06-14
35,81.12.1.F,"Untitled (from ""Dogs"")",Dieter Roth, 500023079,WCMA,WCMA-PRINTS,,,1979,1979,1979,1981,Williams College Museum of Art,print,color print,,"Gift of Robert Steinberg, through the Martin S. Ackerman Foundation",,,,,,u.r. in pencil: 91/100/ Dieter Roth 79,IMG_81.12.1.F.jpg,sheet: 19 3/4 x 13 3/4 in. (50.2 x 34.9 cm),sheet,34.9,50.2,0.0,13.74,19.76,0.0,271.5,medium,false,P,Artist or artist's estate,,Swiss, 1930-1998,,Term not found,2022-06-14
36,79.53.B,"Safeguarding of Life (from ""Struggle in the West: The Bombing of London"")",Ronald B. Kitaj, 500007852,WCMA,WCMA-PRINTS,,,1969-1970,1969,1970,1979,Williams College Museum of Art,screenprint,color screenprint on paper,,"Gift of Fred R. Nederlander, through the Martin S. Ackerman Foundation",,,,,,u.r. in pencil: Kitaj 27/70,79_53_B.jpg,sheet: 26 1/4 x 39 1/4 in. (66.6 x 99.7 cm),sheet,99.7,66.6,0.0,39.25,26.22,0.0,1029.13,large,false,L,Artist or artist's estate,,American, 1932-2007,,Term not found,2022-06-14
37,81.46.7,Embossed Linear Construction 1-D,Josef Albers, 500033049,WCMA,WCMA-PRINTS,,,1969,1969,1969,1981,Williams College Museum of Art,print,embossed print,,"Gift of Frederick M. Myers, Class of 1943",,,,,,l.l. in pencil: ECL  1-D  4/100; l.r. in pencil: A'69; verso l.l. in pencil: JA-69-252,81_46_7.jpg,"sheet: 20 1/16 x 26 1/16 in. (50.9 x 66.2 cm)
plate: 8 x 18 1/16 in. (20.3 x 45.8 cm)",sheet,66.2,50.9,0.0,26.06,20.04,0.0,522.24,large,false,L,Artists Rights Society (ARS),,"American, born Germa", 1888-1976,,Term not found,2022-06-14
38,82.21.6.D,"Untitled (from ""The Gates to Times Square"")",CHRYSSA, 500022002,WCMA,WCMA-PRINTS,,,no date,1933,1982,1982,Williams College Museum of Art,silkscreen,color silkscreen on paper,,Gift of Martin J. Oppenheimer,,,,,,l.l. in pencil 14/100; l.r. in pencil: Chryssa,82_21_6_D.jpg,sheet: 40 3/16 x 29 15/16 in. (102.1 x 76 cm),sheet,76.0,102.1,0.0,29.92,40.2,0.0,1202.78,large,false,P,Artist or artist's estate,,not found,not found,,Term not found,2022-06-14
39,82.21.6.I,"Untitled (from ""The Gates to Times Square"")",CHRYSSA, 500022002,WCMA,WCMA-PRINTS,,,no date,1933,1982,1982,Williams College Museum of Art,silkscreen,color silkscreen on paper,,Gift of Martin J. Oppenheimer,,,,,,l.l. in pencil 14/100; l.r. in pencil: Chryssa,82_21_6_I.jpg,"sheet: 40 1/4 x 29 15/16 in. (102.2 x 76.1 cm)
image: 32 1/16 x 24 5/8 in. (81.5 x 62.5 cm)",image,62.5,81.5,0.0,24.61,32.09,0.0,789.73,large,false,P,Artist or artist's estate,,not found,not found,,Term not found,2022-06-14
40,77.53.29,Untitled (D. XVIII),Richard Howard Hunt, 500124131,WCMA,WCMA-PRINTS,,,1974,1974,1974,1977,Williams College Museum of Art,screenprint,screenprint on paper,,Gift of Mr. and Mrs. George Prussin,,,,,,in image l.c. in pencil: 10/50; in image l.r. in pencil: R Hunt; verso l.r. in pencil: D. XVIII,77_53_29.jpg,sheet: 30 3/16 x 22 1/2 in. (76.7 x 57.1 cm),sheet,57.1,76.7,0.0,22.48,30.2,0.0,678.9,large,false,P,Artist or artist's estate,,American, 1935-,,Term not found,2022-06-14
41,80.25.3.C,"Untitled (from ""The Domestic Life of the Rainbow"")",Patrick Hughes, 500000250,WCMA,WCMA-PRINTS,,,1979,1979,1979,1980,Williams College Museum of Art,silkscreen,color silkscreen on paper,,"Gift of Jerome Singer, through the Martin S. Ackerman Foundation",,,,,,l.l. in pencil: 36/120; l.r. in pencil: Hughes 79,IMG_80.25.3.C.jpg,Overall: 5 9/16 x 8 7/8 in. (14.1 x 22.5 cm),Overall,22.5,14.1,0.0,8.86,5.55,0.0,49.17,small,false,L,Artist or artist's estate,,British, 1939-,,Term not found,2022-06-14
42,80.25.3.H,"Untitled (from ""The Domestic Life of the Rainbow"")",Patrick Hughes, 500000250,WCMA,WCMA-PRINTS,,,1979,1979,1979,1980,Williams College Museum of Art,silkscreen,color silkscreen on paper,,"Gift of Jerome Singer, through the Martin S. Ackerman Foundation",,,,,,l.l. in pencil: 36/120; l.r. in pencil: Hughes 79,IMG_80.25.3.H.jpg,sheet: 8 7/8 x 5 1/2 in. (22.5 x 14 cm),sheet,14.0,22.5,0.0,5.51,8.86,0.0,48.82,small,false,P,Artist or artist's estate,,British, 1939-,,Term not found,2022-06-14
44,72.42,Church,Thomas Frank Akawie, 500091614,WCMA,WCMA-PAINTING,,,"June 16, 1968",1968,1968,1972,Williams College Museum of Art,painting,acrylic polymer on panel,,"Gift of Susan W. and Stephen D. Paine, Class of 1954",,,,,,"on verso, in graphite: June 16, 1968 [artist's monogram]; on verso label: [Collection of Stephen D. Paine]",72_42.jpg,Overall: 10 1/8 x 7/8 in. (25.7 x 2.2 cm),Overall,0.0,0.0,2.2,0.0,0.0,0.87,0.0,small,true,,The Artist,,American, 1935-,,Term not found,2022-06-14
45,79.23,Silver Grotto / Yellow Grotto,Bruce Nauman,not found,WCMA,WCMA-PRINTS,,,1975,1975,1975,1979,Williams College Museum of Art,screenprint,screenprint on paper,,"Museum purchase, Karl E. Weston Memorial Fund",,,,,,l.r. in pencil: BNauman 8/20 75,,sheet: 30 1/8 x 83 7/16 in. (76.5 x 212 cm),sheet,212.0,76.5,0.0,83.46,30.12,0.0,2513.82,large,false,L,Artists Rights Society (ARS),,American, 1941-,,Term not found,2022-06-14
46,RC.36.9,Falcon,Paul Dreher,not found,WCMA,WCMA Reserve Collection,,,1982,1982,1982,1994,Williams College Museum of Art,sculpture,"agate, jasper, aquamarine",,"Gift of John C. Walsh, Class of 1954",,,,,,,RC_36_9.jpg,Overall: 11 7/16 x 4 3/4 x 4 1/2 in. (29 x 12 x 11.5 cm),Overall,12.0,29.0,11.5,4.72,11.42,4.53,53.9,small,true,P,,,not found,not found,,erm not found,2022-06-14
51,81.31.84,Three Men,Edmund Blampied, 500025390,WCMA,WCMA-DRAWING,,,1921,1921,1921,1981,Williams College Museum of Art,drawing,pen and ink on paper,,"Gift of Milton C. Rose, Class of 1927",,,,,,u.r. in ink: Blampied 1921.,81_31_84.jpg,Overall: 8 7/8 x 7 13/16 in. (22.5 x 19.8 cm),Overall,19.8,22.5,0.0,7.8,8.86,0.0,69.11,small,false,P,Artist or artist's estate,,British, 1886-1966,,Term not found,2022-06-14
53,57.3,Memorial Day,Allen Tucker, 500025045,WCMA,WCMA-PAINTING,,,1930,1930,1930,1957,Williams College Museum of Art,painting,oil on canvas,,Gift of the Allen Tucker Memorial,,,,,,"l.r. in oil: Allen Tucker; verso u.l. in oil on stretcher: ""Memorial Day"" [illegible]. 30",57_3.jpg,"Overall: 19 15/16 x 24 in. (50.7 x 61 cm)
frame: 26 3/8 x 30 7/16 in. (67 x 77.3 cm)",Overall,61.0,50.7,0.0,24.02,19.96,0.0,479.44,large,false,L,,,American, 1866-1939,,Term not found,2022-06-14
56,81.46.6,Embossed Linear Construction 1-C,Josef Albers, 500033049,WCMA,WCMA-PRINTS,,,1969,1969,1969,1981,Williams College Museum of Art,print,embossed print,,"Gift of Frederick M. Myers, Class of 1943",,,,,,l.l. in pencil: ECL  1-C  4/100; l.r. in pencil: A'69; verso l.l. in pencil: JA-69-251,81_46_6.jpg,"sheet: 20 x 26 1/16 in. (50.8 x 66.2 cm)
plate: 7 15/16 x 18 1/16 in. (20.2 x 45.8 cm)",sheet,66.2,50.8,0.0,26.06,20.0,0.0,521.2,large,false,L,Artists Rights Society (ARS),,"American, born Germa", 1888-1976,,Term not found,2022-06-14
57,81.46.10,Embossed Linear Construction 2-C,Josef Albers, 500033049,WCMA,WCMA-PRINTS,,,1969,1969,1969,1981,Williams College Museum of Art,print,embossed print,,"Gift of Frederick M. Myers, Class of 1943",,,,,,l.l. in pencil: ECL  2-C  4/100; l.r. in pencil: A'69; verso l.l. in pencil: JA-69-254,81_46_10.jpg,"sheet: 20 x 26 1/16 in. (50.8 x 66.2 cm)
plate: 8 11/16 x 20 9/16 in. (22.1 x 52.2 cm)",sheet,66.2,50.8,0.0,26.06,20.0,0.0,521.2,large,false,L,Artists Rights Society (ARS),,"American, born Germa", 1888-1976,,Term not found,2022-06-14
59,82.21.6.O,"Untitled (from ""The Gates to Times Square"")",CHRYSSA, 500022002,WCMA,WCMA-PRINTS,,,no date,1933,1982,1982,Williams College Museum of Art,silkscreen,color silkscreen on paper,,Gift of Martin J. Oppenheimer,,,,,,l.l. in pencil: 14/100; l.r. in pencil: Chryssa,82_21_6_O.jpg,"sheet: 40 1/4 x 30 9/16 in. (102.2 x 77.6 cm)
image: 33 3/4 x 17 13/16 in. (85.7 x 45.2 cm)",image,45.2,85.7,0.0,17.8,33.74,0.0,600.57,large,false,P,,,not found,not found,,Term not found,2022-06-14
60,82.21.6.F,"Untitled (from ""The Gates to Times Square"")",CHRYSSA, 500022002,WCMA,WCMA-PRINTS,,,no date,1933,1982,1982,Williams College Museum of Art,silkscreen,color silkscreen on paper,,Gift of Martin J. Oppenheimer,,,,,,l.l. in pencil 14/100; l.r. in pencil: Chryssa,82_21_6_F.jpg,"sheet: 40 1/4 x 29 in. (102.2 x 73.7 cm)
image: 35 13/16 x 22 5/8 in. (91 x 57.5 cm)",image,57.5,91.0,0.0,22.64,35.83,0.0,811.19,large,false,P,Artist or artist's estate,,not found,not found,,Term not found,2022-06-14
61,81.12.1.M,"Untitled (from ""Dogs"")",Dieter Roth, 500023079,WCMA,WCMA-PRINTS,,,1979,1979,1979,1981,Williams College Museum of Art,print,color print,,"Gift of Robert Steinberg, through the Martin S. Ackerman Foundation",,,,,,l.c. in pencil: 91/100/ Dieter Roth 79,IMG_81.12.1.M.jpg,sheet: 19 13/16 x 13 13/16 in. (50.3 x 35.1 cm),sheet,35.1,50.3,0.0,13.82,19.8,0.0,273.64,medium,false,P,Artist or artist's estate,,Swiss, 1930-1998,,Term not found,2022-06-14
63,77.42.1,"Construction Detail, South Wall, United American Van and Storage, 2841 Alton Irvine (from ""New Industrial Parks"")",Lewis Baltz, 500011333,WCMA,WCMA-PHOTO,,,1974,1974,1974,1977,Williams College Museum of Art,photograph,gelatin silver print,,"Museum purchase, Karl E. Weston Memorial Fund",,,,,,no inscription,77_42_1.jpg,"sheet: 7 7/8 x 9 15/16 in. (20 x 25.3 cm)
image: 6 x 8 7/8 in. (15.2 x 22.6 cm)",image,22.6,15.2,0.0,8.9,5.98,0.0,53.22,small,false,L,,,not found,not found,,Term not found,2022-06-14
65,EL.83.13.13,Flash Unit with leather case,Agfa-Ansco,not found,WCMA,WCMA-PHOTO,,,no date,0,0,,Williams College Museum of Art,flash unit | case,"leather, metal and glass",,"On extended loan from Robert M. Dunn, Class of 1931",,,,,,,EL.83.13.13.JPG,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,false,,,,not found,not found,,Term not found,2022-06-14
66,77.52.1,"Midnight + Noon I (from the portfolio ""Midnight and Noon"")",Josef Albers, 500033049,WCMA,WCMA-PRINTS,,,1964,1964,1964,1977,Williams College Museum of Art,lithograph,lithograph on paper,,Gift of Jim Dine,,,Midnight and Noon,,,l.l. in pencil: Midnight + Noon I 8/20; l.r. in pencil: Albers 1964; verso l.r. in pencil: #1100,77_52_1.jpg,"sheet: 18 7/8 x 20 5/8 in. (48 x 52.4 cm)
image: 15 3/4 x 15 13/16 in. (40 x 40.2 cm)",image,40.2,40.0,0.0,15.83,15.75,0.0,249.32,medium,false,L,Artists Rights Society (ARS),,"American, born Germa", 1888-1976,,Term not found,2022-06-14
67,77.52.8,"Midnight + Noon VIII (from the porfolio ""Midnight and Noon"")",Josef Albers, 500033049,WCMA,WCMA-PRINTS,,,1964,1964,1964,1977,Williams College Museum of Art,lithograph,color lithograph on paper,,Gift of Jim Dine,,,Midnight and Noon,,,l.l. in pencil: Midnight + Noon VIII 8/20; l.r. in pencil: Albers 1964; verso l.r. in pencil: 1107,77_52_8.jpg,"sheet: 19 x 20 11/16 in. (48.2 x 52.6 cm)
image: 15 3/4 x 15 7/8 in. (40 x 40.3 cm)",image,40.3,40.0,0.0,15.87,15.75,0.0,249.95,medium,false,L,Artists Rights Society (ARS),,"American, born Germa", 1888-1976,,Term not found,2022-06-14
69,99.10.L,"soul (from ""Word"")",Lesley Dill, 500330492,WCMA,WCMA-PRINTS,,,1994,1994,1994,1999,Williams College Museum of Art,lithograph,lithograph on paper | collage | string,collage with string element,"Museum purchase, Joseph O. Eaton Fund, Miscellaneous Gifts Fund",,,,,,l.l. in pencil: Lesley Dill 30/30; verso l.l. in white: [symbol]/[symbol]; verso l.l. in pencil: 94.345,99_10_L.jpg,Overall: 11 5/8 x 9 11/16 in. (29.5 x 24.6 cm),Overall,24.6,29.5,0.0,9.69,11.61,0.0,112.5,medium,false,P,,,American, 1950-,collage with string element,Term not found,2022-06-14
70,48.3,Virgin(?) with Three Apostles(?) Praying,French,not found,WCMA,WCMA-DEC ARTS,,,1525-1550,1525,1550,1948,Williams College Museum of Art,stained glass,"pot metal glass, white with silver stain and sanguine",,"Gift of Karl E. Weston, Class of 1896",,,,,,verso c.r. in black on frame: no - 94,48.3.JPG,"Overall: 20 7/8 x 25 in. (53 x 63.5 cm)
frame: 23 1/4 x 27 9/16 in. (59 x 70 cm)",Overall,63.5,53.0,0.0,25.0,20.87,0.0,521.75,large,false,L,,,not found,not found,,Term not found,2022-06-14
