object_number,accession_number,title,maker_full_name,culture,period,date_description,year_start,year_end,accession_year,category,materials,credit_line,inscriptions,dimensions,image_url,source_1,maker_birth_year,maker_death_year,institution_name,institution_city,institution_state,institution_country,institution_latitude,institution_longitude
20,81.19.F,"Untitled (from ""Song of Songs Which is Solomon's"")",Michael Rothenstein,,,1979,1979,1979,1981,silkscreen,color silkscreen,"Gift of Robert J. Flamer, through the Martin S. Ackerman Foundation",l.l. in pencil: Michael/ Rothenstein,Overall: 20 13/16 x 14 5/16 in. (52.9 x 36.4 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=20,https://github.com/wcmaart/collection, 1908,1993,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
21,81.19,"The Song of Songs (with text from ""Song of Solomon"")",Michael Rothenstein,,,1979,1979,1979,1981,book,book of silkscreens,"Gift of Robert J. Flamer, through the Martin S. Ackerman Foundation",inside cover page c. in pencil: 49/ Michael Rothenstein/ Shelley Rose/ Sebastian Carter,,https://get-thumb.herokuapp.com/getThumb.php?objectid=21,https://github.com/wcmaart/collection, 1908,1993,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
22,81.19.D,"Untitled (from ""Song of Songs Which is Solomon's"")",Michael Rothenstein,,,1979,1979,1979,1981,silkscreen,color silkscreen,"Gift of Robert J. Flamer, through the Martin S. Ackerman Foundation",l.l. in pencil: Michael/ Rothenstein.,Overall: 20 11/16 x 14 3/8 in. (52.5 x 36.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=22,https://github.com/wcmaart/collection, 1908,1993,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
24,96.30.10,Surf I,Robbert Flick,,,"September 2, 1983",1983,1983,1996,photograph,silver print,"Gift of Barbara S. Doty in honor of her father Henry Strong, Class of 1949","verso in pencil across bottom of sheet: [illegible] 053/82 ""Surf 1"" Robert Flick Sept. 2/83-2/RK-120.4",sheet: 19 7/8 x 23 3/4 in. (50.5 x 60.3 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=24,https://github.com/wcmaart/collection, 1939,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
27,99.16.24,Victims,Paul Landacre,,,,1913,1963,1999,linocut,linoleum cut on paper,"Gift of David P. Tunick, Class of 1966","l.l. in pencil: 9/   Victims; l.r. in pencil: Paul Landacre; l.l. in image: [symbol]; verso l.l. in pencil: E13854/as-; verso l.c. in pencil: PAUL LANDACRE, VICTIMS, A WOOD ENGRAVING (KENNEDY; verso l.r. in pencil: 7591/[two illegible words]; verso l.r. on old mat in ink: J.F.MEAGHER","sheet: 8 13/16 x 11 7/16 in. (22.4 x 29 cm)
image: 7 1/4 x 9 1/2 in. (18.4 x 24.2 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=27,https://github.com/wcmaart/collection, 1893,1963,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
29,83.19.A,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel,,,1983,1983,1983,1983,aquatint,aquatint and etching,"Museum purchase, Kathryn Hurd Fund",l.l. in pencil: I 35/50; l.r. in pencil: Julian Schnabel 83,Overall: 29 1/4 x 23 1/4 in. (74.3 x 59 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=29,https://github.com/wcmaart/collection, 1951,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
30,83.19,TOD: Cage without bars,Julian Schnabel,,,1983,1983,1983,1983,portfolio of prints,prints,"Museum purchase, Kathryn Hurd Fund",,,https://get-thumb.herokuapp.com/getThumb.php?objectid=30,https://github.com/wcmaart/collection, 1951,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
31,83.19.B,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel,,,1983,1983,1983,1983,aquatint,aquatint and etching,"Museum purchase, Kathryn Hurd Fund",l.l. in pencil: II 35/50; l.r. in pencil: Julian Schnabel 83,Overall: 29 5/16 x 23 7/16 in. (74.4 x 59.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=31,https://github.com/wcmaart/collection, 1951,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
32,83.19.C,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel,,,1983,1983,1983,1983,aquatint,aquatint and etching,"Museum purchase, Kathryn Hurd Fund",l.l. in pencil: III 35/50; l.r. in pencil: Julian Schnabel 83,Overall: 29 11/16 x 23 3/8 in. (75.4 x 59.3 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=32,https://github.com/wcmaart/collection, 1951,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
33,83.19.E,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel,,,1983,1983,1983,1983,aquatint,aquatint and etching on paper,"Museum purchase, Kathryn Hurd Fund",l.l. in pencil: V 35/50; l.r. in pencil: Julian Schnabel 83,"sheet: 29 5/16 x 23 1/4 in. (74.5 x 59 cm)
frame: 42 1/8 x 31 7/8 in. (107 x 81 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=33,https://github.com/wcmaart/collection, 1951,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
35,81.12.1.F,"Untitled (from ""Dogs"")",Dieter Roth,,,1979,1979,1979,1981,print,color print,"Gift of Robert Steinberg, through the Martin S. Ackerman Foundation",u.r. in pencil: 91/100/ Dieter Roth 79,sheet: 19 3/4 x 13 3/4 in. (50.2 x 34.9 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=35,https://github.com/wcmaart/collection, 1930,1998,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
36,79.53.B,"Safeguarding of Life (from ""Struggle in the West: The Bombing of London"")",Ronald B. Kitaj,,,1969-1970,1969,1970,1979,screenprint,color screenprint on paper,"Gift of Fred R. Nederlander, through the Martin S. Ackerman Foundation",u.r. in pencil: Kitaj 27/70,sheet: 26 1/4 x 39 1/4 in. (66.6 x 99.7 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=36,https://github.com/wcmaart/collection, 1932,2007,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
37,81.46.7,Embossed Linear Construction 1-D,Josef Albers,,,1969,1969,1969,1981,print,embossed print,"Gift of Frederick M. Myers, Class of 1943",l.l. in pencil: ECL  1-D  4/100; l.r. in pencil: A'69; verso l.l. in pencil: JA-69-252,"sheet: 20 1/16 x 26 1/16 in. (50.9 x 66.2 cm)
plate: 8 x 18 1/16 in. (20.3 x 45.8 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=37,https://github.com/wcmaart/collection, 1888,1976,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
38,82.21.6.D,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,,,,1933,1982,1982,silkscreen,color silkscreen on paper,Gift of Martin J. Oppenheimer,l.l. in pencil 14/100; l.r. in pencil: Chryssa,sheet: 40 3/16 x 29 15/16 in. (102.1 x 76 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=38,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
39,82.21.6.I,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,,,,1933,1982,1982,silkscreen,color silkscreen on paper,Gift of Martin J. Oppenheimer,l.l. in pencil 14/100; l.r. in pencil: Chryssa,"sheet: 40 1/4 x 29 15/16 in. (102.2 x 76.1 cm)
image: 32 1/16 x 24 5/8 in. (81.5 x 62.5 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=39,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
40,77.53.29,Untitled (D. XVIII),Richard Howard Hunt,,,1974,1974,1974,1977,screenprint,screenprint on paper,Gift of Mr. and Mrs. George Prussin,in image l.c. in pencil: 10/50; in image l.r. in pencil: R Hunt; verso l.r. in pencil: D. XVIII,sheet: 30 3/16 x 22 1/2 in. (76.7 x 57.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=40,https://github.com/wcmaart/collection, 1935,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
41,80.25.3.C,"Untitled (from ""The Domestic Life of the Rainbow"")",Patrick Hughes,,,1979,1979,1979,1980,silkscreen,color silkscreen on paper,"Gift of Jerome Singer, through the Martin S. Ackerman Foundation",l.l. in pencil: 36/120; l.r. in pencil: Hughes 79,Overall: 5 9/16 x 8 7/8 in. (14.1 x 22.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=41,https://github.com/wcmaart/collection, 1939,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
42,80.25.3.H,"Untitled (from ""The Domestic Life of the Rainbow"")",Patrick Hughes,,,1979,1979,1979,1980,silkscreen,color silkscreen on paper,"Gift of Jerome Singer, through the Martin S. Ackerman Foundation",l.l. in pencil: 36/120; l.r. in pencil: Hughes 79,sheet: 8 7/8 x 5 1/2 in. (22.5 x 14 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=42,https://github.com/wcmaart/collection, 1939,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
44,72.42,Church,Thomas Frank Akawie,,,"June 16, 1968",1968,1968,1972,painting,acrylic polymer on panel,"Gift of Susan W. and Stephen D. Paine, Class of 1954","on verso, in graphite: June 16, 1968 [artist's monogram]; on verso label: [Collection of Stephen D. Paine]",Overall: 10 1/8 x 7/8 in. (25.7 x 2.2 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=44,https://github.com/wcmaart/collection, 1935,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
45,79.23,Silver Grotto / Yellow Grotto,Bruce Nauman,,,1975,1975,1975,1979,screenprint,screenprint on paper,"Museum purchase, Karl E. Weston Memorial Fund",l.r. in pencil: BNauman 8/20 75,sheet: 30 1/8 x 83 7/16 in. (76.5 x 212 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=45,https://github.com/wcmaart/collection, 1941,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
46,RC.36.9,Falcon,Paul Dreher,,,1982,1982,1982,1994,sculpture,"agate, jasper, aquamarine","Gift of John C. Walsh, Class of 1954",,Overall: 11 7/16 x 4 3/4 x 4 1/2 in. (29 x 12 x 11.5 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=46,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
51,81.31.84,Three Men,Edmund Blampied,,,1921,1921,1921,1981,drawing,pen and ink on paper,"Gift of Milton C. Rose, Class of 1927",u.r. in ink: Blampied 1921.,Overall: 8 7/8 x 7 13/16 in. (22.5 x 19.8 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=51,https://github.com/wcmaart/collection, 1886,1966,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
53,57.3,Memorial Day,Allen Tucker,,,1930,1930,1930,1957,painting,oil on canvas,Gift of the Allen Tucker Memorial,"l.r. in oil: Allen Tucker; verso u.l. in oil on stretcher: ""Memorial Day"" [illegible]. 30","Overall: 19 15/16 x 24 in. (50.7 x 61 cm)
frame: 26 3/8 x 30 7/16 in. (67 x 77.3 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=53,https://github.com/wcmaart/collection, 1866,1939,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
56,81.46.6,Embossed Linear Construction 1-C,Josef Albers,,,1969,1969,1969,1981,print,embossed print,"Gift of Frederick M. Myers, Class of 1943",l.l. in pencil: ECL  1-C  4/100; l.r. in pencil: A'69; verso l.l. in pencil: JA-69-251,"sheet: 20 x 26 1/16 in. (50.8 x 66.2 cm)
plate: 7 15/16 x 18 1/16 in. (20.2 x 45.8 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=56,https://github.com/wcmaart/collection, 1888,1976,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
57,81.46.10,Embossed Linear Construction 2-C,Josef Albers,,,1969,1969,1969,1981,print,embossed print,"Gift of Frederick M. Myers, Class of 1943",l.l. in pencil: ECL  2-C  4/100; l.r. in pencil: A'69; verso l.l. in pencil: JA-69-254,"sheet: 20 x 26 1/16 in. (50.8 x 66.2 cm)
plate: 8 11/16 x 20 9/16 in. (22.1 x 52.2 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=57,https://github.com/wcmaart/collection, 1888,1976,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
59,82.21.6.O,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,,,,1933,1982,1982,silkscreen,color silkscreen on paper,Gift of Martin J. Oppenheimer,l.l. in pencil: 14/100; l.r. in pencil: Chryssa,"sheet: 40 1/4 x 30 9/16 in. (102.2 x 77.6 cm)
image: 33 3/4 x 17 13/16 in. (85.7 x 45.2 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=59,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
60,82.21.6.F,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,,,,1933,1982,1982,silkscreen,color silkscreen on paper,Gift of Martin J. Oppenheimer,l.l. in pencil 14/100; l.r. in pencil: Chryssa,"sheet: 40 1/4 x 29 in. (102.2 x 73.7 cm)
image: 35 13/16 x 22 5/8 in. (91 x 57.5 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=60,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
61,81.12.1.M,"Untitled (from ""Dogs"")",Dieter Roth,,,1979,1979,1979,1981,print,color print,"Gift of Robert Steinberg, through the Martin S. Ackerman Foundation",l.c. in pencil: 91/100/ Dieter Roth 79,sheet: 19 13/16 x 13 13/16 in. (50.3 x 35.1 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=61,https://github.com/wcmaart/collection, 1930,1998,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
63,77.42.1,"Construction Detail, South Wall, United American Van and Storage, 2841 Alton Irvine (from ""New Industrial Parks"")",Lewis Baltz,,,1974,1974,1974,1977,photograph,gelatin silver print,"Museum purchase, Karl E. Weston Memorial Fund",,"sheet: 7 7/8 x 9 15/16 in. (20 x 25.3 cm)
image: 6 x 8 7/8 in. (15.2 x 22.6 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=63,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
65,EL.83.13.13,Flash Unit with leather case,Agfa-Ansco,,,,0,0,,flash unit | case,"leather, metal and glass","On extended loan from Robert M. Dunn, Class of 1931",,,https://get-thumb.herokuapp.com/getThumb.php?objectid=65,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
66,77.52.1,"Midnight + Noon I (from the portfolio ""Midnight and Noon"")",Josef Albers,,,1964,1964,1964,1977,lithograph,lithograph on paper,Gift of Jim Dine,l.l. in pencil: Midnight + Noon I 8/20; l.r. in pencil: Albers 1964; verso l.r. in pencil: #1100,"sheet: 18 7/8 x 20 5/8 in. (48 x 52.4 cm)
image: 15 3/4 x 15 13/16 in. (40 x 40.2 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=66,https://github.com/wcmaart/collection, 1888,1976,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
67,77.52.8,"Midnight + Noon VIII (from the porfolio ""Midnight and Noon"")",Josef Albers,,,1964,1964,1964,1977,lithograph,color lithograph on paper,Gift of Jim Dine,l.l. in pencil: Midnight + Noon VIII 8/20; l.r. in pencil: Albers 1964; verso l.r. in pencil: 1107,"sheet: 19 x 20 11/16 in. (48.2 x 52.6 cm)
image: 15 3/4 x 15 7/8 in. (40 x 40.3 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=67,https://github.com/wcmaart/collection, 1888,1976,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
69,99.10.L,"soul (from ""Word"")",Lesley Dill,,,1994,1994,1994,1999,lithograph,lithograph on paper | collage | string,"Museum purchase, Joseph O. Eaton Fund, Miscellaneous Gifts Fund",l.l. in pencil: Lesley Dill 30/30; verso l.l. in white: [symbol]/[symbol]; verso l.l. in pencil: 94.345,Overall: 11 5/8 x 9 11/16 in. (29.5 x 24.6 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=69,https://github.com/wcmaart/collection, 1950,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
70,48.3,Virgin(?) with Three Apostles(?) Praying,French,,,1525-1550,1525,1550,1948,stained glass,"pot metal glass, white with silver stain and sanguine","Gift of Karl E. Weston, Class of 1896",verso c.r. in black on frame: no - 94,"Overall: 20 7/8 x 25 in. (53 x 63.5 cm)
frame: 23 1/4 x 27 9/16 in. (59 x 70 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=70,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
71,88.6.34,"Horse brass,Dome in Scalloped Circle",British,,,19th - early 20th century,1800,1950,1988,metalwork,brass,"Gift of J. Rodney Weiss, Class of 1955, from the collection of the late Dr. Bernard H. Hall",,Overall: 3 3/8 x 4 3/16 x 1 1/8 in. (8.6 x 10.6 x 2.9 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=71,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
72,61.8,River Scene,Charles François Daubigny,,,c. 1865-1870,1865,1870,1961,painting,oil on canvas,"Gift of Senator Herbert H. Lehman, Class of 1899",l.l. in oil: Daubigny,"Overall: 24 13/16 x 37 in. (63 x 94 cm)
frame: 33 7/16 x 45 11/16 in. (85 x 116 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=72,https://github.com/wcmaart/collection, 1817,1878,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
73,82.21.3.A,Still Space Nightlight Milkyway Center by Earth Hour,Charles Ross,,,1980,1980,1980,1982,silkscreen,color silkscreen on paper,Gift of Martin J. Oppenheimer,l.l. in pencil: 2/100 Star Space Nightlight Milkyway Center by Earth Hour.,"image: 29 15/16 x 37 1/4 in. (76 x 94.6 cm)
sheet: 36 x 40 1/4 in. (91.4 x 102.3 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=73,https://github.com/wcmaart/collection, 1937,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
74,82.21.3.C,Star Space Daylight Milkyway Center by Earth Hour,Charles Ross,,,1980,1980,1980,1982,silkscreen,color silkscreen on paper,Gift of Martin J. Oppenheimer,l.l. in pencil: 2/100 Star Space Daylight Milkyway Center by Earth Hour,"image: 30 x 37 3/16 in. (76.2 x 94.5 cm)
sheet: 36 x 40 5/16 in. (91.4 x 102.4 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=74,https://github.com/wcmaart/collection, 1937,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
76,92.5.30.C,The Giant Slotters,David Muirhead Bone,,,1917,1917,1917,1992,print,print,"Found in the collection and catalogued, 1992",,Overall: 31 1/2 x 22 1/16 in. (80 x 56 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=76,https://github.com/wcmaart/collection, 1876,1953,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
77,92.5.30.F,Night Shift Working the Great Gun,David Muirhead Bone,,,1917,1917,1917,1992,print,print,"Found in the collection and catalogued, 1992",,Overall: 31 1/2 x 22 1/16 in. (80 x 56 cm),https://get-thumb.herokuapp.com/getThumb.php?objectid=77,https://github.com/wcmaart/collection, 1876,1953,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
79,82.21.6.K,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,,,,1933,1982,1982,silkscreen,color silkscreen on paper,Gift of Martin J. Oppenheimer,l.l. in pencil 14/100; l.r. in pencil: Chryssa,"sheet: 40 3/16 x 30 in. (102 x 76.2 cm)
image: 32 3/16 x 24 5/8 in. (81.7 x 62.6 cm)",https://get-thumb.herokuapp.com/getThumb.php?objectid=79,https://github.com/wcmaart/collection,,,Williams College Museum of Art (,Williamstown,Massachusetts,United States,42.7112131380762,-73.20269661733933
