Institution,Institution Type,County,Fiscal Year,Date,Corrections Population,Address + Lat/Long
Somerset (SMR),State Correctional Institution,Somerset,FY 2019-2020,09/30/2019,2295,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2019-2020,09/30/2019,1422,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2019-2020,09/30/2019,1391,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2019-2020,09/30/2019,1233,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Rockview (ROC),State Correctional Institution,Centre,FY 2019-2020,09/30/2019,2241,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2018-2019,03/31/2019,2335,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2018-2019,04/30/2019,2316,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2018-2019,02/28/2019,1449,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2018-2019,02/28/2019,2353,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Chester (CHS),State Correctional Institution,Delaware,FY 2018-2019,03/31/2019,1243,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,04/30/2019,114,"N/A
N/A, N/A N/A"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2018-2019,03/31/2019,2142,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,03/31/2019,1249,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2018-2019,02/28/2019,537,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2018-2019,03/31/2019,1157,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2018-2019,02/28/2019,1166,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Forest (FRS),State Correctional Institution,Forest,FY 2018-2019,02/28/2019,2313,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2018-2019,02/28/2019,1057,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,02/28/2019,1243,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2019-2020,10/31/2019,149,"N/A
N/A, N/A N/A"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,03/31/2019,2104,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Albion (ALB),State Correctional Institution,Erie,FY 2018-2019,02/28/2019,2237,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,02/28/2019,2147,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2018-2019,02/28/2019,3409,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,04/30/2019,1577,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,04/30/2019,1214,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2018-2019,03/31/2019,2087,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2018-2019,02/28/2019,2104,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2018-2019,03/31/2019,47,"N/A
N/A, N/A N/A"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,02/28/2019,2320,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2018-2019,03/31/2019,2081,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2018-2019,02/28/2019,91,"N/A
N/A, N/A N/A"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2018-2019,02/28/2019,2143,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2018-2019,03/31/2019,2036,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,03/31/2019,1403,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2018-2019,04/30/2019,2070,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2018-2019,04/30/2019,1019,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2018-2019,04/30/2019,216,"N/A
N/A, N/A N/A"
Greene (GRN),State Correctional Institution,Greene,FY 2018-2019,04/30/2019,1744,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2018-2019,04/30/2019,1181,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,04/30/2019,7,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,02/28/2019,1429,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2018-2019,03/31/2019,177,"N/A
N/A, N/A N/A"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2018-2019,03/31/2019,2822,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Greene (GRN),State Correctional Institution,Greene,FY 2018-2019,02/28/2019,1750,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2018-2019,02/28/2019,1063,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2018-2019,02/28/2019,2114,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2018-2019,03/31/2019,1032,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,03/31/2019,2295,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2018-2019,03/31/2019,133,"N/A
N/A, N/A N/A"
Retreat (RET),State Correctional Institution,Luzerne,FY 2018-2019,04/30/2019,1084,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2018-2019,02/28/2019,2643,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,04/30/2019,2283,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,04/30/2019,2098,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2018-2019,03/31/2019,2499,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
In County Jails,County Jails,N/A,FY 2018-2019,04/30/2019,306,"N/A
N/A, N/A N/A"
In County Jails,County Jails,N/A,FY 2018-2019,03/31/2019,312,"N/A
N/A, N/A N/A"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2018-2019,03/31/2019,1442,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Albion (ALB),State Correctional Institution,Erie,FY 2018-2019,03/31/2019,2222,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2018-2019,02/28/2019,2338,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2018-2019,02/28/2019,233,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2018-2019,03/31/2019,2333,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,02/28/2019,1559,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2018-2019,04/30/2019,120,"N/A
N/A, N/A N/A"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2018-2019,04/30/2019,2142,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2018-2019,03/31/2019,3480,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Chester (CHS),State Correctional Institution,Delaware,FY 2018-2019,02/28/2019,1275,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2018-2019,04/30/2019,1459,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2018-2019,04/30/2019,2010,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,03/31/2019,1559,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,04/30/2019,1398,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2018-2019,03/31/2019,562,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2018-2019,04/30/2019,1449,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,02/28/2019,7,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2018-2019,04/30/2019,1352,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2018-2019,03/31/2019,223,"N/A
N/A, N/A N/A"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2018-2019,04/30/2019,150,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2018-2019,04/30/2019,2209,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2018-2019,02/28/2019,173,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,03/31/2019,119,"N/A
N/A, N/A N/A"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2018-2019,04/30/2019,190,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,02/28/2019,107,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2018-2019,02/28/2019,2520,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,03/31/2019,7,"N/A
N/A, N/A N/A"
Albion (ALB),State Correctional Institution,Erie,FY 2018-2019,04/30/2019,2223,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2018-2019,02/28/2019,144,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2018-2019,04/30/2019,56,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2018-2019,04/30/2019,563,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2018-2019,04/30/2019,2816,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2018-2019,02/28/2019,2058,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2018-2019,04/30/2019,3411,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2018-2019,02/28/2019,1457,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Chester (CHS),State Correctional Institution,Delaware,FY 2018-2019,04/30/2019,1269,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2018-2019,03/31/2019,1452,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Greene (GRN),State Correctional Institution,Greene,FY 2018-2019,03/31/2019,1744,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2018-2019,03/31/2019,1067,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2018-2019,02/28/2019,47,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2018-2019,02/28/2019,1388,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2018-2019,04/30/2019,2309,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2018-2019,03/31/2019,1356,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
In County Jails,County Jails,N/A,FY 2018-2019,02/28/2019,346,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2018-2019,03/31/2019,2238,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2018-2019,03/31/2019,95,"N/A
N/A, N/A N/A"
Fayette (FYT),State Correctional Institution,Fayette,FY 2018-2019,04/30/2019,2080,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2018-2019,04/30/2019,2493,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
In Federal Prisons,Federal Prisons,N/A,FY 2019-2020,12/31/2019,5,"N/A
N/A, N/A N/A"
In County Jails,County Jails,N/A,FY 2019-2020,08/31/2019,294,"N/A
N/A, N/A N/A"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2019-2020,12/31/2019,163,"N/A
N/A, N/A N/A"
Greene (GRN),State Correctional Institution,Greene,FY 2019-2020,12/31/2019,1791,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2019-2020,12/31/2019,535,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2019-2020,10/31/2019,3082,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2019-2020,12/31/2019,965,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2019-2020,12/31/2019,213,"N/A
N/A, N/A N/A"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2019-2020,12/31/2019,1251,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2019-2020,11/30/2019,974,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2019-2020,10/31/2019,2170,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2019-2020,11/30/2019,1420,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2019-2020,11/30/2019,100,"N/A
N/A, N/A N/A"
Benner Township (BEN),State Correctional Institution,Centre,FY 2019-2020,12/31/2019,2052,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2019-2020,10/31/2019,1467,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Rockview (ROC),State Correctional Institution,Centre,FY 2019-2020,12/31/2019,2280,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Albion (ALB),State Correctional Institution,Erie,FY 2019-2020,10/31/2019,2237,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2019-2020,11/30/2019,71,"N/A
N/A, N/A N/A"
Retreat (RET),State Correctional Institution,Luzerne,FY 2019-2020,12/31/2019,942,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2019-2020,11/30/2019,2022,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2019-2020,11/30/2019,2052,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
In County Jails,County Jails,N/A,FY 2019-2020,10/31/2019,65,"N/A
N/A, N/A N/A"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2019-2020,10/31/2019,1414,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2019-2020,12/31/2019,2497,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Chester (CHS),State Correctional Institution,Delaware,FY 2019-2020,12/31/2019,1104,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2019-2020,11/30/2019,554,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
In Federal Prisons,Federal Prisons,N/A,FY 2019-2020,11/30/2019,5,"N/A
N/A, N/A N/A"
Greene (GRN),State Correctional Institution,Greene,FY 2019-2020,10/31/2019,1725,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2019-2020,12/31/2019,2350,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Forest (FRS),State Correctional Institution,Forest,FY 2019-2020,12/31/2019,2221,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2019-2020,10/31/2019,1211,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2019-2020,08/31/2019,65,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2019-2020,08/31/2019,3342,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2019-2020,07/31/2019,2035,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2019-2020,07/31/2019,113,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2019-2020,08/31/2019,1373,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2019-2020,08/31/2019,1405,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2019-2020,08/31/2019,1089,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
In County Jails,County Jails,N/A,FY 2019-2020,07/31/2019,316,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2019-2020,12/31/2019,81,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2019-2020,10/31/2019,1457,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2018-2019,05/31/2019,2322,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,05/31/2019,2255,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2018-2019,06/30/2019,1470,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,06/30/2019,1536,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2018-2019,06/30/2019,1983,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2018-2019,05/31/2019,2081,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2018-2019,05/31/2019,1093,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,06/30/2019,2271,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,05/31/2019,2091,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2018-2019,06/30/2019,2153,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,05/31/2019,115,"N/A
N/A, N/A N/A"
