name,city,state,address,zip,website,category,public_private,district,lat,lon
STATE STREET INTERMEDIATE SCHOOL,SKANEATELES,NY,72 STATE ST,13152,https://www.skanschools.org,ELEMENTARY,PUBLIC,SKANEATELES CENTRAL SCHOOL DISTRICT,42.95182,-76.425285
STATE STREET SCHOOL,WATERBURY,CT,58 GRIGGS SCHOOL,06704,https://www.waterbury.k12.ct.us/30/home,OTHER,PUBLIC,WATERBURY SCHOOL DISTRICT,41.556213,-73.045265
STATE STREET SCHOOL,WESTERLY,RI,35 STATE STREET,02891,https://www.westerly.k12.ri.us/Domain/645,ELEMENTARY,PUBLIC,WESTERLY,41.3654,-71.824
STATE TECHNICAL COLLEGE OF MISSOURI,LINN,MO,ONE TECHNOLOGY DRIVE,65051,https://www.statetechmo.edu,JUNIOR COLLEGES,,,38.46888,-91.811554
STATE UNIVERSITY OF NEW YORK AT NEW PALTZ,NEW PALTZ,NY,1 HAWK DRIVE,12561,www.newpaltz.edu,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",,,41.737244,-74.088776
STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,STATEN ISLAND,NY,280 REGIS DR,10314,https://www.schools.nyc.gov/schools/r861,ELEMENTARY,PUBLIC,NEW YORK CITY GEOGRAPHIC DISTRICT #31,40.620335,-74.16454
STATEN ISLAND TECHNICAL HIGH SCHOOL,STATEN ISLAND,NY,485 CLAWSON ST,10306,https://www.siths.org,HIGH,PUBLIC,NEW YORK CITY GEOGRAPHIC DISTRICT #31,40.568104,-74.116356
STATESBORO HIGH SCHOOL,STATESBORO,GA,10 LESTER RD,30458,https://shs-bcss-ga.schoolloop.com/,HIGH,PUBLIC,BULLOCH COUNTY,32.443413,-81.76313
STATESBORO STEAM ACADEMY,STATEBORO,GA,1718 NORHTSIDE DRIVE EAST,30458,https://www.chartercat.org,HIGH,PUBLIC,STATE CHARTER SCHOOLS II- STATESBORO STEAM ACADEMY,32.453644,-81.77414
STATESIDE ELEMENTARY,JACKSONVILLE,NC,132 STATESIDE BLVD,28546,http://stateside.nc.oce.schoolinsites.com/,ELEMENTARY,PUBLIC,ONSLOW COUNTY SCHOOLS,34.85589,-77.481224
STATESVILLE CHRISTIAN SCHOOL,STATESVILLE CHRISTIAN SCHOOL,NC,1210 MUSEUM RD,28625,https://www.statesvillechristian.org/,K-12,PRIVATE,,35.80447,-80.8955
STATESVILLE HIGH,STATESVILLE,NC,474 N CENTER ST,28677,http://www.iss.k12.nc.us/schools/shs,HIGH,PUBLIC,IREDELL-STATESVILLE SCHOOLS,35.79265,-80.89205
STATESVILLE MIDDLE,STATESVILLE,NC,321 CLEGG ST,28677,http://www.iss.k12.nc.us/schools/sms,MIDDLE,PUBLIC,IREDELL-STATESVILLE SCHOOLS,35.787075,-80.871666
STATESVILLE MONTESSORI SCHOOL,STATESVILLE,NC,1012 HARMONY DR,28677,http://www.statesvillemontessori.org/,ELEMENTARY,PRIVATE,,35.78125,-80.867455
STATESVILLE ROAD ELEMENTARY,CHARLOTTE,NC,5521 MILHAVEN LN,28269,https://schools.cms.k12.nc.us/statesvilleroades,ELEMENTARY,PUBLIC,CHARLOTTE-MECKLENBURG SCHOOLS,35.296036,-80.84671
STATHAM ELEMENTARY SCHOOL,STATHAM,GA,1970 BROAD ST,30666,http://www.barrow.k12.ga.us./ses/,ELEMENTARY,PUBLIC,BARROW COUNTY,33.96461,-83.59194
STATION AVENUE ELEMENTARY,SOUTH YARMOUTH,MA,276 STATION AVENUE,02664,https://www.dy-regional.k12.ma.us/station-avenue-elementary-school,ELEMENTARY,PUBLIC,DENNIS-YARMOUTH,41.679962,-70.19732
STATION CAMP ELEMENTARY,GALLATIN,TN,1020 BISON TRL,37066,http://www.stationcampelementary.com/,ELEMENTARY,PUBLIC,SUMNER COUNTY,36.363297,-86.547295
STATION CAMP HIGH SCHOOL,GALLATIN,TN,1040 BISON TRL,37066,https://sch.sumnerschools.org/,HIGH,PUBLIC,SUMNER COUNTY,36.36297,-86.54774
STATION CAMP MIDDLE SCHOOL,GALLATIN,TN,281 BIG STATION CAMP BLVD,37066,https://scm.sumnerschools.org,MIDDLE,PUBLIC,SUMNER COUNTY,36.369503,-86.5535
STAUFFER (MARY R.) MIDDLE,DOWNEY,CA,11985 OLD RIVER SCHOOL RD.,90242,https://web.dusd.net/stauffer/,,PUBLIC,DOWNEY UNIFIED,33.938545,-118.15527
STAUFFER MIDDLE,DOWNEY,CA,11985 OLD RIVER SCH RD.,90242,https://web.dusd.net/stauffer/,MIDDLE,PUBLIC,DOWNEY UNIFIED,33.939095,-118.1577
STAUNTON CITY SCHOOL PRESCHOOL PROGRAMS,STAUNTON,VA,DIXON EDUCATIONAL CENTER,24401,https://www.staunton.k12.va.us/domain/446,PREKINDERGARTEN,PUBLIC,STAUNTON CITY PUBLIC SCHOOLS,38.160904,-79.09846
STAUNTON ELEM SCHOOL,STAUNTON,IL,801 N DENEEN ST,62088,https://www.stauntonschools.org/o/elementary-school,ELEMENTARY,PUBLIC,STAUNTON CONSOLIDATED UNIT SCHOOL DISTRICT 6,39.017597,-89.79518
STAUNTON ELEMENTARY SCHOOL,BRAZIL,IN,6990 N CR 425 W,47834,https://in02200674.schoolwires.net/domain/6962,ELEMENTARY,PUBLIC,CLAY COMMUNITY SCHOOLS,39.48974,-87.18639
STAUNTON HIGH SCHOOL,STAUNTON,IL,801 N DENEEN ST,62088,https://www.stauntonschools.org/,HIGH,PUBLIC,STAUNTON CONSOLIDATED UNIT SCHOOL DISTRICT 6,39.0195,-89.79506
STAUNTON JR HIGH SCHOOL,STAUNTON,IL,801 N DENEEN ST,62088,https://www.iesa.org/activities/memberdetail.asp?schoolid=541,MIDDLE,PUBLIC,STAUNTON CONSOLIDATED UNIT SCHOOL DISTRICT 6,39.018524,-89.795395
STAUNTON MONTESSORI SCHOOL,FISHERSVILLE,VA,2076 JEFFERSON HWY,22939,https://www.stauntonmontessori.org/,K-12,PRIVATE,,38.15072,-79.07652
STAUNTON RIVER HIGH,MONETA,VA,1095 GOLDEN EAGLE DR,24121,https://bedfordsrhs.sharpschool.net/,HIGH,PUBLIC,BEDFORD COUNTY PUBLIC SCHOOLS,37.241276,-79.62278
STAUNTON RIVER MIDDLE,MONETA,VA,1293 GOLDEN EAGLE DRIVE,24121,https://bedfordsrms.sharpschool.net/,MIDDLE,PUBLIC,BEDFORD COUNTY PUBLIC SCHOOLS,37.241055,-79.62615
STAUNTON SCHOOL OF COSMETOLOGY,STAUNTON,VA,128 E BEVERLY STREET,24401,hairstylingschool.com,COSMETOLOGY AND BARBER SCHOOLS,,,38.14948,-79.07061
STAUTZENBERGER COLLEGE-BRECKSVILLE,BRECKSVILLE,OH,8001 KATHERINE BOULEVARD,44141,www.sctoday.edu/,JUNIOR COLLEGES,,,41.28879,-81.64319
STAUTZENBERGER COLLEGE-MAUMEE,MAUMEE,OH,1796 INDIAN WOOD CIRCLE,43537,www.sctoday.edu,JUNIOR COLLEGES,,,41.58266,-83.68305
STAYTON ELEMENTARY SCHOOL,STAYTON,OR,875 N 3RD,97383,http://ses.nsantiam.k12.or.us,ELEMENTARY,PUBLIC,NORTH SANTIAM SCHOOL DISTRICT 29J,44.80162,-122.793434
STAYTON HIGH SCHOOL,STAYTON,OR,757 W LOCUST ST,97383,http://shs.nsantiam.k12.or.us,HIGH,PUBLIC,NORTH SANTIAM SCHOOL DISTRICT 29J,44.803185,-122.80117
STAYTON MIDDLE SCHOOL,STAYTON,OR,1021 SHAFF RD,97383,http://sms.nsantiam.k12.or.us,MIDDLE,PUBLIC,NORTH SANTIAM SCHOOL DISTRICT 29J,44.810734,-122.803734
STE JEANNE D'ARC ELEMENTARY SCHOOL,LOWELL,MA,68 DRACUT ST,01854,https://www.sjdarc.org/,ELEMENTARY,PRIVATE,,42.65676,-71.33073
STE MARIE ELEM SCHOOL,SAINTE MARIE,IL,PO BOX 157,62459,https://www.jaspercountyschools.net/,ELEMENTARY,PUBLIC,JASPER COUNTY CUD 1,38.929382,-88.02555
STE. GENEVIEVE ELEM.,STE GENEVIEVE,MO,725 WASHINGTON ST,63670,https://www.sgdragons.org,ELEMENTARY,PUBLIC,STE. GENEVIEVE CO. R-II,37.981743,-90.053185
STE. GENEVIEVE MIDDLE,STE GENEVIEVE,MO,211 N FIFTH ST,63670,https://www.sgdragons.org,MIDDLE,PUBLIC,STE. GENEVIEVE CO. R-II,37.98238,-90.05134
STE. GENEVIEVE SR. HIGH,STE GENEVIEVE,MO,715 WASHINGTON ST,63670,https://www.sgdragons.org,HIGH,PUBLIC,STE. GENEVIEVE CO. R-II,37.98276,-90.05261
STEAD ELEMENTARY SCHOOL,RENO,NV,10580 STEAD BOULEVARD,89506,https://www.washoeschools.net/stead,ELEMENTARY,PUBLIC,WASHOE COUNTY SCHOOL DISTRICT,39.624023,-119.88105
STEADHAM EL,ROWLETT,TX,6200 DANRIDGE RD,75089,https://www.garlandisd.net/steadham,ELEMENTARY,PUBLIC,GARLAND INDEPENDENT SCHOOL DISTRICT,32.9186,-96.53044
STEADLEY ELEM.,CARTHAGE,MO,1814 W FIR RD,64836,http://www.carthage.k12.mo.us/st/,ELEMENTARY,PUBLIC,CARTHAGE R-IX,37.139206,-94.34104
STEAM,SALINAS,CA,155 BARDIN RD.,93905,,K-12,PUBLIC,ALISAL UNION,36.67815,-121.605064
STEAM ACADEMY,LEXINGTON,KY,123 EAST 6 STREET,40508,https://www.fcps.net/steam,HIGH,PUBLIC,FAYETTE COUNTY,38.053604,-84.48509
STEAM ACADEMY @ BURKE,PICO RIVERA,CA,8101 ORANGE AVE.,90660,https://steam.erusd.org/,MIDDLE,PUBLIC,EL RANCHO UNIFIED,33.9624,-118.09452
STEAM ACADEMY AT MLK,BENTON HARBOR,MI,750 E BRITAIN AVE,49022,https://www.bhas.org,ELEMENTARY,PUBLIC,BENTON HARBOR AREA SCHOOLS,42.10843,-86.44064
STEAM ACADEMY OF AKRON,AKRON,OH,1350 VIRGINIA AVE,44306,http://www.steamacademyakron.org/,ELEMENTARY,PUBLIC,EAGLE ELEMENTARY OF AKRON,41.03558,-81.49685
STEAM ACADEMY OF DAYTON,DAYTON,OH,545 ODLIN AVE,45405,http://steamacademydayton.org/,ELEMENTARY,PUBLIC,HUFFMAN INDEPENDENT SCHOOL DISTRICT,39.79796,-84.22002
STEAM ACADEMY OF WARREN,WARREN,OH,261 ELM RD NE,44483,https://www.steamacademywarren.org/,ELEMENTARY,PUBLIC,STEAM ACADEMY OF WARREN,41.238632,-80.81201
STEAM ACADEMY OF WARRENSVILLE HEIGHTS,WARRENSVILLE HEIGHTS,OH,4700 RICHMOND RD STE 3000,44128,https://steamwarrensville.org/,ELEMENTARY,PUBLIC,STEAM ACADEMY OF WARRENSVILLE HEIGHTS,41.43216,-81.498856
STEAM MIDDLE,BURLESON,TX,900 S W HILLSIDE DR,76028,https://www.burlesonisd.net/steam,MIDDLE,PUBLIC,BURLESON INDEPENDENT SCHOOL DISTRICT,32.534676,-97.34577
STEAM VALLEY,MBG,OH,4531 T.R. 370,44654,,ELEMENTARY,PRIVATE,,40.530304,-81.78704
STEAMBOAT MOUNTAIN SCHOOL,STEAMBOAT SPRINGS,CO,42605 COUNTY ROAD 36,80487,https://www.steamboatmountainschool.org/,SECONDARY,PRIVATE,,40.537243,-106.82544
STEAMBOAT SPRINGS EARLY CHILDHOOD CENTER,STEAMBOAT SPRINGS,CO,325 7TH STREET,80487,http://ssps.steamboatschools.net/en-us,PREKINDERGARTEN,PUBLIC,FILER DISTRICT,40.48798,-106.83174
STEAMBOAT SPRINGS HIGH SCHOOL,STEAMBOAT SPRINGS,CO,45 EAST MAPLE STREET,80487,http://www.steamboatschools.net,HIGH,PUBLIC,STEAMBOAT SPRINGS SCHOOL DISTRICT NO. RE 2,40.485695,-106.82303
STEAMBOAT SPRINGS MIDDLE SCHOOL,STEAMBOAT SPRINGS,CO,39610 AMETHYST DRIVE,80487,http://www.sssd.k12.co.us,MIDDLE,PUBLIC,STEAMBOAT SPRINGS SCHOOL DISTRICT NO. RE 2,40.494946,-106.81855
STEARNE ALLEN M SCH,PHILADELPHIA,PA,1655 UNITY ST,19124,https://stearne.philasd.org/,ELEMENTARY,PUBLIC,PHILADELPHIA CITY SCHOOL DISTRICT,40.011868,-75.0852
STEARNS,PITTSFIELD,MA,75 LEBANON AVENUE,01201,http://stearns.pittsfield.net,ELEMENTARY,PUBLIC,PITTSFIELD,42.436886,-73.29966
STEARNS ELEMENTARY SCHOOL,KLAMATH FALLS,OR,3641 CREST ST,97603,https://www.kcsd.k12.or.us,ELEMENTARY,PUBLIC,KLAMATH COUNTY SCHOOL DISTRICT,42.193287,-121.742035
STEARNS JR-SR HIGH SCHOOL,MILLINOCKET,ME,199 STATE STREET,04462,http://www.millinocketschools.org/stearns-jr-sr-high-school.html,HIGH,PUBLIC,MILLINOCKET PUBLIC SCHOOLS,45.66131,-68.70556
STEBBINS HIGH SCHOOL,DAYTON,OH,1900 HARSHMAN RD,45424,https://www.madriverschools.org/Domain/15,HIGH,PUBLIC,MAD RIVER LOCAL,39.79653,-84.127655
STECK ELEMENTARY SCHOOL,DENVER,CO,450 ALBION STREET,80220,https://steck.dpsk12.org,ELEMENTARY,PUBLIC,SCHOOL DISTRICT U-46,39.723675,-104.93857
STEDMAN ELEMENTARY,STEDMAN,NC,7370 CLINTON ROAD HWY 24,28391,http://www.ses.ccs.k12.nc.us,ELEMENTARY,PUBLIC,CUMBERLAND COUNTY SCHOOLS,35.013355,-78.696205
STEDMAN ELEMENTARY SCHOOL,DENVER,CO,2940 DEXTER STREET,80207,https://stedman.dpsk12.org,ELEMENTARY,PUBLIC,TERREBONNE PARISH,39.759594,-104.93235
STEDMAN PRIMARY,STEDMAN,NC,155 E FIRST STREET,28391,http://www.spes.ccs.k12.nc.us/,ELEMENTARY,PUBLIC,CUMBERLAND COUNTY SCHOOLS,35.01076,-78.69272
STEDWICK ELEMENTARY,MONTGOMERY VILLAGE,MD,10631 STEDWICK RD,20886,http://www.montgomeryschoolsmd.org/schools/stedwic,ELEMENTARY,PUBLIC,MONTGOMERY COUNTY PUBLIC SCHOOLS,39.1742,-77.21107
STEDY- ANTELOPE HS SATELLITE,WELLTON,AZ,9168 SOUTH AVENUE 36E,85356,https://www.ade.az.gov/edd/newdetails.asp?entityid=92934&reftypeid=1033,HIGH,PUBLIC,BROWARD,32.6917,-114.023445
STEDY- ARIZONA WESTERN COLLEGE,YUMA,AZ,2020 S 8E AVENUE,85364,http://www.yumajted.org,HIGH,PUBLIC,,32.689533,-114.49618
STEDY- CENTRAL CAMPUS,YUMA,AZ,291 SOUTH MAIN STREET,85364,https://www.stedycte.org/,HIGH,PUBLIC,,32.704365,-114.61113
STEDY- CIBOLA HIGH SCHOOL SATELLITE,YUMA,AZ,4100 WEST 20TH STREET,85354,,HIGH,PUBLIC,WOODLAND R-IV,32.691784,-114.668365
STEDY- DESERT VIEW ACADEMY,YUMA,AZ,3777 W. 22ND LANE,85364,https://dva.dvsk12.com/,HIGH,PUBLIC,PHILADELPHIA CITY SCHOOL DISTRICT,32.69761,-114.664764
STEDY- GILA RIDGE HS SATELLITE,YUMA,AZ,7150 E 24TH STREET,85365,https://www.stedycte.org/campuses.html,HIGH,PUBLIC,,32.685658,-114.51069
STEDY- KOFA HS SATELLITE,YUMA,AZ,3100 S AVENUE A,85364,https://www.yumaunion.org/kofa,HIGH,PUBLIC,WOODLAND R-IV,32.673073,-114.63553
STEDY- SAN LUIS HS SATELLITE,SAN LUIS,AZ,1250 NORTH 8TH AVENUE,85349,https://www.stedycte.org/campuses.html,HIGH,PUBLIC,BROWARD,32.500774,-114.76277
STEDY- VISTA HS SATELLITE,YUMA,AZ,2350 SOUTH VIRGINIA DRIVE,85364,https://www.stedycte.org/campuses.html,HIGH,PUBLIC,,32.68525,-114.62305
STEDY- YUMA HS SATELLITE,YUMA,AZ,400 SOUTH SIXTH AVENUE,85364,https://www.stedycte.org/campuses.html,HIGH,PUBLIC,BROWARD,32.71909,-114.6278
STEED ES,MIDWEST CITY,OK,2118 FLANNERY DRIVE,73110,https://www.mid-del.net,ELEMENTARY,PUBLIC,MIDWEST CITY-DEL CITY,35.458683,-97.38259
STEEKEE ELEMENTARY,LOUDON,TN,4500 STEEKEE SCHOOL RD,37774,https://ses.loudoncounty.org/,ELEMENTARY,PUBLIC,LOUDON COUNTY,35.70069,-84.32457
STEEL ACADEMY,AKRON,OH,1570 CREIGHTON AVE,44310,http://www.thesteelacademy.org/,HIGH,PUBLIC,STEEL ACADEMY,41.106457,-81.47752
STEEL CENTER FOR CAREER AND TECHNICAL ED,JEFFERSON HILLS,PA,565 N. LEWIS RUN ROAD,15025,https://www.steelcentertech.com,HIGH,PUBLIC,STEEL CENTER FOR CAREER AND TECHNICAL EDUCATION,40.32374,-79.938866
STEEL CITY ACADEMY,GARY,IN,2650 W 35TH AVENUE,46408,https://www.steelcityacademy.org/,SECONDARY,PUBLIC,STEEL CITY ACADEMY,41.557014,-87.36944
STEEL EDWARD SCH,PHILADELPHIA,PA,4301 WAYNE AVE,19140,https://steel.philasd.org/,ELEMENTARY,PUBLIC,PHILADELPHIA CITY SCHOOL DISTRICT,40.018494,-75.15736
STEEL VALLEY MS,MUNHALL,PA,3114 MAIN ST,15120,http://steelvalleysd.org/,MIDDLE,PUBLIC,STEEL VALLEY SCHOOL DISTRICT,40.38863,-79.8979
STEEL VALLEY SHS,MUNHALL,PA,3113 MAIN ST,15120,https://www.steelvalleysd.org/high-school/index,HIGH,PUBLIC,STEEL VALLEY SCHOOL DISTRICT,40.388508,-79.89794
STEELE (CARL) ELEMENTARY,TORRANCE,CA,19300 INGLEWOOD BLVD.,90503,,,PUBLIC,TORRANCE UNIFIED,34.001522,-118.42522
STEELE CANYON ADULT CENTER,SPRING VALLEY,CA,12440 CAMPO RD.,91978,https://adultschool.guhsd.net/,ADULT EDUCATION,PUBLIC,GROSSMONT UNION HIGH,32.730297,-116.92518
STEELE CANYON HIGH,SPRING VALLEY,CA,12440 CAMPO RD.,91978,https://www.schscougars.org/,HIGH,PUBLIC,THREE RIVERS LOCAL,32.730103,-116.92516
STEELE CREEK ELEMENTARY,CHARLOTTE,NC,4100 GALLANT LN,28273,https://schools.cms.k12.nc.us/steelecreekes,ELEMENTARY,PUBLIC,CHARLOTTE-MECKLENBURG SCHOOLS,35.1569,-80.9557
STEELE ELEMENTARY SCHOOL,BALDWIN,NY,860 CHURCH ST,11510,https://www.baldwinschools.org,ELEMENTARY,PUBLIC,BALDWIN UNION FREE SCHOOL DISTRICT,40.640697,-73.609985
STEELE ELEMENTARY SCHOOL,COLORADO SPRINGS,CO,1720 NORTH WEBER STREET,80907,https://steele.dpsk12.org/,ELEMENTARY,PUBLIC,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,38.858612,-104.819145
STEELE ELEMENTARY SCHOOL,DENVER,CO,320 SOUTH MARION PARKWAY,80209,https://steele.dpsk12.org,ELEMENTARY,PUBLIC,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,39.71019,-104.971695
STEELE JUNIOR HIGH SCHOOL,STEELE,AL,105 MCHUGH ST,35987,https://www.sccboe.org,ELEMENTARY,PUBLIC,ST CLAIR COUNTY,33.941315,-86.20243
STEELE LANE ANNEX,SANTA ROSA,CA,249 STEELE LN.,95403,,ELEMENTARY,PUBLIC,SANTA ROSA ELEMENTARY,38.46103,-122.71996
STEELE LANE ELEMENTARY,SANTA ROSA,CA,301 STEELE LN.,95403,https://www.srcschools.org/page/2237,ELEMENTARY,PUBLIC,SANTA ROSA ELEMENTARY,38.460983,-122.72106
STEELE MONTESSORI ACADEMY,SAN ANTONIO,TX,722 HAGGIN,78210,https://www.saisd.net/steelemontessori/,ELEMENTARY,PUBLIC,SAN ANTONIO INDEPENDENT SCHOOL DISTRICT,29.387484,-98.46193
STEELE SCHOOL,GALESBURG,IL,1480 W MAIN ST,61401,https://steele.galesburg205.org/,ELEMENTARY,PUBLIC,GALESBURG CONSOLIDATED UNIT SCHOOL DISTRICT 205,40.946846,-90.39408
STEELE STREET ELEMENTARY SCHOOL,MASON,MI,531 STEELE ST,48854,http://mason.k12.mi.us,ELEMENTARY,PUBLIC,MASON PUBLIC SCHOOLS (INGHAM),42.577305,-84.435844
STEELE-DAWSON ELEMENTARY SCHOOL,STEELE,ND,101 4TH ST SE,58482,https://www.kiddercounty.k12.nd.us/,ELEMENTARY,PUBLIC,KIDDER COUNTY 1,46.850025,-99.9149
STEELE-DAWSON HIGH SCHOOL,STEELE,ND,101 4TH ST SE,58482,https://www.kiddercounty.k12.nd.us/,HIGH,PUBLIC,KIDDER COUNTY 1,46.849964,-99.91599
STEELEVILLE ELEM SCHOOL,STEELEVILLE,IL,609 S SPARTA ST,62288,https://www.steeleville138.org/,ELEMENTARY,PUBLIC,STEELEVILLE CONSOLIDATED UNIT SCHOOL DISTRICT 138,38.00295,-89.659355
STEELEVILLE HIGH SCHOOL,STEELEVILLE,IL,701 S SPARTA ST,62288,https://www.steeleville138.org/,HIGH,PUBLIC,STEELEVILLE CONSOLIDATED UNIT SCHOOL DISTRICT 138,38.00056,-89.66053
STEELTON-HIGHSPIRE EL SCH,STEELTON,PA,250 REYNDERS AVENUE,17113,https://www.shsd.k12.pa.us/domain/259,ELEMENTARY,PUBLIC,STEELTON-HIGHSPIRE SCHOOL DISTRICT,40.235165,-76.837326
STEELTON-HIGHSPIRE HS,STEELTON,PA,250 REYNDERS AVE.,17113,https://www.shsd.k12.pa.us/,HIGH,PUBLIC,STEELTON-HIGHSPIRE SCHOOL DISTRICT,40.239017,-76.82987
STEELVILLE ELEM.,STEELVILLE,MO,868 W MAIN ST,65565,http://steelville.k12.mo.us,ELEMENTARY,PUBLIC,STEELVILLE R-III,37.968372,-91.36347
STEELVILLE HIGH,STEELVILLE,MO,17154 HIGHWAY 19,65565,http://steelville.k12.mo.us,HIGH,PUBLIC,STEELVILLE R-III,37.968357,-91.36339
STEELVILLE MIDDLE,STEELVILLE,MO,810 W MAIN ST,65565,http://steelville.k12.mo.us,MIDDLE,PUBLIC,STEELVILLE R-III,37.966705,-91.35867
STEELVILLE SCHOOL,ATGLEN,PA,3821 STEELVILLE RD,19310,,ELEMENTARY,PRIVATE,,37.968315,-91.36284
STEEN'S CREEK ELEMENTARY,FLORENCE,MS,300 HIGHWAY 469 NORTH,39073,https://www.rcsd.ms/~web17/,ELEMENTARY,PUBLIC,RANKIN COUNTY SCHOOL DISTRICT,32.161728,-90.10769
STEENROD ELEMENTARY SCHOOL,WHEELING,WV,100 CLARKS LN,26003,https://steenrod.ohio.k12.wv.us/,ELEMENTARY,PUBLIC,OHIO COUNTY SCHOOLS,40.05985,-80.67642
STEEP FALLS ELEMENTARY SCHOOL,STEEP FALLS,ME,781 BOUNDARY ROAD,04085,https://steepfalls.bonnyeagle.org/,ELEMENTARY,PUBLIC,RSU 06/MSAD 06,43.78365,-70.63695
STEEPLE ON THE BEACH MONTESSORI SCHOOL,DEERFIELD BEACH,FL,1920 SE 4TH ST,33441,https://sotbmontessori.com/,ELEMENTARY,PRIVATE,,26.31072,-80.07811
STEEPLE RUN ELEM SCHOOL,NAPERVILLE,IL,6S151 STEEPLE RUN DR,60540,https://www.naperville203.org/steeplerun,ELEMENTARY,PUBLIC,NAPERVILLE CONSOLIDATED UNIT SCHOOL DISTRICT 203,41.78242,-88.10376
STEERE FARM ELEMENTARY SCHOOL,PASCOAG,RI,915 STEERE FARM ROAD,02859,https://sfe.bsd-ri.net/,ELEMENTARY,PUBLIC,BURRILLVILLE,41.938454,-71.67479
STEFFAN MANOR ELEMENTARY,VALLEJO,CA,815 CEDAR ST.,94591,https://smes-vcusd-ca.schoolloop.com/,ELEMENTARY,PUBLIC,VALLEJO CITY UNIFIED,38.100685,-122.22445
STEFFEN MIDDLE,MEQUON,WI,6633 W STEFFEN DR,53092,https://www.mtsd.k12.wi.us,MIDDLE,PUBLIC,MEQUON-THIENSVILLE SCHOOL DISTRICT,43.217274,-87.99297
STEGE ELEMENTARY,RICHMOND,CA,4949 CYPRESS AVE.,94804,https://www.wccusd.net/stege,ELEMENTARY,PUBLIC,WEST CONTRA COSTA UNIFIED,37.920048,-122.32308
STEGER INTERMEDIATE CENTER,STEGER,IL,3411 HOPKINS ST,60475,https://www.sd194.org/,ELEMENTARY,PUBLIC,STEGER SCHOOL DISTRICT 194,41.46906,-87.62623
STEGER PRIMARY CENTER,SOUTH CHICAGO HEI,IL,3411 MILLER AVENUE,60411,https://www.sd194.org/,ELEMENTARY,PUBLIC,STEGER SCHOOL DISTRICT 194,41.477806,-87.63976
STEGER SIXTH GRADE CTR.,ST LOUIS,MO,701 N ROCK HILL RD,63119,https://www.webster.k12.mo.us/steger,MIDDLE,PUBLIC,WEBSTER GROVES,38.60478,-90.36547
STEHEKIN ELEMENTARY,STEHEKIN,WA,3 MILE MAIN VALLEY RD,98852,https://stehekinschool.org/,ELEMENTARY,PUBLIC,STEHEKIN SCHOOL DISTRICT,48.341187,-120.70578
STEHLIK INT,HOUSTON,TX,400 W RD,77038,https://www.aldine.k12.tx.us,MIDDLE,PUBLIC,ALDINE INDEPENDENT SCHOOL DISTRICT,29.916086,-95.422485
STEILACOOM HIGH,STEILACOOM,WA,54 SENTINEL DRIVE,98388,https://www.steilacoom.k12.wa.us/domain/8,HIGH,PUBLIC,STEILACOOM HIST. SCHOOL DISTRICT,47.179283,-122.57591
