"",,,Other Federal,,,Pre-,Pre-,Total
Lawrence,40,1,12,0,33,127,78,291
Lewis,9,0,4,3,4,14,12,46
Lincoln,51,19,3,0,58,46,19,196
Loudon,2,6,1,0,36,102,47,194
Macon,51,0,0,0,29,49,62,191
Madison Annex,6,2,0,0,22,11,18,59
Madison CJC,31,10,0,3,97,131,103,375
Madison PF,5,16,0,0,29,16,12,78
Marion,2,17,0,0,32,52,32,135
Marshall,66,5,3,0,53,31,19,177
Maury,57,38,0,0,99,109,56,359
McMinn,106,0,22,0,60,106,47,341
McNairy,16,1,0,0,4,23,62,106
Meigs,10,0,0,0,0,3,60,73
Monroe,46,17,0,0,60,55,40,218
Montgomery,54,6,0,18,76,271,86,511
Montgomery Workhouse,13,6,0,0,28,0,0,47
Moore,5,4,5,0,3,5,8,30
Morgan,6,0,0,0,35,6,22,69
Obion,15,14,2,55,9,41,23,159
Overton,33,5,3,0,29,26,36,132
Perry,18,0,0,0,4,2,25,49
Pickett,0,0,0,0,3,1,1,5
Polk,107,6,0,0,5,38,15,171
Putnam,84,24,5,0,148,84,55,400
Rhea,18,25,0,2,9,37,42,133
Roane,49,14,0,0,97,49,89,298
Robertson,194,12,0,0,93,182,63,544
Rutherford,184,44,0,0,101,187,363,879
Rutherford Work Center,0,90,0,0,59,0,0,149
Scott,32,8,0,0,7,55,29,131
Sequatchie,22,9,0,0,9,34,8,82
Sevier Jail,36,18,0,0,17,86,68,225
Sevier Annex,46,33,0,0,39,100,129,347
Shelby CJC,37,19,278,90,18,2467,253,3162
Shelby SCCC,416,1325,0,0,239,0,0,1980
Smith,50,4,0,0,32,31,22,139
Stewart,32,3,0,0,15,23,8,81
Sullivan,54,33,0,0,70,264,156,577
Sullivan Extension,19,4,0,0,37,105,100,265
Kingsport City,0,0,0,0,0,0,2,2
Sumner,122,59,0,0,159,307,81,728
Tipton,20,23,0,0,65,75,53,236
Trousdale,14,0,0,0,10,11,13,48
Unicoi Jail (M),18,1,0,2,1,27,12,61
Unicoi Annex (F),23,0,0,0,3,5,7,38
Union,2,0,12,0,1,23,54,92
Van Buren,0,4,1,4,13,1,24,47
Warren,28,27,0,0,147,37,74,313
"Washington Det, Center",70,23,7,66,194,200,65,625
Washington WH,17,4,1,0,33,0,1,56
Wayne,49,8,5,2,14,35,23,136
Weakley,23,11,0,0,13,13,19,79
White,27,7,8,0,96,33,29,200
Williamson,57,2,7,0,99,121,42,328
Wilson,82,21,18,83,138,140,114,596
