"",,,Other,,,Pre-,Pre-,Total,,,
Marion,7,3,0,0,11,0,38,59,38,-21,155.3%
Marshall,25,0,0,0,15,12,4,56,63,7,88.9%
Maury,26,6,13,0,53,43,15,156,186,30,83.9%
McMinn,47,0,0,0,34,16,33,130,202,72,64.4%
McNairy,16,0,0,25,5,16,14,76,86,10,88.4%
Meigs,12,0,0,0,8,6,5,31,36,5,86.1%
Monroe,9,5,11,6,23,16,10,80,72,-8,111.1%
Montgomery,20,24,6,0,53,136,73,312,311,-1,100.3%
Moore,8,0,2,0,2,0,1,13,20,7,65.0%
Morgan,1,0,0,0,7,4,10,22,27,5,81.5%
Obion,21,15,3,0,18,11,1,69,150,81,46.0%
Overton,5,3,0,0,2,9,3,22,20,-2,110.0%
Perry,1,1,0,0,3,2,2,9,16,7,56.3%
Pickett,0,2,0,0,3,0,0,5,7,2,71.4%
Polk,17,11,1,0,11,7,4,51,35,-16,145.7%
Putnam,20,7,1,0,49,41,23,141,172,31,82.0%
Rhea,6,0,3,0,26,6,15,56,44,-12,127.3%
Roane,2,1,0,0,20,24,18,65,57,-8,114.0%
Robertson,11,0,0,36,20,67,35,169,212,43,79.7%
Rutherford,93,106,32,0,64,145,70,510,484,-26,105.4%
Rutherford WH,0,3,0,0,135,0,0,138,260,122,53.1%
Scott,1,14,3,0,2,4,2,26,42,16,61.9%
Sequatchie,1,2,2,0,3,3,2,13,31,18,41.9%
Sevier,19,14,0,0,34,52,35,154,156,2,98.7%
Shelby CJC,152,0,785,240,262,1125,52,2616,2797,181,93.5%
Shelby SCCC,185,1809,0,0,775,0,0,2769,3570,801,77.6%
Smith,4,2,0,0,6,9,11,32,34,2,94.1%
Stewart,2,2,0,0,2,3,3,12,21,9,57.1%
Sullivan,128,19,18,0,55,101,5,326,221,-105,147.5%
Sullivan WH,0,0,0,0,142,0,0,142,96,-46,147.9%
Kingsport,0,0,0,0,0,0,2,2,20,18,10.0%
Sumner,56,47,0,0,100,86,18,307,213,-94,144.1%
Tipton,8,0,0,0,19,22,25,74,124,50,59.7%
Trousdale,9,2,0,0,7,6,3,27,37,10,73.0%
Unicoi,3,4,2,0,10,14,8,41,46,5,89.1%
Union,0,4,9,0,2,8,7,30,26,-4,115.4%
Van Buren,0,0,0,0,13,7,3,23,30,7,76.7%
Warren,9,20,0,0,72,39,30,170,106,-64,160.4%
Washington,120,9,7,25,59,92,41,353,320,-33,110.3%
Johnson City,0,50,0,0,0,0,0,50,47,-3,106.4%
Wayne,2,2,0,0,11,2,9,26,24,-2,108.3%
Weakley,12,6,2,0,17,8,6,51,125,74,40.8%
White,9,1,0,0,37,9,16,72,42,-30,171.4%
Williamson,90,0,3,17,90,47,49,296,446,150,66.4%
Wilson,19,15,7,0,32,40,24,137,124,-13,110.5%
TOTAL,1920,3796,1166,722,4652,4620,1762,18638,20747,2109,89.8%
