Standard Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibra Hospital of Southeastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices Effective July 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item/Service/Service Package Description,CPT/HCPCS Code,DRG/CMG,NDC,Other Accounting/ Revenue Codes,Rx Charge Quantity,Inpatient Default Gross Charge,Outpatient Default Gross Charge,Discounted Cash Price,De-identified Minimum Negotiated Payer Specific Charge,De-identified Maximum Negotiated Payer Specific Charge,ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 744,"ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
Auto 759/ WC 34","ACPN  (AMERICAS CHOICE PROVIDER NETWORK) 
MR  884",Aetna  720,Aetna Medicare Advantage,Affinity Hospice,AHLIC PPO MR  962 (Aetna),BC/BS of Michigan 600,BC/BS of Michigan 600,"Beaumont Health
Formerly OAKWOOD ACO 314",Blue Care Network Michigan   230,Blue Care Network of Michigan Medicare Adv  712,Cofinity/PPOM   500,Consumers Mutual Ins of MI,DMC CARE  747,Ethix 711,Fidelis Secure Med Adv 961,Fidelis Securecare DR 960,Trusted Health Plan (formerly Harbor Health Choice) 734,Trusted Health Plan (formerly Harbor Health Advantage) MR 982,Health Alliance Plan 725 (PHP),Health Alliance Medicare Senior Plus and Medicare PPO,Health Payors Organization  717,HealthPlus of Michigan (HPM) MR,Humana-Choice Care 718,Integrated Health Plan 712,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,MEDICAID - STATE OF MICHIGAN  171,Medicare,MediNcrease,MediNcrease WC,Paradigm Specialty Network (Formerly AdvaNet) WC,"Wellcare DR (previously Meridian Health Plan DR)
*Only Name change*
","Wellcare MR ( Previously Meridian Health Plan MR)
* Only Name change*","Wellcare Health Plan (Previously Meridian Health Plan)
*Name change only*","Wellcare Health Plan MICHILD (Previously Meridian Health Plan MICHILD)
*Name change only*",Midwest Health Plan,Molina MR,Molina DR,Molina Marketplace,"Multiplan Primary 
Network - PHCS, PHCS Savility, HealthEOS Network
 715","Multiplan Complimentary 737
Multiplan, Value point
 737","Multiplan WC 54
Multiplan, Value Point
 617","Multiplan Auto 618
Multiplan, Value Point
 618",National Providers Network (NPN) 719,Preferred Hlth 750,Priority Health Choice,Priority Health Choice,Priority Health Choice MR,"Provider Network of America
Wrap/TPA",Three Rivers Hospital Network,Tricare East -Humana Government Business,Tricare East -Humana Government Business,"Total Healthcare Comm 319, Medicare Adv 727","Total Healthcare Comm 319, Medicare Adv 727",Total Healthcare DR 231,Total Healthcare DR 231,UHC Community Commercial 318,UHC Community MME 905,UHC Community MR 710,UHC Community MR 710,UHC Community DR 904,"VA Administration
(Not contracted)",VA Community Care Network (VA CCN)
R&B PRIVATE LEVEL 2,,,XXXXXXX0028,191,EA        ,13310,,,0,"12,644.50","10,648",,100% Medicare DRG,,100% Medicare DRG,,,"1,269","1,301",,,,,,,"10,648",,,,,,,"9,317",,,"9,983",,,,,"11,979",,,,,,,,,,,,"7,986",,,"9,317",,,,,"10,648","10,648","10,648",100% LTAH PPS,,,,,,,,,,"6,429",
R&B,,,XXXXXXX0029,192,EA        ,13310,,,0,"12,644.50","10,648",,100% Medicare DRG,,100% Medicare DRG,,,"1,439","1,475",,,,,,,"10,648",,,,,,,"9,317",,,"9,983",,,,,"11,979",,,,,,,,,,,,"7,986",,,"9,317",,,,,"10,648","10,648","10,648",100% LTAH PPS,,,,,,,,,,"6,429",
R&B,,,XXXXXXX0030,193,EA        ,15730,,,0,"14,943.50","12,584",,100% Medicare DRG,,100% Medicare DRG,,,"1,612","1,652",,,,,,,"12,584",,,,,,,"11,011",,,"11,798",,,,,"14,157",,,,,,,,,,,,"9,438",,,"11,011",,,,,"12,584","12,584","12,584",100% LTAH PPS,,,,,,,,,,"7,598",
R&B,,,XXXXXXX0033,194,EA        ,15730,,,0,"14,943.50","12,584",,100% Medicare DRG,,100% Medicare DRG,,,"1,785","1,830",,,,,,,"12,584",,,,,,,"11,011",,,"11,798",,,,,"14,157",,,,,,,,,,,,"9,438",,,"11,011",,,,,"12,584","12,584","12,584",100% LTAH PPS,,,,,,,,,,"7,598",
R&B,,,,199,,13310,,,0,"12,644.50","10,648",,100% Medicare DRG,,100% Medicare DRG,,,922,945,,,,,,,"10,648",,,,,,,"9,317",,,"9,983",,,,,"11,979",,,,,,,,,,,,"7,986",,,"9,317",,,,,"10,648","10,648","10,648",100% LTAH PPS,,,,,,,,,,"6,429",
R&B,,,,206,,13310,,,0,"12,644.50","10,648",,100% Medicare DRG,"1,654",100% Medicare DRG,,,,,,,,"1,300",,,"10,648",,,,,,,"9,317",,,"9,983",,,,,"11,979",,,,,,,,,,,"3,750","7,986",,,"9,317",,"1,553","1,653",,"10,648","10,648","10,648",100% LTAH PPS,"1,600","1,800","1,385","1,500",,,,,,"6,429",
HOU ROOM AND BED,,,,206,,15730,,,0,"14,943.50","12,584",,100% Medicare DRG,"1,654",100% Medicare DRG,,,,,,,,"1,300",,,"12,584",,,,,,,"11,011",,,"11,798",,,,,"14,157",,,,,,,,,,,"3,750","9,438",,,"11,011",,"1,553","1,653",,"12,584","12,584","12,584",100% LTAH PPS,,,,,,,,,,"7,598",
R&B,,,,207,,15730,,,0,"14,943.50","12,584",,100% Medicare DRG,"1,736",100% Medicare DRG,,,,,,,,"1,400",,,"12,584",,,,,,,"11,011",,,"11,798",,,,,"14,157",,,,,,,,,,,"3,750","9,438",,,"11,011",,"1,718","1,818",,"12,584","12,584","12,584",100% LTAH PPS,,,,,"1,613",,,,,"7,598",
1:1 NURSING HRLY,,,XXXXXXX0055,230,          ,136.8,,,0,129.96,109,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,109,,,,,,,96,,,103,,,,,123,,,,,,,,,,,,82,,,96,,,,,109,109,109,100% LTAH PPS,,,,,,,,,,66,
1:2 NURSING HRLY,,,XXXXXXX0056,230,          ,101,,,0,95.95,81,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,81,,,,,,,71,,,76,,,,,91,,,,,,,,,,,,61,,,71,,,,,81,81,81,100% LTAH PPS,,,,,,,,,,49,
DILAUDID 1MG/ML SYRI,,,,250,,8,,,0,7.6,6,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,6,,,,,,,6,,,6,,,,,7,,,,,,,,,,,,5,,,6,,,,,6,6,6,100% LTAH PPS,,,,,,,,,,4,
XXX,,,XXXXXXX0060,250,PROTOCOL) ,0.07,,,0,0.07,0,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,0,,,,,,,0,,,0,,,,,0,,,,,,,,,,,,0,,,0,,,,,0,0,0,100% LTAH PPS,,,,,,,,,,0,
VALSARTAN-HYDROCHLOR,,,XXXXXXX0061,250,EA        ,0.01,,,0,0.01,0,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,0,,,,,,,0,,,0,,,,,0,,,,,,,,,,,,0,,,0,,,,,0,0,0,100% LTAH PPS,,,,,,,,,,0,
PHOSLO 2668MG,,,XXXXXXX0062,250,EA        ,5.35,,,0,5.08,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,3,
SPACE DRUG APART,,,XXXXXXX0063,250,EA        ,3.3,,,0,3.14,3,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,3,,,,,,,2,,,2,,,,,3,,,,,,,,,,,,2,,,2,,,,,3,3,3,100% LTAH PPS,,,,,,,,,,2,
HEMO 1L STND ORDCHRG,,,XXXXXXX0015,250,          ,27.5,,,0,26.13,22,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,22,,,,,,,19,,,21,,,,,25,,,,,,,,,,,,17,,,19,,,,,22,22,22,100% LTAH PPS,,,,,,,,,,13,
SANTYL 15GR,,,,250,,0.07,,,0,0.07,0,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,0,,,,,,,0,,,0,,,,,0,,,,,,,,,,,,0,,,0,,,,,0,0,0,100% LTAH PPS,,,,,,,,,,0,
TRIAMCINO 0.5% OINT,,,,250,,29,,,0,27.55,23,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,23,,,,,,,20,,,22,,,,,26,,,,,,,,,,,,17,,,20,,,,,23,23,23,100% LTAH PPS,,,,,,,,,,14,
ISO 30MG (10MGX3),,,338067104,250,MEQ/L-%-% ,0.01,,,0,0.01,0,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,0,,,,,,,0,,,0,,,,,0,,,,,,,,,,,,0,,,0,,,,,0,0,0,100% LTAH PPS,,,,,,,,,,0,
ACYCLOVIR 200MG,,,338070434,250,MEQ/L-%   ,12,,,0,11.4,10,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,10,,,,,,,8,,,9,,,,,11,,,,,,,,,,,,7,,,8,,,,,10,10,10,100% LTAH PPS,,,,,,,,,,6,
D-5 .45% SODIUM CHLO,,,61553017852,250,          ,22.25,,,0,21.14,18,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,18,,,,,,,16,,,17,,,,,20,,,,,,,,,,,,13,,,16,,,,,18,18,18,100% LTAH PPS,,,,,,,,,,11,
D-5-W 1000,,,338069104,250,MEQ/L-%   ,26.35,,,0,25.03,21,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,21,,,,,,,18,,,20,,,,,24,,,,,,,,,,,,16,,,18,,,,,21,21,21,100% LTAH PPS,,,,,,,,,,13,
D-5-W 100CC,,,338080304,250,MEQ/L-%-% ,30.95,,,0,29.4,25,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,25,,,,,,,22,,,23,,,,,28,,,,,,,,,,,,19,,,22,,,,,25,25,25,100% LTAH PPS,,,,,,,,,,15,
D-5-W 250,J1815,,2751001,250,UNIT/ML   ,29.6,,,0,28.12,24,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,24,,,,,,,21,,,22,,,,,27,,,,,,,,,,,,18,,,21,,,,,24,24,24,100% LTAH PPS,,,,,,,,,,14,
TIKOSYN 0.25MG CAP,,,,250,,21,,,0,19.95,17,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,17,,,,,,,15,,,16,,,,,19,,,,,,,,,,,,13,,,15,,,,,17,17,17,100% LTAH PPS,,,,,,,,,,10,
OSTOMY POUCH 2.75,,,54001720,250,MG        ,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
BACLOFEN REFILL 10ML,,,54023525,250,MG        ,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
PROTONIX 40MG POWDER,,,,250,,76.3,,,0,72.49,61,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,61,,,,,,,53,,,57,,,,,69,,,,,,,,,,,,46,,,53,,,,,61,61,61,100% LTAH PPS,,,,,,,,,,37,
ISOVUE 300M,,,,250,,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
OUTSIDE PHARMACY,,,54355563,250,MG/5ML    ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
PHARMACY,,,,250,,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
PHARMACY - LEGEND,,,54817525,250,MG        ,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
PHARMACY CHARGES,,,54829725,250,MG        ,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
PHENTOLAMINE VIALS,,,,250,,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
SODIUM CHLORIDE 9%,,,54872425,250,MG        ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
SODIUM CHLORIDE 9% 1,,,54873925,250,MG        ,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
SODIUM CHORIDE 9% 10,,,67200050,250,MG        ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
SPHENOPALATINE GANG,,,93220401,250,MG        ,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
SYNVISC,,,93310953,250,MG        ,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
UNSPECIFIED DRUGS,,,93314501,250,MG        ,0,,,0, -   , -   ,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,, -   ,,,,,,, -   ,,, -   ,,,,, -   ,,,,,,,,,,,, -   ,,, -   ,,,,, -   , -   , -   ,100% LTAH PPS,,,,,,,,,, -   ,
ABILIFY 10MG TABLET,,,,250,,128,,,0,121.6,102,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,102,,,,,,,90,,,96,,,,,115,,,,,,,,,,,,77,,,90,,,,,102,102,102,100% LTAH PPS,,,,,,,,,,62,
REG INSULIN HIGH SS,,,93527501,250,MG        ,119.85,,,0,113.86,96,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,96,,,,,,,84,,,90,,,,,108,,,,,,,,,,,,72,,,84,,,,,96,96,96,100% LTAH PPS,,,,,,,,,,58,
PROGRAF 1MG TABLET,,,904552361,250,MG        ,17.8,,,0,16.91,14,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,14,,,,,,,12,,,13,,,,,16,,,,,,,,,,,,11,,,12,,,,,14,14,14,100% LTAH PPS,,,,,,,,,,9,
HYTRIN 10MG TABLET,,,93834401,250,MG        ,6.4,,,0,6.08,5,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,5,,,,,,,4,,,5,,,,,6,,,,,,,,,,,,4,,,4,,,,,5,5,5,100% LTAH PPS,,,,,,,,,,3,
COUMADIN 10MG TABLET,,,,250,,5.3,,,0,5.04,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,3,
ACETAMIN 160MG/5ML L,,,121054410,250,MG/10ML   ,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
ACETAMINOPH 650MG PR,,,,250,,5,,,0,4.75,4,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,4,,,,,,,4,,,4,,,,,5,,,,,,,,,,,,3,,,4,,,,,4,4,4,100% LTAH PPS,,,,,,,,,,2,
DIAMOX,,,121064616,250,MG/10ML   ,13.15,,,0,12.49,11,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,11,,,,,,,9,,,10,,,,,12,,,,,,,,,,,,8,,,9,,,,,11,11,11,100% LTAH PPS,,,,,,,,,,6,
ACIDOPHILLUS,,,121148800,250,MG/10ML   ,2,,,0,1.9,2,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,2,,,,,,,1,,,2,,,,,2,,,,,,,,,,,,1,,,1,,,,,2,2,2,100% LTAH PPS,,,,,,,,,,1,
ACTONEL 35MG TABLET,,,121177505,250,MG/5ML    ,409.15,,,0,388.69,327,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,327,,,,,,,286,,,307,,,,,368,,,,,,,,,,,,245,,,286,,,,,327,327,327,100% LTAH PPS,,,,,,,,,,198,
ACTOS 15MG TABLET,,,,250,,16.3,,,0,15.49,13,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,13,,,,,,,11,,,12,,,,,15,,,,,,,,,,,,10,,,11,,,,,13,13,13,100% LTAH PPS,,,,,,,,,,8,
ACTOS 30MG TABLET,,,135019902,250,MG        ,24.9,,,0,23.66,20,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,20,,,,,,,17,,,19,,,,,22,,,,,,,,,,,,15,,,17,,,,,20,20,20,100% LTAH PPS,,,,,,,,,,12,
MAGIC MOUTHWASH,,,,250,,26.55,,,0,25.22,21,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,21,,,,,,,19,,,20,,,,,24,,,,,,,,,,,,16,,,19,,,,,21,21,21,100% LTAH PPS,,,,,,,,,,13,
ACULAR,,,,250,,218.9,,,0,207.96,175,,100% Medicare DRG,Inc in Per Diem,100% Medicare DRG,,,,,,,,,,,175,,,,,,,153,,,164,,,,,197,,,,,,,,,,,,131,,,153,,,,,175,175,175,100% LTAH PPS,,,,,,,,,,106,
