Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,BCBS_BLUE_CHOICE,BCBS_CAP,CHOICE_CARE_MEDICARE,OPTUM_VA_CCN,UHC_ALL_PAYER
1148019_1,Rapid Drug Screen Urine w/ QC,Inpatient,0300,80305,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; capable of being read by direct optical observation only (eg, utilizing immunoassay [eg, dipsticks, cups, cards, or cartridges]), includes sample validation when performed, per date of service",,0,43.00,40.85,12.60,43.00,N/A,N/A,N/A,N/A,36.55
1148019_1,Rapid Drug Screen Urine w/ QC,Outpatient,0300,80305,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; capable of being read by direct optical observation only (eg, utilizing immunoassay [eg, dipsticks, cups, cards, or cartridges]), includes sample validation when performed, per date of service",,0,43.00,40.85,12.60,43.00,26.48,27.87,43.00,12.60,36.55
1148022_1,"Urinalysis with Microscopic, if indicated",Inpatient,0300,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,38.00,36.10,2.25,38.00,N/A,N/A,N/A,N/A,32.30
1148022_1,"Urinalysis with Microscopic, if indicated",Outpatient,0300,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,38.00,36.10,2.25,38.00,8.65,9.11,38.00,2.25,32.30
1148023_1,Urinalysis,Inpatient,0300,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,38.00,36.10,3.17,38.00,N/A,N/A,N/A,N/A,32.30
1148023_1,Urinalysis,Outpatient,0300,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,38.00,36.10,3.17,38.00,9.14,9.62,38.00,3.17,32.30
1276484_1,XR Chest 1 View,Inpatient,0320,71045,"Radiologic examination, chest; single view",,0,170.00,161.50,116.24,170.00,N/A,N/A,N/A,N/A,144.50
1276484_1,XR Chest 1 View,Outpatient,0320,71045,"Radiologic examination, chest; single view",,0,170.00,161.50,116.24,170.00,116.24,122.36,170.00,170.00,144.50
1374017_1,PT Physical Performance Test 97750,Inpatient,0421,97750,"Physical performance test or measurement (eg, musculoskeletal, functional capacity), with written report, each 15 minutes",,0,74.00,70.30,50.35,74.00,N/A,N/A,N/A,N/A,62.90
1374017_1,PT Physical Performance Test 97750,Outpatient,0421,97750,"Physical performance test or measurement (eg, musculoskeletal, functional capacity), with written report, each 15 minutes",,0,74.00,70.30,50.35,74.00,50.35,53.00,74.00,74.00,62.90
1374021_1,PT Ultrasound Units,Inpatient,0421,97035,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes",,0,81.00,76.95,27.55,81.00,N/A,N/A,N/A,N/A,68.85
1374021_1,PT Ultrasound Units,Outpatient,0421,97035,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes",,0,81.00,76.95,27.55,81.00,27.55,29.00,81.00,81.00,68.85
1383763_1,Hgb A1c,Inpatient,0300,83036,Hemoglobin; glycosylated (A1C),,0,71.00,67.45,9.71,71.00,N/A,N/A,N/A,N/A,60.35
1383763_1,Hgb A1c,Outpatient,0300,83036,Hemoglobin; glycosylated (A1C),,0,71.00,67.45,9.71,71.00,33.80,35.58,71.00,9.71,60.35
1383771_1,B-Type Natriuretic Peptide,Inpatient,0300,83880,Natriuretic peptide,,0,99.00,94.05,39.26,99.00,N/A,N/A,N/A,N/A,84.15
1383771_1,B-Type Natriuretic Peptide,Outpatient,0300,83880,Natriuretic peptide,,0,99.00,94.05,39.26,99.00,68.51,72.12,99.00,39.26,84.15
1503766_1,Lactic Acid,Inpatient,0300,83605,Lactate (lactic acid),,0,96.00,91.20,11.57,96.00,N/A,N/A,N/A,N/A,81.60
1503766_1,Lactic Acid,Outpatient,0300,83605,Lactate (lactic acid),,0,96.00,91.20,11.57,96.00,44.54,46.88,96.00,11.57,81.60
1503769_1,Pro-BNP,Inpatient,0300,83880,Natriuretic peptide,,0,99.00,94.05,39.26,99.00,N/A,N/A,N/A,N/A,84.15
1503769_1,Pro-BNP,Outpatient,0300,83880,Natriuretic peptide,,0,99.00,94.05,39.26,99.00,68.51,72.12,99.00,39.26,84.15
1620877_1,Albumin Level,Inpatient,0300,82040,"Albumin; serum, plasma or whole blood",,0,22.00,20.90,4.95,22.00,N/A,N/A,N/A,N/A,18.70
1620877_1,Albumin Level,Outpatient,0300,82040,"Albumin; serum, plasma or whole blood",,0,22.00,20.90,4.95,22.00,9.99,10.52,22.00,4.95,18.70
1620878_1,Alkaline Phosphatase,Inpatient,0300,84075,"Phosphatase, alkaline",,0,22.00,20.90,5.18,22.00,N/A,N/A,N/A,N/A,18.70
1620878_1,Alkaline Phosphatase,Outpatient,0300,84075,"Phosphatase, alkaline",,0,22.00,20.90,5.18,22.00,10.45,11.00,22.00,5.18,18.70
1628888_1,Carbon Dioxide Level,Inpatient,0300,82374,Carbon dioxide (bicarbonate),,0,22.00,20.90,4.88,22.00,N/A,N/A,N/A,N/A,18.70
1628888_1,Carbon Dioxide Level,Outpatient,0300,82374,Carbon dioxide (bicarbonate),,0,22.00,20.90,4.88,22.00,9.88,10.40,22.00,4.88,18.70
1628889_1,HDL,Inpatient,0300,83718,"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol)",,0,31.00,29.45,8.19,31.00,N/A,N/A,N/A,N/A,26.35
1628889_1,HDL,Outpatient,0300,83718,"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol)",,0,31.00,29.45,8.19,31.00,16.53,17.40,31.00,8.19,26.35
1628894_1,Folate Level,Inpatient,0300,82746,Folic acid; serum,,0,120.00,114.00,14.70,120.00,N/A,N/A,N/A,N/A,102.00
1628894_1,Folate Level,Outpatient,0300,82746,Folic acid; serum,,0,120.00,114.00,14.70,120.00,58.14,61.20,120.00,14.70,102.00
1634883_1,Renal Function Panel,Inpatient,0300,80069,"Renal function panel This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus inorganic (phosphate) (84100) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520)",,0,40.00,38.00,8.68,40.00,N/A,N/A,N/A,N/A,34.00
1634883_1,Renal Function Panel,Outpatient,0300,80069,"Renal function panel This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus inorganic (phosphate) (84100) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520)",,0,40.00,38.00,8.68,40.00,19.11,20.12,40.00,8.68,34.00
1634885_1,Sedimentation Rate,Inpatient,0300,85651,"Sedimentation rate, erythrocyte; non-automated",,0,28.00,26.60,4.27,28.00,N/A,N/A,N/A,N/A,23.80
1634885_1,Sedimentation Rate,Outpatient,0300,85651,"Sedimentation rate, erythrocyte; non-automated",,0,28.00,26.60,4.27,28.00,12.45,13.11,28.00,4.27,23.80
1634892_1,Troponin-I,Inpatient,0300,84484,"Troponin, quantitative",,0,134.00,127.30,12.47,134.00,N/A,N/A,N/A,N/A,113.90
1634892_1,Troponin-I,Outpatient,0300,84484,"Troponin, quantitative",,0,134.00,127.30,12.47,134.00,64.51,67.91,134.00,12.47,113.90
1634898_1,Vitamin B12 Level,Inpatient,0300,82607,Cyanocobalamin (Vitamin B-12),,0,107.00,101.65,15.08,107.00,N/A,N/A,N/A,N/A,90.95
1634898_1,Vitamin B12 Level,Outpatient,0300,82607,Cyanocobalamin (Vitamin B-12),,0,107.00,101.65,15.08,107.00,54.00,56.84,107.00,15.08,90.95
1635634_2,Helicobacter Pylori Antibody,ProFee,0989,,,,0,41.00,38.95,38.95,38.95,N/A,N/A,N/A,N/A,N/A
1779396_1,COLLECTION: Arterial Draw,Inpatient,0300,36600,"Arterial puncture, withdrawal of blood for diagnosis",,0,82.00,77.90,63.65,82.00,N/A,N/A,N/A,N/A,69.70
1779396_1,COLLECTION: Arterial Draw,Outpatient,0300,36600,"Arterial puncture, withdrawal of blood for diagnosis",,0,82.00,77.90,63.65,82.00,63.65,67.00,82.00,N/A,69.70
1779397_1,COLLECTION: Capillary,Inpatient,0300,36416,"Collection of capillary blood specimen (eg, finger, heel, ear stick)",,0,7.00,6.65,4.16,7.00,N/A,N/A,N/A,N/A,5.95
1779397_1,COLLECTION: Capillary,Outpatient,0300,36416,"Collection of capillary blood specimen (eg, finger, heel, ear stick)",,0,7.00,6.65,4.16,7.00,4.16,4.38,7.00,N/A,5.95
1779400_1,COLLECTION: Venous Draw,Inpatient,0300,36415,Collection of venous blood by venipuncture,,0,22.00,20.90,3.00,22.00,N/A,N/A,N/A,N/A,18.70
1779400_1,COLLECTION: Venous Draw,Outpatient,0300,36415,Collection of venous blood by venipuncture,,0,22.00,20.90,3.00,22.00,11.33,11.93,22.00,3.00,18.70
1844782_1,US Echocardiogram,Inpatient,0483,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,1911.00,1815.45,1441.15,1911.00,N/A,N/A,N/A,N/A,1624.35
1844782_1,US Echocardiogram,Outpatient,0483,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",,0,1911.00,1815.45,1441.15,1911.00,1441.15,1517.00,1911.00,1911.00,1624.35
1928297_1,"96360- Hydration, first hour",Emergency,0450,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,182.00,172.90,125.40,182.00,125.40,132.00,182.00,182.00,154.70
1928297_1,"96360- Hydration, first hour",Inpatient,0450,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,182.00,172.90,125.40,182.00,N/A,N/A,N/A,N/A,154.70
1928298_1,"96361- Hydration, each additional hour",Emergency,0450,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,183.00,173.85,125.40,183.00,125.40,132.00,183.00,183.00,155.55
1928298_1,"96361- Hydration, each additional hour",Inpatient,0450,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,183.00,173.85,125.40,183.00,N/A,N/A,N/A,N/A,155.55
1928299_1,"96365- IV tx, first hour",Emergency,0450,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,182.00,172.90,125.40,182.00,125.40,132.00,182.00,182.00,154.70
1928299_1,"96365- IV tx, first hour",Inpatient,0450,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,182.00,172.90,125.40,182.00,N/A,N/A,N/A,N/A,154.70
1928300_1,"96366- IV tx, each additional hour",Emergency,0450,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,183.00,173.85,125.40,183.00,125.40,132.00,183.00,183.00,155.55
1928300_1,"96366- IV tx, each additional hour",Inpatient,0450,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,183.00,173.85,125.40,183.00,N/A,N/A,N/A,N/A,155.55
1928301_1,"96367- IV tx, sequential infusion",Emergency,0450,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,182.00,172.90,125.40,182.00,125.40,132.00,182.00,182.00,154.70
1928301_1,"96367- IV tx, sequential infusion",Inpatient,0450,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,182.00,172.90,125.40,182.00,N/A,N/A,N/A,N/A,154.70
1928302_1,"96368- IV tx, concurrent infusion",Emergency,0450,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,36.00,34.20,0.95,36.00,0.95,1.00,36.00,36.00,30.60
1928302_1,"96368- IV tx, concurrent infusion",Inpatient,0450,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,36.00,34.20,0.95,36.00,N/A,N/A,N/A,N/A,30.60
1928303_1,96372- Subq/IM Injection,Emergency,0450,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,60.00,57.00,40.85,60.00,40.85,43.00,60.00,60.00,51.00
1928303_1,96372- Subq/IM Injection,Inpatient,0450,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,60.00,57.00,40.85,60.00,N/A,N/A,N/A,N/A,51.00
1928305_1,"96375- IV Injection, add new drug",Emergency,0450,96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)",,0,60.00,57.00,40.85,60.00,40.85,43.00,60.00,60.00,51.00
1928305_1,"96375- IV Injection, add new drug",Inpatient,0450,96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)",,0,60.00,57.00,40.85,60.00,N/A,N/A,N/A,N/A,51.00
1928306_1,"96374- IV Injection, single/initial",Emergency,0450,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,60.00,57.00,40.85,60.00,40.85,43.00,60.00,60.00,51.00
1928306_1,"96374- IV Injection, single/initial",Inpatient,0450,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,60.00,57.00,40.85,60.00,N/A,N/A,N/A,N/A,51.00
1928307_1,"96376- IV Injection, add same drug",Emergency,0450,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,60.00,57.00,40.85,60.00,40.85,43.00,60.00,60.00,51.00
1928307_1,"96376- IV Injection, add same drug",Inpatient,0450,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,60.00,57.00,40.85,60.00,N/A,N/A,N/A,N/A,51.00
1930782_1,Creatinine Urine,Inpatient,0300,82570,Creatinine; other source,,0,44.00,41.80,5.18,44.00,N/A,N/A,N/A,N/A,37.40
1930782_1,Creatinine Urine,Outpatient,0300,82570,Creatinine; other source,,0,44.00,41.80,5.18,44.00,20.25,21.32,44.00,5.18,37.40
1932307_1,Microalbumin Level Urine,Inpatient,0300,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,49.00,46.55,5.78,49.00,N/A,N/A,N/A,N/A,41.65
1932307_1,Microalbumin Level Urine,Outpatient,0300,82043,"Albumin; urine (eg, microalbumin), quantitative",,0,49.00,46.55,5.78,49.00,23.34,24.57,49.00,5.78,41.65
2038410_1,White Blood Cell Count,Inpatient,0300,85048,"Blood count; leukocyte (WBC), automated",,0,13.00,12.35,2.54,13.00,N/A,N/A,N/A,N/A,11.05
2038410_1,White Blood Cell Count,Outpatient,0300,85048,"Blood count; leukocyte (WBC), automated",,0,13.00,12.35,2.54,13.00,9.05,9.53,13.00,2.54,11.05
2120839_1,ROOM/BED: Private,Inpatient,0110,,,,0,1075.00,1021.25,913.75,3512.00,N/A,N/A,3512.00,3512.00,913.75
2120840_1,ROOM/BED: Semi Private,Inpatient,0120,,,,0,1050.00,997.50,892.50,3512.00,N/A,N/A,3512.00,3512.00,892.50
2120848_1,"ROOM/BED: SB Intermediate, Level 2 - Semi-Private",Inpatient,0120,,,,0,5.00,4.75,4.25,3512.00,N/A,N/A,3512.00,3512.00,4.25
2182297_1,Platelet Count,Inpatient,0300,85049,"Blood count; platelet, automated",,0,32.00,30.40,4.48,32.00,N/A,N/A,N/A,N/A,27.20
2182297_1,Platelet Count,Outpatient,0300,85049,"Blood count; platelet, automated",,0,32.00,30.40,4.48,32.00,14.28,15.03,32.00,4.48,27.20
2384297_1,XR Abdomen 2 View,Inpatient,0320,74019,"Radiologic examination, abdomen; 2 views",,0,225.00,213.75,94.39,225.00,N/A,N/A,N/A,N/A,191.25
2384297_1,XR Abdomen 2 View,Outpatient,0320,74019,"Radiologic examination, abdomen; 2 views",,0,225.00,213.75,94.39,225.00,94.39,99.36,225.00,225.00,191.25
2404373_1,99282 - Level 2,Emergency,0450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,154.00,146.30,130.90,262.68,249.55,262.68,154.00,154.00,130.90
2404373_1,99282 - Level 2,Inpatient,0450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,154.00,146.30,130.90,262.68,N/A,N/A,N/A,N/A,130.90
2404374_1,99281 - Level 1,Emergency,0450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,132.00,125.40,112.20,168.62,160.19,168.62,132.00,132.00,112.20
2404374_1,99281 - Level 1,Inpatient,0450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,132.00,125.40,112.20,168.62,N/A,N/A,N/A,N/A,112.20
2404375_1,99283 - Level 3,Emergency,0450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,198.00,188.10,168.30,403.75,383.56,403.75,198.00,198.00,168.30
2404375_1,99283 - Level 3,Inpatient,0450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,198.00,188.10,168.30,403.75,N/A,N/A,N/A,N/A,168.30
2404376_1,99284 - Level 4,Emergency,0450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,275.00,261.25,233.75,688.36,653.94,688.36,275.00,275.00,233.75
2404376_1,99284 - Level 4,Inpatient,0450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,275.00,261.25,233.75,688.36,N/A,N/A,N/A,N/A,233.75
2404377_1,99285 - Level 5,Emergency,0450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,363.00,344.85,308.55,1069.84,1016.35,1069.84,363.00,363.00,308.55
2404377_1,99285 - Level 5,Inpatient,0450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,363.00,344.85,308.55,1069.84,N/A,N/A,N/A,N/A,308.55
