property_type,property_id,physical_address,city,zip5,sale_type,sale_price,sale_date,county,state,source_url
1100 - RESIDENTIAL - SINGLE UNIT,10113,1060 BLAINE ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,395000,2016-08-16 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10114,1118 BLAINE ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2013-02-08 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10117,1208 BLAINE ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2019-05-31 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10123,1537 COSGROVE ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,405000,2012-11-30 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10125,818 FILLMORE ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,636000,2015-07-31 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10126,1018 TAFT ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,715000,2020-09-23 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1200 - RESIDENTIAL DUPLEX/FOURPLEX,10134,1006 TAFT ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,445500,2016-09-07 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10136,114 F ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2017-01-05 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10138,759 OAK ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2020-03-02 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10143,730 CHESTNUT ST,PORT TOWNSEND,98368,BLA,0,2019-08-12 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
9100 - VACANT LAND,276336,783 OAK ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2019-03-11 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,276337,761 OAK ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,140000,2017-05-15 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10148,771 OAK ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,335000,2020-01-10 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1200 - RESIDENTIAL DUPLEX/FOURPLEX,10149,100 CHERRY ST,PORT TOWNSEND,98368,BSD,0,2020-10-28 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
9100 - VACANT LAND,276034,715 OAK ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,147000,2016-01-08 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,276035,727 OAK ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,170000,2017-08-10 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10154,2945 HAINES ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2021-12-15 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10158,3405 JACKMAN ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,1000000,2015-01-07 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10160,228 37TH ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2021-12-10 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10161,3723 SAN JUAN AVE,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2013-06-28 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10169,2514 THOMAS ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,160000,2017-02-13 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
"9800 - GARAGES, OUTBUILDINGS, OTHER IMPS",10170,1751 HASTINGS AVE,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,300000,2021-03-03 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10173,363 DISCOVERY RD,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2017-10-02 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10174,2607 HAINES ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2012-09-24 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10176,411 DISCOVERY RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,337500,2016-06-16 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10185,300 DISCOVERY RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,499000,2021-03-17 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10188,308 DISCOVERY RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,0,2017-05-08 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10190,2929 ALDER ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2013-01-16 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10196,210 24TH ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,348500,2012-10-24 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10198,110 24TH ST,PORT TOWNSEND,98368,PARTIAL RELEASED OF DEED OF TRUST,410000,2021-08-20 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10199,2911 HAINES ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,70000,2015-05-20 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10201,2446 HAINES ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,292000,2019-12-19 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10202,2436 HAINES ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2016-01-11 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10203,2426 HAINES ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,375000,2021-04-02 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10205,220 24TH ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2021-11-10 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10207,373 DISCOVERY RD,PORT TOWNSEND,98368,QUIT CLAIM DEED,293477,2020-06-26 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
9100 - VACANT LAND,275486,725 27TH ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2020-05-21 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,275487,711 27TH ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2020-05-21 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
9100 - VACANT LAND,275488,705 27TH ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,175000,2021-09-10 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10228,2404 35TH ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2016-11-30 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10229,2408 35TH ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2016-11-30 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
8300 - OPEN SPACE AGRICULTURAL (A),10234,3029 35TH ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2020-02-10 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10235,3320 ELM ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,340000,2015-10-09 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10241,1680 HASTINGS AVE W,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,300000,2017-12-04 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10246,1641 HASTINGS AVE W,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2014-02-20 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10252,2417 IVY ST,PORT TOWNSEND,98368,LOP,0,2021-12-10 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10259,2513 IVY ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,370000,2017-04-17 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10260,2633 IVY ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2019-01-09 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10261,2601 IVY ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,215000,2013-06-24 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10263,2102 IVY ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,413000,2015-03-20 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10264,3115 HASTINGS AVE,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,435000,2020-12-04 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10265,3295 HASTINGS AVE,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,369000,2017-05-15 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10269,2237 IVY ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2019-05-20 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10271,1611 HASTINGS AVE W,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2016-08-30 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10273,2159 IVY ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,516000,2021-12-01 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10274,2909 IVY ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,613000,2019-10-15 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10279,2535 HASTINGS AVE,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2021-08-16 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10281,2343 THOMAS ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2018-11-15 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10285,2516 HASTINGS AVE,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,260000,2018-11-28 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10286,2241 THOMAS ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,353500,2012-08-17 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
9100 - VACANT LAND,10297,591 N JACOB MILLER RD,PORT TOWNSEND,98368,PARTIAL RELEASED OF DEED OF TRUST,0,2018-12-31 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10306,479 N JACOB MILLER RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,607000,2020-08-19 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10321,567 MIDDLEPOINT RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,1000000,2021-11-05 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10322,553 MIDDLEPOINT RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,326437,2019-12-06 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10324,723 MIDDLEPOINT RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,0,2018-02-23 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
9100 - VACANT LAND,10327,454 MIDDLE POINT RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,150000,2012-04-10 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10333,590 E MIDDLEPOINT RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,420000,2019-07-19 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10338,440 MIDDLEPOINT RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,300000,2017-01-27 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10339,235 E MIDDLEPOINT RD,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2016-07-21 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
9500 - OPEN SPACE TIMBER (T),10345,671 MIDDLEPOINT RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,312500,2020-11-30 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10348,463 MIDDLEPOINT RD,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,295000,2012-06-18 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10353,2421 HASTINGS AVE W,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2018-10-25 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10357,2671 HASTINGS AVE W,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,295000,2014-09-05 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10362,271 ARABIAN LN,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2021-09-08 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1101 - RESIDENTIAL - MH W/LAND,10365,2461 HASTINGS AVE W,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,190000,2012-08-24 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1101 - RESIDENTIAL - MH W/LAND,10369,151 ARABIAN LN,PORT TOWNSEND,98368,PARTIAL RELEASED OF DEED OF TRUST,0,2021-03-16 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10370,2675 HASTINGS AVE W,PORT TOWNSEND,98368,LOP,0,2021-05-13 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
9500 - OPEN SPACE TIMBER (T),10371,2679 HASTINGS AVE W,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2012-07-26 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
