name,business_type,state_registered,street_physical
"OXFORD AUTO CARE, LLC",LLC,MS,72 CR 346
MAROON ENGINEERING LLC,LLC,MS,105 COBH LANE
"MAGNOLIA SON, INC.",CORPORATION,MS,3776 LAKE SHORE DRIVE
"P & G HOLDINGS, LLC",LLC,MS,1930 LAKE WASHINGTON ROAD EAST
"11207 LORRAINE ROAD, LLC",LLC,MS,605 BRIARFIELD ROAD
GPD ENGINEERING AND ARCHITECTURE PROFESSIONAL CORPORATION,CORPORATION,OH,520 S MAIN ST STE 2531
"DEBRA L. TRAUGHBER LPC-S, ACS LLC",LLC,MS,17184 COVENTRY ESTATES BLVD.
"WDD ROTH IRA, LLC",LLC,MS,207 BELLE POINTE
"TMAC TRUCKING, LLC",LLC,MS,326 DUBOSE ROAD
"PROTANK AND EQUIPMENT, LLC",LLC,MS,8971 YAHWEH ROAD
AM HUNTING CLUB LLC,LLC,MS,21 NATIVE DANCER DR
THE WEST POINT LAUNDROMAT LLC,LLC,MS,535 LINCOLN DRIVE
THE KEEPING IT REAL ESTATE LIMITED LIABILITY COMPANY,LLC,MS,375 ROLLINGWOOD DR.
GLENN SMITH ENTERPRISES LLC,LLC,MS,210 WISE LANDING ROAD
"SOLID PLATFORMS, INC.",CORPORATION,IN,6610 MELTON ROAD
"UNITED SECURITY SERVICE, LLC",LLC,MS,1007 MISSION PARK DR
"PHP LICENSE GROUP, LLC",LLC,MS,4618 MAUREY RD
DIRECT PROPERTIES LLC,LLC,MS,14 SGT PRENTISS DR
"J. H. TUCKER FAMILY PROPERTIES, LLC",LLC,MS,8022 MCCOMB-HOLMESVILLE ROAD
"CBS LAWN SERVICE, LLC",LLC,MS,152 CHOCTAW BEND
"WELCH PC MANAGEMENT, LLC",LLC,MS,50439 ALLEN DR
PURE AMERICA LLC,LLC,MS,429 PORTER AVENUE
A-1 PAINTING LLC,LLC,MS,111 MCCOMB AVE.
"ACME, LLC",LLC,MS,372 JACKSON ROAD
IRBY & JOHNSON LLC,LLC,MS,5132 HEATHERTON DR
"KUTZ, LLC",LLC,MS,911 TURNER ST
EASTERN CONSTRUCTORS INCORPORATED,CORPORATION,KY,38004 CORNERVIEW ROAD
"OREY FRIERSON, LLC",LLC,MS,20 POINTER TRAIL
"WARDS PAINTING AND PRESSURE WASHING, LLC",LLC,MS,424 PINE RIDGE DRIVE
DEWEY'S DROP TINE WILD GAME PROCESSING LLC,LLC,MS,2635 SCR 107
REAL ESTATE SALES AND CONSULTANTS LLC,LLC,MS,618 BRIARWOOD DRIVE SUITE F
"OAKES TOYOTA NATCHEZ, LLC",LLC,MS,1753 HWY 1 SOUTH
"OAKES AUTOMOTIVE NATCHEZ, LLC",LLC,MS,1753 HWY 1 SOUTH
"B&B DELIVERY SERVICE, INC.",CORPORATION,TN,3856 WALNUT GROVE RD
"TUCKER RENTALS, LLC",LLC,MS,8022 MCCOMB-HOLMESVILLE ROAD
"JUSTPHYSIOLOGY, LLC",LLC,MS,1577 BARNES RD
DNA UNDERGROUND LLC,LLC,MS,16101 S SWAN ROAD
"ROYAL ENTERTAINMENT, LLC",LLC,MS,1970 BAKERSFIELD TRACE
E HOSPITALITY LLC,LLC,MS,302 EAST MAIN STREET
"MARL'E BY DESIGN FASHION BOUTIQUE, LLC",LLC,MS,2492 JACKSON LIBERTY DR NW
WELDARC INC.,CORPORATION,LA,415 HOLLAND RD
"J & S CHEM CO., LLC",LLC,MS,25488 US HWY 45
"ROD & STAFF RANCH, LLC",LLC,MS,25488 US HWY 45
"SUNBELT TAX SERVICES, INC.",CORPORATION,MS,129 EAST MCDOWELL RD
MILL CREEK CAPITAL LLC,LLC,AR,200 N JEFFERSON STE 618
"LAMBERT REAL ESTATE, LLC",LLC,MS,201 WEST MARKET ST
"CLARE-A-BELLAS, LLC",LLC,MS,126 E. FRANKLIN STREET
"WILL GOURLAY LANDS, LLC",LLC,MS,923 WASHINGTON AVE
"GRAHAM INVESTMENTS, INC.",CORPORATION,MS,40 DEEP SOUTH LANE
TOM BUDNY APARTMENTS LLC,LLC,MS,3101 WEDGEWOOD
"HATTIESBURG DEMOLITION, LLC",LLC,MS,3403 PEARL ST
"DR. SUSAN JENAY NEELY, PLLC",LLC,MS,1000 JANE LN
RESCUE REVOLUTION OF MISSISSIPPI,CORPORATION,MS,216 CAMBRIDGE DRIVE
COUNTRY KUTZ SALON & BARBER SHOP LLC,LLC,MS,521 E. CENTRAL AVE SUITE A
"WOW INVESTMENTS IV, LLC",LLC,MS,1040 DUNCAN ST
"STAR HOLDINGS, LLC",LLC,MS,434 N 14TH ST
STRONGMAN SPECIAL SERVICES LLC,LLC,MS,190 POPLAR STREET
WILL INVESTMENTS LLC,LLC,MS,1776 LELIA DRIVE
"FSB INVESTMENTS, LLC",LLC,MS,901 LYNNLANE
"CATONTECH MANAGEMENT SYSTEMS, LLC",LLC,MS,4825 37TH AVE
SMITH RENTALS LLC,LLC,MS,407 FRONT STREET--HWY 28
"HOLLIMON FAMILY PROPERTIES, LLC",LLC,MS,126 CHERRY OAK TRAIL
THE ECCENTRIC MUSE LLC,LLC,MS,921 VIRGIN MARY RD
"GINGER WILLIAMS COOK STUDIO, LLC",LLC,MS,1620 MYRTLE STREET
SUMMIT INVESTMENTS LLC,LLC,MS,831 HIGHWAY 11
"RIVER CITY TUMBLE & CHEER, LLC",LLC,MS,1007 MISSION PARK DR
CREEK BOTTOM GOATS LLC,LLC,MS,5071 E HOMOCHITTO RD
"G'FTD SOCIETY, LLC",LLC,MS,400 STILLWOOD DRIVE
"GREEN HILLS OF MS, LLC",LLC,MS,1230 MILLS POINTE DR
"CATMUR DEVELOPMENT COMPANY, INC.",CORPORATION,TN,4889 ROANE ROAD
"VANLEIGH RV, INC.",CORPORATION,MS,26 INDUSTRIAL DRIVE ACCESS ROAD
"EPIC HOMES, L.L.C.",LLC,MS,8005 CURRY ROAD
"NANO ACTIVE COATINGS, LLC",LLC,MS,921 ROCKY FORD RD.
336 INVESTMENTS LLC,LLC,MS,336 ORAL CH RD
"HONOURS GOLF COMPANY, LLC",LLC,GA,15044 N SCOTTSDALE RD STE 300
"MILL STREET STUDIOS, LLC",LLC,MS,515 HOOKER
"H AND H WHOLESALE MOTORS, INC.",CORPORATION,MS,302 WEST TATE STREET
"HM MAKEUP ARTISTRY, LLC",LLC,MS,17221 HIGHWAY 2 E
SOUTHERN VENTURE PROPERTIES LLC,LLC,MS,1424 MILL RD
VIKING TRANSPORTATION CO LLC,LLC,MS,2917 MS HWY 178 E.
"KTR INVESTMENTS, LLC",LLC,MS,619 DELMAS AVE.
"OCEAN BLUE, LLC",LLC,MS,6 CHIMNEY CROSS
REGENESIS ADVISORY LLC,LLC,MS,142 HARBOR VIEW DR.
SUPERIOR STAFFING SERVICES INC.,CORPORATION,MS,15072 E SHADOW CREEK DRIVE
"GREGORY P. DUKE SR DDS CONDO, LLC",LLC,MS,102 BREAKERS LN
"B & B AUTO CENTER, LLC",LLC,MS,10470 COLLEGE RD
YOUR GOLDEN TRANSPORTATION LLC,LLC,MS,317 SALLIE HARDIN ROAD
"TWC SERVICES, INC.",CORPORATION,IA,6200 SCOUT TRAIL
CREDOS INDUSTRIAL SUPPLIES & RENTAL LLC,LLC,MS,277 COUNTY ROAD 440
"B3 PRODUCTS, LLC",LLC,MS,740 DANFORTH DR.
"AAM ENTERPRISES, LLC",LLC,MS,2530 ROSWELL DR
J-LAN SUPPLY LLC,LLC,MS,10 SELLERS RD
"CHURCHILL, LLC",LLC,MS,740 DANFORTH DR.
"PASSPORT TECHNOLOGY USA, INC.",CORPORATION,NV,400 N BRAND BLVD STE 800
"HOPKINS ADVANTAGE, LLC",LLC,MS,273 OLD JACKSON RD
TJ TAXX LLC,LLC,MS,6717 BRANCH RD SOUTH
"RSL RENTALS, LLC",LLC,MS,1777 HIGHWAY 334
"BULLDOG ESTATES, LLC",LLC,MS,103 BRIGHTON LN
"THOMPSON & SMOCK, LLC",LLC,MS,9935 HWY 178
MCMC LLC,LLC,DE,8125 SEDGWICK WAY
PROPERTY BRIDGE LLC,LLC,NV,14234 RED CHIP TRAIL
"LIQUIDMETAL COATING SOLUTIONS, LLC",LLC,DE,6207 JIM SNOW WAY
HEARTS AND HOME REALTY LLC,LLC,MS,6780 HWY 45 N
DOWNTOWN STORAGE LLC,LLC,MS,118 DUNBAR AVENUE
"LINDEN PLANTATION B &B, LLC",LLC,MS,1262 E LAKE WASHINGTON RD
"TIPTON LAND CO, LLC",LLC,MS,454 CR 238
"BARRY DAVIS INVESTMENTS, LLC",LLC,MS,10470 COLLEGE RD
"T & E GREEN ENTERPRISE, LLC",LLC,MS,808 HILLENDALE DR
"COLOR-AD, INC.",CORPORATION,VA,7200 GARY ROAD
COMPLETE INSPECTIONS LLC,LLC,MS,104 SANDRA CV
SB&P CORPORATION,CORPORATION,AR,20823 COUNTRY CREEK LN
"OTT LAND HOLDINGS, LLC",LLC,MS,19763 MABEN AVE
"LPJ, LLC",LLC,MS,30 RUSHBROOK RD
"LL FIELD & FOWL, LLC",LLC,MS,100A WEST MAIN STREET
TDG 49 LLC,LLC,MS,12287 HIGHWAY 49
THE ASSOCIATED PRESS USA LLC,LLC,DE,200 LIBERTY STREET
"JOEL F. DILLARD, P.A.",CORPORATION,MS,775 N. CONGRESS ST
"WRIGHT'S DISCOUNT DEPOT, LLC",LLC,MS,353 PLUM PT COVE
"DLA PROPERTIES, LLC",LLC,MS,2540 HIGHWAY 51 SOUTH
"HERNANDO VENTURES, LLC",LLC,MS,2540 HIGHWAY 51 SOUTH
"J & R EQUIPMENT, LLC",LLC,MS,764 HWY 84 W
MEDICAL2. INC,CORPORATION,FL,1830A N GLOSTER STREET
DAHLARBILLS LLC,LLC,MS,100 STARR AVE STE G
"HARVEST PROPERTIES, LLC",LLC,MS,12410 BEAU FOREST DR
ASPHALOS LLC,LLC,MS,601 PETER BRYCE BLVD #407
"COY BEE COMPANY, LLC",LLC,MS,358 HIGHWAY 13
"WALL FAMILY PROPERTIES, LLC",LLC,MS,5508 WESTMINSTER DRIVE
"TALL TIMBERS INVESTMENTS, LLC",LLC,MS,19008 HWY 15 NORTH
IMAGE RECYCLING LLC,LLC,MS,1106 INDUSTRIAL PARK DRIVE
"4884 HIGHWAY 1, LLC",LLC,MS,15384 5TH STREET
BONNIE MARTIN RISLER PROPERIES 6 LLC,LLC,MS,195 PEACHTREE DRIVE
FENNELL PROPERTIES LLC,LLC,MS,401 MURRAH ROAD
"FARIES SALEM PROPERTIES, LLC",LLC,OR,1840 SW STEPHENSON ST.
"G & M SAFETY SERVICES, LLC",LLC,MS,3835 TROTTER RD.
"HOUSTON INVESTMENTS, LLC",LLC,MS,221 KENDRA DRIVE
"MT INVESTMENTS IV, LLC",LLC,MS,91-31 QUEENS BOULEVARD 512
"SOLVE DESIGN STUDIO, LLC",LLC,MS,312 HAWTHORNE DR
"BLOOM, LLC",LLC,MS,724 DUNBAR AVE
"QAR MINERALS, LLC",LLC,MS,245 HIDDEN CREEK DRIVE
RODNEY LOVE TRUCKING LLC,LLC,MS,733 WOODLAKE DRIVE
"SOUTHEAST VALUATION GROUP, LLC",LLC,MS,1111 YORKSHIRE RD
BAILA BAJARA INVESTMENTS LLC,LLC,MS,126 N SPRING STREET
"SOUTHERN EYE SURGERY AND LASER CENTER, LLC",LLC,MS,1420 S 28TH AVE.
"STEGALL NOTARY SERVICE, INC.",CORPORATION,MS,14 NORTHTOWN DRIVE
"GOD'S GIRL, LLC",LLC,MS,7655 ALEXANDERS RIDGE COVE
"FOUNTAIN SQUARE 2015 GP, LLC",LLC,MS,1739 UNIVERSITY AVENUE SUITE 116
"WILLIAM B. ROGERS, M.D., PLLC",LLC,MS,901 STRATFORD LANE
"GINA ESCHER CFNP, LLC",LLC,MS,9412 WILD OAKS LN
"MARLIN LABORATORIES, LLC",LLC,MS,1437 OLD SQUARE ROAD SUITE 202
SALTILLO HIGH SCHOOL SOFTBALL BOOSTER CLUB,CORPORATION,MS,112 COUNTY ROAD 817
"KLR RESOURCES, LLC",LLC,MS,210 FREDRICKSBURG PLACE
"EMPIRE TODAY, LLC",LLC,DE,333 NORTHWEST AVE
"EASY INVESTMENTS, LLC",LLC,MS,1283 CHARLESTON BLVD
"PEARL ST. LAND CO., LLC",LLC,MS,125 STELLA ST.
"BIO-SOIL ENHANCERS, INC.",CORPORATION,NV,1161 JAMES STREET
"POPLAR SPRINGS PHYSICAL THERAPY, LLC",LLC,MS,7420 BELLE TRACE
"1814-507, LLC",LLC,MS,105 LEVON OWENS DRIVE
"435-1058, LLC",LLC,MS,105 LEVON OWENS DRIVE
"1127-29, LLC",LLC,MS,105 LEVON OWENS DRIVE
"M DAVIS PROPERTIES, LLC",LLC,MS,501 EAST GOVERNMENT STREET
BDP PROFESSIONAL SERVICES LLC,LLC,MS,2530 VALLEYBROOK RD
"CEDAR HILL PLACE, LLC",LLC,MS,1480 PINEHAVEN RD.
"ROSAMOND MBO, LLC",LLC,MS,120 BIENVILLE DR
"R&D DEVELOPMENT, LLC",LLC,MS,19 KEYSER LN
"T.N. WILLIAMS & ASSOCIATES, LLC",LLC,MS,179 DEVEREAUX DRIVE
"NWT ENTERPRISES, INC.",CORPORATION,MS,300 S. 25TH AVE.
TBCADKINS ENTERPRISES LLC,LLC,MS,535 LINCOLN DRIVE
"FOUR G CONSTRUCTION, INC.",CORPORATION,MO,600 HWY H
"GRACE REALTY GROUP OF OXFORD, LLC",LLC,MS,148 LAKEWAY DR
"MSMR PROPERTIES, LLC",LLC,MS,2067 MATTHEWS DRIVE
STALLINGS CONSTRUCTION LLC,LLC,MS,3388 HWY 145 S
THE PAVILLION LLC,LLC,MS,127 N MEMPHIS STREET
THE MAGGIO LAW FIRM P.C.,CORPORATION,MS,2201 24TH AVE
K & D'S TOWING LLC,LLC,MS,288 COUNTY ROAD 371
DOCSRODS LLC,LLC,MS,5720 WRIGHT RD
BLACKWELL DISTRIBUTING LLC,LLC,MS,7291 OLD COUNTRY CLUB PLACE
"PLEASANT GROVE FARMS, LLC",LLC,MS,100 BROCK CIRCLE
"PELICAN TRUCKING, INC",CORPORATION,MS,270 TRACE COLONY PARK STE B
"PINE BELT PAINT PROS, LLC",LLC,MS,14 BEECH LANE
"MITCHELL DIVE & SALVAGE, LLC",LLC,MS,8933 LORRAINE RD
"D LEWIS THORNHILL, LLC",LLC,MS,3005 BEACH VIEW COURT
"FOUNDATION FIRST DEVELOPMENT CENTER, LLC",LLC,MS,3878 TERRY ROAD
"DG HATTIESBURG 49, LLC",LLC,MS,10 LAMAR BLVD.
"SNR GROUP, LLC",LLC,MS,142 EAST RD
"BLOWN AWAY SURFACE PREP, LLC",LLC,MS,12669 HILLARY STEP DR.
J MIKELS FURNITURE SHOWROOM INC,CORPORATION,MS,9311 COLLINSVILLE CIRCLE
KINGS & ASSOCIATES LLC,LLC,MS,1328 OAK PARK DRIVE
PRECISION ENGINEERING CORPORATION,CORPORATION,MS,276 COUNTY ROAD 101
"WILLIE J. HILL, D.D.S., O.M.S., LLC",LLC,MS,27 GREYSTONE DR.
TUBBS TRUCKING INC,CORPORATION,MS,6578 ENDVILLE RD
T & S FOREVER LLC,LLC,MS,1038 QUAIL RIDGE DR
"B&B SPECIALTY TRANSPORTS, INC.",CORPORATION,MS,3316 14TH STREET
"SKYROCKET RADIO, LLC",LLC,MS,196 MANDARIN DRIVE
"SMITH'S AUTOMOTIVE REPAIR, LLC",LLC,MS,401 SOUTH PEARL ST
"PAUL HUFFMAN, C.P.A., P.C.",CORPORATION,AL,757 HWY 29
NELLIE MAC LLC,LLC,MS,609 COUNTY ROAD 102
SOUTHERN TWISTED CUISINE LLC,LLC,MS,3512 AUGUSTA RD.
"LEONARD PROTECTED SERVICES, LLC",LLC,MS,1003 HEMLOCK COVE
AMERICAN STITCHING LLC,LLC,MS,101 PENNY LANE
ROEDER CONTRACTORS INC.,CORPORATION,MS,11471 HICKORY DRIVE
"DAMA AIRCRAFT, L.L.C.",LLC,MS,115 EASTVIEW DR
SOUTHERN FUN LLC,LLC,MS,137 CHERRY BARK WAY
"TOTAL FIRE PROTECTION, INC.",CORPORATION,AL,141 REGENCY PARK DRIVE
"LENAHAN, SMITH & BARGIACHI, P.C.",CORPORATION,TN,1080 BROOKFIELD ROAD
"HARPREET SOOD, PLLC",LLC,MS,192 BRIDGEWATER DRIVE
"1512 NORTH MAIN, LLC",LLC,MS,4709 BLUEBONNET BLVD SUITE A
SUGAR LILY'S LLC,LLC,MS,6015 VISTA CIRCLE
"HARDING LOGISTICS, LLC",LLC,MS,219 MCNARNEY DR
"TACO TALK, LLC",LLC,MS,8061 N. MCRAVEN RD LOT 51
"BUTLER PLANTING COMPANY, LLC",LLC,MS,107 E MARKET ST
"SOUTH CENTRAL RECOVERY, LLC",LLC,MS,251 SHILOH CHURCH ROAD
"ECONO SIGNS OF TUPELO, INC.",CORPORATION,MS,687 PALMETTO ROAD
FIVE STAR LODGE LLC,LLC,MS,252 CLOVER VALLEY BLVD
COUNTRY SQUIRE BULLIES LLC,LLC,MS,90 L J FARM RD
"AUTUMN TRACE APARTMENTS, LLC",LLC,DE,23064 MONTEBELLO ROAD
"ELLE MARI EVENTS, LLC",LLC,MS,626 PINEBROOK PLACE
HARDING INVESTMENTS LLC,LLC,MS,368 WALTER'S RD
"RMA INVESTMENTS, LLC",LLC,MS,536 DIXTON DR
"TNT CRAPPIE GUIDES, LLC",LLC,MS,45 WEST LAKEVIEW DRIVE
DRM SALES LLC,LLC,MS,13724 HWY 613
COASTAL CONTRACTING LLC,LLC,MS,21555 D HERDE RD
PELICAN RISING LLC,LLC,MS,13304 SOLOMON ROAD
"STRATEGIC CAPITAL, LLC",LLC,MS,1301 W PINE ST
"NLR-BB, LLC",LLC,AL,7001 PELHAM ROAD SUITE M
"JDM HOLDINGS, LLC",LLC,NC,5301 CAPITAL BLVD STE A
FOXWORTH TAX SERVICE LLC,LLC,MS,15 H AND R LANE
"COMMERCIAL ELECTRIC OF LONG BEACH, INC.",CORPORATION,MS,821 N NICHOLSON AVE
"LUXURY DELIVERY SERVICE, INC.",CORPORATION,OH,4300 E. FIFTH AVENUE
WASTE DISPOSAL SERVICES LLC,LLC,MS,1007 MISSION PARK DR
K&K TRUCKING INC.,CORPORATION,TN,90 L SEALY COVE
"GULF COAST RIDES, LLC",LLC,MS,14913 LEMOYNE BLVD
WILSON ROOFING INC.,CORPORATION,NC,75 FRANCIS RD
"WITNESS TREE SURVEYING, LLC",LLC,MS,35 BLUEBERRY LANE
"PPB OXFORD, LLC",LLC,MS,1124 SECOND ST
"SPB OXFORD, LLC",LLC,MS,1124 SECOND ST
SOUTHERN MOBILE HOME-RV PARK LLC,LLC,MS,144 SOUTH FIRST AVE
"LAZY S, LLC",LLC,MS,4063 BRANDON JAMES DR
"NEW ROADS COUNSELING, LLC",LLC,MS,4586 HIGHWAY 430 SOUTH
"CARLISS PHARMACEUTICALS, LLC",LLC,MS,796 IVY HILL DRIVE
"MAKE READY ETC., LLC",LLC,MS,617 BRADFORD DR.
"HOUSE OF WHIT, LLC",LLC,MS,305 E WALDRON STEET
"K MARSH II, LLC",LLC,MS,44 COPPERFIELD COURT
"JAG COMPANIES, LLC",LLC,MS,790 HOWARD AVE
"HERNANDO SCOUT UNIT 141, INC.",CORPORATION,MS,540 SHADOW VIEW DR E
"HIP TRANSACTION SERVICES, LLC",LLC,TX,3000 TURTLE CREEK BLVD
"ANGIE MULLINS, LLC",LLC,MS,154 PINE KNOLL COVE
ROLISON FORESTRY LLC,LLC,MS,391 COUNTY ROAD 516
"MISSISSIPPI PINES, LLC",LLC,MS,5427 SUTTON PLACE
BROWNLOW PLASTERING LLC,LLC,LA,47099 CONRAD ANDERSON DRIVE
"HEALTH DATA ANALYTICS, LLC",LLC,MS,2946 SISKIYOU BLVD
ART HAUS INC.,CORPORATION,MS,1602 CYPRESS LANE
BURKE BROADCASTING LLC,LLC,MS,5980 DOGWOOD DRIVE
PGM OF TEXAS LLC,LLC,TX,2809 SOUTH IH-35
WINONA DRY CLEANING COMPANY LLC,LLC,MS,401 NORTH APPLEGATE STREET
"CATLIN ENTERPRISES, LLC",LLC,MS,403 KIRKLAND CV
SUNSHINE MANIA LLC,LLC,MS,1806 ROBERT ST
"GL TRUCKING, L.L.C.",LLC,MS,50781 OLD HWY 25
JD ASSET GROUP LLC,LLC,MS,1512 SHERMAN AVE
J. RAYMOND CONSTRUCTION CORP.,CORPORATION,FL,465 WEST WARREN AVENUE
"PASS ROAD MINI STORAGE, LLC",LLC,MS,500 PASS ROAD
"SPARK-TECHNOLOGIES, LLC",LLC,MS,4401 CHAMBERLAIN AVE
"CYO F&B, LLC",LLC,MS,1020 N GLOSTER ST #110
"WADE AND HAMME, LLC",LLC,MS,2042 LONDON AVENUE
"CONTRA ENTERPRISES, LLC",LLC,MS,22806 HIGHWAY 18 E
DINNER DART LLC,LLC,MS,614 E CANAL ST.
"CREOLE CAJUN CUISINE, L.L.C.",LLC,MS,1437 OLD SQUARE ROAD SUITE 202
MSCRAFTSY INC.,CORPORATION,MS,3637 VALLEY RD
"JHT PROPERTIES, LLC",LLC,MS,7568 REINDEER CT
"IPRINT JACKSON, INC.",CORPORATION,MS,1509 JACKSON AVENUE
JOYFUL HEART PHARMACY LLC,LLC,MS,4426 POPPS FERRY RD
"ST. CLAIR CPA, PLLC",LLC,MS,1129 BOUIE RD
THE SNO STOP LLC,LLC,MS,6845 LINCOLN RD EXT
BMR RENTAL LLC,LLC,MS,130 ESPY AVE
BMWW PROPERTIES LLC,LLC,MS,123 JEFFERSON STREET
"BIG RIVER FARMS MS-LA, L.L.C.",LLC,LA,1001 OCHSNER BLVD STE 100
BROTHERS N ARMS LLC,LLC,MS,28 NARROW WAY
"MCNEIL LAND COMPANY, LLC",LLC,MS,160 S. CHERRY ST
"HIDDEN SPRINGS GP, LLC",LLC,MS,15039 LORRAINE ROAD
"SUNRISE NETWORK SOLUTIONS, INC. OF FLORIDA",CORPORATION,MS,5701 SUNTECH DRIVE
"CHRISTINE C. TURNER INVESTMENTS, LLC",LLC,MS,5980 DOGWOOD DRIVE
"EVOLUTION, LLC",LLC,MS,1015 HARRISON DR
LSV INVESTMENTS LLC,LLC,MS,92 EVANS ROAD
"HALL TRANSPORT, LLC",LLC,MS,1121 CR 152
"PRESTON'S, LLC",LLC,MS,14015 GLADYS ST
"TURF TAMERS LAWN CARE, LLC",LLC,MS,192 WRIGHTS MILL DR
"PAC-SSI, LLC",LLC,MS,9 ABBEY NORD PLACE
DELTA RADIO NETWORK LLC,LLC,MS,3965 HWY 61 NORTH
DELTA DIVAS LLC,LLC,MS,1034 DEER CREEK DRIVE
GAME CREEK VIDEO LLC,LLC,NH,23 EXECUTIVE DR
"JOHNSON CONTRACTING SERVICES, INC.",CORPORATION,GA,1828 H ST.
CENTRAL DRYWALL LLC,LLC,MS,280 RUE PETIT BOIS
"ALLURE, LLC",LLC,MS,5588 APRIL DRIVE
SECOND WIND LLC,LLC,MS,584 BONITA LAKES DRIVE
OPTIMUM SERVICES COMPANY LLC,LLC,MS,801 EAST NORTHSIDE DRIVE
LAWN WORKS LLC,LLC,MS,305 SOUTH PLACE
"YOUNDER WAY EXPRESS, LLC",LLC,MS,126 HARRIS RD
"TRANSPALLET, LLC",LLC,MS,112 HAMPTON HILLS BLVD
SEAMLESS CONSTRUCTIONS L.L.C.,LLC,MS,8079 LONGWOOD DR
"SWANNS' GARDEN, LLC",LLC,MS,65 J THRASH RD.
