Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna,Exchange_-Common_Ground,Health_EOS,Humana_WVN,Humana_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"BAY AREA","CHARGE","10000036","ARTHROGRAM HIP INJECT","27093","760.00","691.60","215.57","216.52","218.27","410.40","654.36","524.40","691.60","456.00","577.60","646.00","684.00","192.00","646.00","529.72","244.73","285.09","418.00","192.00","691.60"
"BAY AREA","CHARGE","10000037","ARTHROGRAM KNEE INJECT","27369","880.00","800.80","313.66","335.57","525.61","475.20","757.68","607.20","800.80","528.00","668.80","748.00","792.00","518.63","748.00","613.36","430.55","493.86","484.00","313.66","800.80"
"BAY AREA","CHARGE","10000038","ARTHROGRAM ANKLE INJECT","27648","760.00","691.60","270.89","289.81","453.93","410.40","654.36","524.40","691.60","456.00","577.60","646.00","684.00","447.90","646.00","529.72","371.84","426.51","418.00","270.89","691.60"
"BAY AREA","CHARGE","10000075","HANDLING FEE","99001","20.00","18.20","6.61","7.14","10.24","10.80","17.22","13.80","18.20","12.00","15.20","17.00","18.00","7.96","17.00","13.94","8.74","9.93","11.00","6.61","18.20"
"BAY AREA","CHARGE","10000080","SELECTIVE  CATH 1ST ORDER THORACIC","36215","3,410.00","3,103.10","903.15","914.80","2,042.62","1,841.40","2,936.01","2,352.90","3,103.10","2,046.00","2,591.60","2,898.50","3,069.00","1,827.37","2,898.50","2,376.77","1,593.03","1,834.19","1,875.50","903.15","3,103.10"
"BAY AREA","CHARGE","10000081","SELECTIVE CATH 2ND ORDER THORACIC","36216","3,410.00","3,103.10","903.15","914.80","2,042.62","1,841.40","2,936.01","2,352.90","3,103.10","2,046.00","2,591.60","2,898.50","3,069.00","1,827.37","2,898.50","2,376.77","1,593.03","1,834.19","1,875.50","903.15","3,103.10"
"BAY AREA","CHARGE","10000082","SELECTIVE  CATH 3RD ORDER THORACIC","36217","3,410.00","3,103.10","903.15","914.80","2,042.62","1,841.40","2,936.01","2,352.90","3,103.10","2,046.00","2,591.60","2,898.50","3,069.00","1,827.37","2,898.50","2,376.77","1,593.03","1,834.19","1,875.50","903.15","3,103.10"
"BAY AREA","CHARGE","10000084","SELECTIVE  CATH 2&3 THORARIC ADDL","36218","1,700.00","1,547.00","450.25","456.06","1,018.31","918.00","1,463.70","1,173.00","1,547.00","1,020.00","1,292.00","1,445.00","1,530.00","911.01","1,445.00","1,184.90","794.18","914.40","935.00","450.25","1,547.00"
"BAY AREA","CHARGE","10000085","SELECTIVE CATH 1ST ORDER ABD/PELVIC","36245","3,410.00","3,103.10","903.15","914.80","2,042.62","1,841.40","2,936.01","2,352.90","3,103.10","2,046.00","2,591.60","2,898.50","3,069.00","1,827.37","2,898.50","2,376.77","1,593.03","1,834.19","1,875.50","903.15","3,103.10"
"BAY AREA","CHARGE","10000086","SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM","36246","3,410.00","3,103.10","903.15","914.80","2,042.62","1,841.40","2,936.01","2,352.90","3,103.10","2,046.00","2,591.60","2,898.50","3,069.00","1,827.37","2,898.50","2,376.77","1,593.03","1,834.19","1,875.50","903.15","3,103.10"
"BAY AREA","CHARGE","10000087","SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM","36247","3,410.00","3,103.10","903.15","914.80","2,042.62","1,841.40","2,936.01","2,352.90","3,103.10","2,046.00","2,591.60","2,898.50","3,069.00","1,827.37","2,898.50","2,376.77","1,593.03","1,834.19","1,875.50","903.15","3,103.10"
"BAY AREA","CHARGE","10000088","SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL","36248","1,700.00","1,547.00","450.25","456.06","1,018.31","918.00","1,463.70","1,173.00","1,547.00","1,020.00","1,292.00","1,445.00","1,530.00","911.01","1,445.00","1,184.90","794.18","914.40","935.00","450.25","1,547.00"
"BAY AREA","CHARGE","10000090","SCLEROTHERAPY MULTIPLE VEINS","36471","405.00","368.55","107.27","108.65","242.60","218.70","348.71","279.45","368.55","243.00","307.80","344.25","364.50","217.03","344.25","282.29","189.20","217.84","222.75","107.27","368.55"
"BAY AREA","CHARGE","10000091","ABLATION VARICOSE VEIN LASER 1ST","36478","6,720.00","6,115.20","1,779.82","1,802.78","4,025.33","3,628.80","5,785.92","4,636.80","6,115.20","4,032.00","5,107.20","5,712.00","6,048.00","3,601.15","5,712.00","4,683.84","3,139.35","3,614.59","3,696.00","1,779.82","6,115.20"
"BAY AREA","CHARGE","10000092","CATH VENOUS BLOOD  SAMPLING","36500","1,250.00","1,137.50","331.07","335.34","748.76","675.00","1,076.25","862.50","1,137.50","750.00","950.00","1,062.50","1,125.00","669.86","1,062.50","871.25","583.96","672.36","687.50","331.07","1,137.50"
"BAY AREA","CHARGE","10000093","CATH UMBILICAL VEIN","36510","570.00","518.70","150.97","152.91","341.43","307.80","490.77","393.30","518.70","342.00","433.20","484.50","513.00","305.45","484.50","397.29","266.28","306.59","313.50","150.97","518.70"
"BAY AREA","CHARGE","10000094","INSERT CVL NON TUNNELED <5 YRS","36555","1,800.00","1,638.00","476.74","482.89","1,078.21","972.00","1,549.80","1,242.00","1,638.00","1,080.00","1,368.00","1,530.00","1,620.00","964.59","1,530.00","1,254.60","840.90","968.19","990.00","476.74","1,638.00"
"BAY AREA","CHARGE","10000095","INSERT CVL TUNNELED <5 YRS","36557","7,150.00","6,506.50","1,893.71","1,918.13","4,282.90","3,861.00","6,156.15","4,933.50","6,506.50","4,290.00","5,434.00","6,077.50","6,435.00","3,831.58","6,077.50","4,983.55","3,340.23","3,845.88","3,932.50","1,893.71","6,506.50"
"BAY AREA","CHARGE","10000096","INSERT CVL TUNNELED 5 YRS >/=","36558","7,150.00","6,506.50","1,893.71","1,918.13","4,282.90","3,861.00","6,156.15","4,933.50","6,506.50","4,290.00","5,434.00","6,077.50","6,435.00","3,831.58","6,077.50","4,983.55","3,340.23","3,845.88","3,932.50","1,893.71","6,506.50"
"BAY AREA","CHARGE","10000098","INSERT CVL TUNNELED W/PORT 5 YRS >/=","36561","8,630.00","7,853.30","3,215.96","3,394.11","5,379.37","4,660.20","7,430.43","5,954.70","7,853.30","5,178.00","6,558.80","7,335.50","7,767.00","6,524.05","7,335.50","6,015.11","5,880.85","6,760.70","4,746.50","3,215.96","7,853.30"
"BAY AREA","CHARGE","10000099","INSERT CVL TUNNELED W/PUMP","36563","8,630.00","7,853.30","2,285.69","2,315.17","5,169.43","4,660.20","7,430.43","5,954.70","7,853.30","5,178.00","6,558.80","7,335.50","7,767.00","4,624.69","7,335.50","6,015.11","4,031.63","4,641.95","4,746.50","2,285.69","7,853.30"
"BAY AREA","CHARGE","10000102","PICC LINE INSERTION <5 YRS","36568","1,520.00","1,383.20","402.58","407.77","910.49","820.80","1,308.72","1,048.80","1,383.20","912.00","1,155.20","1,292.00","1,368.00","814.55","1,292.00","1,059.44","710.09","817.58","836.00","402.58","1,383.20"
"BAY AREA","CHARGE","10000103","PICC INSERTION","36569","1,800.00","1,638.00","699.73","777.45","1,242.00","972.00","1,549.80","1,242.00","1,638.00","1,080.00","1,368.00","1,530.00","1,620.00","1,231.85","1,530.00","1,254.60","1,104.31","1,289.16","990.00","699.73","1,638.00"
"BAY AREA","CHARGE","10000106","REPAIR CVL CATH","36575","1,000.00","910.00","264.85","268.27","599.01","540.00","861.00","690.00","910.00","600.00","760.00","850.00","900.00","535.89","850.00","697.00","467.17","537.88","550.00","264.85","910.00"
"BAY AREA","CHARGE","10000107","REPAIR CVL CATH W PORT/PUMP","36576","1,860.00","1,692.60","492.63","498.98","1,114.15","1,004.40","1,601.46","1,283.40","1,692.60","1,116.00","1,413.60","1,581.00","1,674.00","996.75","1,581.00","1,296.42","868.93","1,000.47","1,023.00","492.63","1,692.60"
"BAY AREA","CHARGE","10000108","REPLACE CVL CATH ONLY","36578","4,230.00","3,849.30","1,120.33","1,134.78","2,533.80","2,284.20","3,642.03","2,918.70","3,849.30","2,538.00","3,214.80","3,595.50","3,807.00","2,266.80","3,595.50","2,948.31","1,976.11","2,275.25","2,326.50","1,120.33","3,849.30"
"BAY AREA","CHARGE","10000109","REPLACE CVL NON TUNNELED COMPLETE","36580","1,860.00","1,692.60","492.63","498.98","1,114.15","1,004.40","1,601.46","1,283.40","1,692.60","1,116.00","1,413.60","1,581.00","1,674.00","996.75","1,581.00","1,296.42","868.93","1,000.47","1,023.00","492.63","1,692.60"
"BAY AREA","CHARGE","10000110","REPLACE CVL TUNNELED COMPLETE","36581","3,710.00","3,376.10","982.61","995.28","2,222.32","2,003.40","3,194.31","2,559.90","3,376.10","2,226.00","2,819.60","3,153.50","3,339.00","1,988.14","3,153.50","2,585.87","1,733.18","1,995.55","2,040.50","982.61","3,376.10"
"BAY AREA","CHARGE","10000111","REPLACE CVL TUNNELED W/PORT COMPLETE","36582","4,800.00","4,368.00","1,271.30","1,287.70","2,875.24","2,592.00","4,132.80","3,312.00","4,368.00","2,880.00","3,648.00","4,080.00","4,320.00","2,572.25","4,080.00","3,345.60","2,242.39","2,581.85","2,640.00","1,271.30","4,368.00"
"BAY AREA","CHARGE","10000113","REPLACE PICC COMPLETE","36584","1,500.00","1,365.00","397.28","402.41","898.51","810.00","1,291.50","1,035.00","1,365.00","900.00","1,140.00","1,275.00","1,350.00","803.83","1,275.00","1,045.50","700.75","806.83","825.00","397.28","1,365.00"
"BAY AREA","CHARGE","10000114","REPLACE PICC W/PORT COMPLETE","36585","7,040.00","6,406.40","1,864.57","1,888.62","4,217.01","3,801.60","6,061.44","4,857.60","6,406.40","4,224.00","5,350.40","5,984.00","6,336.00","3,772.64","5,984.00","4,906.88","3,288.84","3,786.71","3,872.00","1,864.57","6,406.40"
"BAY AREA","CHARGE","10000115","REMOVE CVL TUNNELED W/O PORT","36589","1,100.00","1,001.00","620.78","620.78","649.00","594.00","947.10","759.00","1,001.00","660.00","836.00","935.00","990.00","1,097.12","935.00","766.70","771.18","900.55","605.00","594.00","1,097.12"
"BAY AREA","CHARGE","10000116","REMOVE CVL TUNNELED W/PORT","36590","1,800.00","1,638.00","476.74","482.89","1,078.21","972.00","1,549.80","1,242.00","1,638.00","1,080.00","1,368.00","1,530.00","1,620.00","964.59","1,530.00","1,254.60","840.90","968.19","990.00","476.74","1,638.00"
"BAY AREA","CHARGE","10000117","BLOOD SPEC IMPLANTED DEVICE","36591","141.00","128.31","31.39","31.44","31.53","76.14","121.40","97.29","128.31","84.60","107.16","119.85","126.90","28.87","119.85","98.28","37.79","44.51","77.55","28.87","128.31"
"BAY AREA","CHARGE","10000118","REMOVE PERICATH OBSTRUCTIVE MATERIAL","36595","3,600.00","3,276.00","953.47","965.77","2,156.43","1,944.00","3,099.60","2,484.00","3,276.00","2,160.00","2,736.00","3,060.00","3,240.00","1,929.19","3,060.00","2,509.20","1,681.79","1,936.39","1,980.00","953.47","3,276.00"
"BAY AREA","CHARGE","10000119","REMOVE INTRACATH OBSTRUCTION MATERIAL","36596","1,800.00","1,638.00","476.74","482.89","1,078.21","972.00","1,549.80","1,242.00","1,638.00","1,080.00","1,368.00","1,530.00","1,620.00","964.59","1,530.00","1,254.60","840.90","968.19","990.00","476.74","1,638.00"
"BAY AREA","CHARGE","10000120","INJECT W FLUORO EVAL CENTRAL LINE","36598","600.00","546.00","158.91","160.96","359.40","324.00","516.60","414.00","546.00","360.00","456.00","510.00","540.00","321.53","510.00","418.20","280.30","322.73","330.00","158.91","546.00"
"BAY AREA","CHARGE","10000121","THROMBECTOMY VEIN(S)","37187","9,990.00","9,090.90","2,645.89","2,680.02","5,984.08","5,394.60","8,601.39","6,893.10","9,090.90","5,994.00","7,592.40","8,491.50","8,991.00","5,353.50","8,491.50","6,963.03","4,666.98","5,373.47","5,494.50","2,645.89","9,090.90"
"BAY AREA","CHARGE","10000128","STENT CAROTID W/PROTECTION","37215","10,850.00","9,873.50","2,873.67","2,910.73","6,499.23","5,859.00","9,341.85","7,486.50","9,873.50","6,510.00","8,246.00","9,222.50","9,765.00","5,814.36","9,222.50","7,562.45","5,068.74","5,836.05","5,967.50","2,873.67","9,873.50"
"BAY AREA","CHARGE","10000134","BONE MARROW BIOPSY","38221","970.00","882.70","256.91","260.22","581.04","523.80","835.17","669.30","882.70","582.00","737.20","824.50","873.00","519.81","824.50","676.09","453.15","521.75","533.50","256.91","882.70"
"BAY AREA","CHARGE","10000137","INJECT RADIOACTIVE TRACER SENTINEL NODE","38792","400.00","364.00","105.94","107.31","239.60","216.00","344.40","276.00","364.00","240.00","304.00","340.00","360.00","214.35","340.00","278.80","186.87","215.15","220.00","105.94","364.00"
"BAY AREA","CHARGE","10000139","BX SALIVARY GLAND NEEDLE","42400","1,200.00","1,092.00","404.13","404.13","708.00","648.00","1,033.20","828.00","1,092.00","720.00","912.00","1,020.00","1,080.00","714.22","1,020.00","836.40","502.04","586.26","660.00","404.13","1,092.00"
"BAY AREA","CHARGE","10000142","FB REMOVAL PHARYNGEAL","42809","235.00","213.85","113.64","124.26","161.47","126.90","202.34","162.15","213.85","141.00","178.60","199.75","211.50","151.90","199.75","163.80","143.14","158.94","129.25","113.64","213.85"
"BAY AREA","CHARGE","10000143","PEG TUBE PLACEMENT","43246","3,000.00","2,730.00","794.56","804.81","1,797.02","1,620.00","2,583.00","2,070.00","2,730.00","1,800.00","2,280.00","2,550.00","2,700.00","1,607.66","2,550.00","2,091.00","1,401.50","1,613.65","1,650.00","794.56","2,730.00"
"BAY AREA","CHARGE","10000145","INTRO FEEDING TUBE","44500","750.00","682.50","198.64","201.20","449.26","405.00","645.75","517.50","682.50","450.00","570.00","637.50","675.00","401.91","637.50","522.75","350.37","403.41","412.50","198.64","682.50"
"BAY AREA","CHARGE","10000149","ANOSCOPY","46600","265.00","241.15","78.94","82.02","92.18","143.10","228.17","182.85","241.15","159.00","201.40","225.25","238.50","90.28","225.25","184.71","100.66","113.72","145.75","78.94","241.15"
"BAY AREA","CHARGE","10000150","LIVER BIOPSY","47000","1,730.00","1,574.30","679.59","679.59","1,020.70","934.20","1,489.53","1,193.70","1,574.30","1,038.00","1,314.80","1,470.50","1,557.00","886.15","1,470.50","1,205.81","701.59","819.23","951.50","679.59","1,574.30"
"BAY AREA","CHARGE","10000151","PERCUTANEOUS CHOLECYSTOSTOMY","47490","7,900.00","7,189.00","2,092.35","2,119.34","4,732.16","4,266.00","6,801.90","5,451.00","7,189.00","4,740.00","6,004.00","6,715.00","7,110.00","4,233.50","6,715.00","5,506.30","3,690.60","4,249.29","4,345.00","2,092.35","7,189.00"
"BAY AREA","CHARGE","10000157","BILIARY ENDOSCOPY DX WITH SPECI","47552","3,800.00","3,458.00","1,006.44","1,019.43","2,276.23","2,052.00","3,271.80","2,622.00","3,458.00","2,280.00","2,888.00","3,230.00","3,420.00","2,036.37","3,230.00","2,648.60","1,775.23","2,043.96","2,090.00","1,006.44","3,458.00"
"BAY AREA","CHARGE","10000158","BILIARY ENDOSCOPY WO STENT","47555","3,800.00","3,458.00","1,006.44","1,019.43","2,276.23","2,052.00","3,271.80","2,622.00","3,458.00","2,280.00","2,888.00","3,230.00","3,420.00","2,036.37","3,230.00","2,648.60","1,775.23","2,043.96","2,090.00","1,006.44","3,458.00"
"BAY AREA","CHARGE","10000159","BILIARY ENDOSCOPY W STENT","47556","4,360.00","3,967.60","1,154.76","1,169.66","2,611.67","2,354.40","3,753.96","3,008.40","3,967.60","2,616.00","3,313.60","3,706.00","3,924.00","2,336.46","3,706.00","3,038.92","2,036.84","2,345.18","2,398.00","1,154.76","3,967.60"
"BAY AREA","CHARGE","10000172","INSERT INTRAPERITONEAL CATH TUNNEL","49418","5,770.00","5,250.70","1,528.21","1,547.92","3,456.27","3,115.80","4,967.97","3,981.30","5,250.70","3,462.00","4,385.20","4,904.50","5,193.00","3,092.06","4,904.50","4,021.69","2,695.54","3,103.60","3,173.50","1,528.21","5,250.70"
"BAY AREA","CHARGE","10000173","INSERT DIALYSIS CATH PERMANENT","49421","5,180.00","4,713.80","1,371.94","1,389.64","3,102.86","2,797.20","4,459.98","3,574.20","4,713.80","3,108.00","3,936.80","4,403.00","4,662.00","2,775.89","4,403.00","3,610.46","2,419.91","2,786.24","2,849.00","1,371.94","4,713.80"
"BAY AREA","CHARGE","10000174","REMOVE PERITONEAL CATH W PORT","49422","3,940.00","3,585.40","1,043.52","1,056.99","2,360.09","2,127.60","3,392.34","2,718.60","3,585.40","2,364.00","2,994.40","3,349.00","3,546.00","2,111.39","3,349.00","2,746.18","1,840.63","2,119.27","2,167.00","1,043.52","3,585.40"
"BAY AREA","CHARGE","10000175","INJECT PERITONEAL/VENOUS SHUNT","49427","800.00","728.00","211.88","214.62","479.21","432.00","688.80","552.00","728.00","480.00","608.00","680.00","720.00","428.71","680.00","557.60","373.73","430.31","440.00","211.88","728.00"
"BAY AREA","CHARGE","10000177","INSERT GASTROSTOMY TUBE W S&I","49440","1,640.00","1,492.40","434.36","439.96","982.37","885.60","1,412.04","1,131.60","1,492.40","984.00","1,246.40","1,394.00","1,476.00","878.85","1,394.00","1,143.08","766.15","882.13","902.00","434.36","1,492.40"
"BAY AREA","CHARGE","10000180","CONVERT TO G-J TUBE W/S&I","49446","1,500.00","1,365.00","397.28","402.41","898.51","810.00","1,291.50","1,035.00","1,365.00","900.00","1,140.00","1,275.00","1,350.00","803.83","1,275.00","1,045.50","700.75","806.83","825.00","397.28","1,365.00"
"BAY AREA","CHARGE","10000181","CHANGE TUBE GASTRO/CECUM W/S&I","49450","1,100.00","1,001.00","291.34","295.10","658.91","594.00","947.10","759.00","1,001.00","660.00","836.00","935.00","990.00","589.47","935.00","766.70","513.88","591.67","605.00","291.34","1,001.00"
"BAY AREA","CHARGE","10000182","CHANGE TUBE SM BOWEL W/S&I","49451","1,100.00","1,001.00","291.34","295.10","658.91","594.00","947.10","759.00","1,001.00","660.00","836.00","935.00","990.00","589.47","935.00","766.70","513.88","591.67","605.00","291.34","1,001.00"
"BAY AREA","CHARGE","10000183","CHANGE G-J TUBE W/S&I","49452","750.00","682.50","198.64","201.20","449.26","405.00","645.75","517.50","682.50","450.00","570.00","637.50","675.00","401.91","637.50","522.75","350.37","403.41","412.50","198.64","682.50"
"BAY AREA","CHARGE","10000184","CLEAR OBSTRUCTED GI TUBE W/S&I","49460","1,100.00","1,001.00","291.34","295.10","658.91","594.00","947.10","759.00","1,001.00","660.00","836.00","935.00","990.00","589.47","935.00","766.70","513.88","591.67","605.00","291.34","1,001.00"
"BAY AREA","CHARGE","10000185","INJECTIONS GI TUBE EVAL W/S&I","49465","1,020.00","928.20","691.11","768.22","703.80","550.80","878.22","703.80","928.20","612.00","775.20","867.00","918.00","742.15","867.00","710.94","831.21","970.59","561.00","550.80","970.59"
"BAY AREA","CHARGE","10000189","CHANGE URETERAL STENT-PERC S&I","50382","3,750.00","3,412.50","993.20","1,006.01","2,246.28","2,025.00","3,228.75","2,587.50","3,412.50","2,250.00","2,850.00","3,187.50","3,375.00","2,009.57","3,187.50","2,613.75","1,751.87","2,017.07","2,062.50","993.20","3,412.50"
"BAY AREA","CHARGE","10000193","CHANGE TRANSNEPHRIC STENT S&I","50387","2,660.00","2,420.60","704.51","713.60","1,593.36","1,436.40","2,290.26","1,835.40","2,420.60","1,596.00","2,021.60","2,261.00","2,394.00","1,425.46","2,261.00","1,854.02","1,242.66","1,430.77","1,463.00","704.51","2,420.60"
"BAY AREA","CHARGE","10000194","REMOVE NEPHROSTOMY TUBE/FLUORO","50389","1,000.00","910.00","633.37","633.37","590.00","540.00","861.00","690.00","910.00","600.00","760.00","850.00","900.00","1,000.00","850.00","697.00","786.82","918.81","550.00","540.00","1,000.00"
"BAY AREA","CHARGE","10000195","ASPIRATE RENAL CYST/PELVIS","50390","1,800.00","1,638.00","476.74","482.89","1,078.21","972.00","1,549.80","1,242.00","1,638.00","1,080.00","1,368.00","1,530.00","1,620.00","964.59","1,530.00","1,254.60","840.90","968.19","990.00","476.74","1,638.00"
"BAY AREA","CHARGE","10000196","MANOMETRY STUDIES VIA CATHETER","50396","2,000.00","1,820.00","529.71","536.54","1,198.01","1,080.00","1,722.00","1,380.00","1,820.00","1,200.00","1,520.00","1,700.00","1,800.00","1,071.77","1,700.00","1,394.00","934.33","1,075.77","1,100.00","529.71","1,820.00"
"BAY AREA","CHARGE","10000199","CHANGE URETEROSTOMY TUBE","50688","4,560.00","4,149.60","1,207.73","1,223.31","2,731.47","2,462.40","3,926.16","3,146.40","4,149.60","2,736.00","3,465.60","3,876.00","4,104.00","2,443.64","3,876.00","3,178.32","2,130.27","2,452.75","2,508.00","1,207.73","4,149.60"
"BAY AREA","CHARGE","10000203","INJECT CYSTOGRAM","51600","625.00","568.75","114.11","120.08","131.03","337.50","538.13","431.25","568.75","375.00","475.00","531.25","562.50","91.47","531.25","435.63","125.12","142.85","343.75","91.47","568.75"
"BAY AREA","CHARGE","10000204","INJECT URETHROGRAM RETROGRADE","51610","740.00","673.40","195.99","198.52","443.27","399.60","637.14","510.60","673.40","444.00","562.40","629.00","666.00","396.56","629.00","515.78","345.70","398.03","407.00","195.99","673.40"
"BAY AREA","CHARGE","10000205","BLADDER IRRIGATE OR INSTALLATION","51700","450.00","409.50","450.00","450.00","310.50","243.00","387.45","310.50","409.50","270.00","342.00","382.50","405.00","450.00","382.50","313.65","450.00","450.00","247.50","243.00","450.00"
"BAY AREA","CHARGE","10000206","STRAIGHT CATH","51701","195.00","177.45","58.09","60.36","67.83","105.30","167.90","134.55","177.45","117.00","148.20","165.75","175.50","66.44","165.75","135.92","74.07","83.68","107.25","58.09","177.45"
"BAY AREA","CHARGE","10000207","FOLEY CATH INSERTION","51702","325.00","295.75","127.67","141.86","224.25","175.50","279.83","224.25","295.75","195.00","247.00","276.25","292.50","150.43","276.25","226.53","155.74","181.44","178.75","127.67","295.75"
"BAY AREA","CHARGE","10000208","BLADDER CATH COMPLEX","51703","540.00","491.40","143.02","144.87","323.46","291.60","464.94","372.60","491.40","324.00","410.40","459.00","486.00","289.38","459.00","376.38","252.27","290.46","297.00","143.02","491.40"
"BAY AREA","CHARGE","10000210","BLADDER SCAN-RESIDUAL URINE","51798","190.00","172.90","67.55","74.76","128.73","102.60","163.59","131.10","172.90","114.00","144.40","161.50","171.00","85.82","161.50","132.43","87.70","102.22","104.50","67.55","172.90"
"BAY AREA","CHARGE","10000212","CIRCUMCISION","54150","200.00","182.00","68.53","76.22","138.00","108.00","172.20","138.00","182.00","120.00","152.00","170.00","180.00","118.38","170.00","139.40","93.08","107.43","110.00","68.53","182.00"
"BAY AREA","CHARGE","10000214","PROSTATE, NEEDLE BIOPSIES","55700","2,000.00","1,820.00","529.71","536.54","1,198.01","1,080.00","1,722.00","1,380.00","1,820.00","1,200.00","1,520.00","1,700.00","1,800.00","1,071.77","1,700.00","1,394.00","934.33","1,075.77","1,100.00","529.71","1,820.00"
"BAY AREA","CHARGE","10000215","PESSARY INSERTION","57160","260.00","236.60","77.45","80.47","90.44","140.40","223.86","179.40","236.60","156.00","197.60","221.00","234.00","88.58","221.00","181.22","98.76","111.58","143.00","77.45","236.60"
"BAY AREA","CHARGE","10000216","HYSTEROSALPINGOGRAM INJECT","58340","1,100.00","1,001.00","291.34","295.10","658.91","594.00","947.10","759.00","1,001.00","660.00","836.00","935.00","990.00","589.47","935.00","766.70","513.88","591.67","605.00","291.34","1,001.00"
