name,restaurant_name,identifier,calories,fat_g,carbohydrates_g,protein_g,sodium_mg,price_usd,cholesterol_mg,fiber_g,sugars_g
#1 1988 MUSHROOMS TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,460,12.00,77,16,2240,,5,17,
#1 1988 MUSHROOMS TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,620,15.00,102,21,1320,,25,14,
#1 1988 MUSHROOMS TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,580,15.00,95,18,2540,,25,16,
#1 1988 SHRIMP TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,510,9.00,83,25,1230,,65,14,
#1 1988 SHRIMP TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,470,10.00,77,21,2450,,65,17,
#1 1988 SHRIMP TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,620,13.00,101,26,1530,,85,14,
#1 1988 SHRIMP TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,580,13.00,95,23,2750,,85,16,
#1 1988 TOFU TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,510,10.00,83,22,1000,,5,14,
#1 1988 TOFU TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,470,11.00,77,19,2220,,5,17,
#1 1988 TOFU TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,620,14.00,101,24,1290,,25,14,
#1 1988 TOFU TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,590,14.00,95,20,2520,,25,16,
"#1 BLT SUB, GARLIC HERB WHEAT WRAP",JERSEY MIKE'S SUBS,NATIONAL,730,46.00,61,18,1980,,65,5,6
"#1 BLT SUB, GLUTEN FREE BREAD, GIANT",JERSEY MIKE'S SUBS,NATIONAL,1280,92.00,91,31,2940,,125,7,15
"#1 BLT SUB, GLUTEN FREE BREAD, REGULAR",JERSEY MIKE'S SUBS,NATIONAL,650,46.00,46,16,1470,,65,4,8
"#1 BLT SUB, ROSEMARY PARMESAN BREAD, GIANT",JERSEY MIKE'S SUBS,NATIONAL,1450,84.00,129,42,3590,,135,8,12
"#1 BLT SUB, ROSEMARY PARMESAN BREAD, MINI",JERSEY MIKE'S SUBS,NATIONAL,440,24.00,43,14,1160,,40,3,4
"#1 BLT SUB, ROSEMARY PARMESAN BREAD, REGULAR",JERSEY MIKE'S SUBS,NATIONAL,730,42.00,66,21,1800,,70,4,7
"#1 BLT SUB, SEEDED ITALIAN BREAD, GIANT",JERSEY MIKE'S SUBS,NATIONAL,1460,87.00,135,40,3380,,125,12,15
"#1 BLT SUB, SEEDED ITALIAN BREAD, MINI",JERSEY MIKE'S SUBS,NATIONAL,450,25.00,45,13,1090,,40,4,5
"#1 BLT SUB, SEEDED ITALIAN BREAD, REGULAR",JERSEY MIKE'S SUBS,NATIONAL,740,43.00,68,20,1690,,65,6,8
"#1 BLT SUB, SPINACH HERB WRAP",JERSEY MIKE'S SUBS,NATIONAL,730,46.00,60,19,1770,,65,5,6
"#1 BLT SUB, TOMATO BASIL WRAP",JERSEY MIKE'S SUBS,NATIONAL,730,46.00,61,18,1750,,65,5,6
"#1 BLT SUB, TUB",JERSEY MIKE'S SUBS,NATIONAL,410,39.00,6,10,1030,,65,2,4
"#1 BLT SUB, WHEAT BREAD, GIANT",JERSEY MIKE'S SUBS,NATIONAL,1390,81.00,130,39,3330,,125,11,14
"#1 BLT SUB, WHEAT BREAD, MINI",JERSEY MIKE'S SUBS,NATIONAL,430,23.00,43,13,1070,,40,4,5
"#1 BLT SUB, WHEAT BREAD, REGULAR",JERSEY MIKE'S SUBS,NATIONAL,700,40.00,66,20,1670,,65,6,8
"#1 BLT SUB, WHEAT WRAP",JERSEY MIKE'S SUBS,NATIONAL,710,46.00,59,19,1780,,65,9,6
"#1 BLT SUB, WHITE BREAD, GIANT",JERSEY MIKE'S SUBS,NATIONAL,1390,81.00,128,37,3390,,125,7,12
"#1 BLT SUB, WHITE BREAD, MINI",JERSEY MIKE'S SUBS,NATIONAL,430,23.00,43,12,1090,,40,3,4
"#1 BLT SUB, WHITE BREAD, REGULAR",JERSEY MIKE'S SUBS,NATIONAL,700,40.00,65,19,1700,,65,4,7
"#1 BLT SUB, WHITE WRAP",JERSEY MIKE'S SUBS,NATIONAL,730,46.00,61,18,1770,,65,5,6
#1 CITRUS SLAW BANZAI VEGGIE TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,490,9.00,86,20,1000,,5,15,
#1 CITRUS SLAW BANZAI VEGGIE TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,460,11.00,78,16,2240,,5,16,
#1 CITRUS SLAW BANZAI VEGGIE TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,610,14.00,102,21,1320,,25,13,
#1 CITRUS SLAW BANZAI VEGGIE TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,580,15.00,96,17,2540,,25,16,
#1 CITRUS SLAW BLACKENED CHICKEN TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,570,14.00,86,28,1100,,35,14,
#1 CITRUS SLAW BLACKENED CHICKEN TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,530,14.00,80,25,2320,,35,17,
#1 CITRUS SLAW BLACKENED CHICKEN TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,690,17.00,104,29,1400,,55,14,
#1 CITRUS SLAW BLACKENED CHICKEN TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,650,17.00,98,26,2620,,55,16,
#1 CITRUS SLAW BLACKENED FISH TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,550,11.00,86,29,1130,,30,14,
#1 CITRUS SLAW BLACKENED FISH TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,510,12.00,80,25,2350,,30,17,
#1 CITRUS SLAW BLACKENED FISH TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,670,15.00,104,30,1430,,45,14,
#1 CITRUS SLAW BLACKENED FISH TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,630,15.00,98,26,2650,,45,16,
#1 CITRUS SLAW CARNE ASADA TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,600,18.00,86,28,1050,,35,14,
#1 CITRUS SLAW CARNE ASADA TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,570,18.00,79,24,2270,,35,17,
#1 CITRUS SLAW CARNE ASADA TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,720,21.00,104,29,1340,,55,14,
#1 CITRUS SLAW CARNE ASADA TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,680,22.00,97,25,2560,,55,16,
#1 CITRUS SLAW CARNITAS TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,640,19.00,87,34,1360,,55,15,
#1 CITRUS SLAW CARNITAS TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,610,19.00,80,31,2580,,55,17,
#1 CITRUS SLAW CARNITAS TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,760,22.00,105,36,1650,,75,14,
#1 CITRUS SLAW CARNITAS TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,720,23.00,98,32,2880,,75,17,
#1 CITRUS SLAW CHARBROILED CHICKEN TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,570,14.00,85,28,1080,,40,14,
#1 CITRUS SLAW CHARBROILED CHICKEN TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,530,15.00,79,25,2300,,40,17,
#1 CITRUS SLAW CHARBROILED CHICKEN TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,690,17.00,103,30,1380,,55,14,
#1 CITRUS SLAW CHARBROILED CHICKEN TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,650,18.00,97,26,2600,,55,16,
#1 CITRUS SLAW CHARBROILED FISH TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,510,12.00,79,25,2330,,30,17,
#1 CITRUS SLAW CHARBROILED FISH TACO - BRWON RICE BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,550,11.00,85,29,1110,,30,14,
#1 CITRUS SLAW CHARBROILED FISH TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,660,15.00,103,30,1410,,50,14,
#1 CITRUS SLAW CHARBROILED FISH TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,620,15.00,97,27,2630,,50,16,
#1 CITRUS SLAW MUSHROOM TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,540,13.00,87,20,1030,,5,15,
#1 CITRUS SLAW MUSHROOM TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,500,14.00,81,16,2250,,5,17,
#1 CITRUS SLAW MUSHROOM TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,650,17.00,105,21,1330,,25,14,
#1 CITRUS SLAW MUSHROOM TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,620,17.00,99,18,2550,,25,17,
#1 CITRUS SLAW SHRIMP TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,540,11.00,86,25,1240,,65,14,
#1 CITRUS SLAW SHRIMP TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,500,12.00,80,21,2460,,65,17,
#1 CITRUS SLAW SHRIMP TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,660,15.00,104,26,1540,,85,14,
#1 CITRUS SLAW SHRIMP TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,620,15.00,98,23,2760,,85,16,
#1 CITRUS SLAW TOFU TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,540,12.00,87,22,1010,,5,15,
#1 CITRUS SLAW TOFU TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,510,13.00,81,19,2230,,5,17,
#1 CITRUS SLAW TOFU TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,660,16.00,105,24,1310,,25,14,
#1 CITRUS SLAW TOFU TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,620,16.00,99,20,2530,,25,17,
#1 COMBO POLLO AL FUEGO TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,570,18.00,73,30,1160,,50,13,
#1 COMBO POLLO AL FUEGO TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,530,18.00,67,27,2380,,50,16,
#1 COMBO POLLO AL FUEGO TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,670,19.00,92,32,1430,,65,13,
#1 COMBO POLLO AL FUEGO TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,630,20.00,85,28,2650,,65,15,
#1 GREEN ENCHILADA BANZAI VEGGIE - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,520,12.00,80,21,1300,,20,12,
#1 GREEN ENCHILADA BANZAI VEGGIE - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,530,13.00,81,20,3020,,20,15,
#1 GREEN ENCHILADA BANZAI VEGGIE - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,630,16.00,97,23,1600,,40,12,
#1 GREEN ENCHILADA BANZAI VEGGIE - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,600,16.00,91,19,2820,,40,14,
#1 GREEN ENCHILADA BLACKENED CHICKEN - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,560,15.00,75,29,1340,,50,11,
#1 GREEN ENCHILADA BLACKENED CHICKEN - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,520,15.00,69,26,2560,,50,14,
#1 GREEN ENCHILADA BLACKENED CHICKEN - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,440,8.00,75,15,980,,20,10,
#1 GREEN ENCHILADA BLACKENED CHICKEN - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,640,19.00,87,27,2860,,70,13,
#1 GREEN ENCHILADA BLACKENED FISH - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,540,13.00,75,30,1370,,40,11,
#1 GREEN ENCHILADA BLACKENED FISH - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,500,13.00,69,26,2590,,40,14,
#1 GREEN ENCHILADA BLACKENED FISH - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,650,16.00,93,31,1660,,60,11,
#1 GREEN ENCHILADA BLACKENED FISH - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,620,16.00,87,28,2890,,60,13,
#1 GREEN ENCHILADA CARNE ASADA - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,590,19.00,75,29,1280,,50,11,
#1 GREEN ENCHILADA CARNE ASADA - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,550,19.00,69,25,2500,,50,14,
#1 GREEN ENCHILADA CARNE ASADA - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,710,22.00,93,30,1580,,70,11,
#1 GREEN ENCHILADA CARNE ASADA - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,670,23.00,86,27,2800,,70,13,
#1 GREEN ENCHILADA CARNITAS - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,630,20.00,76,35,1590,,70,12,
#1 GREEN ENCHILADA CARNITAS - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,590,20.00,70,32,2820,,70,14,
#1 GREEN ENCHILADA CARNITAS - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,750,23.00,94,37,1890,,90,11,
#1 GREEN ENCHILADA CARNITAS - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,710,24.00,88,33,3110,,90,14,
#1 GREEN ENCHILADA CHARBROILED CHICKEN - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,560,15.00,74,29,1320,,50,11,
#1 GREEN ENCHILADA CHARBROILED CHICKEN - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,520,16.00,68,26,2540,,50,13,
#1 GREEN ENCHILADA CHARBROILED CHICKEN - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,670,19.00,92,31,1610,,70,10,
#1 GREEN ENCHILADA CHARBROILED CHICKEN - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,640,19.00,86,27,2830,,70,13,
#1 GREEN ENCHILADA CHARBROILED FISH - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,540,12.00,74,30,1350,,45,11,
#1 GREEN ENCHILADA CHARBROILED FISH - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,500,13.00,68,26,2570,,45,14,
#1 GREEN ENCHILADA CHARBROILED FISH - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,650,16.00,92,31,1650,,60,11,
#1 GREEN ENCHILADA CHARBROILED FISH - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,610,16.00,86,28,2870,,60,13,
#1 GREEN ENCHILADA MUSHROOM - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,530,15.00,77,21,1270,,20,11,
#1 GREEN ENCHILADA MUSHROOM - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,490,15.00,70,18,2490,,20,14,
#1 GREEN ENCHILADA MUSHROOM - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,640,18.00,95,23,1560,,40,11,
#1 GREEN ENCHILADA MUSHROOM - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,600,18.00,88,19,2790,,40,13,
#1 GREEN ENCHILADA SHRIMP - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,530,13.00,76,26,1480,,80,11,
#1 GREEN ENCHILADA SHRIMP - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,490,13.00,69,23,2700,,80,14,
#1 GREEN ENCHILADA SHRIMP - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,640,16.00,94,28,1770,,95,11,
#1 GREEN ENCHILADA SHRIMP - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,610,17.00,87,24,3000,,95,13,
#1 GREEN ENCHILADA TOFU - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,530,14.00,76,24,1250,,20,11,
#1 GREEN ENCHILADA TOFU - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,500,14.00,70,20,2470,,20,14,
#1 GREEN ENCHILADA TOFU - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,650,17.00,94,25,1540,,40,11,
#1 GREEN ENCHILADA TOFU - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,610,18.00,88,21,2760,,40,13,
#1 RED ENCHILADA BANZAI VEGGIE - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,510,12.00,77,22,1220,,20,13,
#1 RED ENCHILADA BANZAI VEGGIE - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,470,13.00,71,18,2440,,20,15,
#1 RED ENCHILADA BANZAI VEGGIE - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,620,16.00,95,23,1510,,40,12,
#1 RED ENCHILADA BANZAI VEGGIE - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,580,16.00,89,20,2740,,40,15,
#1 RED ENCHILADA BLACKENED CHICKEN - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,550,15.00,73,30,1250,,50,12,
#1 RED ENCHILADA BLACKENED CHICKEN - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,510,15.00,67,26,2470,,50,14,
#1 RED ENCHILADA BLACKENED CHICKEN - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,660,18.00,91,31,1550,,70,11,
#1 RED ENCHILADA BLACKENED CHICKEN - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,620,19.00,85,28,2770,,70,14,
#1 RED ENCHILADA BLACKENED FISH - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,530,13.00,73,30,1280,,40,12,
#1 RED ENCHILADA BLACKENED FISH - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,490,13.00,67,27,2500,,40,14,
#1 RED ENCHILADA BLACKENED FISH - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,640,16.00,91,31,1580,,60,11,
#1 RED ENCHILADA BLACKENED FISH - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,600,17.00,85,28,2800,,60,14,
#1 RED ENCHILADA CARNE ASADA - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,580,19.00,72,29,1190,,50,12,
#1 RED ENCHILADA CARNE ASADA - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,540,20.00,66,26,2420,,50,14,
#1 RED ENCHILADA CARNE ASADA - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,690,22.00,90,30,1490,,70,11,
#1 RED ENCHILADA CARNE ASADA - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,660,23.00,84,27,2710,,70,14,
#1 RED ENCHILADA CARNITAS - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,620,20.00,73,36,1510,,70,12,
#1 RED ENCHILADA CARNITAS - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,580,20.00,67,32,2730,,70,15,
#1 RED ENCHILADA CARNITAS - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,730,23.00,91,37,1800,,90,12,
#1 RED ENCHILADA CARNITAS - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,700,24.00,85,34,3030,,90,14,
#1 RED ENCHILADA CHARBROILED CHICKEN - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,550,15.00,72,30,1230,,50,11,
#1 RED ENCHILADA CHARBROILED CHICKEN - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,510,16.00,65,26,2450,,50,14,
#1 RED ENCHILADA CHARBROILED CHICKEN - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,660,19.00,90,31,1530,,70,11,
#1 RED ENCHILADA CHARBROILED CHICKEN - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,620,19.00,83,28,2750,,70,13,
#1 RED ENCHILADA CHARBROILED FISH - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,520,13.00,72,30,1260,,45,12,
#1 RED ENCHILADA CHARBROILED FISH - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,480,13.00,66,27,2480,,45,14,
#1 RED ENCHILADA CHARBROILED FISH - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,640,16.00,90,32,1560,,60,11,
#1 RED ENCHILADA CHARBROILED FISH - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,600,16.00,84,28,2780,,60,14,
#1 RED ENCHILADA MUSHROOM - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,510,15.00,74,21,1180,,20,12,
#1 RED ENCHILADA MUSHROOM - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,480,15.00,68,18,2400,,20,14,
#1 RED ENCHILADA MUSHROOM - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,630,18.00,92,23,1480,,40,11,
