name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,corp_id
"MISSISSIPPI COUNTY ELECTRIC COOPERATIVE, INC.",COOP,AR,510 N. BROADWAY,BLYTHEVILLE,72315,AR,510 NORTH BROADWAY,BLYTHEVILLE,72315,100035209,500
"MCKNIGHT LAND CO., INC.",CORPORATION,AR,"124 WEST CAPITOL,STE 1900",LITTLE ROCK,72201,,,,,100070424,502
SOUTHERN INVESTMENT COMPANY,CORPORATION,AR,4250 VENETIAN LANE,FAYETTEVILLE,72703,,,,,100047937,503
"FOOT LOCKER SPECIALTY, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100067933,506
MASSMAN CONSTRUCTION CO.,CORPORATION,AR,4250 N VENETIAN LANE,FAYETTEVILLE,72703,AR,455 W MAURICE STREET,HOT SPRINGS,71901,100063031,508
FARMERS OIL CORPORATION,CORPORATION,AR,2301 MCLAIN ST,NEWPORT,72112,,,,,100018805,511
"HELMS, INC.",CORPORATION,AR,"ROUTE 1, BOX 220",CRAWFORDSVILLE,72327,,,,,100024427,513
"NORTH ARKANSAS ELECTRIC COOPERATIVE, INC.",COOP,AR,225 SOUTH MAIN STREET,SALEM,72576,AR,P.O. BOX 1000,SALEM,72576,100037308,514
"SEVIER COUNTY CHAMBER OF COMMERCE, INC.",CORPORATION,AR,117 CADDO TRL,DEQUEEN,71832,AR,315 STILWELL,DE QUEEN,71832,100015618,515
CORNERSTONE FARM AND GIN COMPANY,CORPORATION,AR,1501 HEARTWOOD,WHITE HALL,71602,,,,,100013305,516
KELLEY REALTY COMPANY,CORPORATION,AR,423 ROGERS AVE SUITE 200,FORT SMITH,72901,,,,,100029155,526
OUACHITA ELECTRIC COOPERATIVE CORPORATION,COOP,AR,700 BRADLEY FERRY RD,CAMDEN,71711,AR,"700 BRADLEY FERRY ROAD,PO BOX 877",CAMDEN,71711,100038633,530
"NATIONAL DUCK CALLERS CONTEST, INC.",CORPORATION,AR,235 CARLE DR.,STUTTGART,72160,,,,,100036560,533
"GREIF, INC.",CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,AR,609 SW 8TH STREET #600,BENTONVILLE,72712,100061133,536
ARKANSAS IRRIGATION COMPANY,CORPORATION,AR,120 EAST FOURTH ST.,LITTLE ROCK,72201,,,,,100003261,547
"NATURAL RESOURCES, INC.",CORPORATION,AR,900 S. WEST AVE.,EL DORADO,71730,,,,,100036676,550
MARCH OF DIMES INC.,NONPROFIT,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,VA,"1550 CRYSTAL DRIVE, SUITE 1300",ARLINGTON,22202,100062944,555
"SOUTH CENTRAL ARKANSAS ELECTRIC COOPERATIVE, INC.",COOP,AR,1140 MAIN ST,ARKADELPHIA,71923,AR,4818 HWY 8 WEST,ARKADELPHIA,71923,100047673,558
INTERNATIONAL PAPER COMPANY,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100061963,579
FABICK BROS. EQUIPMENT CO.,CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100018440,587
PULASKI REALTY COMPANY,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100042059,595
HESS CORPORATION,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,AR,1185 AVENUE OF THE AMERICAS,NEW YORK,10036,100056951,599
"AECOM ENERGY & CONSTRUCTION, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100063575,603
"SKILLCRAFT HOMES, INC.",CORPORATION,AR,423 ROGERS AVE SUITE 200,FORT SMITH,72901,,,,,100047029,604
"SMITH-DAVIS, INC.",CORPORATION,AR,X,STUTTGART,72160,,,,,100047349,606
"CALION LUMBER COMPANY, INC.",CORPORATION,AR,761 MILL STREET,CALION,71724,,,,,100058314,610
LIBERTY UTILITIES (PINE BLUFF WATER) INC.,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,AR,124 WEST CAPITOL AVENUE,LITTLE ROCK,72201,100021528,618
ARKANSAS PRODUCTS COMPANY,CORPORATION,AR,603 HWY. 62-65 SOUTH,HARRISON,72602,,,,,100003550,619
"DYKE INDUSTRIES, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100016884,621
"MCGAUGHEY BROTHERS, INC.",CORPORATION,AR,568 KNOLLWOOD DR,FAYETTEVILLE,72703,,,,,100033816,624
"STONE PRODUCTS, INC.",CORPORATION,AR,8024 TOLTEC ROAD,NORTH LITTLE ROCK,72116,,,,,100049250,630
GROSS & JANES CO.,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100061160,633
"AMERICAN AIRLINES, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100056959,647
ARK-LA FEED & FERTILIZER CO.,CORPORATION,AR,801 COLUMBIA ROAD 61,MAGNOLIA,71753,,,,,100002399,649
EXXONMOBIL PIPELINE COMPANY,CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100060264,659
ARKANSAS OKLAHOMA GAS CORPORATION,CORPORATION,AR,1215 TWIN LAKES DR,LITTLE ROCK,72205,,,,,100003442,660
3M COMPANY,CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100063521,662
"RICH MOUNTAIN ELECTRIC COOPERATIVE, INC.",COOP,AR,515 JANSSEN AVE,MENA,71953,AR,"PO BOX 897,515 JANSSEN AVE.",MENA,71953,100043739,670
"GRAYBAR ELECTRIC COMPANY, INC.",CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100061076,686
OSBORNE'S INC.,CORPORATION,AR,1109 ROBIN ROAD,JONESBORO,72403,,,,,100038527,687
"GREASY SLOUGH OUTING CLUB, INC.",CORPORATION,AR,"1129 E CO RD 860,PO BOX 96",OSCEOLA,72370,,,,,100022497,693
GERBER PRODUCTS COMPANY,CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100060930,694
"MAGNOLIA MEMORIAL PARK, INC.",CORPORATION,AR,612 BESSIE,MAGNOLIA,71753,,,,,100032621,698
HARRISON BROADCASTING CORPORATION,CORPORATION,AR,31 TAMWORTH CIR,BELLA VISTA,72715,,,,,100023909,699
"ARKANSAS TRAILER MANUFACTURING COMPANY, INCORPORATED",CORPORATION,AR,3200 S. ELM STREET,LITTLE ROCK,72204,,,,,100003874,710
"MCGEORGE CONTRACTING CO., INC.",CORPORATION,AR,1501 HEARTWOOD,WHITE HALL,71602,,,,,100033845,715
"MOBLEY CONSTRUCTION CO., INC.",CORPORATION,AR,2200 LINCOLN AVE,NORTH LITTLE ROCK,72114,,,,,100035340,724
"NORTH ARKANSAS CLINIC, INC.",CORPORATION,AR,1710 HARRISON STREET,BATESVILLE,72503,,,,,100037302,728
LAKE VIEW COOPERATIVE ASSOCIATION,NONPROFIT,AR,640 MIMOSA STREET,WEST HELENA,72390,AR,P.O. BOX 2545,WEST HELENA,72390,100074840,730
RIVERSIDE FURNITURE CORPORATION,CORPORATION,AR,1400 SOUTH SIXTH STREET,FORT SMITH,72902,AR,"PO DRAWER 1427, 1400 S 6TH ST",FORT SMITH,72902,100044090,750
SF HOLDING CORP.,CORPORATION,AR,111 CENTER ST.,LITTLE ROCK,72201,,,,,100049063,755
"CENTURYTEL OF MOUNTAIN HOME, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100035959,768
YELLOW CREEK CORPORATION,CORPORATION,AR,1416 WILDWOOD DR,NASHVILLE,71852,,,,,100103915,771
"BROWN PACKING CO., INC.",CORPORATION,AR,1405 FAIR PARK BLVD.,LITTLE ROCK,72204,,,,,100008296,772
"MOON DISTRIBUTORS, INC.",CORPORATION,AR,2800 VANCE STREET,LITTLE ROCK,72206,AR,2800 VANCE STREET,LITTLE ROCK,72206,100035529,778
LEWIS FORD SALES INC.,CORPORATION,AR,3373 N. COLLEGE AVE.,FAYETTEVILLE,72701,AR,3373 N. COLLEGE,FAYETTEVILLE,72701,100031026,790
FMC CORPORATION,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100060567,791
ARKANSAS FARM BUREAU INVESTMENT CORPORATION,CORPORATION,AR,10720 KANIS ROAD,LITTLE ROCK,72211,,,,,100003050,795
RITTER MARKETING & LOGISTICS COMPANY,CORPORATION,AR,300 WEST WASHINGTON AVENUE,JONESBORO,72401,AR,10 ELM STREET,MARKED TREE,72365,100043942,813
JOHNSON COUNTY FARMERS ASSOCIATION,COOP,AR,900 E. MAIN ST,CLARKSVILLE,72830,AR,900 E MAIN ST,CLARKSVILLE,72830,100028280,818
"TROTTER FORD, INC.",CORPORATION,AR,3801 BOBO ROAD,PINE BLUFF,71603,AR,3801 BOBO ROAD,PINE BLUFF,71603,100052013,823
"CENTRAL DISTRIBUTORS, INC.",CORPORATION,AR,2800 VANCE STREET,LITTLE ROCK,72206,,,,,100010727,830
"CHURCHMAN BUILDING CENTER, INC.",CORPORATION,AR,1500 HWY 367,NEWPORT,72112,,,,,100035545,832
"W.W. MAGNESS COMPANY, INC.",CORPORATION,AR,1407 HWY 62-65-412 NORTH,HARRISON,72601,AR,P.O. BOX 310,HARRISON,72601,100032580,833
HAYS STORE INC.,CORPORATION,AR,200 EAST MAIN STREET,BLYTHEVILLE,72315,,,,,100024192,836
"E. RITTER FARM MANAGEMENT, INC.",CORPORATION,AR,300 WEST WASHINGTON,JONESBORO,72401,AR,10 ELM STREET,MARKED TREE,72365,100043939,844
"WHITE DAIRY ICE CREAM CO., INC.",CORPORATION,AR,3203 INDUSTRIAL ROAD,VAN BUREN,72956,,,,,100055013,847
MALVERN MINERALS CO.,CORPORATION,AR,220 RUNYON STREET,HOT SPRINGS NATIONAL PARK,71902,AR,220 RUNYON STREET,HOT SPRINGS,71901,100032762,849
"MARSHALL OIL COMPANY, INC.",CORPORATION,AR,322 CYPRESS CREEK RD,SCOTT,72142,,,,,100033114,864
"RIVERCLIFF COMPANY, INC.",CORPORATION,AR,"323 CENTER STREET, SUITE 1800",LITTLE ROCK,72201,,,,,100044058,868
"PPG INDUSTRIES, INC.",CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100064900,869
"L.L. COLE & SON, INC.",CORPORATION,AR,DRAWER 70,COTTON PLANT,72036,,,,,100012257,872
BLACK RICE COMPANY,CORPORATION,AR,508 S. MONROE,DEWITT,72042,,,,,100007046,875
UNION OIL COMPANY OF CALIFORNIA,CORPORATION,AR,"300 SPRING BUILDING SUITE 900,300 S SPRING ST",LITTLE ROCK,72201,,,,,100067273,890
"MAGNOLIA COURTS, INC.",CORPORATION,AR,X,BLYTHEVILLE,72315,,,,,100032608,898
"SOUTHERN HARDWARE COMPANY, INC.",CORPORATION,AR,589 N. SEBASTIAN STREET,WEST HELENA,72390,,,,,100047919,903
ARKANSAS CASUALTY INVESTMENT CORPORATION,CORPORATION,AR,10720 KANIS ROAD,LITTLE ROCK,72211,,,,,100002745,904
CORLEY MANUFACTURING COMPANY,CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100073208,905
FARMERS' ASSOCIATION,COOP,AR,4816 STAGECOACH ROAD,LITTLE ROCK,72204,AR,4816 STAGECOACH RD,LITTLE ROCK,72204,100018819,908
"NORTH ARKANSAS FARM SUPPLY, INCORPORATED",COOP,AR,2350 N. ST. LOUIS,BATESVILLE,72501,AR,"P.O. BOX 2605,2350 N ST LOUIS STREET",BATESVILLE,72501,100037312,909
J.A. RIGGS TRACTOR COMPANY,CORPORATION,AR,9125 HWY I-30,LITTLE ROCK,72209,,,,,100043876,912
STEDMAN'S INC.,CORPORATION,AR,110 SO. COLLEGE ST.,STUTTGART,72160,,,,,100049011,941
FAYETTEVILLE COUNTRY CLUB,NONPROFIT,AR,3335 COUNTRY CLUB DR,FAYETTEVILLE,72701,AR,3335 S. COUNTRY CLUB DRIVE,FAYETTEVILLE,72701,100018964,944
"SHANNON BROTHERS ENTERPRISES, INC.",CORPORATION,AR,160 LEE ROAD 316,MARIANNA,72360,,,,,100065889,946
"MONETTE COOPERATIVE, INC.",COOP,AR,3000 BROWNS LANE,JONESBORO,72401,AR,505 UNION ST.,JONESBORO,72401,100035419,954
"WIGHT OFFICE MACHINES, INC.",CORPORATION,AR,122 TOWSON AVE,FORT SMITH,72901,,,,,100055287,956
AMERICAN MANAGEMENT CORPORATION,CORPORATION,AR,1109 OAK STREET,CONWAY,72032,AR,P.O. BOX 129,CONWAY,72033,100001841,962
PITNEY BOWES INC.,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 900",LITTLE ROCK,72201,,,,,100064806,963
FARMERS COOPERATIVE ASSOCIATION,COOP,AR,2105 INDUSTRIAL PARK ROAD,VAN BUREN,72957,AR,"2105 INDUSTRIAL PARK ROAD,PO BOX 1640",VAN BUREN,72957,100018776,966
"CORNING IMPLEMENT COMPANY, INC.",CORPORATION,AR,1300 W. MAIN ST.,CORNING,72422,,,,,100013328,967
"PIPKIN GIN COMPANY, INC.",CORPORATION,AR,5901 EARL CHADICK RD,SHERRILL,72152,,,,,100040801,971
"OLIVER-WHEELER-THOMAS COMPANY, INC.",CORPORATION,AR,306 W. BOND,WEST MEMPHIS,72301,,,,,100038292,981
"B. N. WORD GIN CO., INC.",CORPORATION,AR,#4 MARBAIS PLACE,LITTLE ROCK,72223,,,,,100056076,982
SOUTHWEST LAND COMPANY,CORPORATION,AR,204 MCMILLER TROIE,LITTLE ROCK,72207,,,,,100048201,983
"BALLARD'S FLOWERS, INC.",CORPORATION,AR,604 W KINGSHIGHWAY,PARAGOULD,72450,,,,,100005407,994
"JOHNSON CONTROLS, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100062144,1008
THE ACEE COMPANY,CORPORATION,AR,11 NEWHAVEN CT.,ROGERS,72758,AR,11 S NEWHAVEN CT,ROGERS,72758,100000684,1012
"FIRST BAPTIST CHURCH OF CLARKSVILLE, ARKANSAS",NONPROFIT,AR,924 S CRAWFORD,CLARKSVILLE,72830,AR,924 S CRAWFORD,CLARKSVILLE,72830,800055165,1016
"CORMIER RICE MILLING CO., INC.",CORPORATION,AR,501 WEST THIRD STREET,DEWITT,72042,AR,615 MAIN STREET,NORTH LITTLE ROCK,72114,100013281,1017
"ARKANSAS LIQUEFIED GAS COMPANY, INC.",CORPORATION,AR,242 EAST 1ST STREET,BOONEVILLE,72927,AR,242 EAST 1ST STREET,BOONEVILLE,72927,100003321,1018
"DELTA BIG CREEK FARMS, INC.",CORPORATION,AR,4663 HIGHWAY 49,WEST HELENA,72390,AR,4663 HIGHWAY 49,WEST HELENA,72390,100014334,1025
SAVINGS INCORPORATED,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100065669,1027
"APEX REALTY COMPANY, INC.",CORPORATION,AR,7310 WOODSIDE LN,LITTLE ROCK,72205,,,,,100002187,1033
NAVISTAR FINANCIAL CORPORATION,CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100063986,1036
LOGAN FINANCE CORPORATION,CORPORATION,AR,1311 CENTRAL AVENUE,HOT SPRINGS NATIONAL PARK,71901,AR,520 CHICKASAWBA,BLYTHEVILLE,72315,100031765,1041
OKATOMA DEVELOPMENT CORPORATION,CORPORATION,AR,1410 SALEM ROAD,CONWAY,72034,AR,1410 SALEM ROAD,CONWAY,72034,100038172,1042
"WESTERN WATERPROOFING COMPANY, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100067752,1044
MFA OIL COMPANY,COOP,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,MO,ONE RAY YOUNG DRIVE,COLUMBIA,65201,100062844,1050
"THE SOUTHERN CO., INC.",CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100066130,1054
ARKANSAS ELECTRIC COOPERATIVE CORPORATION,COOP,AR,1 COOPERATIVE WAY,LITTLE ROCK,72209,AR,1 COOPERATIVE WAY,LITTLE ROCK,72201,100002988,1056
SHELL OIL COMPANY,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100065917,1062
"AGRI. CO-OP SUPPLY, INC.",COOP,AR,1111 E. BROADWAY,MORRILTON,72110,AR,1111 E. BROADWAY,MORRILTON,72110,100001079,1073
UNION CARBIDE CORPORATION,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100067269,1077
NEWPORT BROADCASTING COMPANY,CORPORATION,AR,125 S SECOND ST,BLYTHEVILLE,72315,AR,125 S SECOND ST,BLYTHEVILLE,72315,100037023,1085
ARKANSAS VALLEY FARMERS ASSOCIATION,COOP,AR,3501 EAST MAIN STREET,RUSSELLVILLE,72802,AR,3501 EAST MAIN,RUSSELLVILLE,72812,100003917,1089
CRAIN COMPANY,CORPORATION,AR,9436 HWY 49 SOUTH,JONESBORO,72404,,,,,100013766,1094
"BAXTER LAND COMPANY, INC.",CORPORATION,AR,4812 CLUB ROAD,LITTLE ROCK,72207,,,,,100005842,1098
ARMOREL PLANTING COMPANY,CORPORATION,AR,4611 NORTH STATE HIGHWAY 137 SPUR,ARMOREL,72310,,,,,100004122,1099
"DREW FARM SUPPLY, INC.",COOP,AR,306 N BAILEY,MONTICELLO,71655,,"MONTICELLO, AR",X,,100016588,1110
"STONE COUNTY FARMERS ASSOCIATION, INC.",COOP,AR,2350 N. ST. LOUIS,BATESVILLE,72501,AR,P.O. BOX 2605,BATESVILLE,72503,100049233,1117
"HARRY G. BARR, COMPANY",CORPORATION,AR,6500 SOUTH ZERO ST.,FORT SMITH,72903,AR,6500 SOUTH ZERO STREET,FORT SMITH,72903,100005626,1121
"KELSO SUPPLY, INC.",CORPORATION,AR,706 SOUTH PINE ST.,MAGNOLIA,71753,,,,,100029190,1124
"TRANSPORTATION PROPERTIES, INC.",CORPORATION,AR,2518 N. FILLMORE,LITTLE ROCK,72207,,,,,100051645,1151
MILLER-BOWIE SUPPLY CO.,COOP,AR,#10 NORTH HERMITAGE,TEXARKANA,71854,TX,801 WILLIS ST,TEXARKANA,75501,100035038,1152
"DHH, INC.",CORPORATION,AR,3117 PINE STREET,NORTH LITTLE ROCK,72116,,,,,100021154,1172
USABLE CORPORATION,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,AR,601 S. GAINES ST.,LITTLE ROCK,72201,100002964,1174
PHILIP MORRIS USA INC.,CORPORATION,AR,300 S SPRING ST STE 900,LITTLE ROCK,72201,,,,,100064705,1176
"JUSTISS OIL COMPANY, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100062187,1177
UNDERWRITERS LABORATORIES INC.,NONPROFIT,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,IL,333 PFINGSTEN ROAD,NORTHBROOK,60062,100067262,1180
"LOGAN COUNTY BUILDING STONE COMPANY, INC.",CORPORATION,AR,HWY 109,PARIS,72855,,,,,100031751,1184
"THE NORMAN COMPANY, INC.",CORPORATION,AR,7600 BALL ROAD,FORT SMITH,72908,,,,,100037241,1186
"OZARK REALTY COMPANY, INC. OF OZARK",CORPORATION,AR,200 WEST COMMERCIAL,OZARK,72949,,,,,100039023,1187
"CENTRAL ARKANSAS TELEPHONE COOPERATIVE, INC.",COOP,AR,4036 HWY 7,BISMARCK,71929,AR,P O BOX 130,BISMARCK,71929,100010688,1189
"SOUTHWEST ARKANSAS TELEPHONE COOPERATIVE, INC.",COOP,AR,2601 EAST STREET,TEXARKANA,71854,AR,2601 EAST STREET,TEXARKANA,71854,100048152,1198
MARVELL IMPLEMENT COMPANY,CORPORATION,AR,HIGHWAY 20,MARVELL,72366,,,,,100033211,1199
"SOUTHEAST ARKANSAS BROADCASTERS, INC.",CORPORATION,AR,"3453 HWY 65 NORTH,(P.O. BOX 220)",DERMOTT,71638,,,,,100047758,1208
OHLENDORF INVESTMENT COMPANY,CORPORATION,AR,"3608 N. STEELE BLVD., SUITE 202",FAYETTEVILLE,72703,,,,,100038156,1209
NORTHERN ARKANSAS TELEPHONE COMPANY,CORPORATION,AR,301 EAST MAIN STREET,FLIPPIN,72634,,,,,100037589,1212
"THOROUGHBRED RACING PROTECTIVE BUREAU, INC.",CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100066877,1216
"OSAGE SPRING FARMS, INC.",CORPORATION,AR,"11300 CANTRELL ROAD, SUITE 201",LITTLE ROCK,72212,,,,,100038518,1220
GENUINE PARTS COMPANY,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,GA,2999 WILDWOOD PARKWAY,ATLANTA,30339,100060902,1225
"EGGELHOF, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100059991,1228
"HYNEMAN & ASSOCIATES, INC.",CORPORATION,AR,2816 LONGVIEW DRIVE,JONESBORO,72401,,,,,100026368,1229
"SOUTHERN PIONEER INSURANCE AGENCY, INC.",CORPORATION,AR,2816 LONGVIEW DRIVE,JONESBORO,72401,,,,,100026369,1230
HEMPSTEAD COUNTY FARMERS ASSOCIATION,COOP,AR,1400 EAST THIRD STREET,HOPE,71801,AR,1400 EAST THIRD STREET,HOPE,71801,100024454,1231
SKELTON BROS. INC.,CORPORATION,AR,"1805 S. PLEASANT ST., BUILDING A,SPRINGDALE, AR 72764","BUILDING A, SPRINGDALE",72764,,,,,100047024,1263
"AAA ARKANSAS INSURANCE AGENCY, INC.",CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100004614,1270
