CHARGE_DESCRIPTION,ACTIVITY_TYPE,MRKS_CPT,MRKS_HCPCS,DRG_CODE,NDC,CHARGEMASTER_PRICE,AVERAGE CHARGES_INPATIENT DRGS,DISCOUNTED CASH PRICE,MEDICARE,BCBS,SUNFLOWER_HEALTH,SUNFLOWER_HEALTH_COM_EXCHANGE,AETNA_BETTER_HEALTH_OF_KANSAS,AETNA,PROVIDRS CARE NETWORK,UHC_MEDICARE_ADVANTAGE,HUMANA_MEDICARE ADVANTAGE,UNITED HEALTHCARE_UHC,CHRISTIAN HEALTH AID_CHA,MINIMUM_COMMERCIAL PRICE,MAXIMUM_COMMERCIAL PRICE
87075 Body Fluid Culture (Aerobic and Anaerobic) AMS,AFC GENERIC ADD-ON,87075,,,,48.9,,48.9,9.47,30.9,9.47,10.417000000000002,9.47,13.55,14.205000000000002,9.47,8.0495,44.01,48.9,8.0495,48.9
87075 Wound Culture (Aerobic and Anarobic) AMS,AFC GENERIC ADD-ON,87075,,,,48.9,,48.9,9.47,30.9,9.47,10.417000000000002,9.47,13.55,14.205000000000002,9.47,8.0495,44.01,48.9,8.0495,48.9
87088 Culture Urine Identific,AFC GENERIC ADD-ON,87088,,,,38.9,,38.9,8.09,25.94,8.09,8.899000000000001,8.09,0,12.135,8.09,6.8765,35.01,38.9,0,38.9
87205 Gram Stain,AFC GENERIC ADD-ON,87205,,,,35,,35,4.27,14.4,4.27,4.697,4.27,6.11,6.404999999999999,4.27,3.6294999999999997,31.5,35,3.6294999999999997,35
87209 Ova and Parasites Exam AMS,AFC GENERIC ADD-ON,87209,,,,26,,26,17.98,38.19,17.98,19.778000000000002,17.98,25.74,26.97,17.98,15.283,23.400000000000002,26,15.283,38.19
87340 Hepatitis Panel AMS,AFC GENERIC ADD-ON,87340,,,,66.7,,66.7,10.33,24.38,10.33,11.363000000000001,10.33,14.79,15.495000000000001,10.33,8.7805,60.03,66.7,8.7805,66.7
87480 Affirm Vaginitis Panel - 2,AFC GENERIC ADD-ON,87480,,,,60,,60,20.05,57.51,20.05,22.055000000000003,20.05,0,30.075000000000003,20.05,17.0425,54,60,0,60
87486 IADNA CHLAMYDIA PNEUMONIAE AMPLIFIED PROBE TQ,AFC GENERIC ADD-ON,87486,,,,35,,35,35.09,74.55,35.09,38.599000000000004,35.09,0,52.635000000000005,35.09,29.826500000000003,31.5,35,0,74.55
87502 IADNA-DNA/RNA PROBE TQ 12-25,AFC GENERIC ADD-ON,87502,,,,165,,165,95.8,110.67,95.8,105.38000000000001,95.8,115.92,143.7,95.8,81.42999999999999,148.5,165,81.42999999999999,165
87510 Affirm Vaginitis Panel - 3,AFC GENERIC ADD-ON,87510,,,,60,,60,20.05,57.51,20.05,22.055000000000003,20.05,0,30.075000000000003,20.05,17.0425,54,60,0,60
87581 IADNA MYCOPLSM PNEUMONIAE AMPLIFIED PROBE TQ,AFC GENERIC ADD-ON,87581,,,,35,,35,35.09,74.57,35.09,38.599000000000004,35.09,0,52.635000000000005,35.09,29.826500000000003,31.5,35,0,74.57
87591 GC - Nucleic Acid Screen,AFC GENERIC ADD-ON,87591,,,,75,,75,35.09,74.57,35.09,38.599000000000004,35.09,0,52.635000000000005,35.09,29.826500000000003,67.5,75,0,75
87798 IADNA NOS AMPLIFIED PROBE TQ EA,AFC GENERIC ADD-ON,87798,,,,35,,35,35.09,183.8,35.09,38.599000000000004,35.09,0,52.635000000000005,35.09,29.826500000000003,31.5,35,0,183.8
87798 IADNA NOS AMPLIFIED PROBE TQ EACH ORGANISM,AFC GENERIC ADD-ON,87798,,,,35,,35,35.09,183.8,35.09,38.599000000000004,35.09,0,52.635000000000005,35.09,29.826500000000003,31.5,35,0,183.8
88112 Cytopathology,General Lab,88112,,,,170,,170,39.32,81.11,39.32,43.252,39.32,97.77,58.980000000000004,39.32,33.422,153,170,33.422,170
90471 Admin IM - Admin Charge (Vaccine),Patient Care,90471,,,,26,,26,14.81,8,14.81,16.291,14.81,20.7,22.215,14.81,12.5885,23.400000000000002,26,8,26
90471 ER IMMUNIZATION ADMIN ONE VACCINE,ED Charges,90471,,,,26,,23.400000000000002,14.81,8,14.81,16.291,14.81,20.7,22.215,14.81,12.5885,23.400000000000002,26,8,26
"96360- Hydration, first hour",Critical Care,96360,,,,151,,135.9,34.75,132,34.75,38.225,34.75,62.15,52.125,34.75,29.537499999999998,135.9,151,29.537499999999998,151
"96360 Intravenous infusion, hydration; initial, 31 minutes to 1 hour",Ambulatory Procedures,96360,,,,135,,135,34.75,132,34.75,38.225,34.75,62.15,52.125,34.75,29.537499999999998,121.5,135,29.537499999999998,135
"96361- Hydration, each additional hour",Critical Care,96361,,,,151,,135.9,13.81,132,13.81,15.191000000000003,13.81,17.56,20.715,13.81,11.7385,135.9,151,11.7385,151
"96365- IV tx, first hour",Critical Care,96365,,,,175,,157.5,71.77,132,71.77,78.947,71.77,76.4,107.655,71.77,61.00449999999999,157.5,175,61.00449999999999,175
"96366- IV tx, each additional hour",Critical Care,96366,,,,60,,54,22.38,132,22.38,24.618000000000002,22.38,24.04,33.57,22.38,19.023,54,60,19.023,132
"96367- IV tx, sequential infusion",Critical Care,96367,,,,151,,135.9,31.59,132,31.59,34.749,31.59,37.38,47.385,31.59,26.851499999999998,135.9,151,26.851499999999998,151
96372- Subq/IM Injection,Critical Care,96372,,,,52,,46.800000000000004,14.81,43,14.81,16.291,14.81,24.84,22.215,14.81,12.5885,46.800000000000004,52,12.5885,52
"96374- IV Injection, single/initial",Critical Care,96374,,,,52,,46.800000000000004,40.17,43,40.17,44.187000000000005,40.17,60.92,60.255,40.17,34.1445,46.800000000000004,52,34.1445,60.92
"96375- IV Injection, add new drug",Critical Care,96375,,,,52,,46.800000000000004,16.71,43,16.71,18.381000000000004,16.71,25.49,25.065,16.71,14.2035,46.800000000000004,52,14.2035,52
"96376- IV Injection, add same drug",Critical Care,96376,,,,52,,46.800000000000004,0,43,0,0,0,0,31.2,0,0,46.800000000000004,52,0,52
96523 Irrigation of implanted venous access device for drug delivery systems,Ambulatory Procedures,96523,,,,55,,55,27.83,54,27.83,30.613,27.83,27.83,41.745,27.83,23.655499999999996,49.5,55,23.655499999999996,55
99000 Handling/Conveyance of specimen for transfer,Ambulatory Procedures,99000,,,,25,,25,0,10.74,0,0,0,0,15,0,0,22.5,25,0,25
99000 Handling/conveyance of specimen for transfer to a laboratory,AFC GENERIC ADD-ON,99000,,,,25,,25,0,10.74,0,0,0,0,15,0,0,22.5,25,0,25
99281 - Level 1,Critical Care,99281,,,,175,,157.5,21.9,168.62,21.9,24.09,21.9,25.59,32.849999999999994,21.9,18.615,157.5,175,18.615,175
99282 - Level 2,Critical Care,99282,,,,275,,247.5,42.2,262.68,42.2,46.42000000000001,42.2,50.09,63.300000000000004,42.2,35.870000000000005,247.5,275,35.870000000000005,275
99283 - Level 3,Critical Care,99283,,,,415,,373.5,63.29,403.75,63.29,69.619,63.29,76.14,94.935,63.29,53.796499999999995,373.5,415,53.796499999999995,415
99284 - Level 4,Critical Care,99284,,,,690,,621,115.81,688.36,115.81,127.39100000000002,115.81,143.79,173.715,115.81,98.4385,621,690,98.4385,690
99285 - Level 5,Critical Care,99285,,,,1075,,967.5,168.2,1069.84,168.2,185.02,168.2,212.03,252.29999999999998,168.2,142.97,967.5,1075,142.97,1075
99291 - Critical Care,Critical Care,99291,,,,1050,,945,293.16,1011.67,293.16,322.47600000000006,293.16,267.61,439.74,293.16,249.186,945,1050,249.186,1050
"99292 - Critical Care, each 30 min",Critical Care,99292,,,,350,,315,130.11,300.29,130.11,143.12100000000004,130.11,133.94,195.16500000000002,130.11,110.5935,315,350,110.5935,350
"A4565- Arm Sling, Sm",Supplies,,A4565,,,12.3,,12.3,0,0,0,0,0,0,7.38,0,0,11.07,12.3,0,12.3
ABORh GL,General Lab,86900,,,,30,,30,2.99,16.38,2.99,3.2890000000000006,2.99,4.27,4.485,2.99,2.5415,27,30,2.5415,30
acamprosate 333. mg Tab-DR,Pharmacy,,A9270,,00456-3330-01,2.26,,2.26,0,0,0,0,0,0,0,0,0,2.034,2.26,0,2.26
acarbose 25. mg Tab,Pharmacy,,A9270,,00054-0140-25,1.95,,1.95,0,0,0,0,0,0,0,0,0,1.755,1.95,0,1.95
acarbose 50 mg Tab [MRKS],Pharmacy,,A9270,,64380-0759-06,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acarbose 50 mg Tab [MRKS],Pharmacy,,A9270,,00054-0141-25,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acebutolol 400. mg Cap,Pharmacy,,A9270,,00378-1400-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 160 mg/5 mL Sus [MRKS],Pharmacy,,A9270,,50580-0123-50,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 325 mg Tab,Pharmacy,,A9270,,63739-0440-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 325 mg Tab,Pharmacy,,A9270,,50580-0600-02,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 3840. Liquid,Pharmacy,,A9270,,00603-0840-94,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 500 mg Tab,Pharmacy,,A9270,,57896-0221-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 500 mg Tab [MRKS],Pharmacy,,A9270,,00904-6730-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 500. mg Tab,Pharmacy,,A9270,,00904-1988-59,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 500. mg Tab[MRKS],Pharmacy,,A9270,,00904-1988-59,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 650 mg Tab [MRKS],Pharmacy,,A9270,,00904-5769-60,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen 650. mg Supp,Pharmacy,,A9270,,00713-0165-12,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-codeine 120 mg-12 mg/5 mL Liquid,Pharmacy,,A9270,,50383-0079-16,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-codeine 300 mg-30 mg Tab,Pharmacy,,A9270,,68084-0372-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-codeine 300 mg-30 mg Tab [MRKS],Pharmacy,,A9270,,00406-0484-10,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-diphenhydramine 500 mg-25 mg Tab*NON-FORM*[MRKS],Pharmacy,,A9270,,00904-7651-51,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-HYDROcodone 325 mg-10 mg Tab,Pharmacy,,A9270,,00406-0125-62,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-HYDROcodone 325 mg-5 mg Tab,Pharmacy,,A9270,,00406-0123-62,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-hydrocodone 325 mg-5 mg Tab,Pharmacy,,A9270,,68084-0895-09,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-HYDROcodone 325 mg-7.5 mg Tab [MRKS],Pharmacy,,A9270,,00406-0124-62,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-hydrocodone 325 mg-7.5 mg Tab [MRKS],Pharmacy,,A9270,,00406-0124-05,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-HYDROcodone 325 mg-7.5 mg/15 mL Soln,Pharmacy,,A9270,,00121-0772-04,13.28,,13.28,0,0,0,0,0,0,0,0,0,11.952,13.28,0,13.28
acetaminophen-oxyCODONE 325 mg-10 mg Tab,Pharmacy,,A9270,,68084-0710-01,3.41,,3.41,0,0,0,0,0,0,0,0,0,3.0690000000000004,3.41,0,3.41
acetaminophen-oxycodone 325 mg-10 mg Tab [MRKS],Pharmacy,,A9270,,00904-6439-61,1.95,,1.95,0,0,0,0,0,0,0,0,0,1.755,1.95,0,1.95
acetaminophen-oxyCODONE 325 mg-5 mg Tab,Pharmacy,,A9270,,00406-0512-62,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetaminophen-oxyCODONE 325 mg-7.5 mg Tab,Pharmacy,,A9270,,00406-0522-62,2.83,,2.83,0,0,0,0,0,0,0,0,0,2.547,2.83,0,2.83
acetaminophen-oxycodone 325 mg-7.5 mg Tab,Pharmacy,,A9270,,00904-6438-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acetylcysteine 20% Soln[MRKS],Pharmacy,,J0132,,00574-0815-30,132.87,,132.87,63.36,111.60000000000001,63.36,69.696,63.36,0,95.03999999999999,63.36,53.856,119.58300000000001,132.87,0,132.87
acetylcysteine 20% Soln[MRKS],Pharmacy,,,,00409-3308-03,12.68,,12.68,0,0,0,0,0,0,0,0,0,11.412,12.68,0,12.68
Acute Hospital Per Diem Rate,Inpatient Hospital Services,,,,,,,0,,,,,,,1200,0,0,0,0,0,1200
acyclovir 400 mg Tab,Pharmacy,,A9270,,31722-0777-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acyclovir 400 mg Tab[MRKS],Pharmacy,,A9270,,61442-0112-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acyclovir 400. mg Tab,Pharmacy,,A9270,,00904-5790-61,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acyclovir 50 mg/mL Sol [MRKS],Pharmacy,,J0133,,55150-0154-11,12,,12,5.3,8,5.3,5.83,5.3,0,7.949999999999999,5.3,4.505,10.8,12,0,12
acyclovir 800 mg Tab [MRKS],Pharmacy,,A9270,,68084-0109-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acyclovir 800. mg Tab,Pharmacy,,A9270,,63304-0505-01,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
acyclovir topical 5% Ointment[MRKS],Pharmacy,,A9270,,00591-1159-30,148.05,,148.05,0,0,0,0,0,0,0,0,0,133.245,148.05,0,148.05
adenosine 12. Soln,Pharmacy,,J0153,,25021-0301-76,12,,12,6.815999999999999,10.8,6.815999999999999,7.497599999999999,6.815999999999999,0,10.223999999999998,6.815999999999999,5.793599999999999,10.8,12,0,12
adenosine 12. Soln,Pharmacy,,J0153,,25021-0301-04,21.14,,21.14,6.815999999999999,10.8,6.815999999999999,7.497599999999999,6.815999999999999,0,10.223999999999998,6.815999999999999,5.793599999999999,19.026,21.14,0,21.14
adenosine 3 mg/mL IV Sol 4 mL[MRKS],Pharmacy,,J0153,,63323-0651-04,16.28,,16.28,6.815999999999999,10.8,6.815999999999999,7.497599999999999,6.815999999999999,0,10.223999999999998,6.815999999999999,5.793599999999999,14.652000000000001,16.28,0,16.28
adenosine 3 mg/mL Sol,Pharmacy,,J0153,,67457-0854-04,56.54,,56.54,6.815999999999999,10.8,6.815999999999999,7.497599999999999,6.815999999999999,0,10.223999999999998,6.815999999999999,5.793599999999999,50.886,56.54,0,56.54
adenosine 3 mg/mL Sol,Pharmacy,,J0153,,17478-0953-02,12,,12,3.4079999999999995,5.4,3.4079999999999995,3.7487999999999997,3.4079999999999995,0,5.111999999999999,3.4079999999999995,2.8967999999999994,10.8,12,0,12
adenosine 6. Soln,Pharmacy,,J0153,,17478-0542-02,12.74,,12.74,3.4079999999999995,5.4,3.4079999999999995,3.7487999999999997,3.4079999999999995,0,5.111999999999999,3.4079999999999995,2.8967999999999994,11.466000000000001,12.74,0,12.74
Aerobic Body Fluid Culture AMS,General Lab,87070,,,,35,,35,8.62,31.56,8.62,9.482,8.62,12.34,12.93,8.62,7.326999999999999,31.5,35,7.326999999999999,35
Aerobic Wound Culture AMS,General Lab,87070,,,,35,,35,8.62,31.56,8.62,9.482,8.62,12.34,12.93,8.62,7.326999999999999,31.5,35,7.326999999999999,35
Aerobic/Anaerobic Wound Culture - AMS,General Lab,87075,,,,48.9,,48.9,9.47,30.9,9.47,10.417000000000002,9.47,13.55,14.205000000000002,9.47,8.0495,44.01,48.9,8.0495,48.9
AFB Culture AMS,General Lab,87116,,,,98,,98,10.8,47.42,10.8,11.880000000000003,10.8,15.48,16.200000000000003,10.8,9.18,88.2,98,9.18,98
Affirm Vaginitis Panel,General Lab,87660,,,,60,,60,20.05,57.32,20.05,22.055000000000003,20.05,28.72,30.075000000000003,20.05,17.0425,54,60,17.0425,60
AFP,General Lab,82105,,,,110,,110,16.77,55.08,16.77,18.447000000000003,16.77,24.03,25.155,16.77,14.254499999999998,99,110,14.254499999999998,110
AFTERCARE W CC/MCC,Inpatient DRG,,,949,,,7962.533333333333,7962.533333333333,7829.256205999999,6569.8,7829.256205999999,8612.1818266,7829.256205999999,,,7829.256205999999,6263.4049648,7166.28,7962.533333333333,6263.4049648,8612.1818266
AFTERCARE W/O CC/MCC,Inpatient DRG,,,950,,,14571.375,14571.375,5225.397354,3438.15,5225.397354,5747.9370894,5225.397354,,,5225.397354,4180.3178832,13114.237500000001,14571.375,3438.15,14571.375
"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC",Inpatient DRG,,,560,,,23248.716666666664,23248.716666666664,7612.150103999999,6713.99,7612.150103999999,8373.3651144,7612.150103999999,,,7612.150103999999,6089.7200832,20923.844999999998,23248.716666666664,6089.7200832,23248.716666666664
"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC",Inpatient DRG,,,559,,,8092.75,8092.75,13209.527294,11582.19,13209.527294,14530.480023400001,13209.527294,,,13209.527294,10567.6218352,7283.475,8092.75,7283.475,14530.480023400001
"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC",Inpatient DRG,,,561,,,9022.983333333334,9022.983333333334,5594.548446,4174.71,5594.548446,6154.003290600001,5594.548446,,,5594.548446,4475.6387568,8120.685,9022.983333333334,4174.71,9022.983333333334
Al hydroxide/Mg hydroxide/simethicone 200 mg-200 mg-20 mg/5,Pharmacy,,A9270,,57896-0629-12,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Al hydroxide/Mg hydroxide/simethicone 400 mg-400 mg-40 mg/5 mL Sus 355mL [MRKS],Pharmacy,,A9270,,62372-0500-12,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Al hydroxide/Mg hydroxide/simethicone Susp,Pharmacy,,A9270,,00904-0004-14,1.9,,1.9,0,0,0,0,0,0,0,0,0,1.71,1.9,0,1.9
Alanine Aminotransferase,General Lab,84460,,,,32.5,,32.5,5.3,11.25,5.3,5.83,5.3,7.58,7.949999999999999,5.3,4.505,29.25,32.5,4.505,32.5
albumin human 25% Soln,Pharmacy,,P9047,,00053-7680-32,104.16,,104.16,52.45,69.23,52.45,57.69500000000001,52.45,0,78.67500000000001,52.45,44.5825,93.744,104.16,0,104.16
Albumin Level,General Lab,82040,,,,33.8,,33.8,4.95,10.52,4.95,5.445,4.95,7.09,7.425000000000001,4.95,4.2075000000000005,30.419999999999998,33.8,4.2075000000000005,33.8
Albumin Random Urine (Microalbumin) - AMS,General Lab,82043,,,,124.8,,124.8,5.78,24.57,5.78,6.3580000000000005,5.78,8.29,8.67,5.78,4.913,112.32,124.8,4.913,124.8
