Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN_HPN_HMO_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"PSYCH","CHARGE","10000764","ALBUMIN, SERUM","82040","69.00","24.37","20.95","25.13","58.65","36.12","22.00","37.95","40.18","42.09","55.20","41.51","26.00","37.95","28.92","58.65","32.50","38.99","35.87","40.44","37.95","20.95","58.65"
"PSYCH","CHARGE","10000766","MICROALBUMIN URINE","82043","106.00","37.44","32.19","38.61","90.10","55.50","33.79","58.30","61.72","64.66","84.80","63.77","39.95","58.30","44.43","90.10","49.92","59.90","55.11","62.12","58.30","32.19","90.10"
"PSYCH","CHARGE","10000769","ALCOHOL SCREEN (ETHANOL)","80320","196.00","69.22","59.52","71.39","166.60","102.61","62.48","107.80","114.13","119.56","156.80","117.91","73.87","107.80","82.16","166.60","92.31","110.76","101.89","114.86","107.80","59.52","166.60"
"PSYCH","CHARGE","10000770","ALDOLASE","82085","110.00","38.85","33.40","40.06","93.50","57.59","35.07","60.50","64.05","67.10","88.00","66.17","41.46","60.50","46.11","93.50","51.81","62.16","57.19","64.46","60.50","33.40","93.50"
"PSYCH","CHARGE","10000771","ALDOSTERONE","82088","244.00","86.18","74.09","88.87","207.40","127.74","77.78","134.20","142.08","148.84","195.20","146.78","91.96","134.20","102.28","207.40","114.92","137.89","126.85","142.99","134.20","74.09","207.40"
"PSYCH","CHARGE","10000776","AFP, MATERNAL SCREEN","82105","88.00","31.08","26.72","32.05","74.80","46.07","28.05","48.40","51.24","53.68","70.40","52.94","33.16","48.40","36.89","74.80","41.45","49.73","45.75","51.57","48.40","26.72","74.80"
"PSYCH","CHARGE","10000781","AMINO ACIDS QUANTITATIVE SNGL","82131","134.00","47.33","40.69","48.80","113.90","70.15","42.72","73.70","78.03","81.74","107.20","80.61","50.50","73.70","56.17","113.90","63.11","75.73","69.66","78.53","73.70","40.69","113.90"
"PSYCH","CHARGE","10000782","AMINOLEVULINIC ACID","82135","118.00","41.68","35.83","42.98","100.30","61.78","37.62","64.90","68.71","71.98","94.40","70.99","44.47","64.90","49.46","100.30","55.58","66.68","61.34","69.15","64.90","35.83","100.30"
"PSYCH","CHARGE","10000784","AMMONIA","82140","150.00","44.00","41.98","50.32","127.50","70.91","39.71","82.50","78.47","91.50","120.00","79.92","46.28","82.50","50.11","127.50","61.67","75.07","68.26","77.46","82.50","39.71","127.50"
"PSYCH","CHARGE","10000787","AMYLASE","82150","117.00","41.16","36.29","43.50","99.45","67.73","33.92","64.35","75.11","71.37","93.60","76.19","45.36","64.35","45.16","99.45","53.38","69.11","59.20","69.30","64.35","33.92","99.45"
"PSYCH","CHARGE","10000791","ANDROSTENEDIONE","82157","191.00","67.46","58.00","69.57","162.35","100.00","60.89","105.05","111.22","116.51","152.80","114.90","71.98","105.05","80.06","162.35","89.96","107.94","99.29","111.93","105.05","58.00","162.35"
"PSYCH","CHARGE","10000793","ANGIOTENSIN CONVERTING ENZYME","82164","157.00","55.45","47.68","57.18","133.45","82.20","50.05","86.35","91.42","95.77","125.60","94.45","59.17","86.35","65.81","133.45","73.94","88.72","81.62","92.01","86.35","47.68","133.45"
"PSYCH","CHARGE","10000796","ARSENIC","82175","118.00","41.68","35.83","42.98","100.30","61.78","37.62","64.90","68.71","71.98","94.40","70.99","44.47","64.90","49.46","100.30","55.58","66.68","61.34","69.15","64.90","35.83","100.30"
"PSYCH","CHARGE","10000803","BILE ACIDS, TOTAL","82239","167.00","58.98","50.71","60.82","141.95","87.43","53.24","91.85","97.24","101.87","133.60","100.46","62.94","91.85","70.00","141.95","78.65","94.37","86.82","97.87","91.85","50.71","141.95"
"PSYCH","CHARGE","10000804","BILIRUBIN TOTAL","82247","98.00","34.61","29.76","35.69","83.30","51.31","31.24","53.90","57.07","59.78","78.40","58.95","36.93","53.90","41.08","83.30","46.16","55.38","50.95","57.43","53.90","29.76","83.30"
"PSYCH","CHARGE","10000805","BILIRUBIN DIRECT","82248","98.00","34.61","29.76","35.69","83.30","51.31","31.24","53.90","57.07","59.78","78.40","58.95","36.93","53.90","41.08","83.30","46.16","55.38","50.95","57.43","53.90","29.76","83.30"
"PSYCH","CHARGE","10000813","OCCULT BLOOD FECAL IMMUNOASSAY","82274","76.00","26.84","23.08","27.68","64.60","39.79","24.23","41.80","44.25","46.36","60.80","45.72","28.64","41.80","31.86","64.60","35.79","42.95","39.51","44.54","41.80","23.08","64.60"
"PSYCH","CHARGE","10000816","VITAMIN D, 25-OH","82306","261.00","90.39","65.55","78.65","221.85","134.82","79.16","143.55","149.11","159.21","208.80","153.40","92.86","143.55","107.57","221.85","129.01","149.25","141.47","156.81","143.55","65.55","221.85"
"PSYCH","CHARGE","10000818","CALCIUM SERUM","82310","83.00","29.31","25.20","30.23","70.55","43.45","26.46","45.65","48.33","50.63","66.40","49.93","31.28","45.65","34.79","70.55","39.09","46.90","43.15","48.64","45.65","25.20","70.55"
"PSYCH","CHARGE","10000819","CALCIUM IONIZED","82330","105.00","37.08","31.88","38.24","89.25","54.97","33.47","57.75","61.14","64.05","84.00","63.17","39.57","57.75","44.01","89.25","49.45","59.34","54.59","61.53","57.75","31.88","89.25"
"PSYCH","CHARGE","10000829","CEA","82378","246.00","86.88","74.70","89.60","209.10","128.79","78.42","135.30","143.25","150.06","196.80","147.99","92.71","135.30","103.11","209.10","115.86","139.02","127.89","144.16","135.30","74.70","209.10"
"PSYCH","CHARGE","10000832","CATECHOLAMINES FRACT BLOOD","82384","289.00","102.07","87.76","105.26","245.65","151.30","92.13","158.95","168.28","176.29","231.20","173.85","108.91","158.95","121.14","245.65","136.11","163.32","150.24","169.36","158.95","87.76","245.65"
"PSYCH","CHARGE","10000834","CERULOPLASMIN","82390","149.00","52.62","45.25","54.27","126.65","78.01","47.50","81.95","86.76","90.89","119.20","89.63","56.15","81.95","62.46","126.65","70.18","84.20","77.46","87.32","81.95","45.25","126.65"
"PSYCH","CHARGE","10000837","CHLORIDE BLOOD","82435","92.00","32.49","27.94","33.51","78.20","48.17","29.33","50.60","53.57","56.12","73.60","55.34","34.67","50.60","38.56","78.20","43.33","51.99","47.83","53.91","50.60","27.94","78.20"
"PSYCH","CHARGE","10000839","CHLORIDE URINE","82436","92.00","32.49","27.94","33.51","78.20","48.17","29.33","50.60","53.57","56.12","73.60","55.34","34.67","50.60","38.56","78.20","43.33","51.99","47.83","53.91","50.60","27.94","78.20"
"PSYCH","CHARGE","10000842","CHOLESTEROL","82465","86.00","30.37","26.12","31.32","73.10","45.02","27.42","47.30","50.08","52.46","68.80","51.74","32.41","47.30","36.05","73.10","40.50","48.60","44.71","50.40","47.30","26.12","73.10"
"PSYCH","CHARGE","10000846","HPLC QUANTITATIVE","82542","268.00","94.65","81.38","97.61","227.80","140.31","85.43","147.40","156.06","163.48","214.40","161.22","101.00","147.40","112.34","227.80","126.22","151.45","139.32","157.05","147.40","81.38","227.80"
"PSYCH","CHARGE","10000853","COPPER","82525","156.00","55.10","47.37","56.82","132.60","81.67","49.73","85.80","90.84","95.16","124.80","93.85","58.79","85.80","65.39","132.60","73.47","88.16","81.10","91.42","85.80","47.37","132.60"
"PSYCH","CHARGE","10000856","CORTISOL, FREE","82530","191.00","67.46","58.00","69.57","162.35","100.00","60.89","105.05","111.22","116.51","152.80","114.90","71.98","105.05","80.06","162.35","89.96","107.94","99.29","111.93","105.05","58.00","162.35"
"PSYCH","CHARGE","10000857","CORTISOL, SALIVARY","82533","208.00","73.46","63.16","75.76","176.80","108.90","66.31","114.40","121.12","126.88","166.40","125.13","78.39","114.40","87.19","176.80","97.97","117.54","108.13","121.89","114.40","63.16","176.80"
"PSYCH","CHARGE","10000858","CORTISOL, TOTAL","82533","208.00","73.46","63.16","75.76","176.80","108.90","66.31","114.40","121.12","126.88","166.40","125.13","78.39","114.40","87.19","176.80","97.97","117.54","108.13","121.89","114.40","63.16","176.80"
"PSYCH","CHARGE","10000860","CK TOTAL","82550","105.00","31.03","27.36","32.79","89.25","51.06","25.57","57.75","56.63","64.05","84.00","57.44","34.19","57.75","34.05","89.25","40.24","52.10","44.63","52.24","57.75","25.57","89.25"
"PSYCH","CHARGE","10000861","CK ISOENZYMES","82552","95.00","33.55","28.85","34.60","80.75","49.74","30.28","52.25","55.32","57.95","76.00","57.15","35.80","52.25","39.82","80.75","44.74","53.69","49.39","55.67","52.25","28.85","80.75"
"PSYCH","CHARGE","10000863","CK MB FRACTION","82553","227.00","80.17","68.93","82.68","192.95","118.84","72.36","124.85","132.18","138.47","181.60","136.56","85.55","124.85","95.15","192.95","106.91","128.28","118.01","133.03","124.85","68.93","192.95"
"PSYCH","CHARGE","10000865","CREATININE BLOOD","82565","80.00","21.97","19.37","23.22","68.00","36.15","18.11","44.00","40.09","48.80","64.00","40.66","24.21","44.00","24.10","68.00","28.49","36.89","31.59","36.98","44.00","18.11","68.00"
"PSYCH","CHARGE","10000867","CREATININE OTHER SOURCE","82570","80.00","28.25","24.29","29.14","68.00","41.88","25.50","44.00","46.58","48.80","64.00","48.13","30.15","44.00","33.53","68.00","37.68","45.21","41.59","46.88","44.00","24.29","68.00"
"PSYCH","CHARGE","10000868","CREATININE URINE","82570","80.00","28.25","24.29","29.14","68.00","41.88","25.50","44.00","46.58","48.80","64.00","48.13","30.15","44.00","33.53","68.00","37.68","45.21","41.59","46.88","44.00","24.29","68.00"
"PSYCH","CHARGE","10000870","CREATININE CLEARANCE","82575","139.00","49.09","42.21","50.63","118.15","72.77","44.31","76.45","80.94","84.79","111.20","83.62","52.38","76.45","58.26","118.15","65.47","78.55","72.26","81.46","76.45","42.21","118.15"
"PSYCH","CHARGE","10000874","VITAMIN B-12","82607","177.00","56.92","45.82","54.94","150.45","87.93","48.08","97.35","97.52","107.97","141.60","99.87","60.86","97.35","64.82","150.45","76.37","93.51","84.12","95.85","97.35","45.82","150.45"
"PSYCH","CHARGE","10000876","DHEA","82626","237.00","83.70","71.97","86.32","201.45","124.08","75.55","130.35","138.00","144.57","189.60","142.57","89.32","130.35","99.34","201.45","111.62","133.93","123.21","138.89","130.35","71.97","201.45"
"PSYCH","CHARGE","10000877","DHEA SULFATE","82627","237.00","83.70","71.97","86.32","201.45","124.08","75.55","130.35","138.00","144.57","189.60","142.57","89.32","130.35","99.34","201.45","111.62","133.93","123.21","138.89","130.35","71.97","201.45"
"PSYCH","CHARGE","10000880","VITAMIN D, 1, 25-DIHYDROXY","82652","271.00","95.71","82.29","98.70","230.35","141.88","86.39","149.05","157.80","165.31","216.80","163.03","102.13","149.05","113.59","230.35","127.64","153.15","140.88","158.81","149.05","82.29","230.35"
"PSYCH","CHARGE","10000885","ESTRADIOL","82670","214.00","75.58","64.98","77.94","181.90","112.04","68.22","117.70","124.61","130.54","171.20","128.74","80.65","117.70","89.70","181.90","100.79","120.93","111.25","125.41","117.70","64.98","181.90"
"PSYCH","CHARGE","10000890","FAT, FECAL QUANTITATIVE","82710","229.00","80.88","69.54","83.41","194.65","119.89","73.00","125.95","133.35","139.69","183.20","137.76","86.30","125.95","95.99","194.65","107.86","129.41","119.05","134.20","125.95","69.54","194.65"
"PSYCH","CHARGE","10000891","VERY LONG CHAIN FATTY ACIDS","82726","309.00","109.13","93.83","112.54","262.65","161.78","98.50","169.95","179.93","188.49","247.20","185.89","116.45","169.95","129.52","262.65","145.53","174.62","160.64","181.08","169.95","93.83","262.65"
"PSYCH","CHARGE","10000892","FERRITIN","82728","157.00","51.79","50.68","60.75","133.45","81.17","48.11","86.35","90.48","95.77","125.60","93.86","53.62","86.35","59.72","133.45","74.28","88.74","81.38","91.71","86.35","48.11","133.45"
"PSYCH","CHARGE","10000894","FOLIC ACID, SERUM","82746","236.00","74.56","63.52","76.15","200.60","116.52","62.63","129.80","129.41","143.96","188.80","132.51","80.74","129.80","83.49","200.60","98.27","122.56","108.41","124.65","129.80","62.63","200.60"
"PSYCH","CHARGE","10000895","FOLIC ACID, RBC","82747","211.00","74.52","64.07","76.85","179.35","110.47","67.26","116.05","122.86","128.71","168.80","126.93","79.52","116.05","88.44","179.35","99.38","119.24","109.69","123.65","116.05","64.07","179.35"
"PSYCH","CHARGE","10000903","PH BLOOD","82800","90.00","31.79","27.33","32.78","76.50","47.12","28.69","49.50","52.41","54.90","72.00","54.14","33.92","49.50","37.72","76.50","42.39","50.86","46.79","52.74","49.50","27.33","76.50"
"PSYCH","CHARGE","10000916","GLUCOSE, BLOOD","82947","80.00","26.80","21.25","25.48","68.00","42.97","22.42","44.00","47.52","48.80","64.00","48.18","28.77","44.00","30.45","68.00","36.10","44.83","39.96","45.80","44.00","21.25","68.00"
"PSYCH","CHARGE","10000919","GTT, 3 SPECIMENS","82951","186.00","65.69","56.48","67.74","158.10","97.38","59.29","102.30","108.31","113.46","148.80","111.89","70.10","102.30","77.96","158.10","87.60","105.11","96.69","109.00","102.30","56.48","158.10"
"PSYCH","CHARGE","10000920","GTT, EACH ADDL SPECIMEN","82952","62.00","21.90","18.83","22.58","52.70","32.46","19.76","34.10","36.10","37.82","49.60","37.30","23.37","34.10","25.99","52.70","29.20","35.04","32.23","36.33","34.10","18.83","52.70"
"PSYCH","CHARGE","10000923","POC GLUCOSE - METER METHOD","82962","25.00","8.39","7.85","9.41","21.25","12.82","7.42","13.75","14.24","15.25","20.00","14.62","8.93","13.75","9.48","21.25","11.18","13.67","12.31","14.01","13.75","7.42","21.25"
"PSYCH","CHARGE","10000924","GGT","82977","129.00","42.61","36.91","44.24","109.65","65.88","35.78","70.95","73.10","78.69","103.20","74.61","46.28","70.95","47.51","109.65","54.83","68.80","60.60","69.87","70.95","35.78","109.65"
"PSYCH","CHARGE","10000926","FSH","83001","235.00","83.00","71.36","85.59","199.75","123.03","74.91","129.25","136.84","143.35","188.00","141.37","88.56","129.25","98.50","199.75","110.68","132.80","122.17","137.72","129.25","71.36","199.75"
"PSYCH","CHARGE","10000927","LUTEINIZING HORMONE","83002","243.00","85.82","73.79","88.50","206.55","127.22","77.46","133.65","141.50","148.23","194.40","146.18","91.58","133.65","101.86","206.55","114.45","137.32","126.33","142.40","133.65","73.79","206.55"
"PSYCH","CHARGE","10000929","HAPTOGLOBIN","83010","118.00","41.68","35.83","42.98","100.30","61.78","37.62","64.90","68.71","71.98","94.40","70.99","44.47","64.90","49.46","100.30","55.58","66.68","61.34","69.15","64.90","35.83","100.30"
"PSYCH","CHARGE","10000933","HEMOGLOBIN ELECTRO, ALKALINE","83020","168.00","59.33","51.02","61.19","142.80","87.96","53.56","92.40","97.83","102.48","134.40","101.06","63.31","92.40","70.42","142.80","79.13","94.94","87.34","98.45","92.40","51.02","142.80"
"PSYCH","CHARGE","10000934","HEMOGLOBIN ELECTROPH QUANT","83020","204.00","72.05","61.95","74.30","173.40","106.80","65.03","112.20","118.79","124.44","163.20","122.72","76.88","112.20","85.51","173.40","96.08","115.28","106.05","119.55","112.20","61.95","173.40"
"PSYCH","CHARGE","10000938","HEMOGLOBIN A1C","83036","149.00","47.88","41.03","49.18","126.65","75.55","39.89","81.95","83.72","90.89","119.20","85.05","52.16","81.95","53.27","126.65","61.80","78.16","68.45","79.19","81.95","39.89","126.65"
"PSYCH","CHARGE","10000942","HEMOSIDERIN QUALITATIVE","83070","75.00","26.49","22.77","27.32","63.75","39.27","23.91","41.25","43.67","45.75","60.00","45.12","28.26","41.25","31.44","63.75","35.32","42.38","38.99","43.95","41.25","22.77","63.75"
"PSYCH","CHARGE","10000946","HOMOCYSTEINE","83090","277.00","97.83","84.11","100.89","235.45","145.02","88.30","152.35","161.30","168.97","221.60","166.64","104.39","152.35","116.11","235.45","130.46","156.54","144.00","162.33","152.35","84.11","235.45"
"PSYCH","CHARGE","10000947","HYDROXYCORTICOSTEROIDS, 17","83491","158.00","55.80","47.98","57.55","134.30","82.72","50.37","86.90","92.00","96.38","126.40","95.05","59.54","86.90","66.23","134.30","74.42","89.29","82.14","92.59","86.90","47.98","134.30"
"PSYCH","CHARGE","10000953","ANTI-GLIADIN IGA","83516","148.00","52.27","44.94","53.90","125.80","77.48","47.18","81.40","86.18","90.28","118.40","89.03","55.78","81.40","62.04","125.80","69.71","83.64","76.94","86.73","81.40","44.94","125.80"
"PSYCH","CHARGE","10000954","ANTI-GLIADIN IGG","83516","148.00","52.27","44.94","53.90","125.80","77.48","47.18","81.40","86.18","90.28","118.40","89.03","55.78","81.40","62.04","125.80","69.71","83.64","76.94","86.73","81.40","44.94","125.80"
"PSYCH","CHARGE","10000968","TISSUE TRANGLUTINASE AB","83516","140.00","49.44","42.51","50.99","119.00","73.30","44.63","77.00","81.52","85.40","112.00","84.22","52.76","77.00","58.68","119.00","65.94","79.12","72.78","82.04","77.00","42.51","119.00"
"PSYCH","CHARGE","10000974","ACETYLCHOLINE RECEPTOR","83519","206.00","72.75","62.55","75.03","175.10","107.85","65.67","113.30","119.95","125.66","164.80","123.92","77.63","113.30","86.35","175.10","97.02","116.41","107.09","120.72","113.30","62.55","175.10"
"PSYCH","CHARGE","10000985","INSULIN, TOTAL","83525","111.00","39.20","33.71","40.43","94.35","58.11","35.38","61.05","64.64","67.71","88.80","66.77","41.83","61.05","46.53","94.35","52.28","62.73","57.70","65.05","61.05","33.71","94.35"
"PSYCH","CHARGE","10000987","IRON","83540","114.00","36.05","30.99","37.16","96.90","57.78","30.94","62.70","64.14","69.54","91.20","65.60","38.56","62.70","40.82","96.90","49.14","60.91","54.25","62.17","62.70","30.94","96.90"
"PSYCH","CHARGE","10000990","IRON BINDING CAPACITY","83550","123.00","38.90","33.44","40.09","104.55","62.34","33.38","67.65","69.20","75.03","98.40","70.78","41.60","67.65","44.05","104.55","53.02","65.72","58.53","67.08","67.65","33.38","104.55"
"PSYCH","CHARGE","10000992","LACTIC ACID","83605","136.00","39.81","35.10","42.07","115.60","65.50","32.81","74.80","72.65","82.96","108.80","73.69","43.87","74.80","43.68","115.60","51.63","66.84","57.25","67.02","74.80","32.81","115.60"
"PSYCH","CHARGE","10000994","LDH","83615","76.00","26.84","23.08","27.68","64.60","39.79","24.23","41.80","44.25","46.36","60.80","45.72","28.64","41.80","31.86","64.60","35.79","42.95","39.51","44.54","41.80","23.08","64.60"
"PSYCH","CHARGE","10000997","LEAD","83655","103.00","36.38","31.28","37.51","87.55","53.93","32.83","56.65","59.98","62.83","82.40","61.96","38.82","56.65","43.17","87.55","48.51","58.21","53.55","60.36","56.65","31.28","87.55"
"PSYCH","CHARGE","10001003","LIPASE","83690","181.00","58.20","46.10","55.29","153.85","92.59","50.10","99.55","102.70","110.41","144.80","105.24","61.31","99.55","67.29","153.85","81.63","98.81","90.16","102.09","99.55","46.10","153.85"
"PSYCH","CHARGE","10001009","LDL CHOLESTEROL","83721","116.00","35.36","31.18","37.37","98.60","58.18","29.14","63.80","64.53","70.76","92.80","65.45","38.96","63.80","38.80","98.60","45.86","59.37","50.86","59.53","63.80","29.14","98.60"
"PSYCH","CHARGE","10001010","MAGNESIUM SERUM","83735","109.00","35.95","30.97","37.12","92.65","56.77","30.02","59.95","62.92","66.49","87.20","63.96","39.14","59.95","40.00","92.65","46.47","58.76","51.46","59.52","59.95","30.02","92.65"
"PSYCH","CHARGE","10001016","MERCURY","83825","146.00","51.56","44.33","53.18","124.10","76.44","46.54","80.30","85.02","89.06","116.80","87.83","55.02","80.30","61.20","124.10","68.76","82.51","75.90","85.56","80.30","44.33","124.10"
"PSYCH","CHARGE","10001018","METANEPHRINES, PLASMA","83835","275.00","97.12","83.51","100.16","233.75","143.97","87.66","151.25","160.13","167.75","220.00","165.43","103.64","151.25","115.27","233.75","129.52","155.41","142.96","161.16","151.25","83.51","233.75"
"PSYCH","CHARGE","10001024","MYOGLOBIN","83874","151.00","53.33","45.85","55.00","128.35","79.06","48.14","83.05","87.93","92.11","120.80","90.84","56.91","83.05","63.29","128.35","71.12","85.33","78.50","88.49","83.05","45.85","128.35"
"PSYCH","CHARGE","10001027","NATRIURETIC PEPTIDE","83880","180.00","63.57","54.66","65.56","153.00","94.24","57.38","99.00","104.81","109.80","144.00","108.28","67.84","99.00","75.45","153.00","84.78","101.72","93.58","105.48","99.00","54.66","153.00"
"PSYCH","CHARGE","10001052","ORGANIC ACID, SINGLE QUANT","83921","286.00","101.01","86.85","104.17","243.10","149.73","91.17","157.30","166.54","174.46","228.80","172.05","107.78","157.30","119.88","243.10","134.70","161.62","148.68","167.60","157.30","86.85","243.10"
"PSYCH","CHARGE","10001053","OPIATES, LC/MS","80361","123.00","43.44","37.35","44.80","104.55","64.40","39.21","67.65","71.62","75.03","98.40","73.99","46.35","67.65","51.56","104.55","57.93","69.51","63.94","72.08","67.65","37.35","104.55"
"PSYCH","CHARGE","10001054","OSMOLALITY BLOOD","83930","84.00","29.67","25.51","30.59","71.40","43.98","26.78","46.20","48.91","51.24","67.20","50.53","31.66","46.20","35.21","71.40","39.56","47.47","43.67","49.23","46.20","25.51","71.40"
"PSYCH","CHARGE","10001055","OSMOLALITY, URINE","83935","84.00","29.67","25.51","30.59","71.40","43.98","26.78","46.20","48.91","51.24","67.20","50.53","31.66","46.20","35.21","71.40","39.56","47.47","43.67","49.23","46.20","25.51","71.40"
"PSYCH","CHARGE","10001060","PARATHYROID HORMONE","83970","210.00","84.26","45.62","54.83","178.50","111.31","73.41","115.50","122.40","128.10","168.00","125.66","83.71","115.50","104.91","178.50","114.06","126.77","124.47","135.37","115.50","45.62","178.50"
"PSYCH","CHARGE","10001064","ANTIPSYCHOTIC, 1-2","80342","211.00","74.52","64.07","76.85","179.35","110.47","67.26","116.05","122.86","128.71","168.80","126.93","79.52","116.05","88.44","179.35","99.38","119.24","109.69","123.65","116.05","64.07","179.35"
"PSYCH","CHARGE","10001068","ALKALINE PHOSPHATASE","84075","112.00","39.56","34.01","40.79","95.20","58.64","35.70","61.60","65.22","68.32","89.60","67.38","42.21","61.60","46.95","95.20","52.75","63.29","58.22","65.63","61.60","34.01","95.20"
"PSYCH","CHARGE","10001069","ALKALINE PHOSPHATASE ISOENZYME","84080","118.00","41.68","35.83","42.98","100.30","61.78","37.62","64.90","68.71","71.98","94.40","70.99","44.47","64.90","49.46","100.30","55.58","66.68","61.34","69.15","64.90","35.83","100.30"
"PSYCH","CHARGE","10001071","PHOSPHORUS","84100","77.00","25.25","21.07","25.26","65.45","41.04","20.98","42.35","45.46","46.97","61.60","46.12","27.44","42.35","28.23","65.45","33.51","42.41","37.11","42.94","42.35","20.98","65.45"
"PSYCH","CHARGE","10001079","POTASSIUM SERUM","84132","93.00","30.60","28.17","33.77","79.05","49.40","26.51","51.15","54.89","56.73","74.40","56.18","32.91","51.15","34.26","79.05","41.38","51.81","45.65","52.59","51.15","26.51","79.05"
"PSYCH","CHARGE","10001080","POTASSIUM URINE","84133","93.00","32.85","28.24","33.87","79.05","48.69","29.65","51.15","54.15","56.73","74.40","55.95","35.05","51.15","38.98","79.05","43.80","52.56","48.35","54.50","51.15","28.24","79.05"
"PSYCH","CHARGE","10001082","PREALBUMIN","84134","178.00","62.87","54.05","64.83","151.30","93.19","56.74","97.90","103.65","108.58","142.40","107.08","67.08","97.90","74.61","151.30","83.84","100.59","92.54","104.31","97.90","54.05","151.30"
"PSYCH","CHARGE","10001084","PROGESTERONE","84144","212.00","74.87","64.38","77.21","180.20","110.99","67.58","116.60","123.45","129.32","169.60","127.53","79.90","116.60","88.86","180.20","99.85","119.80","110.21","124.24","116.60","64.38","180.20"
"PSYCH","CHARGE","10001086","PROLACTIN","84146","261.00","92.18","79.26","95.06","221.85","136.64","83.20","143.55","151.98","159.21","208.80","157.01","98.36","143.55","109.40","221.85","122.93","147.49","135.68","152.95","143.55","79.26","221.85"
"PSYCH","CHARGE","10001087","PSA, TOTAL","84153","157.00","55.45","47.68","57.18","133.45","82.20","50.05","86.35","91.42","95.77","125.60","94.45","59.17","86.35","65.81","133.45","73.94","88.72","81.62","92.01","86.35","47.68","133.45"
"PSYCH","CHARGE","10001089","PROTEIN, TOTAL","84155","77.00","27.19","23.38","28.04","65.45","40.31","24.55","42.35","44.84","46.97","61.60","46.32","29.02","42.35","32.28","65.45","36.27","43.51","40.03","45.12","42.35","23.38","65.45"
