Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HMO,Humana_HPN_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"OSHKOSH","CHARGE","10000016","NURSING L&D PER HOUR","","140.00","93.43","119.00","96.17","120.02","119.00","94.60","126.95","119.00","113.70","97.97","85.40","112.00","104.94","97.10","100.84","119.00","77.00","112.18","119.00","85.40","104.91","99.99","111.78","77.00","77.00","126.95"
"OSHKOSH","CHARGE","10000019","BREAST ASPIRATE CYST EA ADDL","19001","335.00","185.58","284.75","143.16","189.04","284.75","185.71","237.98","284.75","181.40","189.74","204.35","268.00","217.27","201.96","210.53","284.75","184.25","217.09","284.75","192.61","237.46","201.64","227.29","184.25","143.16","284.75"
"OSHKOSH","CHARGE","10000033","ARTHROGRAM SHOULDER INJECT","23350","760.00","162.69","646.00","170.88","239.06","646.00","111.84","456.00","646.00","154.59","193.44","463.60","608.00","285.61","230.28","242.06","646.00","418.00","179.02","646.00","211.83","274.14","224.58","261.72","418.00","111.84","646.00"
"OSHKOSH","CHARGE","10000034","ARTHROGRAM ELBOW INJECT","24220","760.00","308.12","646.00","320.65","435.30","646.00","323.05","450.28","646.00","344.09","373.94","463.60","608.00","445.24","405.39","423.20","646.00","418.00","447.70","646.00","327.71","418.89","357.28","415.81","418.00","308.12","646.00"
"OSHKOSH","CHARGE","10000035","ARTHROGRAM WRIST INJECT","25246","760.00","308.12","646.00","320.65","435.30","646.00","323.05","450.28","646.00","344.09","373.94","463.60","608.00","445.24","405.39","423.20","646.00","418.00","447.70","646.00","327.71","418.89","357.28","415.81","418.00","308.12","646.00"
"OSHKOSH","CHARGE","10000036","ARTHROGRAM HIP INJECT","27093","760.00","160.01","646.00","168.61","234.85","646.00","114.01","456.00","646.00","153.91","193.79","463.60","608.00","276.03","223.21","234.67","646.00","418.00","175.50","646.00","207.20","267.31","220.81","257.13","418.00","114.01","646.00"
"OSHKOSH","CHARGE","10000037","ARTHROGRAM KNEE INJECT","27369","880.00","234.26","748.00","243.85","336.16","748.00","156.90","528.00","748.00","221.76","240.15","536.80","704.00","423.37","299.11","313.98","748.00","484.00","255.20","748.00","287.58","372.24","300.96","351.65","484.00","156.90","748.00"
"OSHKOSH","CHARGE","10000038","ARTHROGRAM ANKLE INJECT","27648","760.00","308.12","646.00","320.65","435.30","646.00","323.05","450.28","646.00","344.09","373.94","463.60","608.00","445.24","405.39","423.20","646.00","418.00","447.70","646.00","327.71","418.89","357.28","415.81","418.00","308.12","646.00"
"OSHKOSH","CHARGE","10000058","ENDO REPAIR TAA WO SUBCLAVIAN","33881","6,550.00","3,628.47","5,567.50","2,799.16","3,696.25","5,567.50","3,631.14","4,653.06","5,567.50","3,546.68","3,709.82","3,995.50","5,240.00","4,248.21","3,948.81","4,116.33","5,567.50","3,602.50","4,244.56","5,567.50","3,765.94","4,642.84","3,942.60","4,444.08","3,602.50","2,799.16","5,567.50"
"OSHKOSH","CHARGE","10000080","SELECTIVE  CATH 1ST ORDER THORACIC","36215","2,450.00","1,357.21","2,082.50","1,047.01","1,382.57","2,082.50","1,358.21","1,740.46","2,082.50","1,326.62","1,387.64","1,494.50","1,960.00","1,589.02","1,477.03","1,539.70","2,082.50","1,347.50","1,587.66","2,082.50","1,408.63","1,736.64","1,474.71","1,662.29","1,347.50","1,047.01","2,082.50"
"OSHKOSH","CHARGE","10000081","SELECTIVE CATH 2ND ORDER THORACIC","36216","2,450.00","1,357.21","2,082.50","1,047.01","1,382.57","2,082.50","1,358.21","1,740.46","2,082.50","1,326.62","1,387.64","1,494.50","1,960.00","1,589.02","1,477.03","1,539.70","2,082.50","1,347.50","1,587.66","2,082.50","1,408.63","1,736.64","1,474.71","1,662.29","1,347.50","1,047.01","2,082.50"
"OSHKOSH","CHARGE","10000082","SELECTIVE  CATH 3RD ORDER THORACIC","36217","2,450.00","1,357.21","2,082.50","1,047.01","1,382.57","2,082.50","1,358.21","1,740.46","2,082.50","1,326.62","1,387.64","1,494.50","1,960.00","1,589.02","1,477.03","1,539.70","2,082.50","1,347.50","1,587.66","2,082.50","1,408.63","1,736.64","1,474.71","1,662.29","1,347.50","1,047.01","2,082.50"
"OSHKOSH","CHARGE","10000084","SELECTIVE  CATH 2&3 THORARIC ADDL","36218","1,220.00","675.84","1,037.00","521.37","688.46","1,037.00","676.33","866.68","1,037.00","660.60","690.99","744.20","976.00","791.27","735.50","766.71","1,037.00","671.00","790.59","1,037.00","701.44","864.77","734.35","827.75","671.00","521.37","1,037.00"
"OSHKOSH","CHARGE","10000085","SELECTIVE CATH 1ST ORDER ABD/PELVIC","36245","1,360.00","753.39","1,156.00","581.20","767.47","1,156.00","753.95","966.13","1,156.00","736.41","770.28","829.60","1,088.00","882.07","819.90","854.69","1,156.00","748.00","881.31","1,156.00","781.94","964.01","818.62","922.74","748.00","581.20","1,156.00"
"OSHKOSH","CHARGE","10000086","SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM","36246","1,360.00","753.39","1,156.00","581.20","767.47","1,156.00","753.95","966.13","1,156.00","736.41","770.28","829.60","1,088.00","882.07","819.90","854.69","1,156.00","748.00","881.31","1,156.00","781.94","964.01","818.62","922.74","748.00","581.20","1,156.00"
"OSHKOSH","CHARGE","10000087","SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM","36247","1,360.00","280.39","1,156.00","339.91","455.92","1,156.00","437.15","242.81","1,156.00","418.83","406.28","829.60","1,088.00","445.08","411.58","431.57","1,156.00","748.00","434.70","1,156.00","406.50","509.68","524.69","573.19","748.00","242.81","1,156.00"
"OSHKOSH","CHARGE","10000088","SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL","36248","680.00","170.07","578.00","120.56","156.94","578.00","165.24","148.44","578.00","225.62","194.75","414.80","544.00","224.47","178.43","186.66","578.00","374.00","134.16","578.00","232.22","275.60","340.00","340.00","374.00","120.56","578.00"
"OSHKOSH","CHARGE","10000089","SCLEROTHERAPY SINGLE VEIN","36470","270.00","149.57","229.50","115.39","152.36","229.50","149.68","191.81","229.50","146.20","152.92","164.70","216.00","175.12","162.78","169.68","229.50","148.50","174.97","229.50","155.24","191.38","162.52","183.19","148.50","115.39","229.50"
"OSHKOSH","CHARGE","10000090","SCLEROTHERAPY MULTIPLE VEINS","36471","405.00","283.18","344.25","137.98","187.72","344.25","183.26","240.53","344.25","207.89","244.98","247.05","324.00","346.48","281.48","295.65","344.25","222.75","246.40","344.25","301.52","384.18","259.77","303.35","222.75","137.98","384.18"
"OSHKOSH","CHARGE","10000091","ABLATION VARICOSE VEIN LASER 1ST","36478","6,380.00","3,534.29","5,423.00","2,726.51","3,600.31","5,423.00","3,536.90","4,532.29","5,423.00","3,454.63","3,613.54","3,891.80","5,104.00","4,137.95","3,846.32","4,009.49","5,423.00","3,509.00","4,134.39","5,423.00","3,668.20","4,522.34","3,840.28","4,328.74","3,509.00","2,726.51","5,423.00"
"OSHKOSH","CHARGE","10000092","CATH VENOUS BLOOD  SAMPLING","36500","1,250.00","692.46","1,062.50","534.19","705.39","1,062.50","692.97","887.99","1,062.50","676.85","707.98","762.50","1,000.00","810.73","753.59","785.56","1,062.50","687.50","810.03","1,062.50","718.69","886.04","752.41","848.11","687.50","534.19","1,062.50"
"OSHKOSH","CHARGE","10000093","CATH UMBILICAL VEIN","36510","570.00","315.76","484.50","243.59","321.66","484.50","315.99","404.92","484.50","308.64","322.84","347.70","456.00","369.69","343.64","358.21","484.50","313.50","369.37","484.50","327.72","404.03","343.10","386.74","313.50","243.59","484.50"
"OSHKOSH","CHARGE","10000094","INSERT CVL NON TUNNELED <5 YRS","36555","1,800.00","997.14","1,530.00","769.23","1,015.76","1,530.00","997.87","1,278.70","1,530.00","974.66","1,019.49","1,098.00","1,440.00","1,167.45","1,085.17","1,131.21","1,530.00","990.00","1,166.44","1,530.00","1,034.92","1,275.90","1,083.46","1,221.27","990.00","769.23","1,530.00"
"OSHKOSH","CHARGE","10000095","INSERT CVL TUNNELED <5 YRS","36557","2,490.00","1,379.37","2,116.50","1,064.11","1,405.14","2,116.50","1,380.39","1,768.87","2,116.50","1,348.28","1,410.30","1,518.90","1,992.00","1,614.97","1,501.15","1,564.83","2,116.50","1,369.50","1,613.58","2,116.50","1,431.63","1,764.99","1,498.79","1,689.43","1,369.50","1,064.11","2,116.50"
"OSHKOSH","CHARGE","10000096","INSERT CVL TUNNELED 5 YRS >/=","36558","2,490.00","872.21","2,116.50","1,034.20","1,383.66","2,116.50","1,459.57","1,465.44","2,116.50","1,501.11","1,482.55","1,518.90","1,992.00","1,520.50","1,471.98","1,491.47","2,116.50","1,369.50","1,530.82","2,116.50","1,471.52","1,571.72","1,530.18","1,577.98","1,369.50","872.21","2,116.50"
"OSHKOSH","CHARGE","10000098","INSERT CVL TUNNELED W/PORT 5 YRS >/=","36561","4,270.00","3,224.19","3,629.50","2,450.85","3,508.92","3,629.50","3,714.86","3,692.65","3,629.50","3,716.31","3,827.33","2,604.70","3,416.00","4,006.93","4,007.82","4,037.07","3,629.50","2,348.50","4,037.07","3,629.50","3,852.52","4,092.07","3,972.04","4,061.67","2,348.50","2,348.50","4,092.07"
"OSHKOSH","CHARGE","10000102","PICC LINE INSERTION <5 YRS","36568","1,520.00","842.03","1,292.00","649.58","857.76","1,292.00","842.65","1,079.79","1,292.00","823.05","860.91","927.20","1,216.00","985.84","916.36","955.24","1,292.00","836.00","985.00","1,292.00","873.93","1,077.42","914.93","1,031.30","836.00","649.58","1,292.00"
"OSHKOSH","CHARGE","10000103","PICC INSERTION","36569","1,800.00","954.64","1,530.00","909.20","1,164.54","1,530.00","965.69","1,136.15","1,530.00","1,026.34","1,044.05","1,098.00","1,440.00","1,079.93","912.53","958.08","1,530.00","990.00","1,104.01","1,530.00","906.90","1,151.93","1,023.08","1,156.17","990.00","906.90","1,530.00"
"OSHKOSH","CHARGE","10000104","INSERT PICC W/PORT <5 YRS","36570","3,380.00","1,872.40","2,873.00","1,444.45","1,907.38","2,873.00","1,873.78","2,401.12","2,873.00","1,830.20","1,914.38","2,061.80","2,704.00","2,192.20","2,037.70","2,124.15","2,873.00","1,859.00","2,190.32","2,873.00","1,943.34","2,395.85","2,034.50","2,293.28","1,859.00","1,444.45","2,873.00"
"OSHKOSH","CHARGE","10000105","INSERT PICC W/PORT 5 YRS >/=","36571","3,560.00","1,972.11","3,026.00","1,521.38","2,008.95","3,026.00","1,973.57","2,528.99","3,026.00","1,927.66","2,016.33","2,171.60","2,848.00","2,308.95","2,146.22","2,237.27","3,026.00","1,958.00","2,306.96","3,026.00","2,046.83","2,523.44","2,142.85","2,415.41","1,958.00","1,521.38","3,026.00"
"OSHKOSH","CHARGE","10000106","REPAIR CVL CATH","36575","1,000.00","553.96","850.00","427.35","564.31","850.00","554.37","710.39","850.00","541.48","566.39","610.00","800.00","648.58","602.87","628.45","850.00","550.00","648.02","850.00","574.95","708.83","601.92","678.49","550.00","427.35","850.00"
"OSHKOSH","CHARGE","10000107","REPAIR CVL CATH W PORT/PUMP","36576","1,860.00","1,030.37","1,581.00","794.88","1,049.62","1,581.00","1,031.13","1,321.33","1,581.00","1,007.15","1,053.48","1,134.60","1,488.00","1,206.36","1,121.34","1,168.91","1,581.00","1,023.00","1,205.32","1,581.00","1,069.41","1,318.42","1,119.58","1,261.98","1,023.00","794.88","1,581.00"
"OSHKOSH","CHARGE","10000108","REPLACE CVL CATH ONLY","36578","4,230.00","2,343.27","3,595.50","1,807.70","2,387.04","3,595.50","2,345.00","3,004.95","3,595.50","2,290.45","2,395.81","2,580.30","3,384.00","2,743.50","2,550.14","2,658.33","3,595.50","2,326.50","2,741.14","3,595.50","2,432.05","2,998.35","2,546.14","2,869.99","2,326.50","1,807.70","3,595.50"
"OSHKOSH","CHARGE","10000109","REPLACE CVL NON TUNNELED COMPLETE","36580","1,860.00","1,030.37","1,581.00","794.88","1,049.62","1,581.00","1,031.13","1,321.33","1,581.00","1,007.15","1,053.48","1,134.60","1,488.00","1,206.36","1,121.34","1,168.91","1,581.00","1,023.00","1,205.32","1,581.00","1,069.41","1,318.42","1,119.58","1,261.98","1,023.00","794.88","1,581.00"
"OSHKOSH","CHARGE","10000110","REPLACE CVL TUNNELED COMPLETE","36581","3,710.00","2,740.21","3,153.50","2,634.47","3,598.70","3,153.50","3,710.00","3,710.00","3,153.50","3,710.00","3,710.00","2,263.10","2,968.00","3,710.00","3,710.00","3,710.00","3,153.50","2,040.50","3,710.00","3,153.50","3,710.00","3,710.00","3,710.00","3,710.00","2,040.50","2,040.50","3,710.00"
"OSHKOSH","CHARGE","10000111","REPLACE CVL TUNNELED W/PORT COMPLETE","36582","4,800.00","2,659.03","4,080.00","2,051.29","2,708.70","4,080.00","2,660.99","3,409.88","4,080.00","2,599.10","2,718.65","2,928.00","3,840.00","3,113.19","2,893.78","3,016.55","4,080.00","2,640.00","3,110.51","4,080.00","2,759.77","3,402.39","2,889.24","3,256.73","2,640.00","2,051.29","4,080.00"
"OSHKOSH","CHARGE","10000113","REPLACE PICC COMPLETE","36584","1,500.00","1,116.45","1,275.00","1,223.25","1,500.00","1,275.00","1,396.20","1,500.00","1,275.00","1,500.00","1,352.55","915.00","1,200.00","1,500.00","1,500.00","1,500.00","1,275.00","825.00","1,456.95","1,275.00","1,500.00","1,500.00","1,393.80","1,500.00","825.00","825.00","1,500.00"
"OSHKOSH","CHARGE","10000115","REMOVE CVL TUNNELED W/O PORT","36589","1,100.00","1,100.00","935.00","967.34","1,062.46","935.00","1,100.00","1,100.00","935.00","1,087.98","1,100.00","671.00","880.00","1,100.00","1,100.00","1,100.00","935.00","605.00","1,100.00","935.00","1,100.00","1,100.00","1,100.00","1,100.00","605.00","605.00","1,100.00"
"OSHKOSH","CHARGE","10000116","REMOVE CVL TUNNELED W/PORT","36590","1,800.00","1,325.49","1,530.00","1,330.35","1,714.35","1,530.00","1,626.45","1,796.97","1,530.00","1,706.25","1,608.99","1,098.00","1,440.00","1,800.00","1,794.78","1,800.00","1,530.00","990.00","1,719.39","1,530.00","1,789.23","1,800.00","1,669.63","1,794.96","990.00","990.00","1,800.00"
"OSHKOSH","CHARGE","10000117","BLOOD SPEC IMPLANTED DEVICE","36591","141.00","33.93","119.85","27.76","30.89","119.85","26.72","84.60","119.85","31.67","36.94","86.01","112.80","49.19","25.61","26.44","119.85","77.55","12.83","119.85","37.71","42.39","45.96","51.08","77.55","12.83","119.85"
"OSHKOSH","CHARGE","10000118","REMOVE PERICATH OBSTRUCTIVE MATERIAL","36595","3,600.00","1,994.27","3,060.00","1,538.47","2,031.53","3,060.00","1,995.74","2,557.41","3,060.00","1,949.32","2,038.99","2,196.00","2,880.00","2,334.89","2,170.34","2,262.41","3,060.00","1,980.00","2,332.89","3,060.00","2,069.83","2,551.79","2,166.93","2,442.55","1,980.00","1,538.47","3,060.00"
"OSHKOSH","CHARGE","10000119","REMOVE INTRACATH OBSTRUCTION MATERIAL","36596","1,800.00","997.14","1,530.00","769.23","1,015.76","1,530.00","997.87","1,278.70","1,530.00","974.66","1,019.49","1,098.00","1,440.00","1,167.45","1,085.17","1,131.21","1,530.00","990.00","1,166.44","1,530.00","1,034.92","1,275.90","1,083.46","1,221.27","990.00","769.23","1,530.00"
"OSHKOSH","CHARGE","10000120","INJECT W FLUORO EVAL CENTRAL LINE","36598","600.00","521.58","510.00","513.03","591.00","510.00","600.00","600.00","510.00","600.00","600.00","366.00","480.00","600.00","600.00","600.00","510.00","330.00","600.00","510.00","600.00","600.00","600.00","600.00","330.00","330.00","600.00"
"OSHKOSH","CHARGE","10000121","THROMBECTOMY VEIN(S)","37187","7,800.00","4,320.92","6,630.00","3,333.35","4,401.64","6,630.00","4,324.11","5,541.05","6,630.00","4,223.53","4,417.80","4,758.00","6,240.00","5,058.93","4,702.39","4,901.89","6,630.00","4,290.00","5,054.58","6,630.00","4,484.63","5,528.88","4,695.01","5,292.18","4,290.00","3,333.35","6,630.00"
"OSHKOSH","CHARGE","10000122","THROMBECTOMY VEIN(S) REPEAT","37188","7,800.00","4,320.92","6,630.00","3,333.35","4,401.64","6,630.00","4,324.11","5,541.05","6,630.00","4,223.53","4,417.80","4,758.00","6,240.00","5,058.93","4,702.39","4,901.89","6,630.00","4,290.00","5,054.58","6,630.00","4,484.63","5,528.88","4,695.01","5,292.18","4,290.00","3,333.35","6,630.00"
"OSHKOSH","CHARGE","10000128","STENT CAROTID W/PROTECTION","37215","10,850.00","6,010.51","9,222.50","4,636.78","6,122.79","9,222.50","6,014.94","7,707.74","9,222.50","5,875.04","6,145.28","6,618.50","8,680.00","7,037.10","6,541.15","6,818.65","9,222.50","5,967.50","7,031.06","9,222.50","6,238.24","7,690.81","6,530.88","7,361.56","5,967.50","4,636.78","9,222.50"
"OSHKOSH","CHARGE","10000129","PHLEBECTOMY 10-20 INCISIONS","37765","5,650.00","3,129.90","4,802.50","2,414.54","3,188.37","4,802.50","3,132.21","4,013.71","4,802.50","3,059.35","3,200.08","3,446.50","4,520.00","3,664.48","3,406.22","3,550.73","4,802.50","3,107.50","3,661.33","4,802.50","3,248.48","4,004.89","3,400.87","3,833.44","3,107.50","2,414.54","4,802.50"
"OSHKOSH","CHARGE","10000130","PHLEBECTOMY >20 INCISIONS","37766","6,550.00","3,628.47","5,567.50","2,799.16","3,696.25","5,567.50","3,631.14","4,653.06","5,567.50","3,546.68","3,709.82","3,995.50","5,240.00","4,248.21","3,948.81","4,116.33","5,567.50","3,602.50","4,244.56","5,567.50","3,765.94","4,642.84","3,942.60","4,444.08","3,602.50","2,799.16","5,567.50"
"OSHKOSH","CHARGE","10000131","PHLEBECTOMY <10 INCISIONS","37799","4,300.00","2,382.05","3,655.00","1,837.62","2,426.54","3,655.00","2,383.80","3,054.68","3,655.00","2,328.36","2,435.46","2,623.00","3,440.00","2,788.90","2,592.35","2,702.32","3,655.00","2,365.00","2,786.50","3,655.00","2,472.30","3,047.97","2,588.27","2,917.49","2,365.00","1,837.62","3,655.00"
"OSHKOSH","CHARGE","10000134","BONE MARROW BIOPSY","38221","970.00","198.51","824.50","183.66","239.50","824.50","248.28","513.82","824.50","267.70","240.51","591.70","776.00","364.32","289.30","303.86","824.50","533.50","297.92","824.50","314.67","403.93","247.85","289.41","533.50","183.66","824.50"
"OSHKOSH","CHARGE","10000137","INJECT RADIOACTIVE TRACER SENTINEL NODE","38792","400.00","400.00","340.00","213.64","290.68","340.00","283.76","400.00","340.00","321.92","379.36","244.00","320.00","400.00","400.00","400.00","340.00","220.00","381.52","340.00","400.00","400.00","400.00","400.00","220.00","213.64","400.00"
"OSHKOSH","CHARGE","10000139","BX SALIVARY GLAND NEEDLE","42400","1,200.00","664.76","1,020.00","512.82","677.18","1,020.00","665.25","852.47","1,020.00","649.77","679.66","732.00","960.00","778.30","723.45","754.14","1,020.00","660.00","777.63","1,020.00","689.94","850.60","722.31","814.18","660.00","512.82","1,020.00"
"OSHKOSH","CHARGE","10000142","FB REMOVAL PHARYNGEAL","42809","235.00","122.00","199.75","124.39","158.56","199.75","125.94","129.91","199.75","133.54","129.45","143.35","188.00","147.67","146.12","150.32","199.75","129.25","144.48","199.75","113.29","140.79","133.90","150.77","129.25","113.29","199.75"
"OSHKOSH","CHARGE","10000143","PEG TUBE PLACEMENT","43246","3,000.00","1,661.89","2,550.00","1,282.06","1,692.94","2,550.00","1,663.12","2,131.17","2,550.00","1,624.44","1,699.16","1,830.00","2,400.00","1,945.74","1,808.61","1,885.34","2,550.00","1,650.00","1,944.07","2,550.00","1,724.86","2,126.49","1,805.77","2,035.46","1,650.00","1,282.06","2,550.00"
"OSHKOSH","CHARGE","10000145","INTRO FEEDING TUBE","44500","750.00","415.47","637.50","320.51","423.23","637.50","415.78","532.79","637.50","406.11","424.79","457.50","600.00","486.44","452.15","471.34","637.50","412.50","486.02","637.50","431.21","531.62","451.44","508.86","412.50","320.51","637.50"
"OSHKOSH","CHARGE","10000149","ANOSCOPY","46600","265.00","98.33","225.25","79.19","103.08","225.25","81.12","159.90","225.25","83.14","90.13","161.65","212.00","124.06","81.03","83.47","225.25","145.75","92.85","225.25","86.05","105.28","101.89","116.07","145.75","79.19","225.25"
"OSHKOSH","CHARGE","10000150","LIVER BIOPSY","47000","1,730.00","478.26","1,470.50","524.02","678.29","1,470.50","598.10","1,237.90","1,470.50","644.94","579.42","1,055.30","1,384.00","877.76","696.97","732.09","1,470.50","951.50","754.19","1,470.50","758.09","973.13","597.11","697.23","951.50","478.26","1,470.50"
"OSHKOSH","CHARGE","10000151","PERCUTANEOUS CHOLECYSTOSTOMY","47490","2,000.00","1,107.93","1,700.00","854.71","1,128.63","1,700.00","1,108.75","1,420.78","1,700.00","1,082.96","1,132.77","1,220.00","1,600.00","1,297.16","1,205.74","1,256.89","1,700.00","1,100.00","1,296.05","1,700.00","1,149.91","1,417.66","1,203.85","1,356.97","1,100.00","854.71","1,700.00"
"OSHKOSH","CHARGE","10000157","BILIARY ENDOSCOPY DX WITH SPECI","47552","3,800.00","2,105.06","3,230.00","1,623.94","2,144.39","3,230.00","2,106.62","2,699.48","3,230.00","2,057.62","2,152.26","2,318.00","3,040.00","2,464.61","2,290.91","2,388.10","3,230.00","2,090.00","2,462.49","3,230.00","2,184.82","2,693.56","2,287.31","2,578.24","2,090.00","1,623.94","3,230.00"
"OSHKOSH","CHARGE","10000159","BILIARY ENDOSCOPY W STENT","47556","4,360.00","2,415.28","3,706.00","1,863.26","2,460.40","3,706.00","2,417.06","3,097.30","3,706.00","2,360.85","2,469.44","2,659.60","3,488.00","2,827.81","2,628.52","2,740.03","3,706.00","2,398.00","2,825.38","3,706.00","2,506.80","3,090.50","2,624.39","2,958.20","2,398.00","1,863.26","3,706.00"
"OSHKOSH","CHARGE","10000169","PLACE INTERSTITIAL DVC ABD/PELV","49411","5,610.00","3,107.74","4,768.50","2,397.45","3,165.79","4,768.50","3,110.03","3,985.29","4,768.50","3,037.69","3,177.42","3,422.10","4,488.00","3,638.54","3,382.11","3,525.59","4,768.50","3,085.50","3,635.41","4,768.50","3,225.49","3,976.54","3,376.80","3,806.30","3,085.50","2,397.45","4,768.50"
"OSHKOSH","CHARGE","10000172","INSERT INTRAPERITONEAL CATH TUNNEL","49418","5,770.00","2,063.35","4,904.50","3,136.57","4,624.08","4,904.50","5,083.37","5,770.00","4,904.50","5,062.60","5,349.94","3,519.70","4,616.00","5,770.00","5,770.00","5,770.00","4,904.50","3,173.50","5,770.00","4,904.50","5,220.12","5,770.00","5,707.68","5,770.00","3,173.50","2,063.35","5,770.00"
"OSHKOSH","CHARGE","10000173","INSERT DIALYSIS CATH PERMANENT","49421","5,180.00","2,869.53","4,403.00","2,213.69","2,923.14","4,403.00","2,871.65","3,679.82","4,403.00","2,804.86","2,933.87","3,159.80","4,144.00","3,359.65","3,122.87","3,255.36","4,403.00","2,849.00","3,356.76","4,403.00","2,978.26","3,671.74","3,117.97","3,514.55","2,849.00","2,213.69","4,403.00"
"OSHKOSH","CHARGE","10000177","INSERT GASTROSTOMY TUBE W S&I","49440","1,640.00","908.50","1,394.00","700.86","925.47","1,394.00","909.17","1,165.04","1,394.00","888.02","928.87","1,000.40","1,312.00","1,063.67","988.71","1,030.65","1,394.00","902.00","1,062.76","1,394.00","942.92","1,162.48","987.16","1,112.72","902.00","700.86","1,394.00"
