SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,BCBSAL PPO - All Plans,UHC PPO - All Plans ,Aetna PPO - All Plans ,Cigna PPO - All Plans ,Humana PPO - All Plans ,COMM Viva Health PPO - All Plans ,UHC MA - All Plans ,Humana MA - All Plans ,BCBSAL MA - All Plans ,Healthspring MA - All Plans ,Aetna/Coventry MA - All Plans ,Viva Health MA - All Plans ,Multiplan - All Plans 
1972004,MSED OTH U5 1ST15,99155,163.43,2/13/2023,49.029,29.4174,11.27667,124.2068,12.42068,52.95132,124.2068,40.04035,52.13417,73.5435,11.93039,11.27667,12.09382,12.09382,13.0744,12.58411,42.4918
1218120,OLANZAPINE 2.5MG TAB,,62.87,2/13/2023,18.861,11.3166,4.33803,47.7812,4.77812,20.36988,47.7812,15.40315,20.05553,28.2915,4.58951,4.33803,4.65238,4.65238,5.0296,4.84099,16.3462
145110,R&B M/S PRIVATE,,2141.98,2/13/2023,642.594,385.5564,147.79662,1627.9048,162.79048,694.00152,1627.9048,524.7851,683.29162,963.891,156.36454,147.79662,158.50652,158.50652,171.3584,164.93246,556.9148
1651057,NM-BONE SCAN LMTD,78300,2026.34,2/13/2023,607.902,364.7412,139.81746,1540.0184,154.00184,656.53416,1540.0184,496.4533,646.40246,911.853,147.92282,139.81746,149.94916,149.94916,162.1072,156.02818,526.8484
1160122,GI LEV 2 EA ADD MIN,SURG,127.88,2/13/2023,38.364,23.0184,8.82372,97.1888,9.71888,41.43312,97.1888,31.3306,40.79372,57.546,9.33524,8.82372,9.46312,9.46312,10.2304,9.84676,33.2488
1610086,LE-KNEE BI AP STD DR,73565,952.34,2/13/2023,285.702,171.4212,65.71146,723.7784,72.37784,308.55816,723.7784,233.3233,303.79646,428.553,69.52082,65.71146,70.47316,70.47316,76.1872,73.33018,247.6084
1217802,PEG-KCL-NABI-CL-S 4L,,355.02,2/13/2023,106.506,63.9036,24.49638,269.8152,26.98152,115.02648,269.8152,86.9799,113.25138,159.759,25.91646,24.49638,26.27148,26.27148,28.4016,27.33654,92.3052
1631529,CTA-HEAD,70496,3836.61,2/13/2023,1150.983,690.5898,264.72609,2915.8236,291.58236,1243.06164,2915.8236,939.96945,1223.87859,1726.4745,280.07253,264.72609,283.90914,283.90914,306.9288,295.41897,997.5186
265164,R&B ISOLATION,,2780.61,2/13/2023,834.183,500.5098,191.86209,2113.2636,211.32636,900.91764,2113.2636,681.24945,887.01459,1251.2745,202.98453,191.86209,205.76514,205.76514,222.4488,214.10697,722.9586
1612374,IR-EXAM G COLON TUBE,SURG,937.58,2/13/2023,281.274,168.7644,64.69302,712.5608,71.25608,303.77592,712.5608,229.7071,299.08802,421.911,68.44334,64.69302,69.38092,69.38092,75.0064,72.19366,243.7708
2520489,BR-DIG MAMMO BILAT,77066,1887.65,2/13/2023,566.295,339.777,130.24785,1434.614,143.4614,611.5986,1434.614,462.47425,602.16035,849.4425,137.79845,130.24785,139.6861,139.6861,151.012,145.34905,490.789
1314328,5-HIAA,83497,643.38,2/13/2023,193.014,115.8084,44.39322,488.9688,48.89688,208.45512,488.9688,157.6281,205.23822,289.521,46.96674,44.39322,47.61012,47.61012,51.4704,49.54026,167.2788
1061682,S-RPLC COMP T CVC WO,SURG,21988.25,2/13/2023,6596.475,3957.885,1517.18925,16711.07,1671.107,7124.193,16711.07,5387.12125,7014.25175,9894.7125,1605.14225,1517.18925,1627.1305,1627.1305,1759.06,1693.09525,5716.945
1210740,MORPHINE UP TO 10MG,J2270,10.59,2/13/2023,3.177,1.9062,0.73071,8.0484,0.80484,3.43116,8.0484,2.59455,3.37821,4.7655,0.77307,0.73071,0.78366,0.78366,0.8472,0.81543,2.7534
8521008,US-BRST BX LOC CLP A,MANUL,12955.58,2/13/2023,3886.674,2332.0044,893.93502,9846.2408,984.62408,4197.60792,9846.2408,3174.1171,4132.83002,5830.011,945.75734,893.93502,958.71292,958.71292,1036.4464,997.57966,3368.4508
1417056,TISSUE NON-HUMAN 8,C1763,22994.97,2/13/2023,6898.491,4139.0946,1586.65293,17476.1772,1747.61772,7450.37028,17476.1772,5633.76765,7335.39543,10347.7365,1678.63281,1586.65293,1701.62778,1701.62778,1839.5976,1770.61269,5978.6922
7212248,GENTAMICIN UPTO 80MG,J1580,97.2,2/13/2023,29.16,17.496,6.7068,73.872,7.3872,31.4928,73.872,23.814,31.0068,43.74,7.0956,6.7068,7.1928,7.1928,7.776,7.4844,25.272
1217208,ZINC SULF 220MG CAP,,1,2/13/2023,0.3,0.18,0.069,0.76,0.076,0.324,0.76,0.245,0.319,0.45,0.073,0.069,0.074,0.074,0.08,0.077,0.26
8631203,CT-GUIDE NEEDLE BX,77012,4597.16,2/13/2023,1379.148,827.4888,317.20404,3493.8416,349.38416,1489.47984,3493.8416,1126.3042,1466.49404,2068.722,335.59268,317.20404,340.18984,340.18984,367.7728,353.98132,1195.2616
1418016,IMPL DV INT PRC LVL6,C1889,14234.97,2/13/2023,4270.491,2562.2946,982.21293,10818.5772,1081.85772,4612.13028,10818.5772,3487.56765,4540.95543,6405.7365,1039.15281,982.21293,1053.38778,1053.38778,1138.7976,1096.09269,3701.0922
8611142,FL-FLUORO CVAD ANY,77001,1890.36,2/13/2023,567.108,340.2648,130.43484,1436.6736,143.66736,612.47664,1436.6736,463.1382,603.02484,850.662,137.99628,130.43484,139.88664,139.88664,151.2288,145.55772,491.4936
2520637,CH-STERNUM DR,71120,578.53,2/13/2023,173.559,104.1354,39.91857,439.6828,43.96828,187.44372,439.6828,141.73985,184.55107,260.3385,42.23269,39.91857,42.81122,42.81122,46.2824,44.54681,150.4178
8060094,CC-INJ SUPRV AORTOGR,93567,4341.89,2/13/2023,1302.567,781.5402,299.59041,3299.8364,329.98364,1406.77236,3299.8364,1063.76305,1385.06291,1953.8505,316.95797,299.59041,321.29986,321.29986,347.3512,334.32553,1128.8914
1217239,GLYCOPYR 0.2MG/ML 1M,,47.35,2/13/2023,14.205,8.523,3.26715,35.986,3.5986,15.3414,35.986,11.60075,15.10465,21.3075,3.45655,3.26715,3.5039,3.5039,3.788,3.64595,12.311
1316693,BENZODIAZ MS 1-12,80346,701.47,2/13/2023,210.441,126.2646,48.40143,533.1172,53.31172,227.27628,533.1172,171.86015,223.76893,315.6615,51.20731,48.40143,51.90878,51.90878,56.1176,54.01319,182.3822
1160404,MSED GI OTH U5 1ST15,G0500,163.43,2/13/2023,49.029,29.4174,11.27667,124.2068,12.42068,52.95132,124.2068,40.04035,52.13417,73.5435,11.93039,11.27667,12.09382,12.09382,13.0744,12.58411,42.4918
1414326,CATH-ANGIO LEVEL 2,C1725,2680.79,2/13/2023,804.237,482.5422,184.97451,2037.4004,203.74004,868.57596,2037.4004,656.79355,855.17201,1206.3555,195.69767,184.97451,198.37846,198.37846,214.4632,206.42083,697.0054
1110823,AD PROCEDURE OR LV 3,SURG,3829.78,2/13/2023,1148.934,689.3604,264.25482,2910.6328,291.06328,1240.84872,2910.6328,938.2961,1221.69982,1723.401,279.57394,264.25482,283.40372,283.40372,306.3824,294.89306,995.7428
1621596,US-ABDOMN AAA SCREEN,76706,701.5,2/13/2023,210.45,126.27,48.4035,533.14,53.314,227.286,533.14,171.8675,223.7785,315.675,51.2095,48.4035,51.911,51.911,56.12,54.0155,182.39
1315022,"UA, AUTO W-SCOPE",81001,158.41,2/13/2023,47.523,28.5138,10.93029,120.3916,12.03916,51.32484,120.3916,38.81045,50.53279,71.2845,11.56393,10.93029,11.72234,11.72234,12.6728,12.19757,41.1866
1314859,FUNGI IDENTIF YEAST,87106,514.88,2/13/2023,154.464,92.6784,35.52672,391.3088,39.13088,166.82112,391.3088,126.1456,164.24672,231.696,37.58624,35.52672,38.10112,38.10112,41.1904,39.64576,133.8688
1214216,IDARUCIZU 2.5GM/50ML,C9399,13823.06,2/13/2023,4146.918,2488.1508,953.79114,10505.5256,1050.55256,4478.67144,10505.5256,3386.6497,4409.55614,6220.377,1009.08338,953.79114,1022.90644,1022.90644,1105.8448,1064.37562,3593.9956
1641036,MR-BREAST UNI WWO,C8905,2671.43,2/13/2023,801.429,480.8574,184.32867,2030.2868,203.02868,865.54332,2030.2868,654.50035,852.18617,1202.1435,195.01439,184.32867,197.68582,197.68582,213.7144,205.70011,694.5718
1631510,CT-LOWER EXT WWO BI,73702,6261.67,2/13/2023,1878.501,1127.1006,432.05523,4758.8692,475.88692,2028.78108,4758.8692,1534.10915,1997.47273,2817.7515,457.10191,432.05523,463.36358,463.36358,500.9336,482.14859,1628.0342
1854946,THER EXRCS-15MIN OT,97110,379.22,2/13/2023,113.766,68.2596,26.16618,288.2072,28.82072,122.86728,288.2072,92.9089,120.97118,170.649,27.68306,26.16618,28.06228,28.06228,30.3376,29.19994,98.5972
1691288,IR-CNVT NPHSTMY CTH,SURG,23676.76,2/13/2023,7103.028,4261.8168,1633.69644,17994.3376,1799.43376,7671.27024,17994.3376,5800.8062,7552.88644,10654.542,1728.40348,1633.69644,1752.08024,1752.08024,1894.1408,1823.11052,6155.9576
2895855,CDC COVID19,U0001,140.75,2/13/2023,42.225,25.335,9.71175,106.97,10.697,45.603,106.97,34.48375,44.89925,63.3375,10.27475,9.71175,10.4155,10.4155,11.26,10.83775,36.595
1321205,IMF SPEC 1ST AB ST,88346,8705.85,2/13/2023,2611.755,1567.053,600.70365,6616.446,661.6446,2820.6954,6616.446,2132.93325,2777.16615,3917.6325,635.52705,600.70365,644.2329,644.2329,696.468,670.35045,2263.521
1314098,ACETON-KETON SERM QL,82009,225.51,2/13/2023,67.653,40.5918,15.56019,171.3876,17.13876,73.06524,171.3876,55.24995,71.93769,101.4795,16.46223,15.56019,16.68774,16.68774,18.0408,17.36427,58.6326
1216981,AMITRIPTYLINE 10MG T,,12.36,2/13/2023,3.708,2.2248,0.85284,9.3936,0.93936,4.00464,9.3936,3.0282,3.94284,5.562,0.90228,0.85284,0.91464,0.91464,0.9888,0.95172,3.2136
1670209,CT-CHEST DIAG W,71260,4366.76,2/13/2023,1310.028,786.0168,301.30644,3318.7376,331.87376,1414.83024,3318.7376,1069.8562,1392.99644,1965.042,318.77348,301.30644,323.14024,323.14024,349.3408,336.24052,1135.3576
1660148,LE-ANKLE 2VW BI DR,73600,574.57,2/13/2023,172.371,103.4226,39.64533,436.6732,43.66732,186.16068,436.6732,140.76965,183.28783,258.5565,41.94361,39.64533,42.51818,42.51818,45.9656,44.24189,149.3882
1064902,CC-PERICARDIO W/IMG,33016,6163.58,2/13/2023,1849.074,1109.4444,425.28702,4684.3208,468.43208,1996.99992,4684.3208,1510.0771,1966.18202,2773.611,449.94134,425.28702,456.10492,456.10492,493.0864,474.59566,1602.5308
1670185,MRA-NECK W,70548,9244.64,2/13/2023,2773.392,1664.0352,637.88016,7025.9264,702.59264,2995.26336,7025.9264,2264.9368,2949.04016,4160.088,674.85872,637.88016,684.10336,684.10336,739.5712,711.83728,2403.6064
2520632,SP-NECK SOFT TISS DR,70360,566.51,2/13/2023,169.953,101.9718,39.08919,430.5476,43.05476,183.54924,430.5476,138.79495,180.71669,254.9295,41.35523,39.08919,41.92174,41.92174,45.3208,43.62127,147.2926
1314014,RBC PRETREAT DIFF EA,86978,1285.15,2/13/2023,385.545,231.327,88.67535,976.714,97.6714,416.3886,976.714,314.86175,409.96285,578.3175,93.81595,88.67535,95.1011,95.1011,102.812,98.95655,334.139
2380001,HBO FB 30MN,G0277,2138.45,2/13/2023,641.535,384.921,147.55305,1625.222,162.5222,692.8578,1625.222,523.92025,682.16555,962.3025,156.10685,147.55305,158.2453,158.2453,171.076,164.66065,555.997
1314026,CARBAMAZEPINE TOTAL,80156,726.62,2/13/2023,217.986,130.7916,50.13678,552.2312,55.22312,235.42488,552.2312,178.0219,231.79178,326.979,53.04326,50.13678,53.76988,53.76988,58.1296,55.94974,188.9212
1315009,"DETECT AGNTNOS,DNAAM",87798,1751.11,2/13/2023,525.333,315.1998,120.82659,1330.8436,133.08436,567.35964,1330.8436,429.02195,558.60409,787.9995,127.83103,120.82659,129.58214,129.58214,140.0888,134.83547,455.2886
1660009,HE-NASAL BONES DR,70160,467.41,2/13/2023,140.223,84.1338,32.25129,355.2316,35.52316,151.44084,355.2316,114.51545,149.10379,210.3345,34.12093,32.25129,34.58834,34.58834,37.3928,35.99057,121.5266
1219361,GLYCOPYR 0.2MG/ML 5M,,71.09,2/13/2023,21.327,12.7962,4.90521,54.0284,5.40284,23.03316,54.0284,17.41705,22.67771,31.9905,5.18957,4.90521,5.26066,5.26066,5.6872,5.47393,18.4834
1680236,CT-THOR SPINE WWO,72130,5605.65,2/13/2023,1681.695,1009.017,386.78985,4260.294,426.0294,1816.2306,4260.294,1373.38425,1788.20235,2522.5425,409.21245,386.78985,414.8181,414.8181,448.452,431.63505,1457.469
7212037,METHYLPRED 40MG INJ,J2920,73.28,2/13/2023,21.984,13.1904,5.05632,55.6928,5.56928,23.74272,55.6928,17.9536,23.37632,32.976,5.34944,5.05632,5.42272,5.42272,5.8624,5.64256,19.0528
1061511,CC-R-L HRT ART-ANGIO,93461,35735.09,2/13/2023,10720.527,6432.3162,2465.72121,27158.6684,2715.86684,11578.16916,27158.6684,8755.09705,11399.49371,16080.7905,2608.66157,2465.72121,2644.39666,2644.39666,2858.8072,2751.60193,9291.1234
7212062,DEX 5%/WATER 500ML,J7060,96.23,2/13/2023,28.869,17.3214,6.63987,73.1348,7.31348,31.17852,73.1348,23.57635,30.69737,43.3035,7.02479,6.63987,7.12102,7.12102,7.6984,7.40971,25.0198
1613792,S-BX NDL LIVER,47000,4688.03,2/13/2023,1406.409,843.8454,323.47407,3562.9028,356.29028,1518.92172,3562.9028,1148.56735,1495.48157,2109.6135,342.22619,323.47407,346.91422,346.91422,375.0424,360.97831,1218.8878
1217427,HYDROCORT 1%CR 30GM,,9.87,2/13/2023,2.961,1.7766,0.68103,7.5012,0.75012,3.19788,7.5012,2.41815,3.14853,4.4415,0.72051,0.68103,0.73038,0.73038,0.7896,0.75999,2.5662
2520672,UE-ELBOW 3V DR,73080,587.78,2/13/2023,176.334,105.8004,40.55682,446.7128,44.67128,190.44072,446.7128,144.0061,187.50182,264.501,42.90794,40.55682,43.49572,43.49572,47.0224,45.25906,152.8228
1214284,PREDNISONE 1MG ORAL,J7512,2.7,2/13/2023,0.81,0.486,0.1863,2.052,0.2052,0.8748,2.052,0.6615,0.8613,1.215,0.1971,0.1863,0.1998,0.1998,0.216,0.2079,0.702
1670343,CT-LOWER EXT WWO,73702,5605.65,2/13/2023,1681.695,1009.017,386.78985,4260.294,426.0294,1816.2306,4260.294,1373.38425,1788.20235,2522.5425,409.21245,386.78985,414.8181,414.8181,448.452,431.63505,1457.469
1660087,LE-KNEE BI AP STD DR,73565,952.34,2/13/2023,285.702,171.4212,65.71146,723.7784,72.37784,308.55816,723.7784,233.3233,303.79646,428.553,69.52082,65.71146,70.47316,70.47316,76.1872,73.33018,247.6084
1314103,ADRENOCORT ACTH,82024,1926.91,2/13/2023,578.073,346.8438,132.95679,1464.4516,146.44516,624.31884,1464.4516,472.09295,614.68429,867.1095,140.66443,132.95679,142.59134,142.59134,154.1528,148.37207,500.9966
1217413,HYDRALAZINE 10MG TAB,,13.98,2/13/2023,4.194,2.5164,0.96462,10.6248,1.06248,4.52952,10.6248,3.4251,4.45962,6.291,1.02054,0.96462,1.03452,1.03452,1.1184,1.07646,3.6348
1670183,MRA-HEAD WWO,70546,9677.76,2/13/2023,2903.328,1741.9968,667.76544,7355.0976,735.50976,3135.59424,7355.0976,2371.0512,3087.20544,4354.992,706.47648,667.76544,716.15424,716.15424,774.2208,745.18752,2516.2176
1414528,EMBOLIZ PROTECT SYS4,C1884,7823.29,2/13/2023,2346.987,1408.1922,539.80701,5945.7004,594.57004,2534.74596,5945.7004,1916.70605,2495.62951,3520.4805,571.10017,539.80701,578.92346,578.92346,625.8632,602.39333,2034.0554
1641009,MRA-NECK WWO,70549,5605.65,2/13/2023,1681.695,1009.017,386.78985,4260.294,426.0294,1816.2306,4260.294,1373.38425,1788.20235,2522.5425,409.21245,386.78985,414.8181,414.8181,448.452,431.63505,1457.469
1214838,DEXMEDET 4MCG/ML 20M,,111.27,2/13/2023,33.381,20.0286,7.67763,84.5652,8.45652,36.05148,84.5652,27.26115,35.49513,50.0715,8.12271,7.67763,8.23398,8.23398,8.9016,8.56779,28.9302
1321175,PROSTATE NDL BX ANY,G0416,692.06,2/13/2023,207.618,124.5708,47.75214,525.9656,52.59656,224.22744,525.9656,169.5547,220.76714,311.427,50.52038,47.75214,51.21244,51.21244,55.3648,53.28862,179.9356
1314526,ZINC,84630,568.21,2/13/2023,170.463,102.2778,39.20649,431.8396,43.18396,184.10004,431.8396,139.21145,181.25899,255.6945,41.47933,39.20649,42.04754,42.04754,45.4568,43.75217,147.7346
1414927,SHEATH NON-LASR 4,C1894,4927.47,2/13/2023,1478.241,886.9446,339.99543,3744.8772,374.48772,1596.50028,3744.8772,1207.23015,1571.86293,2217.3615,359.70531,339.99543,364.63278,364.63278,394.1976,379.41519,1281.1422
1211639,GLYCERIN 2GM SUPP,,1,2/13/2023,0.3,0.18,0.069,0.76,0.076,0.324,0.76,0.245,0.319,0.45,0.073,0.069,0.074,0.074,0.08,0.077,0.26
1212933,AL80-MG80-SIM8/ML 30,,5.6,2/13/2023,1.68,1.008,0.3864,4.256,0.4256,1.8144,4.256,1.372,1.7864,2.52,0.4088,0.3864,0.4144,0.4144,0.448,0.4312,1.456
1070027,S-INS-REP PACE-DEFIB,SURG,99999.43,2/13/2023,29999.829,17999.8974,6899.96067,75999.5668,7599.95668,32399.81532,75999.5668,24499.86035,31899.81817,44999.7435,7299.95839,6899.96067,7399.95782,7399.95782,7999.9544,7699.95611,25999.8518
1210195,CEFTRIAXONE 250MGINJ,J0696,99.12,2/13/2023,29.736,17.8416,6.83928,75.3312,7.53312,32.11488,75.3312,24.2844,31.61928,44.604,7.23576,6.83928,7.33488,7.33488,7.9296,7.63224,25.7712
1314337,"INSULIN, TOTAL",83525,570.23,2/13/2023,171.069,102.6414,39.34587,433.3748,43.33748,184.75452,433.3748,139.70635,181.90337,256.6035,41.62679,39.34587,42.19702,42.19702,45.6184,43.90771,148.2598
282921,IV HYDRAT EA ADD HR,96361,943.94,2/13/2023,283.182,169.9092,65.13186,717.3944,71.73944,305.83656,717.3944,231.2653,301.11686,424.773,68.90762,65.13186,69.85156,69.85156,75.5152,72.68338,245.4244
1414002,ANCHOR/SCRW LEVEL 2,C1713,549.49,2/13/2023,164.847,98.9082,37.91481,417.6124,41.76124,178.03476,417.6124,134.62505,175.28731,247.2705,40.11277,37.91481,40.66226,40.66226,43.9592,42.31073,142.8674
2520770,CH-ABDOMEN 1 VIEW DR,74018,714.4,2/13/2023,214.32,128.592,49.2936,542.944,54.2944,231.4656,542.944,175.028,227.8936,321.48,52.1512,49.2936,52.8656,52.8656,57.152,55.0088,185.744
1210336,BENZ 20%DENT LIQ 30M,,28.24,2/13/2023,8.472,5.0832,1.94856,21.4624,2.14624,9.14976,21.4624,6.9188,9.00856,12.708,2.06152,1.94856,2.08976,2.08976,2.2592,2.17448,7.3424
1314529,"HCG, QUAL",84703,375.45,2/13/2023,112.635,67.581,25.90605,285.342,28.5342,121.6458,285.342,91.98525,119.76855,168.9525,27.40785,25.90605,27.7833,27.7833,30.036,28.90965,97.617
7210644,CANDIDA SKIN TEST,,130.88,2/13/2023,39.264,23.5584,9.03072,99.4688,9.94688,42.40512,99.4688,32.0656,41.75072,58.896,9.55424,9.03072,9.68512,9.68512,10.4704,10.07776,34.0288
2370222,PROC WND CARE SIMPLE,SURG,1466.43,2/13/2023,439.929,263.9574,101.18367,1114.4868,111.44868,475.12332,1114.4868,359.27535,467.79117,659.8935,107.04939,101.18367,108.51582,108.51582,117.3144,112.91511,381.2718
1872224,EVAL SP SND PROD CMP,92523,1358.45,2/13/2023,407.535,244.521,93.73305,1032.422,103.2422,440.1378,1032.422,332.82025,433.34555,611.3025,99.16685,93.73305,100.5253,100.5253,108.676,104.60065,353.197
1413253,REP DEV URNRY WO SL3,C2631,29999.99,2/13/2023,8999.997,5399.9982,2069.99931,22799.9924,2279.99924,9719.99676,22799.9924,7349.99755,9569.99681,13499.9955,2189.99927,2069.99931,2219.99926,2219.99926,2399.9992,2309.99923,7799.9974
