street_registered,state_registered,count(1)
2626 GLENWOOD AVENUE  SUITE 550,NC,2947
6135 PARK SOUTH DRIVE,NC,1464
201 N ELM STREET  SUITE 201,NC,33
3601 C ST STE 260,AK,11
721 DEPOT DR,AK,1427
177 CHICKAHAUK TRAIL,NC,3
201 TURQUOISE CREEK DRIVE,NC,4
324 LOW GROUND ROAD,NC,3
1121 JENKINS ROAD,NC,7
701 W. EIGHTH AVENUE SUITE 700,AK,8
4612 MILL ROCK LANE,NC,3
3120 N. CROATAN HIGHWAY,NC,3
"101 E. 9TH AVE., STE. 12-B",AK,329
3718 BENSON DRIVE,NC,4
1716 WILMORE DRIVE,NC,4
1064 PLEASANT OAK DRIVE,NC,3
14460 FALLS OF NEUSE RD SUITE 149-119,NC,8
2626 GLENWOOD AVE STE 550,NC,12828
4366 CODDLE CREEK DRIVE,NC,3
1116 QUEENSFERRY ROAD,NC,6
8480 HONEYCUTT ROAD  STE 200 #V295,NC,7799
6000 MONROE ROAD  SUITE 350,NC,52
2504 TAMPA ST,NC,5
205 E BENSON BLVD STE 121 E1,AK,184
176 MINE LAKE COURT STE 100,NC,57
813 D ST STE 200,AK,73
400 EAST BLVD,NC,18
407 LOMBARD ST,NC,3
4216 RAGSDALE CT,NC,3
216 US HIGHWAY 70 WEST,NC,8
212 SOUTH TRYON STREET SUITE 1000,NC,3462
3517 BROADFIELD ROAD,NC,4
119 WEST 2ND AVENUE,NC,3
4105 WESTWOOD PLACE,NC,3
509 PRINCESS STREET,NC,12
5915 FARRINGTON ROAD  SUITE 104,NC,74
4625 COUNTRY CLUB ROAD,NC,16
1842 BANKING STREET,NC,128
4300 B ST STE 410,AK,200
925 PALACE GARDEN WAY,NC,4
16044 GRAFHAM CIRCLE,NC,8
3700 GLENWOOD AVENUE  SUITE 250,NC,86
3700 GLENWOOD AVE  STE 250,NC,31
3700 GLENWOOD AVE STE 250,NC,20
626 D STREET,AK,4
3605 GLENWOOD AVENUE SUITE 480,NC,12
3605 GLENWOOD AVE  STE 480,NC,3
3700 GLENWOOD AVENUE SUITE 250,NC,26
3605 GLENWOOD AVENUE  SUITE 480,NC,16
11 NORTH MARKET STREET,NC,25
4101 LAKE BOONE TRAIL STE 100,NC,7
4101 LAKE BOONE TRAIL  SUITE 100,NC,3
1400 W. BENSON BLVD. #370,AK,92
7639 CAMPBELL CREEK LANE,NC,4
2000 RENAISSANCE PLAZA  230 NORTH ELM STREET,NC,3
2404 PLOWRIDGE ROAD,NC,4
1001 COLLEGE COURT,NC,927
2115 DAHL LANE,AK,7
160 MINE LAKE CT SUITE 200,NC,41
6519 ALEXANDER DRIVE,NC,3
15720 BRIXHAM HILL AVENUE #300,NC,2396
963 HOOPER ROAD,NC,7
1401 E 7TH ST  STE 200,NC,3
264 W. MILLBROOK ROAD,NC,7
19401 OLD JETTON ROAD SUITE 100,NC,6
305 TRANSYLVANIA AVENUE,NC,5
10004 LIANA LN,NC,3
1501 QUEENS WAY,AK,12
1730 REAL QUIET PLACE,NC,3
101 S KINGS DR STE 200,NC,31
1500 BOGARD RD,AK,15
4111 AMBER LEIGH WAY DR,NC,3
1475 WEST MEMORIAL HIGHWAY,NC,4
8517-A NORCROSS ROAD,NC,10
920 HWY 9,NC,3
1012 BEARGLADES LN,NC,5
110 OAKWOOD DRIVE SUITE 300,NC,68
1115 CENTRAL PARK CIRCLE,NC,15
2100 CRESCENT AVENUE  STE 200,NC,4
2100 CRESCENT AVE STE 200,NC,4
351 N PEACE HAVEN ROAD,NC,15
301 FAYETTEVILLE STREET SUITE 1700,NC,33
7474 CREEDMOOR RD # 209,NC,12
3085 MOUNTAINWOOD CIRCLE,AK,1588
6800 GLENWOOD AVE SUITE 101,NC,15
600 HARBOR ROAD,NC,8
2626 GLENWOOD AVENUE SUITE 550,NC,8604
221 JONESTOWN ROAD,NC,25
200 PINNER WEALD WAY SUITE 101,NC,9
245 WOODLAND DRIVE,NC,3
4809 RED HEART DRIVE,NC,11
1543 PATHWAY DRIVE,NC,3
203 E. WHITAKER MILL ROAD  SUITE 109,NC,8
48 PATTON AVE.,NC,3
9034 PICKERING GROVE LANE,NC,3
2320 W MOREHEAD ST 2ND FL,NC,4
6 DAVIE CIRCLE,NC,3
45 TREMONT STREET,NC,3
320 BURNETTE ACRES,NC,4
10 GREENWOOD PLACE,NC,5
5200 PULLEY TOWN RD,NC,37
3304 SIX FORKS RD STE 100,NC,5
499 TIBBYS DRIVE,NC,3
701 WEST 8TH AVENUESUITE 1200,AK,12
1106 S. CLINTON AVE.,NC,7
3101 GLENWOOD AVENUE SUITE 200,NC,12
906 MAIN STREET,NC,11
5103 LANCOME COURT,NC,3
320 EXECUTIVE COURT,NC,58
8480 HONEYCUTT RD. SUITE 200,NC,3
7599 RIBIER DR.,NC,11
2217 MATTHEWS TOWNSHIP PARKWAY D #112,NC,5
721 DEPOT DR.,AK,376
920 DURHAM ST.,NC,32
172 WILLIAMSON ROAD #4147,NC,6
112 GLENBROOK DRIVE,NC,3
186 LANE CIRCLE,AK,7
22747 MCMANUS DRIVE,AK,3
16610 MANORWOOD POINTE CIRCLE,AK,5
2131 AYRSLEY TOWN BLVD.  SUITE 300,NC,22
901 BATTLEGROUND AVENUE  SUITE B,NC,3
261 MARCUS AVENUE,AK,4
2314 S MIAMI BLVD STE 151,NC,7
733 WEST 4TH AVENUESUITE 308,AK,5
6631 WEIMER DRIVEUNIT H,AK,3
"7926 OLD SEWARD HWY, #B4",AK,9
841 I STREET,AK,4
2823 SADDLE DRIVE,NC,3
405 W 36TH AVE STE 200,AK,171
3628 TRYON ROAD  SUITE A,NC,17
10590 INDEPENDENCE POINTE PARKWAY SUITE 300,NC,4
4540 PRESLYN DRIVE,NC,6
1700 BAY DRIVE,NC,4
3700 GLENWOOD AVE STE 240,NC,269
5605 CARNEGIE BLVD STE 110,NC,10
3769 WILMINGTON HWY,NC,8
6610 FALCONBRIDGE RD,NC,3
4530 PARK ROAD SUITE 410,NC,56
3805 S SMITHFIELD ROAD,NC,10
7610 SIX FORKS RD STE 200,NC,14
433 SPRING GARDEN STREET SUITE 107,NC,4
7427 MATTHEWS MINT HILL RD STE 105-215,NC,5
7427 MATTHEWS MINT HILL RD SUITE 105-215,NC,9
5120 PULLEY TOWN RD,NC,11
605 LEXINGTON AVE SUITE 100,NC,12
738 CASH STREET,NC,3
575 MILITARY CUTOFF ROAD  SUITE 106,NC,15
1112 W MARKET ST,NC,4
11149 MCCLURE MANOR DRIVE,NC,4
1007 HAY STREET,NC,4
352 EAST CHARLES STREET,NC,47
2883 CARATOKE HWY,NC,48
2400 SOUTH BLVD  SUITE 300,NC,19
6835 RAEFORD RD,NC,3
9360 GLACIER HIGHWAYSUITE 202,AK,1663
450 N PATTERSON AVE  STE 600,NC,5
1817 CHESTNUT DRIVE,NC,6
4254 APPLETON WAY,NC,4
3817 HOPE MARIAN ST,NC,3
15 PARK PLACE WEST,NC,10
1704 LORD ASHLEY DRIVE,NC,5
2125 ROLLING ROCK ROAD,NC,9
103 GANNAWAY STREET,NC,9
2242 CRESCENT AVE,NC,3
4112 BLUE RIDGE ROAD  SUITE 100,NC,34
3900 BARRETT DRIVE  SUITE #200,NC,7
8311 BRIER CREEK PKWY SUITE 105-306,NC,4
201 EAST MAIN STREET,NC,20
2701 FAIRBANKS ST #A,AK,85
380 KNOLLWOOD STREET  SUITE 700,NC,81
107 S SALEM STREET,NC,4
301 COLLEGE STREET  SUITE 110,NC,8
3102 COMMERCE PLACE,NC,5
101 SOUTH MAIN STREET,NC,13
114 W MAIN ST STE 102,NC,9
12001 INDUSTRY WAY #B-9,AK,6
1026 WASHINGTON STREET,NC,52
926 BROOKSTOWN AVENUE,NC,12
18 PALMETTO DRIVE,NC,8
1000 N ELM STREET,NC,4
2628 GRANT AVENUE,NC,5
6105 OLEANDER DR STE 201,NC,10
912 QUEENS ROAD,NC,4
3802 CLEMMONS ROAD,NC,3
2412 RED BIRCH DRIVE,NC,3
1201 EDWARDS MILL RD  SUITE 300,NC,12
7320 SIX FORKS ROAD  SUITE 100,NC,15
700 BLUE JAY STREET  SUITE 1,NC,52
1107 BRIDGES STREET,NC,11
1205 LAKE BAY ROAD,NC,4
212 HILLCREST DRIVE,NC,7
235 N. EDGEWORTH STREET,NC,458
1201 EDWARDS MILL RD SUITE 300,NC,22
1206 COUNTRY CLUB DRIVE,NC,6
33 MINERAL SPRINGS RD,NC,4
601 S KINGS DR STE HH,NC,3
1931 NEW GARDEN ROAD SUITE 200,NC,4
3920 BENTLEY BRIDGE RD,NC,3
16928 LANCASTER HWY STE 109,NC,32
245 W MAIN AVE,NC,14
160 MINE LAKE COURT  STE. 200,NC,5
8801 FAST PARK DR STE 301,NC,458
3518 WARWICK DRIVE,NC,4
3433 SIENNA HILL PL,NC,3
1016 S. CHURCH ST.,NC,3
4516 BIRMINGHAM WAY,NC,4
100 NORTH GREENE STREET  SUITE 600,NC,88
104 AVENT FERRY ROAD,NC,3
3030 LATROBE DRIVE,NC,94
225 S MAIN STREET,NC,5
335 DOGWOOD LANE,NC,8
1205 DORLEATH COURT,NC,9
16928 LANCASTER HIGHWAY  SUITE 109,NC,95
2021 FAIRVIEW ROAD,NC,170
701 CORPORATE CENTER DRIVE  STE 250,NC,349
2310 S. MIAMI BOULEVARD  SUITE 238,NC,5
1120 ULLSWATER LANE,NC,5
2310 S MIAMI BOULEVARD SUITE 238,NC,9
2310 S MIAMI BLVD STE 238,NC,10
2310 S MIAMI BOULEVARD  SUITE 238,NC,14
1019 HAY STREET,NC,12
2021 FAIRVIEW RD,NC,25
5600 MATRIX FARM DR,NC,10
821 N STSTE 102,AK,32
10013 RAINTREE BEND,NC,6
30 BITMORE RD,NC,9
114 HIGHER LEARNING DR,NC,17
5000 FALLS OF NEUSE ROAD  SUITE 400,NC,8
4425 MONUMENT TRACE STE 107,NC,48
308 ARBORHILL LANE,NC,36
701 GREEN VALLEY RD SUITE 101,NC,3
6800 GLENWOOD AVE. SUITE 101,NC,3
4100 FIVE OAKS #22,NC,3
5430 WADE PARK BLVD. SUITE 300,NC,3
4600 MARRIOTT DR  STE 400,NC,14
354 KENWAY LOOP,NC,3
208 HEDGEWOOD CT,NC,4
316 FIELD STREET,NC,15
9140 ARROWPOINT BLVD  SUITE 215,NC,5
1951 CLARK AVE,NC,99
3115 CORNWALL ROAD,NC,3
2109 IVEY RD.,NC,4
1127 WEST 7TH AVENUE,AK,25
1033 WADE AVE STE 102,NC,7
1020 MENDOCINO ST,NC,16
101 MARSEILLE PLACE,NC,9
405 E. MARKET STREET,NC,7
205 E. BENSON BLVDSUITE 121 E1,AK,6
2548A PLANTATION CENTER DRIVE,NC,7
312 LAKESHORE DR,NC,3
92 CORNERSTONE DR #130,NC,3
2224 SUMMIT STREET,NC,8
1430 INNOVATION AVE.,NC,5
3800 LIBERTY RD,NC,3
5241 KIRBY MEWS COURT,NC,3
8008 CORPORATE CENTER DR STE 206,NC,3
2906 ST. REGIS RD.,NC,3
18816 BALMORE PINES LANE,NC,3
400 BELLEMEADE STREET  SUITE 800,NC,72
2525 S CUSHMAN ST,AK,4
4725 PIEDMONT ROW DRIVE SUITE 140,NC,12
6036 CURRITUCK ROAD,NC,3
1023-B W MARKET ST,NC,3
11501 BARR RD.,AK,5
4064 COLONY ROAD  SUITE 310,NC,13
7706 SIX FORKS RD,NC,11
103 BROADWAY STREET,NC,3
6135 PARK SOUTH DRIVE SUITE 510,NC,119
6201 FAIRVIEW ROAD  SUITE 330,NC,15
648 PENDLETON LAKE RD,NC,3
201 HAY STREET  SUITE 2000,NC,11
6101 PRESTON LANE,NC,4
6650 HOLTS STORE ROAD,NC,3
843 W MARKET ST,NC,7
103 MOORE STREET,NC,4
225 S. POPLAR STREET #1403,NC,4
10630 LONE TREE DR,AK,5
4600 PARK ROAD  SUITE 275,NC,21
937 BROMLEY RD.,NC,8
74 WEMBLEY RD,NC,4
111 CLOISTER COURT  SUITE 200,NC,7
10306 INDUSTRIAL DRIVE,NC,5
208 LEGENDS WAY,NC,7
8022 PROVIDENCE RD  STE 500-152,NC,3
201 ANANIAS DARE STREET,NC,35
77 CENTRAL AVE STE H,NC,6
525 NORTH TRYON STREET  SUITE 700,NC,79
1900 CAMERON STREET,NC,37
721 MT. CARMEL CHURCH RD.,NC,4
"205 E. BENSON BLVD., SUITE 121 E1",AK,55
10935 WINDS CROSSING DRIVE SUITE 500,NC,48
3111 MONROE ROAD,NC,3
114 OCEAN BLVD WEST,NC,8
1698 E. ARLINGTON BLVD.,NC,32
50225 GOVERNORS DRIVE,NC,4
230 N. ELM STREET  SUITE 1500,NC,279
1912 EASTCHESTER DRIVE  SUITE 400,NC,45
310 K STREETSUITE 200,AK,69
1690 MASSENGILL POND RD,NC,3
1126 QUEENS ROAD WEST,NC,4
135 W DIMOND BLVDSTE 201,AK,4
525 N TRYON STREET  SUITE 1400,NC,4
711 PRINCESS ST 2ND FL,NC,4
113 WHITE ASH DR,NC,4
7610-200 SIX FORKS RD,NC,7
3412 OLD ONSLOW ROAD,NC,13
3605 GLENWOOD AVE STE 480,NC,8
242 SARINAC DRIVE,NC,3
203 PEACHTREE STREET,NC,76
9520 LUMLEY ROAD,NC,5
301 GLENWOOD AVENUE SUITE 280,NC,8
6101 CARNEGIE BOULEVARD  SUITE 400,NC,6
8620 CROWN CRESCENT COURT,NC,6
33 DILLSBORO ROAD,NC,33
108 S PITT ST,NC,12
3900 BARRETT DRIVE  SUITE 101,NC,19
4730 BUSINESS PARK BOULEVARD#H-44,AK,8
75 N MARKET STREET,NC,6
307 W TREMONT AVE SUITE 200,NC,13
2915 CHARLOTTE HIGHWAY,NC,6
229 IDITAROD,AK,5
1213 W. MOREHEAD STREET  5TH FLOOR,NC,3
1400 W BENSON BLVD #370,AK,282
1501 WESTINGHOUSE BLVD,NC,5
3414 WRIGHTSVILLE AVENUE,NC,25
4614 WILGROVE MINT HILL RD. B1,NC,7
15 LAURA LN STE 300,NC,16
813 D STREETSUITE 200,AK,105
105 ADAK AVE,AK,7
1001 COLLEGE CT,NC,44
105 BURKE AVENUE SUITE E,NC,3
1452 STEVENS MILL ROAD,NC,3
26 MACALLAN LN,NC,7
5816 LAUREL ROCK LN,NC,5
160 MARY JANE LANE,NC,3
335 FIELDS DRIVE,NC,7
910 EAST BOULEVARD SUITE 200,NC,5
6512 NEWHALL ROAD,NC,8
173 MICHIGAN AVE,NC,8
5752 US HWY 117 SOUTH,NC,42
5704 OLEANDER DRIVE  SUITE 110,NC,4
9311 CASTLE GARDEN LANE,NC,5
988 TRINITY ROAD,NC,4
1314 S. CROATAN HWY.  SUITE 301,NC,16
1025 DRESSER COURT,NC,81
708 ISLE OF PINES RD.,NC,3
2832 ALISON RD,NC,7
1314 S CROATAN HWY SUITE 301,NC,40
19510 JETTON ROAD  SUITE 300,NC,7
5306 SIX FORKS RD STE 101,NC,3
1314 S. CROATAN HWY SUITE 301,NC,8
6307 SARDIS RD,NC,3
204-C W. WOODLAWN RD.,NC,3
13945 LUCIA RIVERBEND HWY,NC,4
1127 FLORAL PARKWAY SUITE 400,NC,3
99 MCDOWELL STREET,NC,4
200 QUEENS ROAD  SUITE 300,NC,23
7801 KIANA CIRCLE,AK,3
4601 SIX FORKS ROAD  SUITE 400,NC,42
4417 TURNBERRY CIRCLE,NC,14
106 S. CHURTON STREET  SUITE 200,NC,4
106 EAST MAIN STREET,NC,4
3086 NC HWY 55 W,NC,3
121 KITTY HAWK DR,NC,7
300 W SUMMIT AVE  SUITE 200,NC,9
9820 NORTHCROSS CENTER CT,NC,10
4201 CONGRESS STREET  SUITE 170,NC,4
106 E MAIN ST,NC,4
9360 GLACIER HWYSTE. 202,AK,6
200 N MAIN ST #302,NC,3
600 BRIDLEPATH TRAIL,NC,3
2224 SUMMIT ST,NC,7
5228 US 421 N,NC,5
9360 GLACIER HIGHWAY,AK,81
7132 WEDDINGTON RD.,NC,3
4614 B1 WILGROVE MINT HILL RD,NC,5
327 HILLSBOROUGH ST,NC,128
1100 E. MOREHEAD ST,NC,3
1100 E. MOREHEAD STREET,NC,40
201 W ASH ST #2,NC,10
3110 EDWARDS MILL RD. STE. 100,NC,10
16942 ELEONORA ST,AK,8
100 NORTH GREEN STREET,NC,13
217 NORTH GRAHAM STREET,NC,6
607 BROAD STREET,NC,24
3009 PENNRIDGE PL,NC,3
1608 US HWY 221 NORTH,NC,21
1127 W 7TH AVE,AK,292
211 CASHIERS SCHOOL ROAD,NC,250
16745 BIRKDALE COMMONS PKWY #C,NC,9
4324 BARRINGER DRIVE SUITE 101,NC,3
3350 MIDTOWN PL,AK,9
1400 W BENSON BLVD STE 370,AK,621
725 IREDELL STREET,NC,3
1951 CLARK AVENUE,NC,552
807 N TRADE STREET,NC,29
205 COLONIAL DR,NC,4
341 KILMAYNE DRIVE  SUITE 201,NC,45
3821 SEVERN AVE,NC,7
301 EAST MAIN STREET,NC,33
4614 B1 WILGROVE MINT HILL ROAD,NC,4
1076 W FOURTH ST,NC,7
1586 HAVEN HEIGHTS DRIVE,NC,3
531 BIG INDIAN LOOP,NC,5
4638 S. BLUE MARLIN WAY,NC,6
108 PARK AVENUE,NC,5
2883 CARATOKE HIGHWAY,NC,32
150 THE LANE,NC,4
2620 BRAGG BLVD STE D,NC,34
1190 OLD BELTWAY,NC,3
188 W NORTHERN LIGHTS BLVD.SUITE 1100,AK,76
412 JEWELL DR,NC,3
105 WESTON ESTATES WAY,NC,33
1901 S EAGLE EYE CIR,AK,5
1420 E 7TH ST STE 150,NC,7
110 W. GRAY EAGLE STREET  SUITE 101,NC,41
315 NORTH ACADEMY ST STE 210,NC,25
733 SUMMER MUSIC LANE,NC,5
133 DOBBS DRIVE,NC,3
160 MINE LAKE COURT STE 200,NC,521
7651 TROWBRIDGE COURT,NC,3
214 STAUNTON DRIVE,NC,5
839 MELINDA ROAD,NC,3
705 W. MAIN STREET,NC,14
149 KITTERY COURT,NC,3
8004 WICKLOW HALL DRIVE,NC,4
46 COLEMAN AVE,NC,3
132 BREVARD COURT,NC,14
2626 GLENWOOD AVE. - SUITE 560,NC,10
1300 BAXTER ST STE 300,NC,9
2626 GLENWOOD AVE STE 560,NC,38
760 NEWSTEAD WAY,NC,3
1211 E MOREHEAD STREET,NC,3
1091 HENDERSONVILLE RD,NC,4
135 UNION CHAPEL DRIVE,NC,4
506 S NORWOOD STREET,NC,3
14918 RESOLVES LANE,NC,4
3616 BURNAGE HALL RD,NC,4
401 W INTERNATIONAL AIRPORT RD #31,AK,5
3700 GLENWOOD AVE  STE. 250,NC,3
1420 E. 7TH STREET  SUITE 100,NC,109
1057 E. MOREHEAD STREET  SUITE 100,NC,4
13420 REESE BLVD. W,NC,7
5515 SHEPHERD RD,NC,5
5171 GLENWOOD AVENUE  SUITE 103,NC,17
104 DEERWALK CT,NC,3
10 JILDEN DR.,NC,3
631 DICKINSON AVE,NC,136
8514 MCALPINE PARK DR STE 210,NC,276
2617 BROOKSTONE RIDGE LOOP,NC,4
425 BETHESDA DR,NC,3
421 CHAPANOKE RD STE 158,NC,142
110 ASSOCIATES LANE,NC,3
6301 SOUTH BLVD,NC,6
6618 WALTON HALL CT,NC,3
33 ELLER HOLLOW RD.,NC,5
106 BADIN LAKE CT,NC,3
1500 BOGARD ROAD,AK,12
11529 WILMAR BOULEVARD,NC,6
2601 DRAPER DR,AK,21
2355 RICHARDSON HWY,AK,6
160 PATTON MOUNTAIN ROAD,NC,8
62 BEE RIDGE ROAD,NC,7
149 S. LEXINGTON AVE,NC,44
8615 OLD SEWARD HWY,AK,5
1087 HENDERSONVILLE RD,NC,3
2400 NANCY CIR,AK,31
910 EAST BOULEVARD  SUITE 200,NC,29
411 WAUGHTOWN STREET,NC,4
212 SOUTH TRYON STREET STE 1000,NC,675
615 PRINCESS ST.,NC,7
1201 EDWARDS MILL RD  STE 300,NC,6
300 GEDDIE AVENUE,NC,4
11409 COACHMANS WAY,NC,4
1401 NORWALK ST.,NC,7
525 ELK MOUNTAIN SCENIC HWY,NC,4
400 WEST MAIN STREET SUITE 100,NC,3
139 SAPPHIRE DR,NC,3
106 FLORA MCDONALD LANE,NC,5
5340 ROCK SERVICE STATION ROAD,NC,3
117 CROSSLAKE PARK DR.,NC,14
903 HAY STREET,NC,16
719 CASWELL ROAD,NC,3
1698 E ARLINGTON BLVD,NC,41
1198 MABRY ROAD,NC,7
1214 TURRENTINE STREET,NC,14
211 MOUNTAIN MAPLE DRIVE,NC,5
322 MASSEY DEAL RD,NC,5
2843 SHADY BROOK LANE,NC,4
615 CHEROKEE ROAD,NC,5
112A ARGUS LN STE 409,NC,7
1420 E. 7TH STREET  STE 150,NC,3
2006 HAWKINS STREET,NC,4
300 SOUTH TRYON STREET SUITE 200,NC,3
1007 HARVEY STREET,NC,3
7780 BRIER CREEK PARKWAY  SUITE 400,NC,10
2412 RED BIRCH DR,NC,3
106 DISTANT VIEW DR,NC,3
7305 DENLY COURT,NC,3
7319 MATTHEWS MINT HILL RD,NC,3
8325 HIGHWAY 52 SOUTH,NC,3
1813 BLACKSTONE DR.,NC,3
310 K STREET 200,AK,16
126 NORTH MCDOWELL STREET,NC,4
301 E WOODLAWN RD STE 1,NC,39
8616 ROYTON CIRCLE,NC,4
9200 PROSPECT DR,AK,4
1450 ENVIRON WAY,NC,49
1300 SOUTH CHURCH STREET,NC,7
4104 ATLANTIC AVE. SUITE 140,NC,16
4104 ATLANTIC AVENUE  SUITE 140,NC,8
3922 GISBOURNE DRIVE,NC,4
4104 ATLANTIC AVE STE 140,NC,5
179 NC 97 EAST,NC,16
310 CRAVEN STREET,NC,96
1100 SOUTH STRATFORD ROAD  BUILDING C  SUITE 110,NC,3
3605 GLENWOOD AVENUE  SUITE 500,NC,46
297 ROLLING HILL ROAD,NC,7
111 COMMONWEALTH COURT SUITE 101,NC,37
120 E COUNCIL ST STE 200,NC,3
214 EAST CHATHAM STREET,NC,16
1319 COMMERCE DRIVE,NC,43
2232 CRANFORD ROAD,NC,4
8584 NC HWY 150,NC,5
117 CROSSLAKE PARK DR,NC,16
1005 GLYNWATER LANE,NC,3
1026 WASHINGTON ST.,NC,8
264 W MILLBROOK ROAD,NC,3
2201 EAST 7TH STREET,NC,9
507 WEST PEACE STREET  SUITE 101,NC,27
7920 HONEYSUCKLE DR,AK,514
1111 OBERLIN ROAD,NC,6
11301 BLAIR RD,NC,9
1105 CLASSIC ROAD,NC,6
3926 MARCOM STREET,NC,12
5305 LAMBERT COURT,NC,3
205 E. BENSON BLVD.SUITE 121 E1,AK,20
1027 SAN MICHELE PL,NC,3
421 HAZEL MILL ROAD,NC,3
1113 W MAIN STREET,NC,3
104 CANTERWOOD DR,NC,4
63 VERMONT AVE,NC,4
506 WEAVER MINE TRAIL,NC,3
24 SHANNA DRIVE,NC,13
121 W 4TH AVE,AK,9
7610-200 SIX FORKS ROAD,NC,4
11821 SIX FORKS RD,NC,3
1422 LEXINGTON AVE,NC,6
240 LEIGH FARM RD STE 100,NC,41
300 OLEANDER ROAD,NC,3
112 S. TRYON STREET SUITE 1130,NC,5
7028 DISCOVERY LANE,NC,3
310 E MAIN ST,NC,6
4124 TAPPERTY CIRCLE,NC,4
640 OLD CHINQUAPIN ROAD,NC,3
1121 MAIN STREET,NC,3
5208 CARTER STREET,NC,4
11222 WINGET POND RD,NC,4
500 C STATE STREET,NC,10
628 GREEN VALLEY ROAD SUITE 203,NC,7
3907-100 WRIGHTSVILLE AVE,NC,8
3714 BENSON DRIVE,NC,50
910 HARVARD PLACE,NC,6
209 DELBURG STREET SUITE 203,NC,61
1312 N FULTON ST,NC,6
1127-B HENDERSONVILLE ROAD,NC,3
110 OAKWOOD DR STE 500,NC,9
52 SUMMER RIDGE COURT,NC,3
1915 OLD BUNN ROAD,NC,12
721 MOUNT CARMEL CHURCH RD,NC,3
102 HIDDEN PASTURES DRIVE SUITE 213,NC,8
625 GRIFFITH  SUITE 130,NC,18
5115 OLD SEWARD HWY,AK,5
525 N. TRYON STREET SUITE 1400,NC,3
2401 CINNABAR LP,AK,4
1237 PONDEROSA TRAIL,NC,3
1130 HARDING PLACE,NC,14
21526 LAKE POINT LANE,NC,3
1040 CONESTOGA DR,NC,3
6513 WAKEFALLS DRIVE,NC,4
1314 N FULTON ST,NC,3
10935 WINDS CROSSING DR STE 500,NC,17
9604 KELLY COURT,AK,92
4237 E MERIDIAN LP,AK,4
2513 RAEFORD RD SUITE D,NC,4
100 LAKEVIEW DRIVE,AK,4
1509 COUNTRY CLUB ROAD,NC,7
3890 STATESVILLE BLVD,NC,3
408 GROVE ST,NC,4
104 TRAVIS LANE,NC,3
208 BODEN WAY,NC,3
109 EAST FRONT ST SUITE B,NC,5
3605 GLENWOOD AVENUE SUITE 500,NC,35
5605 CARNEGIE BLVD SUITE 110,NC,8
5346 MOMEYER WAY,NC,3
165 VISION DRIVE,NC,37
1203 CHERRY LANE,NC,3
102 RIVENDALE DR,NC,5
5517 OVERDALE LN,NC,3
3931 GLENWOOD DRIVE,NC,4
1501 SUNRISE AVENUE  SUITE 100,NC,34
115 EAST MAIN STREET,NC,9
115 MAIN STREET,NC,6
301 WEST MAIN STREET,NC,15
115 N HOWE STREET,NC,4
519 NEW BERN AVENUE,NC,3
4614 B 1 WILGROVE MINT HILL RD,NC,4
3733 PROSPERITY CHURCH RD,NC,3
813 N BRIDGE ST,NC,12
1150 WEST BLUE RIDGE ROAD,NC,3
413 CHURCH STREET,NC,6
211 CASHIERS SCHOOL RD,NC,47
7755 HILLIARD LANE,NC,9
111 NEEDLE LANE,NC,3
3010 LATROBE DRIVE,NC,3
3204 BRIDLE TRL,NC,9
407 W HIGH AVE,NC,8
10 SNOWDEN LN,NC,3
116 DUCHESS COURT,NC,5
