name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,public,naics_2017,ein,sic4,parent,website,duns
"COMMUNITECH OUTPOSTS USA, LLC",LLC,AK,3085 MOUNTAINWOOD CIRCLE,"JUNEAU, ALASKA",99801,DE,151 CHARLES ST WSUITE 100,KITCHENER,N2G1H,10148661,,,,,,,
"COMMUNITY PHILANTHROPIC VENTURES, LLC",LLC,AK,9360 GLACIER HIGHWAYSUITE 202,"JUNEAU,",99801,CO,"310 INTERLOCKEN PKWY,SUITE 120",BROOMFIELD,80229,10123165,,,,,,,
"CHANDLER & FARQUHAR COMPANY, INC.",CORPORATION,RI,389 CHARLES ST.,"PROVIDENCE, RI",02940,,,,,000021951,,,,,,,
CT BUILDERS AND REMODELERS CO.,CORPORATION,RI,75 SOCIETY ROAD,"NIANTIC, CT",16357,,,,,000549678,,,,,,,
"DYNAMIS ENERGY, LLC",LLC,AK,125 N WILLOW ST STE B,"KENAI, AK",99611,ID,776 E RIVERSIDE DR STE 150,EAGLE,83616,10133950,,,,,,,
E & D CONTRACTING LLC,LLC,AK,5313 ARCTIC BLVD 102,"ANCHORAGE,",99518,AK,8131 MEDELLIN CIRCLE  UNIT AA,ANCHORAGE,99507,10117616,,,,,,,
EFFICIENT TAX LLC,LLC,AK,420 L ST STE 400,"ANCHORAGE, AK",99501,AK,1007 W 3RD AVE SUITE 203,ANCHORAGE,99501,123368,,,,,,,
DISCOVERY ALASKA LLC,LLC,AK,"SHIELD RESOURCES CORPORATION11986 WILDERNESS DRIVE, ANCHORAGE, AK  99516-223811986 WILDERNESS DRIVE",", ANCHORAGE2238",99516,AK,5684 NE MINDER RDSUITE 202,POULSBO,98370,10147430,,,,,,,
EMK INNOVATIVE HEALTH CARE CLINIC LLC,LLC,AK,"1280 E 17 AVENUE, APT. 311","ANCHORAGE, AK",99501,AK,204 MULDOON ROAD,ANCHORAGE,99504,10163939,,,,,,,
"ETERNAL TECH VENTURES, LLC",LLC,AK,1115 OLD KLATT RD,"ANCHORAGE, AK",99515,AK,"5819 218TH STREET SEWOODINVILLE, WA 98072",WOODINVILLE,98072,10164469,,,,,,,
EVERETT S. CLOWES & VIRGINIA C. CROWELL,CORPORATION,RI,2 BARRY AVENUE,"RIDGEFIELD, CT",06877,,,,,000488722,,,,,,,
"EVOLVE MORTGAGE SERVICES, LLC",LLC,AK,9360 GLACIER HIGHWAYSUITE 202,"JUNEAU,",99801,TX,132 N. LOUISIANA DRIVESUITE 350,CELINA,75009,10149145,,,,,,,
"FUTURA MARICULTURE, LLC",LLC,AK,1110 STELLER WAY,"KODIAK, AK",99615,AK,1110 STELLER WAY,KODIAK,99615,10096030,,,,,,,
FARRELL AIRCRAFT LLC,LLC,AK,40250 ARROWHEAD AVE.,"SOLDOTNA,",99669,AK,37472 DUTCH LANDING LOOP,STERLING,99672,100133,,,,,,,
GATEWAY TO DENALI LLC,LLC,AK,9952 W. DEMAR AVE,"WASILLA, AK",99623,AK,9952 W. DEMAR AVE,WASILLA,99623,10098610,,,,,,,
HAWKERHORSE LLC,LLC,AK,760 8TH AVENUE UNIT B,"FAIRBANKS, ALASKA",99701,AK,6826 NE SISKIYOU ST,PORTLAND,97213,10136568,,,,,,,
"HAZMAT CLEANING SERVICES, LLC",LLC,AK,758 PARK AVENUE,"KETCHIKAN, ALASKA",99901,AK,758 PARK AVENUE,KETCHIKAN,99901,10140740,,,,,,,
GRAVES PROPERTY MANAGEMENT LLC,LLC,AK,"821 N STREET, SUITE 102","ANCHORAGE,",99501,AK,"821 N STREET, SUITE 102",ANCHORAGE,99501,10170207,,,,,,,
"GRIFFARD STEEL, INCORPORATED",CORPORATION,AK,2650 PHILLIPS FIELD ROAD,"FAIRBANKS,",99709,AK,2650 PHILLIPS FIELD RD.,FAIRBANKS,99709,35263D,,,,,,,
"GROWTHWARD CONSULTING, LLC",LLC,AK,5098 W PINNACLE RIDGE CIR,"WASILLA,",99623,AK,5131 E MAYFLOWER LN,UNINCORPORATED,99654,10140993,,,,,,,
HAINES ENTERPRISES LLC,LLC,AK,19017 GLACIER HWY,"JUNEAU,AK",99801,AK,19017 GLACIER HWY,JUNEAU,99801,10137160,,,,,,,
JHW INC.,CORPORATION,AK,5200 KARLUK ST.PO BOX 1853,"BARROW, ALASKA",99723,HI,1188 BISHOP STSUITE 3411,HONOLULU,96813,10138078,,,,,,,
"JLC FLOORING, LLC",LLC,RI,117 MASKWONICUT STREET,"SHARON, MA",02067,MA,117 MASKWONICUT STREET,,,000794420,,,,,,,
"J & J HYDROSEEDING, LLC",LLC,AK,"70 CHILKAT AVE.,KLUKWAN","70 CHILKAT AVE.,KLUKWAN,",99827,AK,"70 CHILKAT AVE.,KLUKWAN",HAINES,99827,10031415,,,,,,,
"J. SCHAFFER, INC.",CORPORATION,RI,RFD 2 BOX 209,"NO, SCITUATE",02867,,,,,000000941,,,,,,,
JUNEAU ALASKA BOAT RENTALS LLC,LLC,AK,1752 GLACIER AVE,"JUNEAU, AK",99801,AK,1752 GLACIER AVE,JUNEAU,99801,10155002,,,,,,,
"KELLI TILE CO., INC.",CORPORATION,RI,#238 WILLIAMS ST.,"CI,BER;AMD",02864,,,,,000041968,,,,,,,
KENAI GRAVEL PRODUCTS LLC,LLC,AK,40250 ARROWHEAD AVE,"SOLDOTNA,",99669,AK,37211 SKYWAGON ST,SOLDOTNA,99669,102654,,,,,,,
"KIKI'S CLEANING SERVICE, LLC",LLC,AK,15639 NORTH TONGASS HIGHWAY,"KETCHIKAN, AK",99901,AK,"7180 REVILLA ROAD, SUTIE 300",KETCHIKAN,99901,10144351,,,,,,,
"L.G.H. ARCHIVAL PRODUCTS, LTD.",CORPORATION,RI,300 N. QUIDNESSETT ROAD,"NO, KINGSTOWN",00000,,,,,000077697,,,,,,,
MAGADANSKI LLC,LLC,AK,3235 SOUTH CIR,"ANCHORAGE, AK",99507,AK,3235 SOUTH CIR,ANCHORAGE,99507,10133712,,,,,,,
"MOSAIC LAND MANAGEMENT, LP",PARTNERSHIP,RI,"55 EAST MAIN ROAD, UNIT #2","LITTLE COMPTON, RI",02837,RI,"55 EAST MAIN ROAD, UNIT #2",LITTLE COMPTON,02837,000934130,,,,,,,
"MOSSA SARGIS ASSOCIATES, INC.",CORPORATION,RI,#37 MAIN STREET,"WESTERLY, RI",02891,,,,,000045497,,,,,,,
"MHC ENGINEERING, INC.",CORPORATION,RI,#50 SOUSA STREET,"BRISTOL,.",02809,,,,,000053571,,,,,,,
NAMI-JUNEAU,NONPROFIT,AK,9026 ROSEDALE ST,"JUNEAU,",99801,AK,9109 MENDENHALL MALL RDSUITE 5,JUNEAU,99801,70138D,,,,,,,
NEW FIRE BETHEL MINISTRY INC.,NONPROFIT,AK,1019 UIVIA SUB,"BETHEL, AK",99559,AK,1900B CHIEF EDDIE HOFFMAN HWY,BETHEL,99559,10062051,,,,,,,
NORTHERN GULF MARINE LLC,LLC,AK,13079 SEWARD HWY.,"SEWARD,",99664,AK,13079 SWD. HWY,SEWARD,99664,111841,,,,,,,
NORTHERN SKY CABINS LLC,LLC,AK,1768 JESSICA LOOP,"NORTH POLE,",99705,AK,262 W. 6TH AVENUE,NORTH POLE,99705,10138533,,,,,,,
"OUR FATHER'S WORLD RADIO",NONPROFIT,AK,314.5 GEORGE PARKS,"NENANA, AK, 99760",99760,AK,MILE 1 CLEAR WATER RD,DELTA JUNCTION,99737,10147604,,,,,,,
"RADGOV, INC.",CORPORATION,AK,9360 GLACIER HIGHWAYSTE. 202,"JUNEAU, ALASKA",99801,FL,6750 N. ANDREWS AVE.SUITE 200,FORT LAUDERDALE,33309,10136373,,,,,,,
RAFT AND RIDE L.L.C,LLC,AK,16646 RANSOM RIDGE,"ANCHORAGE, AK",99516,AK,16646. RANSOM RIDGE,ANCHORAGE,99516,10107709,,,,,,,
"RED DOOR FLEET, LLC",LLC,AK,3684 MAIN ST #1,"HOMER, AK",99603,AK,3684 MAIN ST #1,HOMER,99603,10169021,,,,,,,
RED FOX RENTALS LLC,LLC,AK,3351 ARCTIC BLVD.,"ANCHORAGE,",99503,AK,"C/O UCI, LLC3351 ARCTIC BLVD.",ANCHORAGE,99503,10170149,,,,,,,
SAIL TO SHORE LLC,LLC,AK,2350 E. 50TH AVE.,"ANCHORAGE, AK",99507,AK,2350 E. 50TH AVE.,ANCHORAGE,99507,10129286,,,,,,,
SALTRY COVE LODGE LLC,LLC,AK,19812 MITCHEL’S RD,"KODIAK , AK",99615,AK,19812 MITCHEL’S RD,KODIAK,99615,10117815,,,,,,,
ROYAL PEST PROFESSIONAL LLC,LLC,AK,1901 E 75TH AVE.UNIT 2,"ANCHORAGE, AK",99507,AK,1901 E 75TH AVE.UNIT 2,ANCHORAGE,99523,10159778,,,,,,,
SIERRA AVIATION LLC,LLC,AK,1436 GARDEN ST,"ANCHORAGE, AK",99508,AK,1436 GARDEN ST,ANCHORAGE,99508,10098249,,,,,,,
"SITKA HOME INSPECTIONS, LLC",LLC,AK,700 PARK ST,"SITKA, AK",99835,AK,700 PARK ST,SITKA AK,99835,10092743,,,,,,,
SMNC DEVELOPMENT LLC,LLC,AK,"420 L ST., STE. 400","ANCHORAGE, AK",99501,AK,840 K ST STE. 200,ANCHORAGE,99501,10156859,,,,,,,
"SOLVENT DIRECT, INC",CORPORATION,AK,1400 WEST BENSON BLVD  STE 370,"ANCHORAGE, ALASKA",99503,CA,2711 N. SEPULVEDA BLVD. STE 237,MANHATTAN BEACH,90266,10167584,,,,,,,
"STRANGER MOUNTAIN COFFEE COMPANY, LLC",LLC,AK,3816 N POINT CIR.,"ANCHORAGE,",99502,AK,3816 N POINT CIR.,ANCHORAGE,99502,10155786,,,,,,,
THE DENALI HARBOR HOUSE LLC,LLC,AK,VILLAGE VIEW LOT 5A BLK6,"DENALI, AK",99755,AK,VILLAGE VIEW LOT 5A BLK6,DENALI,99755,10077616,,,,,,,
THE LEXINGTON LLC,LLC,AK,415 W 5TH AVE,"ANCHORAGE, AK",99501,AK,415 W 5TH AVE,ANCHORAGE,99515,10161157,,,,,,,
THE PARAMEDIC FOUNDATION,NONPROFIT,AK,"125 N. WILLOW ST., STE B","KENAI, AK",99611,MN,2800 N 7TH ST,ST. CLOUD,56303,10097496,,,,,,,
THE SMITHFIELD LITTLE LEAGUE,NONPROFIT,RI,JOHN MOWRY ROAD,"S,OTJFOE;D",02917,,,,,000029007,,,,,,,
TOUR KETCHIKAN LLC,LLC,AK,531 DEERMOUNT,"KETCHIKAN, AK",99901,AK,531 DEERMOUNT,KETCHIKAN,99901,10106610,,,,,,,
"TWO SPARROWS, LLC",LLC,AK,"821 N ST, STE 102","ANCHORAGE, AK",99501,NC,35 GUDGER HILL ROAD,CULLOWHEE,28723,10165967,,,,,,,
VANQUEST L.L.C.,LLC,AK,8901 E RAVENDALE DR,"PALMER, AK",99645,AK,8901 E RAVENDALE DR,PALMER,99645,10150993,,,,,,,
VERTICAL HOLDINGS LLC,LLC,AK,1600 DEWEY COURT,"VALDEZ, AK",99686,AK,144 EAST EGAN DRIVESUITE 151,VALDEZ,99686,10132886,,,,,,,
"WATER DECK, INC.",CORPORATION,RI,42 SPRING ST.,"NEWPORT, R.I.",02840,,,,,000016397,,,,,,,
WOLFPAK GUIDE & OUTFITTER LLC,LLC,AK,"CANNERY COVESEC 4, T. 53 S., R. 71 E., C.R.M","PYBUS BAY, ADMIRALTY ISLAND",99801,AK,"CANNERY COVESEC 4, T. 53 S., R. 71 E., C.R.M",PYBUS BAY,99801,10034784,,,,,,,
"ZBC&S,LLC",LLC,AK,4426 W. SASSY AVE,"WASILLA, AK",99623,AK,4426 W. SASSY AVE,WASILLA,99623,10125905,,,,,,,
