property_id,physical_address,year_built,book,page,sale_date,sale_price,county,state,source_url
8810401451,MAIN ST,1953,109,140,1900-01-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810402412,MAIN ST,1920,177,200,1997-05-20 00:00:00,45000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810402452,MAIN ST,1939,170,879,1994-09-07 00:00:00,15000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810403433,MAIN ST,1940,245,629,2018-10-09 00:00:00,30000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810308582,BRIDGE ST,1926,227,279,2012-04-04 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810404727,BRIDGE ST,1901,204,350,2005-04-25 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810404990,N ROAD ST,1979,229,655,2012-12-20 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810403879,MARTHA ST,1940,240,235,2016-07-28 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810402895,MARTHA ST,1963,228,152,2012-07-13 00:00:00,108500,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810402822,N VIRGINIA AVE,1985,234,749,2014-05-15 00:00:00,20000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810402732,BRIDGE ST,1920,123,472,1900-01-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810403713,BRIDGE ST,1901,243,795,2018-02-20 00:00:00,17000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810401646,BRIDGE ST,1965,,,1900-01-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810401724,N VIRGINIA AVE,1915,116,335,1900-01-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810401812,MARTHA ST,1915,209,726,2006-08-21 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810400833,MARTHA ST,1994,242,791,2017-09-27 00:00:00,38000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810400746,PENNSYLVANIA AVE,,180,44,1998-07-30 00:00:00,28500,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810400666,BRIDGE ST,1902,219,220,2009-05-13 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810309617,BRIDGE ST,1902,202,896,2004-12-29 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810308890,MARTHA ST,1940,245,186,2018-08-10 00:00:00,35000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810306773,MARTHA ST,1925,233,745,2014-02-05 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810305702,MARTHA ST,1950,167,246,1993-02-16 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810304567,BRIDGE ST,1924,202,715,2004-12-13 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810305526,BRIDGE ST,1926,206,619,2005-11-01 00:00:00,115000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810305691,BRIDGE ST,,139,313,1976-04-05 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810307601,BRIDGE ST,1926,227,279,2012-04-04 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810307672,BRIDGE ST,1930,149,839,1982-05-20 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810304730,N BROAD ST,1988,156,884,1987-05-05 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810303564,BRIDGE ST,1940,160,331,1989-08-31 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810303623,N BROAD ST,1940,201,708,2004-09-23 00:00:00,125000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810303710,N BROAD ST,1946,162,725,1990-10-01 00:00:00,38500,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810302646,N ELM ST,1954,228,434,2012-08-23 00:00:00,135000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810302583,BRIDGE ST,1920,217,889,2008-10-03 00:00:00,200000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810208489,N WATER ST,1930,231,858,2013-08-09 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810208852,N WATER ST,,230,785,2013-04-17 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810208926,N WATER ST,1895,193,132,2002-11-25 00:00:00,111000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810209952,N WATER ST,,235,640,2014-09-22 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810209875,N WATER ST,1990,230,785,2013-04-17 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810209880,N WATER ST,1920,224,689,2011-05-11 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810209793,N WATER ST,1940,204,105,2005-03-31 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810300613,N WATER ST,1920,190,227,2002-03-15 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810300525,N WATER ST,1940,185,442,2000-08-14 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810300520,N WATER ST,1930,234,704,2014-05-12 00:00:00,1500,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810300445,BRIDGE ST,1890,178,291,1997-10-09 00:00:00,93000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810301521,BRIDGE ST,1922,146,88,1980-04-16 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810301499,BRIDGE ST,1938,245,558,2018-10-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810301644,N ELM ST,,109,120,1900-01-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810301639,N ELM ST,,,,1900-01-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810301733,N ELM ST,1946,104,333,1900-01-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810302815,N ELM ST,1978,243,17,2017-10-20 00:00:00,54000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810302729,MARTHA ST,1953,224,482,2011-04-01 00:00:00,125000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810303709,N BROAD ST,1907,210,298,2006-10-11 00:00:00,121000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810302886,N BROAD ST,1952,182,65,1999-03-19 00:00:00,15000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810304846,N BROAD ST,1947,231,836,2013-08-06 00:00:00,50000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810305858,MARTHA ST,,230,453,2013-03-15 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810306839,MARTHA ST,,230,453,2013-03-15 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810307920,MARTHA ST,,230,453,2013-03-15 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810307931,MARTHA ST,,230,453,2013-03-15 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810308933,MARTHA ST,1908,165,681,1992-04-27 00:00:00,22000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810309912,MARTHA ST,1930,170,385,1994-07-05 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810400919,HOWARD ST,1955,241,400,2017-01-30 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810400913,MARTHA ST,1920,160,764,1989-10-26 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810400994,MARTHA ST,1950,187,222,2001-05-16 00:00:00,20000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810402909,MARTHA ST,1910,221,763,2010-04-15 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810412070,MARTHA ST,1950,185,774,2000-10-18 00:00:00,40500,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810413061,MARTHA ST,2002,200,893,2004-07-07 00:00:00,192000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810415014,N ROAD ST,1905,238,225,2015-10-13 00:00:00,145000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810415179,N ROAD ST,1912,216,17,2008-03-18 00:00:00,50000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810416310,N ROAD ST,1918,231,277,2013-06-07 00:00:00,35000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810416431,N ROAD ST,1920,231,46,2013-05-07 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810416479,N ROAD ST,1908,188,917,2001-10-29 00:00:00,18000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810416574,GREEN ST,2001,242,244,2017-06-08 00:00:00,25000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810415561,GREEN ST,1962,240,642,2016-10-12 00:00:00,60000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810414580,GREEN ST,1953,164,51,1991-07-02 00:00:00,20000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810413580,N LIGHT ST,1940,184,378,2000-02-15 00:00:00,25000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810414440,N LIGHT ST,1906,244,590,2018-05-30 00:00:00,95000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810414259,N LIGHT ST,1907,227,598,2012-05-22 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810414128,N LIGHT ST,1920,234,499,2014-04-17 00:00:00,50000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810412285,N LIGHT ST,1927,226,517,2011-12-29 00:00:00,73000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810412361,N LIGHT ST,1934,238,744,2015-12-29 00:00:00,25000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810412369,N LIGHT ST,1920,247,142,2019-05-03 00:00:00,83000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810412457,N LIGHT ST,1920,241,471,2017-02-20 00:00:00,28000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810412551,N LIGHT ST,1920,202,424,2004-11-10 00:00:00,79000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810411459,GREEN ST,1930,207,806,2006-02-21 00:00:00,90000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810411369,N VIRGINIA AVE,1938,244,783,2018-06-29 00:00:00,8000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810411268,N VIRGINIA AVE,1938,241,444,2017-02-10 00:00:00,35000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810411174,HOWARD ST,,129,418,1900-01-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810412145,HOWARD ST,1951,129,418,1900-01-01 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810410173,N VIRGINIA AVE,2001,210,601,2006-11-07 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810410224,N VIRGINIA AVE,1982,245,528,2018-09-26 00:00:00,77500,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810410312,N VIRGINIA AVE,1948,199,896,2004-04-23 00:00:00,89000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810410400,N VIRGINIA AVE,1942,209,913,2008-05-21 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810410407,N VIRGINIA AVE,1940,152,105,1983-12-14 00:00:00,0,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810319193,HOWARD ST,1930,244,409,2018-05-03 00:00:00,61000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
8810318110,HOWARD ST,1900,247,243,2019-05-10 00:00:00,82000,Tyrrell,NC,https://agdonline.maps.arcgis.com/apps/webappviewer/index.html?id=1c2493cb8eb1484eb1ecc571131f5ee6
