name,city,state,address,website
TROY CENTRAL SCHOOL,TROY,ME,733 BANGOR ROAD,"https://www.rsu3.org/o/troy"
E-CUBED ACADEMY,PROVIDENCE,RI,812 BRANCH AVENUE,"https://www.providenceschools.org/ecubed"
NEEDVILLE EL,NEEDVILLE,TX,3600 MARGARET ST,"https://www.needvilleisd.com/o/needville-elementary-school"
PARKLAWN ELEMENTARY,ALEXANDRIA,VA,4116 BRADDOCK RD,"https://parklawnes.fcps.edu/"
VINALHAVEN SCHOOL,VINALHAVEN,ME,22 ARCOLA LANE,"https://www.vinalhavenschool.org/"
STEVENSVILLE 7-8,STEVENSVILLE,MT,300 PARK STREET,"https://www.stevensvilleschools.org/curriculum-based-measures-grades-7-8/"
NORTH HILLS EL SCH,YORK,PA,1330 N HILLS RD,"http://nh.cysd.k12.pa.us/"
SCOTT TEAYS ELEMENTARY,SCOTT DEPOT,WV,6153 TEAYS VALLEY ROAD,"https://stes.putnamschools.com/"
WESTONKA SP ED ECFE,MOUND,MN,5241 SHORELINE DR,"https://www.westonka.k12.mn.us/earlylearning"
JEFFERSON CO ELEM SCHOOL,FAYETTE,MS,430 HWY 33,"https://www.jcpsd.net/"
PETERS COLONY EL,THE COLONY,TX,5101 NASH DR,"https://www.lisd.net/peterscolony"
MARLOWE ELEMENTARY SCHOOL,FALLING WATERS,WV,9580 WILLIAMSPORT PIKE,"https://www.berkeleycountyschools.org/marlowe"
NEW VISION HIGH SCHOOL,POST FALLS,ID,205 W MULLAN,"https://www.pfsd.com/1/Home"
LEATHERWOOD ELEMENTARY SCHOOL,LEATHERWOOD,KY,7777 HWY 699,"https://www.perry.kyschools.us/6/home"
WASHINGTON ELEMENTARY SCHOOL,SUMMIT,NJ,507 MORRIS AVE,"http://washington.twpunionschools.org/"
MCMULLEN ELEMENTARY SCHOOL,LOUDONVILLE,OH,224 E BUSTLE ST,"http://www.lpschools.k12.oh.us/mcmullen"
PENN TRAFFORD HS,HARRISON CITY,PA,3381 ROUTE 130,"https://pths.penntrafford.org/"
FISHER SECONDARY,FISHER,MN,313 PARK AVE,"https://www.fisher.k12.mn.us/"
FRED M. LYNN MIDDLE,WOODBRIDGE,VA,1650 PRINCE WILLIAM PARKWAY,"https://lynnms.pwcs.edu/"
KELLOGG MIDDLE SCHOOL,SHORELINE,WA,16045 25TH AVENUE N.E.,"https://www.shorelineschools.org/kellogg"
CARROLL ELEM SCHOOL,CHICAGO,IL,2929 W 83RD ST,"http://carroll-rosenwald.cps.edu/"
LOWES ELEMENTARY SCHOOL,HICKORY,KY,6775 STATE ROUTE 440,"https://www.graves.kyschools.us/Lowes/home"
AINSWORTH MIDDLE SCHOOL,AINSWORTH,NE,520 E 2ND ST,"https://www.ainsworthschools.org/"
LONE STAR H S WEST,BROWNWOOD,TX,600 FM 8254,"https://www.har.com/school/227622009/lone-star-h-s-west"
LINCOLN ELEM SCHOOL,BROOKFIELD,IL,4300 GROVE AVE,"http://lincoln27.org/"
ADAIR CO. ELEM.,BRASHEAR,MO,205 W DEWEY,"https://www.novinger.k12.mo.us/"
FOREST AVENUE SCHOOL,VERONA,NJ,118 FOREST AVE,"https://www.glenridge.org/forest"
BERWICK ALTERNATIVE K-8 SCHOOL,COLUMBUS,OH,2655 SCOTTWOOD RD,"https://www.ccsoh.us/berwickes"
LIBERTY CENTER MIDDLE SCHOOL,LIBERTY CENTER,OH,103 W YOUNG ST,"http://libertycls.ss9.sharpschool.com/schools/middle_school"
BUCKTAIL AREA MS,RENOVO,PA,1300 BUCKTAIL AVENUE,"https://bucktail.kcsd.k12.pa.us/en-US"
HUFFINES MIDDLE,LEWISVILLE,TX,1440 N VALLEY PKWY,"https://www.lisd.net/huffines"
SPILLER ELEMENTARY,WYTHEVILLE,VA,330 TAZEWELL ST,"https://spilles.wythe.k12.va.us/"
MARIO F. PAGAN IRIZARRY (STA ROSA),LAJAS,PR,CARR 117 KM 1.5 SANTA ROSA,"https://www.realtyhop.com/schools/k12/pr/lajas/mario-f-pagan-irizarry-sta-rosa-00667"
RIDGEVIEW GROUP HOME,YAKIMA,WA,1726 JEROME AVENUE,"https://www.dcyf.wa.gov/services/juvenile-rehabilitation/residential-facilities/ridgeview"
WINDSOR ELEMENTARY SCHOOL,ARLINGTON HEIGHTS,IL,1315 E MINER ST,"https://windsor.k12.il.us/"
LIBERTY PARK ELEMENTARY SCHOOL,INDIANAPOLIS,IN,8425 E RAYMOND,"https://libertypark.warren.k12.in.us/"
COKATO ELEMENTARY,COKATO,MN,200 5TH ST SW,"https://www.isd466.org/domain/37"
CLARKDALE MIDDLE SCHOOL,MERIDIAN,MS,7000 HIGHWAY 145,"https://cms.lauderdale.k12.ms.us/"
MENDHAM TOWNSHIP ELEMENTARY SCHOOL,BROOKSIDE,NJ,18 WEST MAIN STREET,"https://www.mendhamtwp.org/academics/elementary"
BIRMINGHAM ELEMENTARY SCHOOL,TOLEDO,OH,2222 BAKEWELL ST,"https://toledopsbie.ss11.sharpschool.com/"
ELK VALLEY ELEMENTARY,PIONEER,TN,6691 HWY 297,"http://www.campbell.k12.tn.us/elkvalley.htm"
TWAIN MIDDLE,ALEXANDRIA,VA,4700 FRANCONIA RD,"https://twainms.fcps.edu/"
HILLTOP ELEMENTARY SCHOOL,ELGIN,IL,1855 ROHRSON RD,"https://www.u-46.org/Hilltop"
PLEASANT HILL ELEM SCHOOL,PALATINE,IL,434 W ILLINOIS AVE,"https://www.ccsd15.net/PH"
ATKINS TECHNOLOGY ELEMENTARY SCHOOL,SHREVEPORT,LA,7611 ST.VINCENT AVENUE,"https://louisianaschools.com/schools/9003"
BROADMOOR ELEMENTARY SCHOOL,LAFAYETTE,LA,609 BROADMOOR BOULEVARD,"https://brd-tpsd-la.schoolloop.com/"
CHARLES E. SHEA HIGH SCHOOL,PAWTUCKET,RI,485 EAST AVENUE,"http://shea.pawtucket.schooldesk.net/"
LAURELGLEN ELEMENTARY,BAKERSFIELD,CA,2601 EL PORTAL DR.,"https://ca01902269.schoolwires.net/Laurelglen"
STAUFFER MIDDLE,DOWNEY,CA,11985 OLD RIVER SCH RD.,"https://web.dusd.net/stauffer/"
LOS MOLINOS ELEMENTARY,HACIENDA HEIGHTS,CA,3112 LAS MARIAS AVE.,"http://www.lmusd.net/"
WEDGEWORTH ELEMENTARY,HACIENDA HEIGHTS,CA,16949 WEDGEWORTH DR.,"https://wes-hlpusd-ca.schoolloop.com/"
STEPHENS ELEMENTARY,CHOWCHILLA,CA,355 N. 5TH ST.,"https://www.chowchillaelem.k12.ca.us/domain/190"
COOPER ELEMENTARY SCHOOL,LOGANVILLE,GA,555 OZORA RD,"https://www.gcpsk12.org/CooperES"
HERBERT HOOVER MIDDLE,MERCED,CA,800 E. 26TH ST.,"https://hoover.sjusd.org/"
RUBY DRIVE ELEMENTARY,PLACENTIA,CA,601 RUBY DR.,"https://rubydrive.org/"
TUSCANY HILLS ELEMENTARY,LAKE ELSINORE,CA,23 PONTE RUSSO,"https://the.leusd.k12.ca.us/"
ALBERT SCHWEITZER ELEMENTARY,CARMICHAEL,CA,4350 GLENRIDGE DR.,"https://www.sanjuan.edu/schweitzer"
BELVEDERE ELEMENTARY,HIGHLAND,CA,2501 E. MARSHALL BLVD.,"https://belvedere.sbcusd.com/"
WATERLOO ELEMENTARY,STOCKTON,CA,7007 N. PEZZI RD.,"https://waterloo.lindenusd.com/"
PEARL ZANKER ELEMENTARY,MILPITAS,CA,1585 FALLEN LEAF DR.,"https://zanker.musd.org/"
BARNWELL ELEMENTARY SCHOOL,ALPHARETTA,GA,9425 BARNWELL RD,"https://www.fultonschools.org/barnwelles"
LAVA ELEMENTARY SCHOOL,LAVA HOT SPRINGS,ID,249 W FIFE,"https://www.lavahotsprings.org/live-work/schools-lava-elementary-marsh-valley-isu.html"
BULLITT CENTRAL HIGH SCHOOL,SHEPHERDSVILLE,KY,1330 HWY 44 E,"https://www.bullittschools.org/1/Home"
HEYWARD GIBBES MIDDLE,COLUMBIA,SC,500 SUMMERLEA DRIVE,"https://www.richlandone.org/Domain/38"
SANTA FE ELEMENTARY,PORTERVILLE,CA,286 E. ORANGE AVE.,"https://santafe.portervilleschools.org/"
BOWEN HIGH SCHOOL,CHICAGO,IL,2710 E 89TH ST,"https://bowenhs.org/"
NEW HOPEWELL ELEMENTARY,KNOXVILLE,TN,757 KIMBERLIN HGTS RD,"https://www.knoxschools.org/Domain/40"
PARIS COOPERATIVE HIGH SCHOOL,PARIS,IL,309 S MAIN ST,"https://pchs.k12.il.us/"
CHICAGO HS FOR AGRICULT SCIENCES,CHICAGO,IL,3857 W 111TH ST,"https://www.chicagoagr.org/"
SPEED INDEPENDENCE HIGH SCHOOL,CHICAGO HEIGHTS,IL,1125 DIVISION ST,"https://www.speed802.org/schools-and-programs/ind/"
GULLETT EL,AUSTIN,TX,6310 TREADWELL BLVD,"https://www.austinisd.org/schools/gullett"
CANYON CREEK ELEMENTARY SCHOOL,AURORA,CO,6070 SOUTH VERSAILLES PARKWAY,"https://www.cherrycreekschools.org/canyoncreek"
FRAKES SCHOOL CENTER,FRAKES,KY,29 HENDERSON SETTLEMENT LOOP,"https://www.bell.kyschools.us/fsc"
HALL-DALE ELEMENTARY SCHOOL,HALLOWELL,ME,26 GARDEN LANE,"https://www.kidsrsu.org/o/hdes"
SOUTH TERREBONNE HIGH SCHOOL,BOURG,LA,3879 HWY. 24,"https://sth-tpsd-la.schoolloop.com/"
DEER TRAIL ELEMENTARY SCHOOL,DEER TRAIL,CO,350 2ND AVENUE,"https://www.dt26j.com/en-US"
LAVALETTE ELEMENTARY SCHOOL,LAVALETTE,WV,1150 BEECH FORK ROAD,"https://wayne-k12.wvnet.edu/lavalette/"
TETZLAFF (MARTIN B.) MIDDLE,CERRITOS,CA,12351 E. DEL AMO BLVD.,"https://www.tetzlaffms.us/"
MICHAEL J MCGIVNEY,SAGINAW,MI,925 NORTH RIVER RD,"https://holycrossservices.org/michael-j-mcgivney-school/"
LIVINGSTON ELEMENTARY SCHOOL,NEW BRUNSWICK,NJ,206 DELAVAN STREET,"http://livingston.twpunionschools.org/"
DENTON CO J J A E P,LITTLE ELM,TX,500 LOBO LN,"https://www.dentoncounty.gov/560/Juvenile-Justice-Alternative-Education-P"
MACOMB CORRECTIONAL FACILITY,LENOX,MI,34625 26 MILE RD,"https://www.michigan.gov/corrections/0,4551,7-119-68854_1381_1385-5355--,00.html"
JACQUES MARQUETTE ELEM SCHOOL,GARY,IN,6401 HEMLOCK AVE,"https://www.movoto.com/schools/gary-in/jacques-marquette-elementary-school-180387002096/"
MARY D LANG KDG CTR,KENNETT SQUARE,PA,409 CENTER ST,"https://mdl.kcsd.org/"
RALPH E. HAWES ELEMENTARY,HUNTINGTON BEACH,CA,9682 YELLOWSTONE DR.,"https://hes-huntington-ca.schoolloop.com/"
HULL MIDDLE SCHOOL,DULUTH,GA,1950 OLD PEACHTREE RD,"https://www.gcpsk12.org/HullMS"
HIGHLAND ELEMENTARY,RIVERSIDE,CA,700 HIGHLANDER DR.,"https://highland.cnusd.k12.ca.us/"
SPRUANCE GILBERT SCH,PHILADELPHIA,PA,6401 HORROCKS ST,"https://spruance.philasd.org/"
OAKS MIDDLE,ONTARIO,CA,1221 S. OAKS AVE.,"https://www.omsd.net/Oaks"
WEST-MEC - APOLLO HIGH SCHOOL,GLENDALE,AZ,8045 N. 47TH AVE.,"https://apollo.guhsdaz.org/blog/One.aspx?portalId=69779215"
SUN VALLEY EL,SAN ANTONIO,TX,6803 S W LOOP 410,"http://sve.swisd.net/"
PARCELAS MARIA,ANASCO,PR,CARR.402 KM.5 BO. MARIA,"https://vymaps.com/PR/Parcelas-Maria-340015376519194/"
MOSCONE (GEORGE R.) ELEMENTARY,SAN FRANCISCO,CA,2576 HARRISON ST.,"https://www.sfusd.edu/school/george-r-moscone-elementary-school"
SOUTHWESTERN CLASSICAL ACADEMY,FLINT,MI,1420 WEST 12TH ST,"https://swa.flintschools.org/"
SOUTHWEST CAREER AND TECHNICAL ACADEMY,LAS VEGAS,NV,7050 W. SHELBOURNE AVE.,"https://swcta.net/"
SCHOOL NO.17,PASSAIC,NJ,95-99 DAYTON AVE.,"https://passaicschools.org/school-no-17/"
ATKINSON ELEMENTARY SCHOOL,FREMONT,OH,1100 DELAWARE AVE,"https://www.fremontschools.net/Schools/Atkinson-Elementary/"
ARIZONA MIDDLE,RIVERSIDE,CA,11045 ARIZONA AVE.,"https://www.alvordschools.org/arizona"
EUGENIO BRAC,NAGUABO,PR,2 CALLE ANTONIO RIOS,"https://www.spellingcity.com/eugenio-brac-naguabo-pr.html"
BOYNTON ELEMENTARY SCHOOL,RINGGOLD,GA,3938 BOYNTON DR,"https://boy.catoosa.k12.ga.us/"
ACADEMY ADVENTURES PRIMARY SCHOOL,TUCSON,AZ,3902 NORTH FLOWING WELLS ROAD,"https://academyadventuresmidtown.com/"
LANKERSHIM ELEMENTARY,HIGHLAND,CA,7499 LANKERSHIM AVE.,"https://le-lausd-ca.schoolloop.com/"
OAK HARBOR MIDDLE SCHOOL,OAK HARBOR,OH,315 N CHURCH ST,"https://www.bcssd.com/oak-harbor-middle-school"
DAN MINI ELEMENTARY,VALLEJO,CA,1530 LORENZO DR.,"https://dmes-vcusd-ca.schoolloop.com/"
AVOYELLES HIGH SCHOOL,MOREAUVILLE,LA,287 MAIN STREET,"https://ahs.avoyellespsb.com/"
LANCASTER MIDDLE,LANCASTER,TX,822 W PLEASANT RUN RD,"https://www.lancasterisd.org/Domain/12"
HENDERSON COUNTY HIGH SCHOOL,HENDERSON,KY,2424 ZION RD,"https://hchs.henderson.kyschools.us/"
TAFT HIGH SCHOOL,CHICAGO,IL,6530 W BRYN MAWR AVE,"https://www.tafthighschool.org/"
BRODHEAD ELEMENTARY SCHOOL,BRODHEAD,KY,27 SCHOOL STREET,"http://rockcastle.kyschools.us/bes/"
DR. PAUL L. KELLEY VOLUNTEER ACADEMY,KNOXVILLE,TN,3001 KNOX CENTER DR,"https://www.knoxschools.org/kelley"
NORCO ELEMENTARY SCHOOL,NORCO,LA,102 FIFTH STREET,"https://www.stcharles.k12.la.us/norco"
DEER ISLE-STONINGTON HIGH SCH,DEER ISLE,ME,251 NORTH DEER ISLE RD,"http://www.dishs.org/"
WHIT DAVIS ROAD ELEMENTARY SCHOOL,ATHENS,GA,1450 WHIT DAVIS RD,"https://www.clarke.k12.ga.us/whitdavis"
ASDB/TUCSON DEAF SCHOOL,TUCSON,AZ,1200 W. SPEEDWAY,"https://asdb.az.gov/"
DD EISENHOWER HIGH SCH (CAMPUS),BLUE ISLAND,IL,12700 SACRAMENTO AVE,"https://eisenhower.chsd218.org/"
SISTER ROBERT JOSEPH BAILEY ELEMENTARY SCHOOL,LAS VEGAS,NV,4525 JIMMY DURANTE BLVD.,"http://schools.ccsd.net/sisterbailey"
SCHOOL 12,PATERSON,NJ,121 NORTH SECOND STREET,"https://ps12-pps-nj.schoolloop.com/"
LYMAN B. GOFF MIDDLE SCHOOL,PAWTUCKET,RI,974 NEWPORT AVENUE,"http://goff.pawtucket.schooldesk.net/"
ELLEN P. HUBBELL SCHOOL,BRISTOL,CT,90 WEST WASHINGTON ST.,"https://hubbell.bristol.k12.ct.us/"
LINCOLN MIDDLE SCHOOL,MT PROSPECT,IL,700 W LINCOLN ST,"http://ecusd7.org/lincoln/"
BRIDGEWATER ELEMENTARY SCHOOL,IDAHO FALLS,ID,1499 INDIAN HOLLOW DRIVE,"https://www.bridgewaterbulldogs.org/"
CVIT - SUPERIOR HIGH SCHOOL,SUPERIOR,AZ,100 MARY DRIVE,"https://www.cvit81.org/"
ORTEGA HIGH,LAKE ELSINORE,CA,520 CHANEY ST. BLDG. 100,"https://ohs.leusd.k12.ca.us/"
OPTIONS FOR YOUTH-BURBANK CHARTER,BURBANK,CA,1610 W. BURBANK BLVD.,"https://www.cde.ca.gov/schooldirectory/details?cdscode=19643371996099"
MONROE ELEMENTARY,MONROVIA,CA,402 W. COLORADO BLVD.,"https://www.monroe.k12.ca.us/"
WEST VIGO HIGH SCHOOL,WEST TERRE HAUTE,IN,4590 W SARAH MYERS DR,"https://web.vigoschools.org/wvhs/"
SOUTHWEST COMMUNITY CAMPUS SCHOOL,GRAND RAPIDS,MI,801 OAKLAND AVE SW,"https://www.grps.org/swcc"
SOUTHEAST MIDDLE,AUSTIN,TX,1111 W 6TH ST,"https://www.har.com/school/227901063/southeast-middle-school"
MILLER (ISAAC) ELEMENTARY,SANTA MARIA,CA,410 E. CAMINO COLEGIO,"https://mi-smbsd-ca.schoolloop.com/"
CASS MIDDLE SCHOOL,CARTERSVILLE,GA,195 FIRE TOWER RD NW,"https://www.bartow.k12.ga.us/o/cass-middle"
RUDOLPH ELEM LEARNING CENTER,CHICAGO,IL,110 N PAULINA ST,"https://www.rudolph.cps.edu/"
MERCER COUNTY SENIOR HIGH SCHOOL,HARRODSBURG,KY,1124 MOBERLY RD,"https://www.mercer.kyschools.us/"
