Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,AETNA_HMO-PPO,AETNA_WHOLE_HEALTH_ACO,BCBS_NEBRASKA_BLUE_PRINT,BCBS_NEBRASKA_NETWORK_BLUE,ELAP_LLC,MIDLANDS_CHOICE,NE_TOTAL_CARE_CENTENE,PHCS_MULTIPLAN,UHC,UHC_ACO,VNA_CYPRESS
2500045,ACETAMINOPHEN W/CODEINE 300,Outpatient,0250,,,00093-0150-01,0,5.00,4.50,4.50,4.80,N/A,N/A,4.75,4.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500055,ACETAMINOPHEN/DIPHENHYD,Inpatient,0250,,,00904-7651-51,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500055,ACETAMINOPHEN/DIPHENHYD,Outpatient,0250,,,00904-7651-51,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500075,ACETYLCYSTEINE 200MG VIAL,Inpatient,0250,,,63323-0690-30,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500075,ACETYLCYSTEINE 200MG VIAL,Outpatient,0250,,,63323-0690-30,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500080,ACETYLCYSTEINE 200MG VIAL,Inpatient,0636,J0132,Acetylcysteine injection,25021-0812-30,6,32.50,29.25,29.25,31.20,N/A,N/A,30.88,31.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500080,ACETYLCYSTEINE 200MG VIAL,Outpatient,0636,J0132,Acetylcysteine injection,25021-0812-30,6,32.50,29.25,29.25,31.20,N/A,N/A,30.88,31.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500120,ACYCLOVIR 200MG CAP,Inpatient,0250,,,60505-0042-06,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500120,ACYCLOVIR 200MG CAP,Outpatient,0250,,,60505-0042-06,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500140,ADVAIR 250-50 DISKUS,Inpatient,0250,,,00173-0696-00,0,13.14,11.83,11.83,12.61,N/A,N/A,12.48,12.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500140,ADVAIR 250-50 DISKUS,Outpatient,0250,,,00173-0696-00,0,13.14,11.83,11.83,12.61,N/A,N/A,12.48,12.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500145,ADVAIR 500-50 DISKUS,Inpatient,0250,,,00173-0697-00,0,17.28,15.55,15.55,16.59,N/A,N/A,16.42,16.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500145,ADVAIR 500-50 DISKUS,Outpatient,0250,,,00173-0697-00,0,17.28,15.55,15.55,16.59,N/A,N/A,16.42,16.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500165,ALBUTEROL SULF 2.5MG/3ML,Inpatient,0250,,,00487-9501-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500165,ALBUTEROL SULF 2.5MG/3ML,Outpatient,0250,,,00487-9501-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500195,ALBUTEROL SULFATE 8GM,Inpatient,0250,,,00173-0682-24,0,5.52,4.97,4.97,5.30,N/A,N/A,5.24,5.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500195,ALBUTEROL SULFATE 8GM,Outpatient,0250,,,00173-0682-24,0,5.52,4.97,4.97,5.30,N/A,N/A,5.24,5.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500200,ALENDRONATE SOD 70MG TAB,Inpatient,0250,,,65862-0329-04,0,5.52,4.97,4.97,5.30,N/A,N/A,5.24,5.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500200,ALENDRONATE SOD 70MG TAB,Outpatient,0250,,,65862-0329-04,0,5.52,4.97,4.97,5.30,N/A,N/A,5.24,5.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500240,ALLOPURINOL 100MG TAB,Inpatient,0250,,,62584-0988-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500240,ALLOPURINOL 100MG TAB,Outpatient,0250,,,62584-0988-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500255,ALPRAZOLAM 0.5MG TAB,Inpatient,0250,,,00904-5859-61,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500255,ALPRAZOLAM 0.5MG TAB,Outpatient,0250,,,00904-5859-61,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500265,AMANTADINE 100MG CAP,Inpatient,0250,,,00781-2048-01,0,6.48,5.83,5.83,6.22,N/A,N/A,6.16,6.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500265,AMANTADINE 100MG CAP,Outpatient,0250,,,00781-2048-01,0,6.48,5.83,5.83,6.22,N/A,N/A,6.16,6.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500290,AMIODARONE 200MG TAB,Inpatient,0250,,,68084-0371-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500290,AMIODARONE 200MG TAB,Outpatient,0250,,,68084-0371-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500305,AMITRIPTYLINE 25MG TAB,Inpatient,0250,,,60687-0433-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500305,AMITRIPTYLINE 25MG TAB,Outpatient,0250,,,60687-0433-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500310,AMLODIPINE BESYLATE 5MG TAB,Inpatient,0250,,,50268-0084-11,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500310,AMLODIPINE BESYLATE 5MG TAB,Outpatient,0250,,,50268-0084-11,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500380,AMOXICILLIN 125MG/5ML,Inpatient,0250,,,00093-4150-73,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500380,AMOXICILLIN 125MG/5ML,Outpatient,0250,,,00093-4150-73,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500385,AMOXICILLIN 250MG CAP,Inpatient,0250,,,00093-3107-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500385,AMOXICILLIN 250MG CAP,Outpatient,0250,,,00093-3107-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500390,AMOXICILLIN 250MG/5ML,Inpatient,0250,,,00781-6041-55,0,10.06,9.05,9.05,9.66,N/A,N/A,9.56,9.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500390,AMOXICILLIN 250MG/5ML,Outpatient,0250,,,00781-6041-55,0,10.06,9.05,9.05,9.66,N/A,N/A,9.56,9.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500410,AMOXICILLIN/POTASSIUM 875,Inpatient,0250,,,66685-1001-01,0,6.48,5.83,5.83,6.22,N/A,N/A,6.16,6.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500410,AMOXICILLIN/POTASSIUM 875,Outpatient,0250,,,66685-1001-01,0,6.48,5.83,5.83,6.22,N/A,N/A,6.16,6.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500415,AMOXICILLIN/POTASSIUM 500,Inpatient,0250,,,00093-2274-34,0,5.64,5.08,5.08,5.41,N/A,N/A,5.36,5.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500415,AMOXICILLIN/POTASSIUM 500,Outpatient,0250,,,00093-2274-34,0,5.64,5.08,5.08,5.41,N/A,N/A,5.36,5.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500420,AMOXICILLIN/POTASSIUM 250,Inpatient,0250,,,60432-0065-75,0,103.56,93.20,93.20,99.42,N/A,N/A,98.38,99.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500420,AMOXICILLIN/POTASSIUM 250,Outpatient,0250,,,60432-0065-75,0,103.56,93.20,93.20,99.42,N/A,N/A,98.38,99.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500425,AMOXICILLIN/POTASSIUM 400,Inpatient,0250,,,00143-9982-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500425,AMOXICILLIN/POTASSIUM 400,Outpatient,0250,,,00143-9982-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500430,AMOXICILLIN/POTASSIUM 600,Inpatient,0250,,,00781-6139-54,0,75.00,67.50,67.50,72.00,N/A,N/A,71.25,72.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500430,AMOXICILLIN/POTASSIUM 600,Outpatient,0250,,,00781-6139-54,0,75.00,67.50,67.50,72.00,N/A,N/A,71.25,72.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500445,APIXABAN 5MG TAB,Inpatient,0250,,,00003-0894-21,0,24.96,22.46,22.46,23.96,N/A,N/A,23.71,23.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500445,APIXABAN 5MG TAB,Outpatient,0250,,,00003-0894-21,0,24.96,22.46,22.46,23.96,N/A,N/A,23.71,23.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500475,ASCORBIC ACID 500MG TAB,Inpatient,0250,,,00536-3292-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500475,ASCORBIC ACID 500MG TAB,Outpatient,0250,,,00536-3292-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500490,ASPIRIN 325MG TAB,Inpatient,0250,,,00536105301A,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500490,ASPIRIN 325MG TAB,Outpatient,0250,,,00536105301A,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500495,ASPIRIN 81MG TAB CHEW,Inpatient,0250,,,00536-3297-36,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500495,ASPIRIN 81MG TAB CHEW,Outpatient,0250,,,00536-3297-36,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500525,ATENOLOL 50MG TAB,Inpatient,0250,,,51079-0684-20,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500525,ATENOLOL 50MG TAB,Outpatient,0250,,,51079-0684-20,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500530,ATENOLOL 25MG TAB,Inpatient,0250,,,51079-0759-20,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500530,ATENOLOL 25MG TAB,Outpatient,0250,,,51079-0759-20,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500555,ATORVASTATIN CALCIUM 10MG T,Inpatient,0250,,,68084-0097-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500555,ATORVASTATIN CALCIUM 10MG T,Outpatient,0250,,,68084-0097-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500575,ATROPINE SULFATE 2ML DROPS,Inpatient,0250,,,17478-0215-02,0,38.30,34.47,34.47,36.77,N/A,N/A,36.39,36.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500575,ATROPINE SULFATE 2ML DROPS,Outpatient,0250,,,17478-0215-02,0,38.30,34.47,34.47,36.77,N/A,N/A,36.39,36.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500590,AZITHROMYCIN 250MG TAB,Inpatient,0250,,,51224-0022-30,0,8.44,7.60,7.60,8.10,N/A,N/A,8.02,8.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500590,AZITHROMYCIN 250MG TAB,Outpatient,0250,,,51224-0022-30,0,8.44,7.60,7.60,8.10,N/A,N/A,8.02,8.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500600,AZITHROMYCIN 200MG/5ML,Inpatient,0250,,,00069-3120-19,0,50.25,45.23,45.23,48.24,N/A,N/A,47.74,48.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500600,AZITHROMYCIN 200MG/5ML,Outpatient,0250,,,00069-3120-19,0,50.25,45.23,45.23,48.24,N/A,N/A,47.74,48.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500615,BACITRACIN PKT,Inpatient,0250,,,45802-0060-70,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500615,BACITRACIN PKT,Outpatient,0250,,,45802-0060-70,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500635,BACLOFEN 10MG TAB,Inpatient,0250,,,00832-1054-11,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500635,BACLOFEN 10MG TAB,Outpatient,0250,,,00832-1054-11,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500640,BACTERIOSTATIC SOD CHL,Inpatient,0259,,,00409-1966-12,10,6.36,5.72,5.72,6.11,N/A,N/A,6.04,6.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500640,BACTERIOSTATIC SOD CHL,Outpatient,0259,,,00409-1966-12,10,6.36,5.72,5.72,6.11,N/A,N/A,6.04,6.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500670,BENAZEPRIL 10GM TAB,Inpatient,0250,,,43547-0336-10,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500670,BENAZEPRIL 10GM TAB,Outpatient,0250,,,43547-0336-10,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500710,BENZONATATE 100MG CAP,Inpatient,0250,,,57664-0133-88,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500710,BENZONATATE 100MG CAP,Outpatient,0250,,,57664-0133-88,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500715,BENZTROPINE 1MG TAB,Inpatient,0250,,,00603-2438-21,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500715,BENZTROPINE 1MG TAB,Outpatient,0250,,,00603-2438-21,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500745,BETHANECHOL 25MG TAB,Inpatient,0250,,,00832-0512-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500745,BETHANECHOL 25MG TAB,Outpatient,0250,,,00832-0512-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500750,BIFIDOBACTERIUM 4MG,Inpatient,0250,,,37000-0143-43,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500750,BIFIDOBACTERIUM 4MG,Outpatient,0250,,,37000-0143-43,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500755,BIMATOPROST DROPS,Inpatient,0259,,,,0,8682.80,7814.52,7814.52,8335.49,N/A,N/A,8248.66,8335.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500755,BIMATOPROST DROPS,Outpatient,0259,,,,0,8682.80,7814.52,7814.52,8335.49,N/A,N/A,8248.66,8335.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500770,BISACODYL 10MG SUPP,Inpatient,0250,,,00574-7050-12,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500770,BISACODYL 10MG SUPP,Outpatient,0250,,,00574-7050-12,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500775,BISACODYL 5MG TAB,Inpatient,0250,,,00904-6407-61,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500775,BISACODYL 5MG TAB,Outpatient,0250,,,00904-6407-61,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500805,BISOPROLOL FUM 5MG TAB,Inpatient,0250,,,29300-0126-13,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500805,BISOPROLOL FUM 5MG TAB,Outpatient,0250,,,29300-0126-13,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500850,BUDESONIDE 0.5MG AMPUL,Inpatient,0259,,,00487-9701-01,0,27.90,25.11,25.11,26.78,N/A,N/A,26.51,26.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500850,BUDESONIDE 0.5MG AMPUL,Outpatient,0259,,,00487-9701-01,0,27.90,25.11,25.11,26.78,N/A,N/A,26.51,26.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500855,BUDESONIDE 0.25MG AMPUL,Inpatient,0259,,,00093-6815-73,0,22.59,20.33,20.33,21.69,N/A,N/A,21.46,21.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500855,BUDESONIDE 0.25MG AMPUL,Outpatient,0259,,,00093-6815-73,0,22.59,20.33,20.33,21.69,N/A,N/A,21.46,21.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500860,BUDESONIDE 3MG CAP,Inpatient,0250,,,00378-7155-01,0,17.80,16.02,16.02,17.09,N/A,N/A,16.91,17.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500860,BUDESONIDE 3MG CAP,Outpatient,0250,,,00378-7155-01,0,17.80,16.02,16.02,17.09,N/A,N/A,16.91,17.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500875,BUMETANIDE 1MG TAB,Inpatient,0250,,,00093-4233-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500875,BUMETANIDE 1MG TAB,Outpatient,0250,,,00093-4233-01,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500885,BUPIVACAINE 0.25% EPI 30ML,Inpatient,0259,,,00409-1159-02,0,21.00,18.90,18.90,20.16,N/A,N/A,19.95,20.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500885,BUPIVACAINE 0.25% EPI 30ML,Outpatient,0259,,,00409-1159-02,0,21.00,18.90,18.90,20.16,N/A,N/A,19.95,20.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500890,BUPIVACAINE 0.50% 10ML,Inpatient,0259,,,63323-0466-17,0,33.68,30.31,30.31,32.33,N/A,N/A,32.00,32.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500890,BUPIVACAINE 0.50% 10ML,Outpatient,0259,,,63323-0466-17,0,33.68,30.31,30.31,32.33,N/A,N/A,32.00,32.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500975,BUPRENORPHINE PATCH,Inpatient,0250,,,42858-0493-40,0,241.62,217.46,217.46,231.96,N/A,N/A,229.54,231.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500975,BUPRENORPHINE PATCH,Outpatient,0250,,,42858-0493-40,0,241.62,217.46,217.46,231.96,N/A,N/A,229.54,231.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500980,BUPROPION 150MG TAB,Inpatient,0250,,,68001-0322-04,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500980,BUPROPION 150MG TAB,Outpatient,0250,,,68001-0322-04,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500985,BUPROPION 150MG TAB,Inpatient,0250,,,43547-0289-10,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500985,BUPROPION 150MG TAB,Outpatient,0250,,,43547-0289-10,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2501010,BUSPIRONE 10MG TAB,Inpatient,0250,,,51079-0986-01,0,8.00,7.20,7.20,7.68,N/A,N/A,7.60,7.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A
