ein,id,stdchg_file_url,file_name,name,addr,city,state,zip,phone,type,ownership,last_updated,permalink,transparency_page,additional_notes
94-1415069,050335,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHSSONORACA&type=CDMWithoutLabel,941415069_adventist-health---sonora_standardcharges.csv,ADVENTIST HEALTH SONORA,1000 GREENLEY ROAD,SONORA,CA,95370,(209) 536-5000,Acute Care Hospitals,Voluntary non-profit - Church,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
94-1279779,050013,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHSHSAINTHELENACA&type=CDMWithoutLabel,941279779_adventist-health---st.-helena_standardcharges.csv,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,(707) 963-3611,Acute Care Hospitals,Voluntary non-profit - Private,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
81-2240617,051301,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbTHTEHACHAPICA&type=CDMWithoutLabel,812240617_adventist-health---tehachapi-valley_standardcharges.csv,ADVENTIST HEALTH TEHACHAPI VALLEY,1100 MAGELLAN,TEHACHAPI,CA,93561,(661) 868-6800,Critical Access Hospitals,Government - Hospital District or Authority,2023-04-05 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
93-0622075,381317,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHTTILLAMOOKOR&type=CDMWithoutLabel,930622075_adventist-health-tillamook_standardcharges.csv,ADVENTIST HEALTH TILLAMOOK,1000 THIRD STREET,TILLAMOOK,OR,97141,(503) 842-4444,Critical Access Hospitals,Voluntary non-profit - Church,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
94-6002897,050784,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHTTULARECA&type=CDMWithoutLabel,946002897_adventist-health-tulare_standardcharges.csv,ADVENTIST HEALTH TULARE,869 NORTH CHERRY STREET,TULARE,CA,93274,(559) 688-0821,Acute Care Hospitals,Voluntary non-profit - Private,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
81-2240617,050301,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbUkiahValleyCA&type=CDMWithoutLabel,812240617_adventist-health-ukiah-valley_standardcharges.csv,ADVENTIST HEALTH UKIAH VALLEY,275 HOSPITAL DRIVE,UKIAH,CA,95482,(707) 462-3111,Acute Care Hospitals,Voluntary non-profit - Church,2023-04-05 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
94-1279779,054074,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHSHSAINTHELENACA&type=CDMWithoutLabel,941279779_adventist-health---st.-helena_standardcharges.csv,ADVENTIST HEALTH VALLEJO,525 OREGON ST,VALLEJO,CA,94590,(707) 648-2200,Psychiatric,Voluntary non-profit - Private,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
95-1816017,050239,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbGAMCGLENDALECA&type=CDMWithoutLabel,951816017_adventist-health---ahpn_standardcharges.csv,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,GLENDALE,CA,91206,(818) 409-8202,Acute Care Hospitals,Voluntary non-profit - Private,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
95-2627981,051325,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbMCDHFORTBRAGGCA&type=CDMWithoutLabel,952627981_mendocino-coast-district-hospital_standardcharges.csv,MENDOCINO COAST DISTRICT HOSPITAL,700 RIVER DRIVE,FORT BRAGG,CA,95437,(707) 961-1234,Critical Access Hospitals,Government - Hospital District or Authority,2023-04-26 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
95-6064971,050236,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHSVSIMIVALLEYCA&type=CDMWithoutLabel,956064971_adventist-health---simi-valley_standardcharges.csv,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES,2975 N SYCAMORE DR,SIMI VALLEY,CA,93065,(805) 955-6000,Acute Care Hospitals,Voluntary non-profit - Church,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
95-2282647,050103,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHWMLOSANGELESCA&type=CDMWithoutLabel,952282647_adventist-health---white-memorial_standardcharges.csv,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,(323) 268-5000,Acute Care Hospitals,Voluntary non-profit - Church,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
