Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,AETNA,AETNA_MCR_ADV,BCBS_2022,CIGNA,MERITAIN,RESERVE_NATIONAL,UHC,UHC_MCR_ADV,UMR
1148023,Urinalysis,Outpatient,0300,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,34.00,23.80,3.17,30.60,30.60,21.42,12.67,30.60,30.60,30.60,30.60,3.17,30.60
1148233,Iron Level,Inpatient,0300,83540,Iron,,0,46.00,32.20,6.47,41.40,41.40,N/A,N/A,41.40,41.40,41.40,41.40,N/A,41.40
1148233,Iron Level,Outpatient,0300,83540,Iron,,0,46.00,32.20,6.47,41.40,41.40,28.98,33.43,41.40,41.40,41.40,41.40,6.47,41.40
1148308,Thryoid Stimulating Hormone,Inpatient,0300,84443,Thyroid stimulating hormone (TSH),,0,90.00,63.00,16.80,81.00,81.00,N/A,N/A,81.00,81.00,81.00,81.00,N/A,81.00
1148308,Thryoid Stimulating Hormone,Outpatient,0300,84443,Thyroid stimulating hormone (TSH),,0,90.00,63.00,16.80,81.00,81.00,56.70,57.35,81.00,81.00,81.00,81.00,16.80,81.00
1170034,XR Calcaneus Right,Inpatient,0320,73650,"Radiologic examination; calcaneus, minimum of 2 views",,0,148.00,103.60,93.24,149.09,133.20,N/A,N/A,133.20,133.20,133.20,133.20,N/A,133.20
1170034,XR Calcaneus Right,Outpatient,0320,73650,"Radiologic examination; calcaneus, minimum of 2 views",,0,148.00,103.60,93.24,149.09,133.20,93.24,149.09,133.20,133.20,133.20,133.20,93.24,133.20
1276484,XR Chest 1 View,Inpatient,0320,71045,"Radiologic examination, chest; single view",,0,165.00,115.50,103.95,161.21,148.50,N/A,N/A,148.50,148.50,148.50,148.50,N/A,148.50
1276484,XR Chest 1 View,Outpatient,0320,71045,"Radiologic examination, chest; single view",,0,165.00,115.50,103.95,161.21,148.50,103.95,161.21,148.50,148.50,148.50,148.50,103.95,148.50
1373552,OT Unattended E-Stim Units,Inpatient,0431,G0283,Elec stim other than wound,,0,45.00,31.50,28.35,40.84,40.50,N/A,N/A,40.50,40.50,40.50,40.50,N/A,40.50
1373552,OT Unattended E-Stim Units,Outpatient,0431,G0283,Elec stim other than wound,,0,45.00,31.50,28.35,40.84,40.50,28.35,40.84,40.50,40.50,40.50,40.50,28.35,40.50
1373569,"OT Self Care, Home Management Units 97535",Inpatient,0431,97535,"Self-care/home management training (eg, activities of daily living (ADL) and compensatory training, meal preparation, safety procedures, and instructions in use of assistive technology devices/adaptive equipment) direct one-on-one contact, each 15 minutes",,0,85.00,59.50,44.57,76.50,76.50,N/A,N/A,76.50,76.50,76.50,76.50,N/A,76.50
1373569,"OT Self Care, Home Management Units 97535",Outpatient,0431,97535,"Self-care/home management training (eg, activities of daily living (ADL) and compensatory training, meal preparation, safety procedures, and instructions in use of assistive technology devices/adaptive equipment) direct one-on-one contact, each 15 minutes",,0,85.00,59.50,44.57,76.50,76.50,53.55,44.57,76.50,76.50,76.50,76.50,53.55,76.50
1374021,PT Ultrasound Units,Inpatient,0421,97035,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes",,0,82.00,57.40,38.21,73.80,73.80,N/A,N/A,73.80,73.80,73.80,73.80,N/A,73.80
1374021,PT Ultrasound Units,Outpatient,0421,97035,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes",,0,82.00,57.40,38.21,73.80,73.80,51.66,38.21,73.80,73.80,73.80,73.80,51.66,73.80
1383763,Hgb A1c,Inpatient,0300,83036,Hemoglobin; glycosylated (A1C),,0,64.00,44.80,9.71,57.60,57.60,N/A,N/A,57.60,57.60,57.60,57.60,N/A,57.60
1383763,Hgb A1c,Outpatient,0300,83036,Hemoglobin; glycosylated (A1C),,0,64.00,44.80,9.71,57.60,57.60,40.32,46.88,57.60,57.60,57.60,57.60,9.71,57.60
1383771,B-Type Natriuretic Peptide,Inpatient,0300,83880,Natriuretic peptide,,0,125.00,87.50,39.26,112.50,112.50,N/A,N/A,112.50,112.50,112.50,112.50,N/A,112.50
1383771,B-Type Natriuretic Peptide,Outpatient,0300,83880,Natriuretic peptide,,0,125.00,87.50,39.26,112.50,112.50,78.75,95.02,112.50,112.50,112.50,112.50,39.26,112.50
1503764,Acetaminophen Lvl,Inpatient,0300,80143,,,0,110.00,77.00,18.64,99.00,99.00,N/A,N/A,99.00,99.00,99.00,99.00,N/A,99.00
1503764,Acetaminophen Lvl,Outpatient,0300,80143,,,0,110.00,77.00,18.64,99.00,99.00,69.30,N/A,99.00,99.00,99.00,99.00,18.64,99.00
1503765,Ethanol Level,Inpatient,0300,82077,,,0,110.00,77.00,17.27,99.00,99.00,N/A,N/A,99.00,99.00,99.00,99.00,N/A,99.00
1503765,Ethanol Level,Outpatient,0300,82077,,,0,110.00,77.00,17.27,99.00,99.00,69.30,N/A,99.00,99.00,99.00,99.00,17.27,99.00
1503766,Lactic Acid,Inpatient,0300,83605,Lactate (lactic acid),,0,68.00,47.60,11.57,61.76,61.20,N/A,N/A,61.20,61.20,61.20,61.20,N/A,61.20
1503766,Lactic Acid,Outpatient,0300,83605,Lactate (lactic acid),,0,68.00,47.60,11.57,61.76,61.20,42.84,61.76,61.20,61.20,61.20,61.20,11.57,61.20
1620877,Albumin Level,Inpatient,0300,82040,"Albumin; serum, plasma or whole blood",,0,35.00,24.50,4.95,31.50,31.50,N/A,N/A,31.50,31.50,31.50,31.50,N/A,31.50
1620877,Albumin Level,Outpatient,0300,82040,"Albumin; serum, plasma or whole blood",,0,35.00,24.50,4.95,31.50,31.50,22.05,13.86,31.50,31.50,31.50,31.50,4.95,31.50
1620878,Alkaline Phosphatase,Inpatient,0300,84075,"Phosphatase, alkaline",,0,45.00,31.50,5.18,40.50,40.50,N/A,N/A,40.50,40.50,40.50,40.50,N/A,40.50
1620878,Alkaline Phosphatase,Outpatient,0300,84075,"Phosphatase, alkaline",,0,45.00,31.50,5.18,40.50,40.50,28.35,14.49,40.50,40.50,40.50,40.50,5.18,40.50
1628887,Calcium Level Total,Inpatient,0300,82310,Calcium; total,,0,35.00,24.50,5.16,31.50,31.50,N/A,N/A,31.50,31.50,31.50,31.50,N/A,31.50
1628887,Calcium Level Total,Outpatient,0300,82310,Calcium; total,,0,35.00,24.50,5.16,31.50,31.50,22.05,14.43,31.50,31.50,31.50,31.50,5.16,31.50
1628888,Carbon Dioxide Level,Inpatient,0300,82374,Carbon dioxide (bicarbonate),,0,25.00,17.50,4.88,22.50,22.50,N/A,N/A,22.50,22.50,22.50,22.50,N/A,22.50
1628888,Carbon Dioxide Level,Outpatient,0300,82374,Carbon dioxide (bicarbonate),,0,25.00,17.50,4.88,22.50,22.50,15.75,13.70,22.50,22.50,22.50,22.50,4.88,22.50
1628889,HDL,Inpatient,0300,83718,"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol)",,0,45.00,31.50,8.19,40.50,40.50,N/A,N/A,40.50,40.50,40.50,40.50,N/A,40.50
1628889,HDL,Outpatient,0300,83718,"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol)",,0,45.00,31.50,8.19,40.50,40.50,28.35,22.92,40.50,40.50,40.50,40.50,8.19,40.50
1628890,C-Reactive Protein,Inpatient,0300,86140,C-reactive protein,,0,59.00,41.30,5.18,53.10,53.10,N/A,N/A,53.10,53.10,53.10,53.10,N/A,53.10
1628890,C-Reactive Protein,Outpatient,0300,86140,C-reactive protein,,0,59.00,41.30,5.18,53.10,53.10,37.17,34.10,53.10,53.10,53.10,53.10,5.18,53.10
1628891,Digoxin Level,Inpatient,0300,80162,Digoxin; total,,0,110.00,77.00,13.28,99.00,99.00,N/A,N/A,99.00,99.00,99.00,99.00,N/A,99.00
1628891,Digoxin Level,Outpatient,0300,80162,Digoxin; total,,0,110.00,77.00,13.28,99.00,99.00,69.30,70.95,99.00,99.00,99.00,99.00,13.28,99.00
1628894,Folate Level,Inpatient,0300,82746,Folic acid; serum,,0,92.00,64.40,14.70,82.80,82.80,N/A,N/A,82.80,82.80,82.80,82.80,N/A,82.80
1628894,Folate Level,Outpatient,0300,82746,Folic acid; serum,,0,92.00,64.40,14.70,82.80,82.80,57.96,80.63,82.80,82.80,82.80,82.80,14.70,82.80
1634882,Prostate Specific Antigen Screen,Inpatient,0300,G0103,Psa screening,,0,85.00,59.50,19.31,91.29,76.50,N/A,N/A,76.50,76.50,76.50,76.50,N/A,76.50
1634882,Prostate Specific Antigen Screen,Outpatient,0300,G0103,Psa screening,,0,85.00,59.50,19.31,91.29,76.50,53.55,91.29,76.50,76.50,76.50,76.50,19.31,76.50
1634883,Renal Function Panel,Inpatient,0300,80069,"Renal function panel This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus inorganic (phosphate) (84100) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520)",,0,65.00,45.50,8.68,58.50,58.50,N/A,N/A,58.50,58.50,58.50,58.50,N/A,58.50
1634883,Renal Function Panel,Outpatient,0300,80069,"Renal function panel This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus inorganic (phosphate) (84100) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520)",,0,65.00,45.50,8.68,58.50,58.50,40.95,26.51,58.50,58.50,58.50,58.50,8.68,58.50
1634885,Sedimentation Rate,Inpatient,0300,85651,"Sedimentation rate, erythrocyte; non-automated",,0,26.00,18.20,4.27,23.40,23.40,N/A,N/A,23.40,23.40,23.40,23.40,N/A,23.40
1634885,Sedimentation Rate,Outpatient,0300,85651,"Sedimentation rate, erythrocyte; non-automated",,0,26.00,18.20,4.27,23.40,23.40,16.38,17.27,23.40,23.40,23.40,23.40,4.27,23.40
1634892,Troponin-I,Inpatient,0300,84484,"Troponin, quantitative",,0,120.00,84.00,12.47,108.00,108.00,N/A,N/A,108.00,108.00,108.00,108.00,N/A,108.00
1634892,Troponin-I,Outpatient,0300,84484,"Troponin, quantitative",,0,120.00,84.00,12.47,108.00,108.00,75.60,89.47,108.00,108.00,108.00,108.00,12.47,108.00
1634894,Creatinine 24 Hour Urine,Inpatient,0300,82570,Creatinine; other source,,0,27.00,18.90,5.18,28.09,24.30,N/A,N/A,24.30,24.30,24.30,24.30,N/A,24.30
1634894,Creatinine 24 Hour Urine,Outpatient,0300,82570,Creatinine; other source,,0,27.00,18.90,5.18,28.09,24.30,17.01,28.09,24.30,24.30,24.30,24.30,5.18,24.30
1634896,Vancomycin Level Peak,Inpatient,0300,80202,Vancomycin,,0,110.00,77.00,13.54,99.00,99.00,N/A,N/A,99.00,99.00,99.00,99.00,N/A,99.00
1634896,Vancomycin Level Peak,Outpatient,0300,80202,Vancomycin,,0,110.00,77.00,13.54,99.00,99.00,69.30,76.92,99.00,99.00,99.00,99.00,13.54,99.00
1634897,Vancomycin Trough - RL,Inpatient,0300,80202,Vancomycin,,0,110.00,77.00,13.54,99.00,99.00,N/A,N/A,99.00,99.00,99.00,99.00,N/A,99.00
1634897,Vancomycin Trough - RL,Outpatient,0300,80202,Vancomycin,,0,110.00,77.00,13.54,99.00,99.00,69.30,76.92,99.00,99.00,99.00,99.00,13.54,99.00
1634898,Vitamin B12 Level,Inpatient,0300,82607,Cyanocobalamin (Vitamin B-12),,0,92.00,64.40,15.08,82.80,82.80,N/A,N/A,82.80,82.80,82.80,82.80,N/A,82.80
1634898,Vitamin B12 Level,Outpatient,0300,82607,Cyanocobalamin (Vitamin B-12),,0,92.00,64.40,15.08,82.80,82.80,57.96,74.89,82.80,82.80,82.80,82.80,15.08,82.80
1635506,Rapid Clostridium Difficile Toxin A/B with QC,Inpatient,0300,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,74.00,51.80,11.98,71.54,66.60,N/A,N/A,66.60,66.60,66.60,66.60,N/A,66.60
1635506,Rapid Clostridium Difficile Toxin A/B with QC,Outpatient,0300,87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",,0,74.00,51.80,11.98,71.54,66.60,46.62,71.54,66.60,66.60,66.60,66.60,11.98,66.60
1635635,Hemoglobin,Inpatient,0300,85018,Blood count; hemoglobin (Hgb),,0,15.50,10.85,2.37,13.95,13.95,N/A,N/A,13.95,13.95,13.95,13.95,N/A,13.95
1635635,Hemoglobin,Outpatient,0300,85018,Blood count; hemoglobin (Hgb),,0,15.50,10.85,2.37,13.95,13.95,9.77,12.71,13.95,13.95,13.95,13.95,2.37,13.95
1635636,Hematocrit,Inpatient,0300,85014,Blood count; hematocrit (Hct),,0,15.50,10.85,2.37,13.95,13.95,N/A,N/A,13.95,13.95,13.95,13.95,N/A,13.95
1635636,Hematocrit,Outpatient,0300,85014,Blood count; hematocrit (Hct),,0,15.50,10.85,2.37,13.95,13.95,9.77,11.62,13.95,13.95,13.95,13.95,2.37,13.95
1635717,Thyroxine,Inpatient,0300,84436,Thyroxine; total,,0,60.00,42.00,6.87,54.00,54.00,N/A,N/A,54.00,54.00,54.00,54.00,N/A,54.00
1635717,Thyroxine,Outpatient,0300,84436,Thyroxine; total,,0,60.00,42.00,6.87,54.00,54.00,37.80,23.43,54.00,54.00,54.00,54.00,6.87,54.00
1635743,Transferrin,Inpatient,0300,84466,Transferrin,,0,94.71,66.30,12.76,101.66,85.24,N/A,N/A,85.24,85.24,85.24,85.24,N/A,85.24
1635743,Transferrin,Outpatient,0300,84466,Transferrin,,0,94.71,66.30,12.76,101.66,85.24,59.67,101.66,85.24,85.24,85.24,85.24,12.76,85.24
1779400,COLLECTION: Venous Draw,Inpatient,0300,36415,Collection of venous blood by venipuncture,,0,19.00,13.30,3.00,17.10,17.10,N/A,N/A,17.10,17.10,17.10,17.10,N/A,17.10
1779400,COLLECTION: Venous Draw,Outpatient,0300,36415,Collection of venous blood by venipuncture,,0,19.00,13.30,3.00,17.10,17.10,11.97,15.72,17.10,17.10,17.10,17.10,3.00,17.10
1928297,"96360- Hydration, first hour",Emergency,0450,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,205.00,143.50,129.15,184.50,184.50,129.15,173.91,184.50,184.50,184.50,184.50,129.15,184.50
1928297,"96360- Hydration, first hour",Inpatient,0450,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",,0,205.00,143.50,129.15,184.50,184.50,N/A,N/A,184.50,184.50,184.50,184.50,N/A,184.50
1928298,"96361- Hydration, each additional hour",Emergency,0450,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,205.00,143.50,129.15,184.50,184.50,129.15,173.91,184.50,184.50,184.50,184.50,129.15,184.50
1928298,"96361- Hydration, each additional hour",Inpatient,0450,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",,0,205.00,143.50,129.15,184.50,184.50,N/A,N/A,184.50,184.50,184.50,184.50,N/A,184.50
1928299,"96365- IV tx, first hour",Emergency,0450,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,205.00,143.50,129.15,184.50,184.50,129.15,173.91,184.50,184.50,184.50,184.50,129.15,184.50
1928299,"96365- IV tx, first hour",Inpatient,0450,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",,0,205.00,143.50,129.15,184.50,184.50,N/A,N/A,184.50,184.50,184.50,184.50,N/A,184.50
1928300,"96366- IV tx, each additional hour",Emergency,0450,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,205.00,143.50,129.15,184.50,184.50,129.15,173.91,184.50,184.50,184.50,184.50,129.15,184.50
1928300,"96366- IV tx, each additional hour",Inpatient,0450,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",,0,205.00,143.50,129.15,184.50,184.50,N/A,N/A,184.50,184.50,184.50,184.50,N/A,184.50
1928301,"96367- IV tx, sequential infusion",Emergency,0450,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,205.00,143.50,129.15,184.50,184.50,129.15,173.91,184.50,184.50,184.50,184.50,129.15,184.50
1928301,"96367- IV tx, sequential infusion",Inpatient,0450,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",,0,205.00,143.50,129.15,184.50,184.50,N/A,N/A,184.50,184.50,184.50,184.50,N/A,184.50
1928302,"96368- IV tx, concurrent infusion",Emergency,0450,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,25.00,17.50,1.32,22.50,22.50,15.75,1.32,22.50,22.50,22.50,22.50,15.75,22.50
1928302,"96368- IV tx, concurrent infusion",Inpatient,0450,96368,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)",,0,25.00,17.50,1.32,22.50,22.50,N/A,N/A,22.50,22.50,22.50,22.50,N/A,22.50
1928303,96372- Subq/IM Injection,Emergency,0450,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,65.00,45.50,40.95,58.50,58.50,40.95,56.65,58.50,58.50,58.50,58.50,40.95,58.50
1928303,96372- Subq/IM Injection,Inpatient,0450,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",,0,65.00,45.50,40.95,58.50,58.50,N/A,N/A,58.50,58.50,58.50,58.50,N/A,58.50
1928305,"96375- IV Injection, add new drug",Emergency,0450,96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)",,0,58.00,40.60,36.54,56.65,52.20,36.54,56.65,52.20,52.20,52.20,52.20,36.54,52.20
1928305,"96375- IV Injection, add new drug",Inpatient,0450,96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)",,0,58.00,40.60,36.54,56.65,52.20,N/A,N/A,52.20,52.20,52.20,52.20,N/A,52.20
1928306,"96374- IV Injection, single/initial",Emergency,0450,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,75.00,52.50,47.25,67.50,67.50,47.25,56.65,67.50,67.50,67.50,67.50,47.25,67.50
1928306,"96374- IV Injection, single/initial",Inpatient,0450,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",,0,75.00,52.50,47.25,67.50,67.50,N/A,N/A,67.50,67.50,67.50,67.50,N/A,67.50
1928307,"96376- IV Injection, add same drug",Emergency,0450,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,55.00,38.50,34.65,56.65,49.50,34.65,56.65,49.50,49.50,49.50,49.50,34.65,49.50
1928307,"96376- IV Injection, add same drug",Inpatient,0450,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",,0,55.00,38.50,34.65,56.65,49.50,N/A,N/A,49.50,49.50,49.50,49.50,N/A,49.50
1930782,Creatinine Urine,Inpatient,0300,82570,Creatinine; other source,,0,27.00,18.90,5.18,28.09,24.30,N/A,N/A,24.30,24.30,24.30,24.30,N/A,24.30
1930782,Creatinine Urine,Outpatient,0300,82570,Creatinine; other source,,0,27.00,18.90,5.18,28.09,24.30,17.01,28.09,24.30,24.30,24.30,24.30,5.18,24.30
2038410,White Blood Cell Count,Inpatient,0300,85048,"Blood count; leukocyte (WBC), automated",,0,25.00,17.50,2.54,22.50,22.50,N/A,N/A,22.50,22.50,22.50,22.50,N/A,22.50
2038410,White Blood Cell Count,Outpatient,0300,85048,"Blood count; leukocyte (WBC), automated",,0,25.00,17.50,2.54,22.50,22.50,15.75,12.56,22.50,22.50,22.50,22.50,2.54,22.50
2120839,ROOM/BED: Private,Inpatient,0110,,,,0,1065.00,745.50,745.50,2756.00,958.50,2756.00,N/A,958.50,958.50,958.50,958.50,2756.00,958.50
2182297,Platelet Count,Inpatient,0300,85049,"Blood count; platelet, automated",,0,15.50,10.85,4.48,19.80,13.95,N/A,N/A,13.95,13.95,13.95,13.95,N/A,13.95
2182297,Platelet Count,Outpatient,0300,85049,"Blood count; platelet, automated",,0,15.50,10.85,4.48,19.80,13.95,9.77,19.80,13.95,13.95,13.95,13.95,4.48,13.95
2356847,Prostate Specific Antigen Diagnostic,Inpatient,0300,84153,Prostate specific antigen (PSA); total,,0,85.00,59.50,18.39,88.64,76.50,N/A,N/A,76.50,76.50,76.50,76.50,N/A,76.50
2356847,Prostate Specific Antigen Diagnostic,Outpatient,0300,84153,Prostate specific antigen (PSA); total,,0,85.00,59.50,18.39,88.64,76.50,53.55,88.64,76.50,76.50,76.50,76.50,18.39,76.50
2384297,XR Abdomen 2 View,Inpatient,0320,74019,"Radiologic examination, abdomen; 2 views",,0,228.00,159.60,130.91,205.20,205.20,N/A,N/A,205.20,205.20,205.20,205.20,N/A,205.20
2384297,XR Abdomen 2 View,Outpatient,0320,74019,"Radiologic examination, abdomen; 2 views",,0,228.00,159.60,130.91,205.20,205.20,143.64,130.91,205.20,205.20,205.20,205.20,143.64,205.20
2384299,CT Angiography Abdomen + Pelvis,Inpatient,0350,74174,"Computed tomographic angiography, abdomen and pelvis, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,2330.00,1631.00,1467.90,2222.99,2097.00,N/A,N/A,2097.00,2097.00,2097.00,2097.00,N/A,2097.00
2384299,CT Angiography Abdomen + Pelvis,Outpatient,0350,74174,"Computed tomographic angiography, abdomen and pelvis, with contrast material(s), including noncontrast images, if performed, and image postprocessing",,0,2330.00,1631.00,1467.90,2222.99,2097.00,1467.90,2222.99,2097.00,2097.00,2097.00,2097.00,1467.90,2097.00
2404373,99282 - Level 2,Emergency,0450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,200.00,140.00,126.00,346.08,180.00,126.00,346.08,180.00,180.00,180.00,180.00,126.00,180.00
