id,ein,last_updated,file_name,mrf_url,permalink,transparency_page,additional_notes
390091,25-0489010,2023-02-02,250489010_upmc-northwest_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250489010_upmc-northwest_standardcharges.csv,,https://www.upmc.com/locations/hospitals/northwest/patients-visitors/patient-information/cdm,
390101,82-0912090,2023-02-02,820912090_upmc-memorial_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/820912090_upmc-memorial_standardcharges.csv,,https://www.upmc.com/locations/hospitals/memorial/patients-visitors/patient-info/cdm,
390102,23-2875070,2023-02-02,232875070_upmc-st-margaret_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/232875070_upmc-st-margaret_standardcharges.csv,,https://www.upmc.com/locations/hospitals/st-margaret/patients-visitors/patient-information/cdm,
390107,25-0965451,2023-02-02,250965451_upmc-passavant_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965451_upmc-passavant_standardcharges.csv,,https://www.upmc.com/locations/hospitals/passavant/patients-visitors/passavant-patient-info/cdm,
390114,25-0965420,2023-02-02,250965420_upmc-magee_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965420_upmc-magee_standardcharges.csv,,https://www.upmc.com/locations/hospitals/magee/patients-and-visitors/information-for-patients/cdm,
390117,23-1396795,2023-02-02,231396795_upmc-bedford_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/231396795_upmc-bedford_standardcharges.csv,,https://www.upmc.com/locations/hospitals/bedford/patients-visitors/patient-information/cdm,
390164,25-0965480,2023-02-02,250965480_presbyterian-shadyside_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965480_presbyterian-shadyside_standardcharges.csv,,https://www.upmc.com/locations/hospitals/presbyterian/patients-visitors/patient-information/cdm,
390178,25-0523970,2023-02-02,250523970_upmc-horizon_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250523970_upmc-horizon_standardcharges.csv,,https://www.upmc.com/locations/hospitals/horizon/patients-visitors/cdm,
390233,23-1360851,2023-02-02,231360851_upmc-hanover_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/231360851_upmc-hanover_standardcharges.csv,,https://www.upmc.com/locations/hospitals/hanover/patients-visitors/patient-info/cdm,
390328,27-4814831,2023-02-02,274814831_upmc-east_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/274814831_upmc-east_standardcharges.csv,,https://www.upmc.com/locations/hospitals/east/patients-and-visitors/patient-information/cdm,
393302,25-0402510,2023-02-02,250402510_upmc-childrens_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250402510_upmc-childrens_standardcharges.csv,,https://www.chp.edu/for-parents/before-your-childs-visit/standard-charges,
399817,25-0965387,2023-02-02,250965387_upmc-hamot_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965387_upmc-hamot_standardcharges.csv,,https://www.upmc.com/locations/hospitals/hamot/patients-visitors/cdm,
