plan_hash,reporting_entity_name,reporting_entity_type,plan_name,plan_id,plan_id_type,plan_market_type,last_updated_on,version
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
10886602593249142832,"United Healthcare Services, Inc.",Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
8804794356203434254,Oxford Health Plans LLC,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
13789545555079519177,United HealthCare Services,Third-Party Administrator,,,,,2023-01-01,1.0.0
