name,ccn,homepage_url,state_code,street,city,state,zip,beds,telephone
AURORA ST LUKES MEDICAL CENTER,520138,https://www.aurorahealthcare.org/locations/hospital/aurora-st-lukes-medical-center/,WI,2900 West Oklahoma Avenue,Milwaukee,WI,53215     ,951,(414) 649-6000
NOVANT HEALTH MINT HILL MEDICAL CENTER,340190,https://www.novanthealth.org/mint-hill-medical-center.aspx,NC,8210 Healthcare Loop,Mint Hill,NC,28215,28,(980) 302-1000
ASCENSION ALL SAINTS HOSPITAL,520096,https://healthcare.ascension.org/locations/wisconsin/wiwhe/racine-ascension-all-saints-hospital-surgical-services-spring-street-campus,WI,3801 Spring Street,Racine,WI,53405     ,271,(262) 687-4011
NOXUBEE GENERAL CRITICAL ACCESS HOSP,251307,https://www.ngcah.com/noxubee-general-hospital,MS,78 Hosptial Road,Macon,MS,39341     ,25,(662) 726-4231
"SELECT SPECIALTY HOSPITAL SPRINGFIELD, INC",262017,https://www.selectspecialtyhospitals.com/locations-and-tours/mo/springfield/springfield/,MO,1630 East Primrose Street,Springfield,MO,65804     ,44,(417) 885-4700
GREATER EL MONTE COMMUNITY HOSPITAL,050738,https://www.greaterelmonte.com/,CA,1701 Santa Anita Avenue,South El Monte,CA,91733     ,117,(626) 579-7777
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,https://www.southbaldwinrmc.com,AL,1613 North McKenzie Street,Foley,AL,36535     ,112,(251) 949-3400
DOUGLAS COUNTY MEMORIAL HOSPITAL-CAH,431305,https://dcmhsd.org,SD,708 Eighth Street,Armour,SD,57313     ,11,(605) 724-2159
LICKING MEMORIAL HOSPITAL,360218,https://www.lmhealth.org,OH,1320 West Main Street,Newark,OH,43055     ,227,(220) 564-4000
HOUSTON METHODIST CONTINUING CARE HOSPITAL,452118,https://www.houstonmethodist.org/locations/long-term-acute-care/continuing-care/,TX,701 South Fry Road,Katy,TX,77450     ,124,(832) 522-7550
BUFFALO PSYCHIATRIC CENTER,334052,https://omh.ny.gov/omhweb/facilities/bupc/,NY,400 Forest Avenue,Buffalo,NY,14213     ,159,(716) 885-2261
HCA HOUSTON HEALTHCARE CONROE,450222,https://hcahoustonhealthcare.com/locations/conroe/,TX,504 Medical Center Boulevard,Conroe,TX,77304     ,295,(936) 539-1111
PENNSYLVANIA PSYCHIATRIC INSTITUTE,394051,https://www.ppimhs.org,PA,2501 North Third Street,Harrisburg,PA,17110     ,89,(717) 782-6420
UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,240040,https://mhealthfairview.org/sitecore/content/mhealthfairview/fairvieworg/home/range/fairview-range-medical-center,MN,750 East 34th Street,Hibbing,MN,55746     ,72,(218) 262-4881
BRONXCARE HOSPITAL CENTER,330009,https://www.mlkhealthcenter.com/,NY,1650 Grand Concourse,Bronx,NY,10456     ,558,(718) 503-7715
NORTH CADDO MEDICAL CENTER,191304,https://www.ncmcla.com/,LA,815 South Pine Street,Vivian,LA,71082     ,25,(318) 375-3235
AVERA CREIGHTON HOSPITAL,281331,https://www.avera.org/locations/profile/avera-creighton-hospital/,NE,1503 Main Street,Creighton,NE,68729     ,70,(402) 358-5700
MT. GRAHAM REGIONAL MEDICAL CENTER,030068,https://www.mtgraham.org,AZ,1600 South 20th Ave,Safford,AZ,85546     ,25,(928) 348-4000
PAM  SPECIALTY HOSPITAL OF VICTORIA SOUTH,452056,https://pamhealth.com/index.php/facilities/find-facility/specialty-hospitals/PAM-Specialty-Hospital-Victoria-South,TX,"506 East San Antonio Street, 3rd Floor",Victoria,TX,77901     ,23,(361) 485-7300
SOUTH POINTE HOSPITAL,360144,https://my.clevelandclinic.org/locations/south-pointe-hospital,OH,20000 Harvard Road,Warrensville Heights,OH,44122     ,172,(216) 491-6000
BARTLETT REGIONAL HOSPITAL,020008,https://www.bartletthospital.org,AK,3260 Hospital Drive,Juneau,AK,99801     ,57,(907) 796-8900
ROUND ROCK MEDICAL CENTER,450718,https://stdavids.com/location/st-davids-round-rock-medical-center,TX,2400 Round Rock Avenue,Round Rock,TX,78681     ,157,(512) 341-1000
"WALTON REHAB HOSPITAL, AFFILIATE OF ENCOMPASS HLTH",113030,https://www.encompasshealth.com/waltonrehab,GA,1355 Independence Drive,Augusta,GA,30901,60,(706) 724-7746
MEMORIAL HOSPITAL,450235,https://www.gonzaleshealthcare.com,TX,1110 Sarah DeWitt Drive,Gonzales,TX,78629     ,34,(830) 672-7581
WAYNE HOSPITAL,360044,https://www.waynehealthcare.org/locations/main-campus/,OH,835 Sweitzer Street,Greenville,OH,45331     ,52,(937) 548-1141
DOCTORS HOSPITAL AT RENAISSANCE,450869,https://dhrhealth.com/,TX,5501 South McColl Road,Edinburg,TX,78539     ,519,(956) 362-8677
COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER,161320,https://www.unitypoint.org/sumner/default.aspx,IA,909 West First Street,Sumner,IA,50674     ,16,(563) 578-3275
MARION GENERAL HOSPITAL,150011,https://www.marionhealth.com/,IN,441 North Wabash Avenue,Marion,IN,46952     ,128,(765) 660-6000
FILLMORE COUNTY HOSPITAL,281301,https://www.myfch.org,NE,1900 F Street,Geneva,NE,68361     ,30,(402) 759-3167
ANSON GENERAL HOSPITAL,450078,https://www.ansongeneralhospital.com/,TX,101 Avenue J,Anson,TX,79501     ,7,(325) 823-3231
ASHLEY REGIONAL MEDICAL CENTER,460030,https://www.ashleyregional.com/,UT,150 West 100 North,Vernal,UT,84078     ,39,(435) 789-3342
MERCY MEDICAL CENTER,380027,https://www.chimercyhealth.com/index.html,OR,2700 Northwest Stewart Parkway,Roseburg,OR,97471     ,131,(541) 673-0611
ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE,520027,https://healthcare.ascension.org/locations/wisconsin/wimil/mequon-ascension-columbia-st-marys-hospital-ozaukee,WI,13111 North Port Washington Road,Mequon,WI,53097     ,121,(262) 243-7300
"COFFEE REGIONAL MEDICAL CENTER, INC",110089,https://www.coffeeregional.org,GA,1101 Ocilla Road,Douglas,GA,31533     ,82,(912) 384-1900
FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,050570,https://www.fountainvalleyhospital.com/,CA,17100 Euclid Street,Fountain Valley,CA,92708     ,400,(714) 966-7200
BROADVIEW INC,051991,https://www.csbroadview.org,CA,4570 Griffin Avenue,Los Angeles,CA,90031     ,25,(323) 221-9174
COMMUNITY MEMORIAL HOSPITAL,241364,https://cloquethospital.com,MN,512 Skyline Boulevard,Cloquet,MN,55720     ,66,(218) 879-4641
UPMC ALTOONA,390073,https://www.upmc.com/locations/hospitals/altoona,PA,620 Howard Avenue,Altoona,PA,16601     ,368,(814) 889-2011
"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",170145,https://www.crmcinc.org,KS,1400 West Fourth Street,Coffeyville,KS,67337     ,47,(620) 251-1200
OCEANS BEHAVIORAL HOSPITAL OF DERIDDER,194081,https://oceanshealthcare.com/ohc-location/deridder/,LA,1420 Blankenship Road,DeRidder,LA,70634     ,20,(337) 460-9472
"REHABILITATION HOSPITAL OF NORTHERN INDIANA, LLC",153047,https://rhni.ernesthealth.com/gallery-item/rehabilitation-hospital-of-northern-indiana/,IN,4807 Edison Lakes Parkway,Mishawaka,IN,46545,40,(574) 243-7727
SOUTHEAST COLORADO HOSPITAL,061311,https://www.sechosp.org,CO,373 East Tenth Street,Springfield,CO,81073     ,71,(719) 523-4501
ALTON MENTAL HEALTH CENTER,144016,https://www.dhs.state.il.us/page.aspx?module=12&officetype=10&county=Madison,IL,4500 College Avenue,Alton,IL,62002     ,24,(618) 474-3800
"CALDWELL MEMORIAL HOSPITAL, INC",190190,https://www.mycaldwellmemorial.com,LA,411 Main Street,Columbia,LA,71418     ,37,(318) 649-6111
DR DAN C TRIGG MEMORIAL HOSPITAL,321302,https://danctrigg-memorial-hospital.phs.org/Pages/default.aspx,NM,301 East Miel De Luna,Tucumcari,NM,88401     ,25,(575) 461-7000
READING HOSPITAL,390044,https://towerhealth.org/locations/reading-hospital,PA,420 South 5th Avenue,West Reading,PA,19611     ,655,(484) 628-8000
BLACK HILLS SURGICAL HOSPITAL LLP,430091,https://bhsh.com/,SD,216 Anamaria Drive,Rapid City,SD,57701     ,26,(605) 721-4700
SAINT LUKE'S CUSHING HOSPITAL,170133,https://www.saintlukeskc.org/locations/saint-lukes-cushing-hospital,KS,711 Marshall Street,Leavenworth,KS,66048,8,(913) 684-1100
ASCENSION SACRED HEART GULF,100313,https://healthcare.ascension.org/locations/florida/flpen/port-st-joe-ascension-sacred-heart-gulf?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,FL,3801 East Highway 98,Port Saint Joe,FL,32456,19,(850) 229-5600
KINDRED HOSPITAL-NORTH FLORIDA,102015,https://www.kindredhealthcare.com/locations/ltac/kindred-hospital-north-florida,FL,801 Oak Street,Green Cove Springs,FL,32043,72,(904) 284-9230
WEISER MEMORIAL HOSPITAL,131307,https://www.weisermemorialhospital.org,ID,645 East Fifth Street,Weiser,ID,83672,19,(208) 549-0370
MIDDLE TN MENTAL HEALTH INSTITUTE,444014,https://www.tn.gov/behavioral-health/hospitals/middle-tennessee.html,TN,221 Stewarts Ferry Pike,Nashville,TN,37214,207,(615) 902-7400
BRENTWOOD BEHAVIORAL HEALTHCARE OF MS,254007,https://www.brentwoodjackson.com/,MS,3531 East Lakeland Drive,Jackson,MS,39232,105,(601) 936-2024
VIBRA HOSPITAL OF NORTHERN CALIFORNIA,052047,https://norcalrehab.com/,CA,2801 Eureka Way,Redding,CA,96001,88,(530) 246-9000
BANNER PAYSON MEDICAL CENTER,031318,https://www.bannerhealth.com/locations/payson/banner-payson-medical-center,AZ,807 South Ponderosa Street,Payson,AZ,85541,25,(928) 474-3222
DECATUR COUNTY MEMORIAL HOSPITAL,151332,https://www.dcmh.net,IN,720 North Lincoln Street,Greensburg,IN,47240,25,(812) 663-4331
SHARON HOSPITAL,070004,https://www.nuvancehealth.org/locations/sharon-hospital,CT,50 Hospital Hill Road,Sharon,CT,06069,83,(860) 364-4000
EVANS MEMORIAL HOSPITAL,110142,https://www.evansmemorialhospital.org/,GA,200 North River Street,Claxton,GA,30417,59,(912) 739-2611
KINDRED HOSPITAL NORTHWEST INDIANA,152012,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-northwest-indiana,IN,"5454 Hohman Avenue, 5th Floor",Hammond,IN,46320,56,(219) 937-9900
WASHAKIE MEDICAL CENTER,531306,https://www.bannerhealth.com/locations/worland/washakie-medical-center?locname=Washakie%20Medical%20Center,WY,400 South 15th Street,Worland,WY,82401,18,(307) 347-3221
MID HUDSON FORENSIC PSYCHIATRIC CTR,334061,https://www.omh.ny.gov/omhweb/facilities/mhpc/,NY,2834 Route 17-M,New Hampton,NY,10958,285,(845) 374-8700
SELECT SPECIALTY HOSPITAL-ANN ARBOR,232024,https://www.selectspecialtyhospitals.com/locations-and-tours/mi/ypsilanti/ann-arbor/,MI,"5301 East Huron River Drive , 7th Floor",Ypsilanti,MI,48197,36,(734) 712-6751
ST MARY'S HEALTHCARE,330047,https://www.smha.org/,NY,427 Guy Park Avenue,Amsterdam,NY,12010,290,(518) 842-1900
TUALITY COMMUNITY HOSPITAL,380021,https://tuality.org/,OR,335 Southeast Eighth Avenue,Hillsboro,OR,97123,127,(503) 681-1111
EVERGREEN MEDICAL CENTER,010148,https://www.gilliardhealthservices.com/emc,AL,101 Crestview Avenue,Evergreen,AL,36401,44,(251) 578-2480
MEDINA HOSPITAL,360091,https://my.clevelandclinic.org/locations/medina-hospital,OH,1000 East Washington Street,Medina,OH,44256,148,(330) 725-1000
ENCOMPASS HEALTH REHAB HOSPITAL OF FREDERICKSBURG,493032,https://www.encompasshealth.com/fredericksburgrehab,VA,300 Park Hill Drive,Fredericksburg,VA,22401,58,(540) 368-7300
ASCENSION COLUMBIA ST MARY'S HOSPITAL MILWAUKEE,520051,https://healthcare.ascension.org/locations/wisconsin/wimil/milwaukee-ascension-columbia-st-marys-hospital-milwaukee,WI,2301 North Lake Drive,Milwaukee,WI,53211,273,(414) 585-1000
OCEANS HOSPITAL OF BROUSSARD,194073,https://oceanshealthcare.com/ohc-location/broussard/,LA,420 Albertson Parkway,Broussard,LA,70518,38,(337) 839-9008
COMMUNITY HOSPITALS AND WELLNESS CENTERS,360121,https://www.chwchospital.org/bryan-hospital/,OH,433 West High Street,Bryan,OH,43506,75,(419) 636-1131
DEL AMO HOSPITAL,054053,https://delamobehavioralhealth.com/,CA,23700 Camino Del Sol,Torrance,CA,90505,166,(310) 530-1151
GLOBAL REHABILITATION HOSPITAL,673040,https://sahealth.com/locations/methodist-hospital-stone-oak-rehabilitation-center/,TX,19126 Stonehue,San Antonio,TX,78258,42,(210) 482-3000
HAWARDEN REGIONAL HEALTHCARE,161311,https://hawardenregionalhealthcare.com/,IA,1111 Eleventh Street,Hawarden,IA,51023,25,(712) 551-3100
SOUTH CITY HOSPITAL,260210,https://www.southcityhospitalstl.com/,MO,3933 South Broadway,Saint Louis,MO,63118,178,(314) 865-7000
MACON COMMUNITY HOSPITAL,441305,https://mcgh.net/,TN,204 Medical Drive,Lafayette,TN,37083,25,(615) 666-2147
"SUMMIT MEDICAL CENTER, LLC",370225,https://www.summitmedcenter.com/,OK,1800 South Renaissance Boulevard,Edmond,OK,73013,9,(405) 359-2400
ST JOSEPH'S HOSPITAL,030011,https://www.carondelet.org/locations/detail/st-josephs-hospital,AZ,350 North Wilmot Road,Tucson,AZ,85711,486,(520) 873-3000
UNM HOSPITAL,320001,https://unmhealth.org/locations/unm-hospital/,NM,2211 Lomas Boulevard Northeast,Albuquerque,NM,87106,555,(505) 272-2111
AURORA MEDICAL CENTER,520207,https://www.aurorahealthcare.org/locations/hospital/aurora-medical-center-in-grafton,WI,975 Port Washington Road,Grafton,WI,53024,132,(262) 329-1000
RIVERVIEW PSYCHIATRIC CENTER,204008,https://www.maine.gov/dhhs/riverview/,ME,250 Arsenal Street,Augusta,ME,04330,92,(207) 624-3900
COLUMBIA MEMORIAL HOSPITAL,330094,https://www.columbiamemorialhealth.org,NY,71 Prospect Avenue,Hudson,NY,12534,192,(518) 828-7601
CENTURA MERCY HOSPITAL,060013,https://www.centura.org/locations/mercy-regional-medical-center,CO,1010 Three Springs Boulevard,Durango,CO,81301,71,(970) 247-4311
SCOTLAND MEMORIAL HOSPITAL,340008,https://www.scotlandhealth.org/,NC,500 Lauchwood Drive,Laurinburg,NC,28352,104,(910) 291-7000
SOUTHEAST MISSOURI MENTAL HLTH CTR,264005,https://dmh.mo.gov/smmhc/,MO,1010 West Columbia Street,Farmington,MO,63640,331,(573) 218-6792
WOODLAWN HOSPITAL,151313,https://www.woodlawnhospital.com/getpage.php?name=index,IN,1400 East Ninth Street,Rochester,IN,46975,25,(574) 223-3141
ASHLEY COUNTY MEDICAL CENTER,041323,https://www.acmconline.org/locations/ashley-county-medical-center/,AR,1015 Unity Road,Crossett,AR,71635,35,(870) 364-4111
MANNING REGIONAL HEALTHCARE CENTER,161332,https://www.mrhcia.com/,IA,1550 6th Street,Manning,IA,51455,17,(712) 655-2072
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIAMI,103038,https://www.encompasshealth.com/miamirehab,FL,20601 Old Cutler Road,Miami,FL,33189,60,(305) 251-3800
CHATUGE REGIONAL HOSPITAL,111324,https://www.uniongeneralhealthsystem.com/crh,GA,110 South Main Street,Hiawassee,GA,30546,147,(706) 896-2222
LEWISGALE MEDICAL CENTER,490048,https://hcavirginia.com/locations/lewisgale-medical-center/,VA,1900 Electric Road,Salem,VA,24153,373,(540) 776-4000
CARSON VALLEY MEDICAL CENTER,291306,https://cvmchospital.org/,NV,1107 Highway 395 North,Gardnerville,NV,89410,23,(775) 782-1500
STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,350064,https://www.ihs.gov/greatplains/healthcarefacilities/standingrock/,ND,10 North River Road,Fort Yates,ND,58538,12,(701) 854-3831
LIFECARE MEDICAL CENTER,241344,https://www.lifecaremedicalcenter.org,MN,715 Delmore Drive,Roseau,MN,56751,75,(218) 463-2500
UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER,360002,https://www.uhhospitals.org/locations/uh-samaritan-medical-center,OH,1025 Center Street,Ashland,OH,44805,39,(419) 289-0491
BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,220108,https://www.bidmilton.org,MA,199 Reedsdale Road,Milton,MA,02186,102,(617) 696-4600
SAKAKAWEA MEDICAL CENTER - CAH,351310,https://www.smcnd.org,ND,510 Eighth Avenue Northeast,Hazen,ND,58545,13,(701) 748-2225
ALLIED SERVICES INSTITUTE OF REHABILITATION,393030,https://www.allied-services.org/locations/allied-services-scranton-rehab-hospital/,PA,475 Morgan Highway,Scranton,PA,18508,101,(570) 348-1359
"LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES, INC",181320,https://www.lhhs.org,KY,131 Hospital Drive,Salem,KY,42078,25,(270) 988-2299
SE TEXAS ER & HOSPITAL,670310,https://setexaser.com/,TX,19211 McKay Drive,Humble,TX,77338,54,(281) 883-5500
NORTON-KING'S DAUGHTERS' HEALTH,150069,https://www.kdhmadison.org,IN,1373 East State Road 62,Madison,IN,47250,61,(812) 801-0800
LITTLE COLORADO MEDICAL CENTER,031311,https://lcmcwmh.com/,AZ,1501 Williamson Avenue,Winslow,AZ,86047,25,(928) 289-4691
INTEGRIS GROVE HOSPITAL,370113,https://integrisok.com/locations/hospital/integris-grove-hospital,OK,1001 East 18th Street,Grove,OK,74344,41,(918) 786-2243
GAYLORD HOSPITAL INC,072003,https://www.gaylord.org/Patients-Families/About/Contact-Us,CT,50 Gaylord Farm Road,Wallingford,CT,06492,137,(203) 284-2800
TEXAS REHABILITATION HOSPITAL,673048,https://www.texasrehabhospital.com,TX,425 Alabama Avenue,Fort Worth,TX,76104,66,(817) 820-3400
MASONICARE HEALTH CENTER,070039,https://www.masonicare.org,CT,22 Masonic Avenue,Wallingford,CT,06492,380,(888) 332-0033
HOSPITAL DAMAS INC,400022,https://hospitaldamas.com/p/welcome,PR,2213 Ponce By Pass,Ponce,PR,00717,175,(787) 840-8686
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,https://www.mercy.net/practice/mercy-hospital-oklahoma-city,OK,4300 West Memorial Road,Oklahoma City,OK,73120,344,(405) 755-1515
"COMPASS BEHAVIORAL CENTER OF ALEXANDRIA, INC",194106,https://www.compasshealthcare.com/locations/compass-behavioral-center-of-alexandria-inpatient/,LA,6410 Masonic Drive,Alexandria,LA,71301,36,(318) 473-0035
FRESNO HEART AND SURGICAL HOSPITAL,050732,https://www.communitymedical.org/hospitals-facilities/fresno-heart-surgical-hospital,CA,15 East Audubon Drive,Fresno,CA,93720,57,(559) 433-8000
BON SECOURS ST FRANCIS MEDICAL CENTER,490136,https://www.bonsecours.com/locations/hospitals-medical-centers/richmond/st-francis-medical-center?utm_source=local-listings&utm_medium=organic&utm_content=website_link,VA,13710 Saint Francis Boulevard,Midlothian,VA,23114,130,(804) 594-7300
WOODLAND SPRINGS,454144,https://www.woodlandspringshealth.com/,TX,15860 Old Conroe Road,Conroe,TX,77384,96,(936) 270-7520
SWISHER MEMORIAL HOSPITAL,451349,https://www.swisherhospital.com/,TX,539 Southeast Second Street,Tulia,TX,79088,20,(806) 995-3581
HCA FLORIDA GULF COAST HOSPITAL,100242,https://www.hcafloridahealthcare.com/locations/gulf-coast-hospital,FL,449 West 23rd Street,Panama City,FL,32405,223,(850) 769-8341
OSF SACRED HEART MEDICAL CENTER,140093,https://www.osfhealthcare.org/sacred-heart/,IL,812 North Logan Avenue,Danville,IL,61832,103,(217) 443-5000
UNITY PSYCHIATRIC CARE-CLARKSVILLE,444019,https://www.unitypsych.com/clarksville,TN,930 Professional Park Drive,Clarksville,TN,37040,26,(931) 538-6420
MONTEREY PARK HOSPITAL,050736,https://www.montereyparkhosp.com,CA,900 South Atlantic Boulevard,Monterey Park,CA,91754,101,(626) 570-9000
OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,190064,https://ololrmc.com,LA,5000 Hennessy Boulevard,Baton Rouge,LA,70808,930,(225) 765-6565
CORDOVA COMMUNITY MEDICAL CENTER,021307,https://www.cdvcmc.com,AK,602 Chase Avenue,Cordova,AK,99574,23,(907) 424-8000
BROWN COUNTY COMMUNITY TREATMENT CTR,524014,https://www.browncountywi.gov/departments/community-treatment-center/general-information/,WI,3150 Gershwin Drive,Green Bay,WI,54311,79,(920) 391-4700
CENTURA AVISTA ADVENTIST HOSPITAL,060103,https://www.centura.org/locations/avista-adventist-hospital,CO,100 Health Park Drive,Louisville,CO,80027,108,(303) 673-1000
