name,ccn,homepage_url,state_code
SPECTRUM HEALTH LUDINGTON HOSPITAL,230110,https://www.spectrumhealth.org/locations/ludington-hospital,MI
CLAIBORNE MEMORIAL MEDICAL CENTER,190114,https://claibornemedical.com/,LA
CLAIBORNE MEMORIAL MEDICAL CENTER,190114,https://claibornemedical.com/,LA
ROCKFORD CENTER,084002,https://www.rockfordcenter.com/,DE
VIBRA HOSPITAL OF BOISE,132002,https://vhboise.com/,ID
HAWKINS COUNTY MEMORIAL HOSPITAL,440032,https://www.balladhealth.org/hospitals/hawkins-county-memorial-rogersville,TN
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,https://www.adirondackhealth.org/adirondack-medical-center-saranac-lake,NY
MEDICAL CITY MCKINNEY,450403,https://medicalcityhealthcare.com/locations/medical-city-mckinney/,TX
MOUNT SINAI WEST,330046,https://www.mountsinai.org/locations/morningside,NY
COBALT REHABILITATION HOUSTON HEIGHTS,673072,https://pamhealth.com/facilities/find-facility/rehabilitation-hospitals/pam-health-rehabilitation-hospital-houston-heights,TX
GEORGE C GRAPE COMMUNITY HOSPITAL,161324,https://www.grapehospital.com/getpage.php?name=index,IA
RINGGOLD COUNTY HOSPITAL,161373,https://www.rchmtayr.org,IA
PARKLAND MEDICAL CENTER,300017,https://www.parklandmedicalcenter.com,NH
NORTHWEST MEDICAL CENTER,040022,https://www.northwesthealth.com/nmc-springdale,AR
OUR CHILDRENS HOUSE,453308,https://www.childrens.com/location-landing/locations-and-directions/och/dallas?utm_source=google&utm_medium=yext&utm_campaign=Childrens%20Health%20Locations%20%20Our%20Childrens%20House%20%20Dallas%20%20Brand,TX
CATAWBA HOSPITAL,494033,https://catawba.dbhds.virginia.gov/,VA
GLACIAL RIDGE HOSPITAL,241376,https://www.glacialridge.org/,MN
ST LUKE'S HOSPITAL BETHLEHEM,390049,https://www.slhn.org/bethlehem/,PA
FRYE REGIONAL MEDICAL CENTER,340116,https://www.fryemedctr.com,NC
"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",110101,https://mysouthwell.com/southwell-medical-hospital-and-surgical-center/,GA
KINDRED HOSPITAL -- LA MIRADA,052038,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-la-mirada,CA
PALISADES MEDICAL CENTER,310003,https://www.hackensackmeridianhealth.org/en/Locations/Palisades-Medical-Center?q=/locations/palisades-medical-center/,NJ
SANFORD BAGLEY MEDICAL CENTER,241328,https://www.sanfordhealth.org/locations/sanford-bagley-medical-center,MN
SHARP CORONADO HOSPITAL AND HLTHCR CTR,050234,https://www.sharp.com/hospitals/coronado/,CA
WEST HILLS HOSPITAL & MEDICAL CENTER,050481,https://westhillshospital.com,CA
JEWELL COUNTY HOSPITAL,171309,https://jewellcohospital.org,KS
"BARNESVILLE HOSPITAL ASSOCIATION, INC",361321,https://wvumedicine.org/barnesville/,OH
VA HOSP,53004F,https://www.cheyenne.va.gov/,WY
PIEDMONT NEWTON HOSPITAL,110018,https://www.piedmont.org/locations/piedmont-newton/about,GA
MT ASCUTNEY HOSPITAL,471302,https://www.mtascutneyhospital.org/,VT
SELECT SPECIALTY HOSPITAL COLUMBUS,362037,https://www.selectspecialtyhospitals.com/locations-and-tours/oh/columbus/columbus-south/,OH
KAISER FOUNDATION HOSPITAL - WEST LA,050561,https://thrive.kaiserpermanente.org/care-near-you/southern-california/west-los-angeles/locations/west-los-angeles-medical-center/,CA
GRAHAM COUNTY HOSPITAL,171325,https://www.grahamcountyhospital.org,KS
GRADY MEMORIAL HOSPITAL,360210,https://www.ohiohealth.com/locations/hospitals/grady-memorial-hospital/,OH
WASHINGTON COUNTY HOSP INC,341314,https://www.washingtonregionalmedical.org/,NC
CHRISTUS SPOHN HOSPITAL KLEBERG,450163,https://www.christushealth.org/locations/spohn-hospital-kleberg,TX
AVAIL HOSPITAL LAKE CHARLES,190315,https://www.availhospitals.com,LA
VA ANN ARBOR HEALTHCARE SYSTEM,23011F,https://www.annarbor.va.gov,MI
SILVER OAKS BEHAVIORAL HOSPITAL,144041,https://silveroaksbehavioralhospital.com,IL
CABINET PEAKS MEDICAL CENTER,271320,https://www.cabinetpeaks.org/,MT
"SAINT FRANCIS HOSPITAL SOUTH, LLC",370218,https://www.saintfrancis.com/location/heart-hospital-at-saint-francis,OK
"PIEDMONT NEWNAN HOSPITAL, INC",110229,https://www.piedmont.org/locations/piedmont-newnan/about,GA
TROY REGIONAL MEDICAL CENTER,010126,https://www.troymedicalcenter.com/,AL
HARPER COUNTY COMMUNITY HOSPITAL,371324,https://www.hcchospital.com,OK
PERRY HOSPITAL,110153,https://www.hhc.org/locations/perry-hospital/,GA
TOMAH VA MEDICAL CENTER,52002F,https://www.tomah.va.gov,WI
JONES REGIONAL MEDICAL CENTER,161306,https://www.unitypoint.org/anamosa/Default.aspx,IA
MITCHELL COUNTY REGIONAL HEALTH,161323,https://www.mcrhc.com/,IA
BATTLE MOUNTAIN GENERAL HOSPITAL,291303,https://www.bmgh.org,NV
LIVINGSTON REGIONAL HOSPITAL,440187,https://mylivingstonhospital.com,TN
OPTIONS BEHAVIORAL HEALTH SYSTEM,154057,https://www.optionsbehavioralhealthsystem.com/,IN
BAPTIST HEALTH LA GRANGE,180138,https://www.baptisthealth.com/lagrange/,KY
CHILD & ADOLESCENT BEHAVIORAL HEALTH SERVICES,244005,https://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=id_000261,MN
MCLEOD MEDICAL CENTER - DILLON,420005,https://www.mcleodhealth.org/locations/mcleod-dillon/,SC
AURORA MEDICAL CTR WASHINGTON COUNTY,520038,https://www.aurorahealthcare.org/locations/hospital/aurora-medical-center-in-washington-county,WI
PAM SPECIALTY HOSPITAL OF TULSA,372018,https://pamhealth.com/index.php/facilities/find-facility/specialty-hospitals/PAM-Specialty-Hospital-Tulsa,OK
"OKLAHOMA HEART HOSPITAL, LLC",370215,https://www.okheart.com/locations/oklahoma-heart-hospital-north,OK
SKYLINE HOSPITAL,501315,https://myskylinehealth.org/,WA
TRI-CITY MEDICAL CENTER,050128,https://www.tricitymed.org/,CA
"COMMUNITY MEMORIAL HEALTHCARE, INC",171363,https://www.cmhcare.org/,KS
BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,220030,https://www.baystatehealth.org/locations/wing-hospital,MA
REEVES COUNTY HOSPITAL DISTRICT,451377,https://www.reevescountyhospital.com/,TX
PIEDMONT HENRY HOSPITAL,110191,https://www.piedmont.org/locations/piedmont-henry/about,GA
NORWOOD HEALTH CENTER,524019,https://www.co.wood.wi.us/Departments/Norwood/,WI
MIRAVISTA BEHAVIORAL HEALTH CENTER,224046,https://www.mercycares.com/providence_behavioral_health_hospital,MA
ROCHESTER PSYCHIATRIC CENTER,334020,https://www.omh.ny.gov/omhweb/facilities/ropc/,NY
BAPTIST HEALTH FLOYD,150044,https://www.baptisthealth.com/floyd/about-baptist-health-floyd/,IN
GILA REGIONAL MEDICAL CENTER,321311,https://www.grmc.org/,NM
CHESAPEAKE GENERAL HOSPITAL,490120,https://chesapeakeregional.com/locations/chesapeake-regional-medical-center,VA
TRUSTPOINT HOSPITAL,440231,https://www.trustpointhospital.com/,TN
SHRINERS HOSPITALS FOR CHILDREN - PHILADELPHIA,393309,https://www.shrinerschildrens.org/locations/philadelphia,PA
TEXAS HEALTH HEB,450639,https://www.texashealth.org/locations/texas-health-heb,TX
PIEDMONT ROCKDALE HOSPITAL,110091,https://www.piedmont.org/locations/piedmont-rockdale/about,GA
ST ELIZABETH HOSPITAL,501335,https://www.chifranciscan.org/st-elizabeth-hospital.html,WA
PAM SPECIALTY HOSPITAL OF NEW BRAUNFELS,452106,https://pamhealth.com/index.php/facilities/find-facility/specialty-hospitals/PAM-Specialty-Hospital-New-Braunfels,TX
MCLAREN PORT HURON,230216,https://www.mclaren.org/port-huron/mclaren-port-huron-home,MI
ROCHESTER PSYCHIATRIC CENTER,334020,https://www.omh.ny.gov/omhweb/facilities/ropc/,NY
BAPTIST HEALTH FLOYD,150044,https://www.baptisthealth.com/floyd/about-baptist-health-floyd/,IN
GILA REGIONAL MEDICAL CENTER,321311,https://www.grmc.org/,NM
ROCHESTER PSYCHIATRIC CENTER,334020,https://www.omh.ny.gov/omhweb/facilities/ropc/,NY
BAPTIST HEALTH FLOYD,150044,https://www.baptisthealth.com/floyd/about-baptist-health-floyd/,IN
GILA REGIONAL MEDICAL CENTER,321311,https://www.grmc.org/,NM
CHESAPEAKE GENERAL HOSPITAL,490120,https://chesapeakeregional.com/locations/chesapeake-regional-medical-center,VA
TRUSTPOINT HOSPITAL,440231,https://www.trustpointhospital.com/,TN
SHRINERS HOSPITALS FOR CHILDREN - PHILADELPHIA,393309,https://www.shrinerschildrens.org/locations/philadelphia,PA
TEXAS HEALTH HEB,450639,https://www.texashealth.org/locations/texas-health-heb,TX
ST ELIZABETH HOSPITAL,501335,https://www.chifranciscan.org/st-elizabeth-hospital.html,WA
PAM SPECIALTY HOSPITAL OF NEW BRAUNFELS,452106,https://pamhealth.com/index.php/facilities/find-facility/specialty-hospitals/PAM-Specialty-Hospital-New-Braunfels,TX
MCLAREN PORT HURON,230216,https://www.mclaren.org/port-huron/mclaren-port-huron-home,MI
VANDERBILT TULLAHOMA-HARTON HOSPITAL,440144,https://www.vanderbilttullahomahartonhospital.com/welcome,TN
PENN HIGHLANDS ELK,391315,https://www.phhealthcare.org/location/hospital/penn-highlands-elk-5,PA
SO CRESCENT BEH HLTH SYS - ANCHOR HOSPITAL CAMPUS,114032,https://www.anchorhospital.com,GA
MORRIS COUNTY HOSPITAL,171379,https://mrcohosp.com/,KS
UPMC HANOVER,390233,https://www.upmc.com/locations/hospitals/hanover,PA
MYMICHIGAN MEDICAL CENTER GLADWIN,231325,https://www.mymichigan.org/locations/profile/?id=529&utm_medium=local&utm_source=google_plus-local&utm_campaign=local-Gladwin-MMH-131,MI
IBERIA MEDICAL CENTER,190054,https://www.iberiamedicalcenter.com,LA
NATHAN LITTAUER HOSPITAL,330276,https://www.nlh.org,NY
INTENSIVE SPECIALTY HOSPITAL,192010,https://www.intensivespecialty.com,LA
OCEANS BEHAVIORAL HOSPITAL OF OPELOUSAS,194095,https://oceanshealthcare.com/ohc-location/opelousas/,LA
KANSAS SURGERY & RECOVERY CENTER,170183,https://www.kansas.surgery/,KS
SCOTT COUNTY HOSPITAL,171372,https://www.scotthospital.net/,KS
STANFORD HEALTH CARE - VALLEYCARE,050283,https://www.valleycare.com,CA
OLMSTED MEDICAL CENTER,240006,https://www.olmmed.org/locations/walk-in-care/?id=39&searchId=e196292a-fa06-e611-a2b1-2c768a4e1b84&sort=11&page=1&pageSize=10,MN
PIPESTONE COUNTY  MEDICAL CENTER,241374,https://www.pipestonehealth.org/,MN
ST LUKES HOSPITAL OF KANSAS CITY,260138,https://www.saintlukeskc.org/locations/saint-lukes-hospital-kansas-city,MO
CHILLICOTHE VA MEDICAL CENTER,36008F,https://www.va.gov/chillicothe-health-care/locations/chillicothe-va-medical-center/,OH
VAL VERDE REGIONAL MEDICAL CENTER,450154,https://www.vvrmc.org,TX
KATHERINE SHAW BETHEA HOSPITAL,140012,https://www.ksbhospital.com,IL
HCA FLORIDA LAWNWOOD HOSPITAL,100246,https://www.hcafloridahealthcare.com/locations/lawnwood-hospital,FL
HOSPITAL FOR SPECIAL CARE,072004,https://hfsc.org/,CT
VETERANS AFFAIRS MEDICAL CENTER,44013F,https://www.memphis.va.gov/,TN
BERGEN NEW BRIDGE MEDICAL CENTER,310058,https://www.newbridgehealth.org/find-a-location/locations-profile/?id=13&searchId=09c0af2f-56d5-ec11-a84c-000d3a611816&sort=11&page=1&pageSize=10,NJ
CHARLOTTE HUNGERFORD HOSPITAL,070011,https://www.charlottehungerford.org/,CT
EDEN MEDICAL CENTER,050488,https://www.sutterhealth.org/eden,CA
LAKELAND REGIONAL MEDICAL CENTER,100157,https://mylrh.org/medical-center/,FL
HOPEDALE HOSPITAL,141330,https://www.hopedalemc.com/,IL
TUSCALOOSA VA MEDICAL CENTER,01021F,https://www.va.gov/tuscaloosa-health-care/locations/tuscaloosa-va-medical-center/,AL
NAVARRO REGIONAL HOSPITAL,450447,https://www.navarrohospital.com/,TX
JOHN RANDOLPH MEDICAL CENTER,490020,https://hcavirginia.com/locations/john-randolph/,VA
CARL VINSON VA MEDICAL CENTER,11031F,https://www.dublin.va.gov,GA
SPARROW CLINTON HOSPITAL,231326,https://www.sparrow.org/our-hospitals-services/sparrow-hospitals/sparrow-clinton-hospital,MI
ABRAZO SCOTTSDALE CAMPUS,030083,https://www.abrazohealth.com/location/detail/abrazo-scottsdale-campus,AZ
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,https://utswmed.org/locations/clements/william-p-clements-jr-university-hospital/,TX
MS STATE HOSPITAL-WHITFIELD,254010,https://www.msh.state.ms.us,MS
KITTSON MEMORIAL HOSPITAL,241336,https://kittsonhc.org/,MN
MOHAWK VALLEY PSYCHIATRIC CENTER,334021,https://omh.ny.gov/omhweb/facilities/mvpc/,NY
HOOPESTON COMMUNITY MEMORIAL HOSPITAL,141316,https://carle.org/locations/carle-hoopeston-regional-health-center,IL
KEARNEY REGIONAL MEDICAL CENTER,280134,https://www.bryanhealth.com/locations/hospitals/krmc/,NE
HERITAGE VALLEY BEAVER,390036,https://www.heritagevalley.org/pages/heritage-valley-beaver,PA
HUTCHINGS PSYCHIATRIC CTR,334001,https://omh.ny.gov/omhweb/facilities/hupc/,NY
LANCASTER GENERAL HOSPITAL,390100,https://www.lancastergeneralhealth.org/patient-and-visitor-information/find-a-location/lancaster-general-hospital,PA
PAM REHABILITATION HOSPITAL OF ALLEN,673025,https://pamhealth.com/index.php/facilities/find-facility/rehabilitation-hospitals/pam-rehabilitation-hospital-allen,TX
S E LACKEY MEMORIAL HOSPITAL,251300,https://lackeymemorialhospital.com,MS
CONEMAUGH MINERS MEDICAL CENTER,391317,https://www.conemaugh.org/miners,PA
MEMORIAL HOSPITAL SWEETWATER COUNTY,530011,https://www.sweetwatermemorial.com/,WY
DOCTORS HOSPITAL OF LAREDO,450643,https://www.doctorshosplaredo.com/,TX
AURORA BAYCARE MEDICAL CTR,520193,https://www.aurorabaycare.com/,WI
SPECTRUM HEALTH REED CITY HOSPITAL,231323,https://www.spectrumhealth.org/locations/reed-city-hospital,MI
SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES,331314,https://www.flhealth.org/services/inpatient-care/soldiers-sailors-memorial-hospital/,NY
ANDERSON REHABILITATION INSTITUTE,143029,https://www.andersonrehabinstitute.com,IL
CHEYENNE COUNTY HOSPITAL,171310,https://www.cheyennecountyhospital.com,KS
CHILDRENS MEDICAL CENTER PLANO,453316,https://www.childrens.com/locations/plano-campus/childrens-medical-center-plano,TX
COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,050394,https://www.cmhshealth.org/locations/community-memorial-hospital/,CA
WELLSTONE REGIONAL HOSPITAL,154051,https://www.wellstonehospital.com,IN
REUNION REHABILITATION HOSPITAL PHOENIX LLC,033043,https://www.reunionrehabhospital.com/locations/phoenix/,AZ
MERCY HEALTH-ALLEN HOSPITAL,361306,https://www.mercy.com/locations/hospitals/lorain/mercy-allen-hospital,OH
MADIGAN GEN HOSP,50005F,https://madigan.tricare.mil/,WA
REHABILITATION HOSPITAL OF HENRY,113035,https://www.encompasshealth.com/locations/henryrehab,GA
COMMUNITY HOWARD REGIONAL HEALTH INC,150007,https://www.ecommunity.com/locations/community-howard-regional-health,IN
MERCY HOSPITAL,160029,https://www.mercyiowacity.org,IA
LAKE BUTLER HOSPITAL,101303,https://lakebutlerhospital.com,FL
SAVOY MEDICAL CENTER,190025,https://www.savoymedical.com/,LA
NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPU,101310,https://www.shandsstarke.com,FL
CARROLL COUNTY MEMORIAL HOSPITAL,181310,https://www.ccmhosp.com,KY
NORTHWEST SURGICAL HOSPITAL,370192,https://nwsurgicalokc.com,OK
UPMC CHAUTAUQUA AT WCA,330239,https://www.upmc.com/locations/hospitals/chautauqua,NY
HILLCREST HOSPITAL SOUTH,370202,https://www.hillcrestsouth.com/,OK
"ST JAMES BEHAVIORAL HEALTH HOSPITAL, INC",194088,https://ldh.la.gov/index.cfm/directory/detail/1949/catid/169,LA
BROADLAWNS MEDICAL CENTER,160101,https://www.broadlawns.org/index.cfm,IA
PONDERA MEDICAL CENTER,271324,https://www.logan.org/health/locations/logan-health-conrad,MT
SAINT ANNE'S HOSPITAL,220020,https://www.saintanneshospital.org,MA
SAINT AGNES HOSPITAL,210011,https://healthcare.ascension.org/locations/maryland/mdbal/baltimore-ascension-saint-agnes-hospital,MD
CHRISTUS JASPER MEMORIAL HOSPITAL,450573,https://www.christushealth.org/locations/southeast-texas-jasper,TX
CARROLL COUNTY MEMORIAL HOSPITAL,181310,https://www.ccmhosp.com,KY
NORTHWEST SURGICAL HOSPITAL,370192,https://nwsurgicalokc.com,OK
UPMC CHAUTAUQUA AT WCA,330239,https://www.upmc.com/locations/hospitals/chautauqua,NY
HILLCREST HOSPITAL SOUTH,370202,https://www.hillcrestsouth.com/,OK
BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY,440016,https://www.baptistonline.org/locations/carroll-county,TN
"ST JAMES BEHAVIORAL HEALTH HOSPITAL, INC",194088,https://ldh.la.gov/index.cfm/directory/detail/1949/catid/169,LA
BROADLAWNS MEDICAL CENTER,160101,https://www.broadlawns.org/index.cfm,IA
PONDERA MEDICAL CENTER,271324,https://www.logan.org/health/locations/logan-health-conrad,MT
SAINT ANNE'S HOSPITAL,220020,https://www.saintanneshospital.org,MA
SAINT AGNES HOSPITAL,210011,https://healthcare.ascension.org/locations/maryland/mdbal/baltimore-ascension-saint-agnes-hospital,MD
CHRISTUS JASPER MEMORIAL HOSPITAL,450573,https://www.christushealth.org/locations/southeast-texas-jasper,TX
SOUTHERN REGIONAL MEDICAL CENTER,110165,https://www.southernregional.org,GA
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,030064,https://www.bannerhealth.com/locations/tucson/banner-university-medical-center-tucson?loctype=hospitals&within=100&zip=85724,AZ
HILLSBORO COMMUNITY HOSPITAL,171357,https://www.hillsborohospital.com/,KS
MULESHOE AREA MEDICAL CENTER,451372,https://www.muleshoehospital.com/,TX
NORTH KANSAS CITY HOSPITAL,260096,https://www.nkch.org,MO
ST MARY'S HOSPITAL,131321,https://smh-cvh.org/,ID
M HEALTH FAIRVIEW NORTHLAND MEDICAL CENTER,240141,https://mhealthfairview.org/locations/m-health-fairview-northland-medical-center,MN
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,https://www.jeffersonhealth.org/locations/thomas-jefferson-university-hospital,PA
SYRINGA GENERAL HOSPITAL,131315,https://www.syringahospital.org/,ID
"BELLEVUE MEDICAL CENTER, LLC",280132,https://www.nebraskamed.com/bellevue,NE
CHILTON MEDICAL CENTER,310017,https://www.atlantichealth.org/locations/hospitals/chilton-medical-center.html,NJ
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,050717,https://www.dhs.lacounty.gov/rancho/,CA
COOK HOSPITAL,241312,https://www.cookhospital.org/,MN
GARDEN GROVE HOSPITAL & MEDICAL CENTER,050230,https://www.gardengrovehospital.com,CA
MEDICAL CITY LEWISVILLE,450669,https://medicalcityhealthcare.com/locations/medical-city-lewisville/,TX
HERMANN AREA DISTRICT HOSPITAL,261314,https://www.hadh.org/,MO
BRIDGEPOINT CONTINUING CARE HOSPITAL,192007,https://www.bridgepointhealthcare.com/our-locations,LA
RANKEN JORDAN PEDIATRIC BRIDGE HOSPITAL,263303,https://rankenjordan.org,MO
ADVENTHEALTH WATERMAN,100057,https://www.adventhealth.com/hospital/adventhealth-waterman,FL
MID VALLEY HOSPITAL,501328,https://www.mvhealth.org/,WA
LABETTE HEALTH,170120,https://www.labettehealth.com/,KS
EAST COOPER MEDICAL CENTER,420089,https://www.eastcoopermedctr.com,SC
ANMED HEALTH,420027,https://anmedhealth.org/locations/medical-center-campus,SC
UNION GENERAL HOSPITAL,110051,https://www.uniongeneralhealthsystem.com/ugh,GA
HAMILTON GENERAL HOSPITAL,451392,https://www.hamiltonhospital.org,TX
PENDER MEMORIAL HOSPITAL,341307,https://www.nhrmc.org/locations/novant-health-pender-medical-center,NC
ALLIANCEHEALTH SEMINOLE,370229,https://www.ssmhealth.com/locations/location-details/st-anthony-hospital-shawnee-seminole-campus,OK
BAYLOR SCOTT AND WHITE HEART AND VASCULAR HOSPITAL,450851,https://www.bswhealth.com/heart-and-vascular-hospital/dallas/,TX
THE GUIDANCE CENTER,034023,https://www.tgcaz.org/,AZ
HENNEPIN COUNTY MEDICAL CENTER 1,240004,https://www.hennepinhealthcare.org,MN
PROVIDENCE ST. JUDE MEDICAL CENTER,050168,https://www.providence.org/locations/st-jude-medical-center,CA
MARY S HARPER GERIATRIC PSYCHIATRY CENTER,014012,https://mh.alabama.gov/mary-starke-harper-geriatric-psychiatry-center/,AL
LOUISVILLE VA MEDICAL CENTER,18006F,https://www.louisville.va.gov,KY
NORTH SHORE REHABILITATION HOSPITAL,713025,https://www.northshore-rehab.com,LA
HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,310130,https://pascackmedicalcenter.com,NJ
DOUGLAS GARDENS HOSPITAL,100277,https://www.miamijewishhealth.org/,FL
INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,151311,https://iuhealth.org/find-locations/iu-health-tipton-hospital,IN
CHARLES A DEAN MEMORIAL HOSPITAL,201301,https://northernlighthealth.org/C-A-Dean-Hospital,ME
LENOX HILL HOSPITAL,330119,https://lenoxhill.northwell.edu,NY
BANNER THUNDERBIRD MEDICAL CENTER,030089,https://www.bannerhealth.com/locations/glendale/banner-thunderbird-medical-center,AZ
MEADOWS PSYCHIATRIC CENTER,394040,https://themeadows.net/,PA
SONORA BEHAVIORAL HEALTH HOSPITAL,034022,https://www.sonorabehavioral.com/,AZ
BAPTIST MEMORIAL REHABILITATION HOSPITAL,443034,https://www.baptistrehab.com/,TN
US NAVAL HOSP,10013F,https://jacksonville.tricare.mil/,FL
"COMMUNITY MEDICAL CENTER, INC",281352,https://www.cmcfc.org,NE
COMMUNITY HOSPITAL,150125,https://www.comhs.org/about-us/community-hospital,IN
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,https://www.medicalwesthospital.org/,AL
COMANCHE COUNTY MEMORIAL HOSPITAL,370056,https://www.ccmhhealth.com/,OK
CANDLER COUNTY HOSPITAL,111334,https://www.candlercountyhospital.com/home/,GA
UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,100079,https://umiamihealth.org/locations/uhealth-tower,FL
SALEM HOSPITAL,380051,https://www.salemhealth.org/,OR
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,250168,https://www.umc.edu/Grenada/Grenada_Home.html,MS
MERCYONE ELKADER MEDICAL CENTER,161319,https://www.mercyone.org/elkader/,IA
"CARTHAGE AREA HOSPITAL, INC",331318,https://www.carthagehospital.com,NY
HODGEMAN COUNTY HEALTH CENTER,171369,https://hchconline.org/,KS
IBERIA REHABILITATION HOSPITAL,193096,https://iberiarehab.net/,LA
KINDRED HOSPITAL AURORA,062013,https://www.kindredhealthcare.com/locations/ltac/kindred-hospital-aurora,CO
UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,450083,https://uthealthtylerhospital.com/,TX
UNIVERSITY HEALTH SYSTEM,450213,https://www.universityhealthsystem.com/locations/university-hospital,TX
SETON SMITHVILLE REGIONAL HOSPITAL,450143,https://healthcare.ascension.org/locations/texas/txaus/smithville-ascension-seton-smithville,TX
HOUSTON COUNTY COMMUNITY HOSPITAL,441322,https://shamrock.health/,TN
SWEDISH MEDICAL CENTER,060034,https://healthonecares.com/locations/swedish/,CO
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,050040,https://dhs.lacounty.gov/oliveview/,CA
LANCASTER REHABILITATION HOSPITAL,393054,https://www.lancastergeneralhealth.org/patient-and-visitor-information/find-a-location/lancaster-rehabilitation-hospital,PA
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,100044,https://www.martinhealth.org/mhs-martin-medical-center,FL
AVERA ST LUKES,430014,https://www.avera.org/locations/st-lukes-hospital/,SD
OLATHE MEDICAL CENTER,170049,https://www.olathehealth.org/locations/olathe-medical-center,KS
BAPTIST MEMORIAL HOSPITAL TIPTON,440131,https://www.baptistonline.org/locations/tipton,TN
US NAVAL HOSP,10018F,https://pensacola.tricare.mil/,FL
HCA FLORIDA PALMS WEST HOSPITAL,100269,https://www.hcafloridahealthcare.com/locations/palms-west-hospital,FL
ED FRASER MEMORIAL HOSPITAL,100134,https://edfraserhospital.com/,FL
MAYO CLINIC HOSPITAL,030103,https://www.mayoclinic.org/patient-visitor-guide/arizona/clinic-hospital-buildings/mayo-clinic-hospital/about,AZ
SUMNER COMMUNITY HOSPITAL,170039,https://www.srmcks.org,KS
BANNER GATEWAY MEDICAL CENTER,030122,https://www.bannerhealth.com/locations/gilbert/banner-gateway-medical-center,AZ
HARRISBURG MEDICAL CENTER,140210,https://harrisburgmc.com/,IL
PARK PLACE SURGICAL HOSPITAL,190255,https://www.parkplacesurgery.com,LA
NORTH MISSISSIPPI MEDICAL CENTER-GILMORE AMORY,250025,https://www.nmhs.net/locations/profile/north-mississippi-medical-center-gilmore-amory/,MS
NORTHSIDE HOSPITAL GWINNETT,110087,https://www.northside.com/locations/northside-hospital-gwinnett,GA
