Department Description,ChargeID,ChargeDesc,RevCode,Price,CPT_CODE,De-Identified Minimum Outpatient Allowable Rate,De-Identified Maximum Outpatient Allowable Rate,Medicare Outpatient Allowable Rate,Blue Cross Outpatient Allowable Rate,United Healthcare Outpatient Allowable Rate,Corizon Outpatient Allowable Rate,WPPA Outpatient Allowable Rate,Coventry Outpatient Allowable Rate
Laboratory,3558822,RL FRUCATOSAMINE,300,$0.00,82985,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,329700,PF REMOVE GAUNTLET/BOOT/BODY CAST,982,$153.00,29700,$50.32,$276.00,$82.62,$276.00,$145.35,$78.03,$50.32,$145.35
Chemo,3210007,CH CHEMOTHERAPY IV 1ST HR INITIAL,335,$705.00,96413,$194.00,$669.75,$380.70,$194.00,$669.75,$359.55,$466.13,$669.75
Purchasing,3254988,WRIST EXOFORM XS LEFT,274,$45.00,L3908   ,$0.00,$42.75,$24.30,$0.00,$42.75,$22.95,$31.50,$42.75
Radiology,3700250,XR T-SPINE 3 VIEWS,320,$0.00,72072,$0.00,$199.64,$0.00,$199.64,$0.00,$0.00,$163.46,$0.00
Laboratory,3550923,RL BABESIA MICROTII IGG,300,$77.00,86753,$0.00,$73.15,$41.58,$0.00,$73.15,$39.27,$0.00,$73.15
Laboratory,3558885,RL SELEGILINE,300,$0.00,83789,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255423,"""ESMARK BANDAGE 3""""X108""""""",270,$21.00,,$0.00,$19.95,$11.34,$0.00,$19.95,$10.71,$14.70,$19.95
Emergency Room,3300217,THORACENTESIS NDL/CATH PLEUR W/O IMAGING,450,$911.00,32554,$464.61,$865.45,$491.94,$735.00,$865.45,$464.61,$812.43,$865.45
Laboratory,3550890,LB DRAWING BLOOD ALCOHOL,300,$66.00,36415,$0.00,$62.70,$35.64,$0.00,$62.70,$33.66,$0.00,$62.70
Laboratory,3550041,RL COTININE (NICOTINE),300,$128.00,80323,$0.00,$121.60,$69.12,$0.00,$121.60,$65.28,$89.60,$121.60
Emergency Room,3300980,"ER REMOVE FB EYELID, EMBEDDED",450,$438.00,67938,$223.38,$416.10,$236.52,$343.00,$416.10,$223.38,$391.92,$416.10
Purchasing,3250996,TELFA ISLAND DRESSING 4X10,272,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Purchasing,3256520,STANDARD 12 FLUTE BUR 4.0,270,$181.00,,$0.00,$171.95,$97.74,$0.00,$171.95,$92.31,$126.70,$171.95
Emergency Dept Pro-Fees,311776,PF CLSD TRMNT PSTHP ARTHRODISLOC R/G ANE,983,"$1,111.00",27266,$566.61,"$1,067.00",$599.94,"$1,067.00","$1,055.45",$566.61,$906.33,"$1,055.45"
Laboratory,3552607,RL TC SMEAR & INTERPRETATION,310,$144.00,88108,$0.00,$136.80,$77.76,$0.00,$136.80,$73.44,$50.76,$136.80
Nursing,3693247,EXT ECG >7D <15 D SCAN A/R,731,$0.00,93247,$0.00,$167.93,$0.00,$0.00,$0.00,$0.00,$167.93,$0.00
Respiratory Therapy,3900789,NT SUCTION,410,$0.00,31720,$0.00,$686.00,$0.00,$686.00,$0.00,$0.00,$281.82,$0.00
Outpatient Clinic,3350130,RESIDUAL URINE/BLADDER CAPACITY,510,$108.00,51798,$38.00,$102.60,$58.32,$38.00,$102.60,$55.08,$83.49,$102.60
Laboratory,3558766,RL HERPES CULTURE,300,$0.00,87255,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550695,RL T3U,300,$52.00,84479,$0.00,$49.40,$28.08,$0.00,$49.40,$26.52,$0.00,$49.40
Purchasing,3250081,EZ PAP - MEDIUM,270,$66.00,,$0.00,$62.70,$35.64,$0.00,$62.70,$33.66,$46.20,$62.70
CT Scan,3750561,CTA LOWER EXTREMITY W/ AND W/O CONTRAST,350,$0.00,73706,$0.00,$267.83,$0.00,$0.00,$0.00,$0.00,$267.83,$0.00
Laboratory,LAB0084  ,CELIAC DISEASE COMPREHENSIVE PANEL,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800674,SODIUM CHLORIDE FLUSH 10 ML SYR,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3251919,ENDOTRACHEAL TUBE 3.5 MM,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Purchasing,3253363,MESH PARIETEX LEFT,278,$635.00,C1781   ,$0.00,$603.25,$342.90,$0.00,$603.25,$323.85,$444.50,$603.25
Surgery,3220626,OR UPPER ENDOSCOPY W/BIOPSY,360,"$1,679.00",43239,$856.29,"$1,595.05",$906.66,"$1,142.00","$1,595.05",$856.29,"$1,214.40","$1,595.05"
Midwest Pain Solutions,3064530,N block inj celiac pelus,982,$253.44,64530,$129.25,$307.00,$136.86,$307.00,$240.77,$129.25,$144.70,$240.77
Purchasing,3253659,VERRUCA FREEZE PER SPRAY,270,$56.50,,$0.00,$53.68,$30.51,$0.00,$53.68,$28.82,$39.55,$53.68
Surgery,3320695,OR LAPAROSCOPIC OOPHORECTOMY,360,"$9,100.00",58661,"$4,641.00","$8,645.00","$4,914.00","$6,188.00","$8,645.00","$4,641.00","$7,590.66","$8,645.00"
Pharmacy,4800263,PO FENTANYL PATCH 75 MCG PER HR,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255788,PHILADELPHIA  CERV COLLAR,270,$41.50,L0172   ,$0.00,$39.43,$22.41,$0.00,$39.43,$21.17,$29.05,$39.43
Laboratory,3550109,RL TRANSFERRIN,300,$121.00,84466,$0.00,$114.95,$65.34,$0.00,$114.95,$61.71,$0.00,$114.95
Emergency Room,3300188,CLSD TRT POST HIP ATHRO DISLCTN W/O ANES,450,"$1,017.00",27265,$309.29,$966.15,$549.18,$801.00,$966.15,$518.67,$309.29,$966.15
Purchasing,3258907,SUTURE R-832-H  3-0 MERSI,270,$8.00,,$0.00,$7.60,$4.32,$0.00,$7.60,$4.08,$5.60,$7.60
Laboratory,3551419,RL THROAT CULTURE,300,$53.00,87070,$0.00,$50.35,$28.62,$0.00,$50.35,$27.03,$0.00,$50.35
Outpatient Clinic,3350101,CYSTOURETHROSCOPY,510,"$1,658.00",52000,$38.00,"$1,575.10",$895.32,$38.00,"$1,575.10",$845.58,$862.16,"$1,575.10"
Medical Clinic,26600,"METACARPAL FX CLOSED, SINGLE, EA BONE",521,$838.00,26600,$309.29,$796.10,$452.52,$428.00,$796.10,$427.38,$309.29,$796.10
Pharmacy,4800568,PO SODIUM CHLORIDE TAB 1GM,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,393016,PF STRESS TEST SUPERVISION ONLY W/O REP,982,$0.00,93016,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,311825,PF OPEN BX/EXC INGUINOFEM NODES,983,"$1,272.00",38531,$648.72,"$1,208.40",$686.88,$801.00,"$1,208.40",$648.72,$680.80,"$1,208.40"
Purchasing,3259921,DERMABOND MINI,270,$27.00,,$0.00,$25.65,$14.58,$0.00,$25.65,$13.77,$18.90,$25.65
Pharmacy,4800632,INJ SYNVISC 16 MG PER 2 ML,636,$0.00,J7325   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,11604,EXC MAL LESION TRUNK 3.1-4.0CM,521,$684.00,11604,$348.84,"$1,249.00",$369.36,"$1,249.00",$649.80,$348.84,$932.96,$649.80
Pharmacy,3362115,PO SILVER SULFADIAZINE CREAM 50 GM,636,$23.00,J3490   ,$0.00,$21.85,$12.42,$0.00,$21.85,$11.73,$16.10,$21.85
CT Scan,3750451,CT MAXILLOFACIAL AREA W/IV CONTRAST,350,$0.00,70487,$0.00,$453.00,$0.00,$453.00,$0.00,$0.00,$267.83,$0.00
Emergency Dept Pro-Fees,343239,PF UPPER ENDOSCOPY W/BIOPSY,975,"$1,350.00",43239,$210.73,"$1,282.50",$729.00,"$1,142.00","$1,282.50",$688.50,$210.73,"$1,282.50"
Purchasing,3252586,MARLEX MESH PERFIXPLUG LG,278,$474.00,C1781   ,$0.00,$450.30,$255.96,$0.00,$450.30,$241.74,$331.80,$450.30
Laboratory,3558797,RL HEPATITIS B VIRAL,300,$0.00,87517,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3559176,URACIL CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,311799,PF LAPARO PROC ABDM/PER/OMENT,983,"$2,222.00",49329,$0.00,"$2,110.90","$1,199.88",$0.00,"$2,110.90","$1,133.22",$0.00,"$2,110.90"
Laboratory,3550084,RL HYDROXYCORTICOSTEROIDS,300,$99.00,83491,$0.00,$94.05,$53.46,$0.00,$94.05,$50.49,$0.00,$94.05
Laboratory,3559006,2-METHYLBUTYRYLGLYCINE CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801137,INJ DEXAMETHASONE 10 MG PER ML,636,$0.00,J1100   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250661,CO2/O2 PED,270,$145.00,94681,$0.00,$396.68,$78.30,$0.00,$137.75,$73.95,$396.68,$137.75
Medical Clinic,17000,"DESTRUCTION PREMALIGNANT LESION, 1ST",521,$309.00,17000,$157.59,$300.00,$166.86,$300.00,$293.55,$157.59,$269.33,$293.55
Laboratory,3553316,RL MYSOLINE/PRIMIDONE,300,$125.00,80188,$0.00,$118.75,$67.50,$0.00,$118.75,$63.75,$0.00,$118.75
Laboratory,3552540,"RL CULTURE, URINE ID",300,$59.00,87077,$0.00,$56.05,$31.86,$0.00,$56.05,$30.09,$0.00,$56.05
Pharmacy,4810031,STERILE SALINE FLUSH,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801190,PO METRONIDAZOLE 250 MG 4 TABS OP PACK,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3150770,OR RECOVERY ROOM ADD 15 MINS,710,$91.00,,$0.00,$86.45,$49.14,$0.00,$86.45,$46.41,$63.70,$86.45
Observation,3310365,OBS BLD ADMIN UP TO 4 HRS,391,$402.00,36430,$205.02,$595.59,$217.08,$510.58,$381.90,$205.02,$595.59,$381.90
Observation,3310113,OBSERVATION 2-24 HOURS,762,$35.00,G0378   ,$0.00,$33.25,$18.90,$0.00,$33.25,$17.85,$24.50,$33.25
Purchasing,3250342,EAR SYRINGE DISP.,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Surgery,2020605,Drain/inj joint/bursa w/o us,361,$750.00,20605,$360.00,$712.50,$405.00,$360.00,$712.50,$382.50,$391.76,$712.50
Emergency Dept Pro-Fees,399285,PF ER LEVEL 5,982,$0.00,99285,$0.00,"$1,069.84",$0.00,"$1,069.84",$0.00,$0.00,$267.93,$0.00
Emergency Dept Pro-Fees,349585,"PF REPAIR UMBILICAL HERNIA, AGE >5",975,"$1,452.00",49585,$687.37,"$2,974.00",$784.08,"$2,974.00","$1,379.40",$740.52,$687.37,"$1,379.40"
Laboratory,3559107,"RL LEGIONELLA ANTIGEN EIA, URINE",300,$0.00,87449,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,11440,EXC BENIGN LESION FACE < 0.5CM,521,$284.00,11440,$144.84,$932.96,$153.36,$788.90,$269.80,$144.84,$932.96,$269.80
Pharmacy,3850249,SODIUM CHLORIDE 0.9 % IV 1000 ML,636,$0.00,J7030   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801138,INJ DIPHENHYDRAMINE 50 MG PER ML,636,$0.00,J1200   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252230,LAP CHOLE IRRIGATION/SUCTION,270,$93.00,,$0.00,$88.35,$50.22,$0.00,$88.35,$47.43,$65.10,$88.35
Radiology,3700057,ISOTOPE THYROID,343,$0.00,A9512   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3552813,"RL TC CONSULT, SURG W/FROZEN",310,$354.00,88331,$0.00,$336.30,$191.16,$0.00,$336.30,$180.54,$223.74,$336.30
Emergency Room,3300507,ER KNEE DISLOCATION W/O ANESTHESIA,450,"$1,178.00",27550,$309.29,"$1,119.10",$636.12,$801.00,"$1,119.10",$600.78,$309.29,"$1,119.10"
Speech Therapy,4050125,ST ATTN CURNT STAT W/MOD,440,$0.00,G9165   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,329822,"PF SCOPE SHOULDER DEBRIDEMENT, LIMITED",982,"$2,604.00",29822,$841.14,"$4,126.00","$1,406.16","$4,126.00","$2,473.80","$1,328.04",$841.14,"$2,473.80"
Purchasing,3251505,"""SUTURE ENDOLOOP 18"""" -0-""",270,$129.00,,$0.00,$122.55,$69.66,$0.00,$122.55,$65.79,$90.30,$122.55
Purchasing,3255144,SALEM SUMP TUBE 18FR,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Emergency Room,3399156,MODERATE SED OVER 5yo 10-22,450,$299.00,99156,$0.00,$284.05,$161.46,$0.00,$284.05,$152.49,$0.00,$284.05
Purchasing,3259939,NEEDLE DECOMPRESSION KITS,270,$128.00,,$0.00,$121.60,$69.12,$0.00,$121.60,$65.28,$89.60,$121.60
Pharmacy,4800507,PO GABAPENTIN CAP 300 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,11102,TANGNTL BX SKIN SINGLE LES,521,$193.00,11102,$98.43,$633.00,$104.22,$633.00,$183.35,$98.43,$269.33,$183.35
Pharmacy,4800925,INJ FOSAPREPITANT DIMEGLUMINE IV 150 MG,636,$0.00,J1453   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3701282,"XR URETHROCYSTOGRAPHY, RETROGRADE",320,$0.00,74450,$0.00,$345.20,$0.00,$0.00,$0.00,$0.00,$345.20,$0.00
Purchasing,3253403,RAZOR DISP.,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Purchasing,3259917,THUMB SPICA MED/LG RIGHT,270,$22.00,L3807   ,$0.00,$20.90,$11.88,$0.00,$20.90,$11.22,$15.40,$20.90
Laboratory,3550429,LB CO2 (CARBON DIOXIDE),300,$53.00,82374,$0.00,$50.35,$28.62,$0.00,$50.35,$27.03,$0.00,$50.35
Purchasing,3254260,ARM SLING SMALL,270,$12.00,,$0.00,$11.40,$6.48,$0.00,$11.40,$6.12,$8.40,$11.40
Purchasing,3252835,KNIFE BLADES STERILE #10,270,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Pharmacy,4800163,PO CITRATE MAG SOL,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3064634,Destroy c/th facet jnt addl,982,$459.98,64634,$0.00,$436.98,$248.39,$0.00,$436.98,$234.59,$103.42,$436.98
Surgery,3150647,RESECTION/TRANSPLANTATION LONG TENDON BI,360,"$7,200.00",23440,$0.00,"$9,397.43","$3,888.00",$0.00,"$6,840.00","$3,672.00","$9,397.43","$6,840.00"
Purchasing,3250214,BIC SHAVER 2 PK,990,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,99325,ASSIST LIVING NEW PT VISIT LEVEL 2 30MIN,525,$0.00,99325,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3320644,OR SIMPLE WOUND REPAIR TRUNK UP TO 2.5CM,360,$557.00,12001,$269.33,$529.15,$300.78,$379.00,$529.15,$284.07,$269.33,$529.15
Emergency Room,3300100,ER COMPLEX REPAIR SCALP/LIMB 2.6-7.5CM,450,"$2,024.00",13121,$534.00,"$1,922.80","$1,092.96",$534.00,"$1,922.80","$1,032.24",$786.26,"$1,922.80"
Surgery,3150625,"OR EXCISION TUMOR, BACK 3 CM OR >",360,"$3,881.00",21931,"$1,979.31","$3,686.95","$2,095.74","$2,064.00","$3,686.95","$1,979.31","$2,110.50","$3,686.95"
CT Scan,3750557,CTA HEAD,350,$0.00,70496,$0.00,"$1,147.24",$0.00,"$1,147.24",$0.00,$0.00,$267.83,$0.00
Surgery,3064483,Inj foramen epidural l/s,982,$271.02,64483,$138.22,$574.00,$146.35,$574.00,$257.47,$138.22,$171.03,$257.47
Purchasing,3255100,MARLEX MESH PERFIX PLUGSM,278,$475.00,C1781   ,$0.00,$451.25,$256.50,$0.00,$451.25,$242.25,$332.50,$451.25
Emergency Room,3300349,ER INTERMED REPAIR TRUNK 7.6-12.5CM,450,"$3,321.00",12034,$518.76,"$3,154.95","$1,793.34","$1,533.00","$3,154.95","$1,693.71",$518.76,"$3,154.95"
Purchasing,3256041,"SUTURE 497G, VICRYL, 3-0",270,$15.00,,$0.00,$14.25,$8.10,$0.00,$14.25,$7.65,$10.50,$14.25
Emergency Dept Pro-Fees,343249,PF EGD W/BALLOON DILATION < 30MM DIA,975,$883.00,43249,$233.98,"$1,551.00",$476.82,"$1,551.00",$838.85,$450.33,$233.98,$838.85
Purchasing,3254633,"""UNNA BOOT 3""""""",270,$20.00,,$0.00,$19.00,$10.80,$0.00,$19.00,$10.20,$14.00,$19.00
Emergency Dept Pro-Fees,399223,PF INPATIENT HOSP CARE INITL LVL3 70MIN,960,$0.00,99223,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Treatment Room,3320340,TR IV EA SEQUENTIAL NEW DRUG UP TO 1HR,761,$232.00,96367,$92.96,$220.40,$125.28,$132.00,$220.40,$118.32,$92.96,$220.40
Purchasing,3250034,EPIDURAL TRAY,270,$102.00,,$0.00,$96.90,$55.08,$0.00,$96.90,$52.02,$71.40,$96.90
Pharmacy,4801034,PO ONDANSETRON ODT TAB 4MG,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252827,IVORY SOAP BAR,990,$0.00,99999,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250069,PLASTIC URINAL W/LID DISP,270,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Medical Clinic,27632,"EXCISION TUMOR, LEG/ANKLE, SUBQ > 3CM",521,"$1,230.00",27632,$307.00,"$3,555.02",$664.20,$307.00,"$1,168.50",$627.30,"$3,555.02","$1,168.50"
Midwest Pain Solutions,3020551,Inj tendon origin/insertion,982,$62.36,20551,$31.80,$141.00,$33.67,$141.00,$59.24,$31.80,$59.89,$59.24
Purchasing,3252512,ENDO TRACH TUBE WITH STATLOCK,270,$24.25,,$0.00,$23.04,$13.10,$0.00,$23.04,$12.37,$16.98,$23.04
Medical Clinic,3360911,LASER 1/2 PRICE FULL F&N,521,$237.00,,$0.00,$225.15,$127.98,$0.00,$225.15,$120.87,$165.90,$225.15
Medical Clinic,36600,ARTERIAL PUNCTURE,521,$0.00,36600,$0.00,$167.93,$0.00,$67.00,$0.00,$0.00,$167.93,$0.00
Medical Clinic,25650,"ULNAR STYLOID FRACTURE, CLOSED",521,"$1,117.00",25650,$309.29,"$1,440.00",$603.18,"$1,440.00","$1,061.15",$569.67,$309.29,"$1,061.15"
Laboratory,3558933,RL JC VIRUS DNA QUALITATIVE PCR,300,$0.00,87798,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800370,PO CLONAZEPAM TAB 0.5 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3553233,RL FLUID CULTURE,300,$53.00,87070,$0.00,$50.35,$28.62,$0.00,$50.35,$27.03,$0.00,$50.35
Medical Clinic,11422,EXC BENIGN LESION S/N/H/F/GEN 1.1-2.0 CM,521,$361.00,11422,$184.11,"$2,110.50",$194.94,"$1,355.00",$342.95,$184.11,"$2,110.50",$342.95
Purchasing,3256017,EENT II SHEET,270,$67.00,,$0.00,$63.65,$36.18,$0.00,$63.65,$34.17,$46.90,$63.65
Laboratory,3559127,"RL C1 INHIBITOR, FUNCT",300,$0.00,86161,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0105  ,RL TOTAL & FREE TESTOSTERONE BY DIALYSIS,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800344,PO CALCIUM VIT D TAB 600 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3257826,NEEDLE SPINAL 22X7 QUINCKE,270,$11.00,,$0.00,$10.45,$5.94,$0.00,$10.45,$5.61,$7.70,$10.45
Laboratory,3550122,LB QUALITATIVE HCG,300,$124.00,84703,$0.00,$117.80,$66.96,$0.00,$117.80,$63.24,$0.00,$117.80
Medical Clinic,27562,"DISLOCATION PATELLA, CLOSED W/ANEST",521,$385.00,27562,$196.35,"$2,501.00",$207.90,"$2,501.00",$365.75,$196.35,$309.29,$365.75
Purchasing,3250659,ENDO PEANUT BLUNT 5mm,270,$561.00,,$0.00,$532.95,$302.94,$0.00,$532.95,$286.11,$392.70,$532.95
Physical Therapy,3950675,PT SUBSEQUENT CURRENT,420,$0.00,G8993   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3552771,RL TC CONSULT REFERRED SLIDE,310,$603.00,88321,$0.00,$572.85,$325.62,$0.00,$572.85,$307.53,$50.76,$572.85
Radiology,3700532,XR FOOT MINIMUM 3 VIEWS,320,$0.00,73630,$0.00,$133.40,$0.00,$133.40,$0.00,$0.00,$121.35,$0.00
Laboratory,3559157,DECADIENEOIC ACID CREANTINE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550138,RL ANTI SMOOTH MUSCLE ANTIBODY,300,$214.00,86255,$0.00,$203.30,$115.56,$0.00,$203.30,$109.14,$0.00,$203.30
Surgery,3320625,"OR COLONOSCOPY W/REMOVAL TUMOR, SNARE",360,"$2,165.00",45385,"$1,104.15","$2,056.75","$1,169.10","$1,472.00","$2,056.75","$1,104.15","$1,555.44","$2,056.75"
Pharmacy,3809970,EZ GAS II SIMETHICONE/SODIUMBBICARB/CITR,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3251299,SLIPPERS YOUTH,990,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Room,3300506,ER INTERMED WOUND REPAIR FACE 5.1-7.5CM,450,$995.00,12053,$507.45,$964.00,$537.30,$964.00,$945.25,$507.45,$518.76,$945.25
Purchasing,3259293,SUTURE VCP957 H VICRYL 2-0,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Purchasing,3251658,EMESIS BASIN,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Laboratory,3558749,RL Allergen Specific IgE,300,$0.00,86003,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Physical Therapy,3950615,PT BODY POSITION CURRENT,420,$0.00,G8981   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
CT Scan,3750196,CT CHEST W/IV CONTRAST,350,$0.00,71260,$0.00,$453.00,$0.00,$453.00,$0.00,$0.00,$267.83,$0.00
